Plate, 2
Well, 1
Count, 42
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
9.629, 0.000 to 19.258, 0
28.886, 19.258 to 38.515, 0
48.144, 38.515 to 57.773, 0
67.402, 57.773 to 77.031, 0
86.659, 77.031 to 96.288, 0
105.917, 96.288 to 115.546, 0
125.175, 115.546 to 134.804, 0
144.432, 134.804 to 154.061, 0
163.690, 154.061 to 173.319, 0
182.948, 173.319 to 192.577, 0
202.205, 192.577 to 211.834, 0
221.463, 211.834 to 231.092, 9
240.721, 231.092 to 250.350, 2
259.978, 250.350 to 269.607, 2
279.236, 269.607 to 288.865, 8
298.494, 288.865 to 308.123, 1
317.751, 308.123 to 327.380, 3
337.009, 327.380 to 346.638, 7
356.267, 346.638 to 365.896, 2
375.524, 365.896 to 385.153, 0
394.782, 385.153 to 404.411, 4
414.040, 404.411 to 423.669, 0
433.297, 423.669 to 442.926, 1
452.555, 442.926 to 462.184, 1
471.813, 462.184 to 481.442, 0
491.070, 481.442 to 500.699, 0
510.328, 500.699 to 519.957, 0
529.586, 519.957 to 539.215, 0
548.843, 539.215 to 558.472, 1
568.101, 558.472 to 577.730, 0
587.359, 577.730 to 596.988, 0
606.616, 596.988 to 616.245, 0
625.874, 616.245 to 635.503, 0
645.132, 635.503 to 654.761, 0
664.389, 654.761 to 674.018, 0
683.647, 674.018 to 693.276, 0
702.905, 693.276 to 712.534, 0
722.162, 712.534 to 731.791, 0
741.420, 731.791 to 751.049, 0
760.678, 751.049 to 770.307, 0
779.935, 770.307 to 789.564, 0
799.193, 789.564 to 808.822, 0
818.451, 808.822 to 828.079, 0
837.708, 828.079 to 847.337, 0
856.966, 847.337 to 866.595, 0
876.224, 866.595 to 885.852, 0
895.481, 885.852 to 905.110, 0
914.739, 905.110 to 924.368, 0
933.997, 924.368 to 943.625, 0
953.254, 943.625 to 962.883, 1


Plate, 2
Well, 2
Count, 37
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
10.764, 0.000 to 21.529, 0
32.293, 21.529 to 43.057, 0
53.822, 43.057 to 64.586, 0
75.351, 64.586 to 86.115, 0
96.879, 86.115 to 107.644, 0
118.408, 107.644 to 129.172, 0
139.937, 129.172 to 150.701, 0
161.466, 150.701 to 172.230, 0
182.994, 172.230 to 193.759, 0
204.523, 193.759 to 215.287, 1
226.052, 215.287 to 236.816, 4
247.580, 236.816 to 258.345, 4
269.109, 258.345 to 279.874, 1
290.638, 279.874 to 301.402, 5
312.167, 301.402 to 322.931, 2
333.695, 322.931 to 344.460, 1
355.224, 344.460 to 365.988, 1
376.753, 365.988 to 387.517, 2
398.282, 387.517 to 409.046, 2
419.810, 409.046 to 430.575, 0
441.339, 430.575 to 452.103, 1
462.868, 452.103 to 473.632, 1
484.397, 473.632 to 495.161, 3
505.925, 495.161 to 516.690, 0
527.454, 516.690 to 538.218, 0
548.983, 538.218 to 559.747, 3
570.511, 559.747 to 581.276, 1
592.040, 581.276 to 602.805, 0
613.569, 602.805 to 624.333, 0
635.098, 624.333 to 645.862, 0
656.626, 645.862 to 667.391, 1
678.155, 667.391 to 688.919, 0
699.684, 688.919 to 710.448, 1
721.213, 710.448 to 731.977, 1
742.741, 731.977 to 753.506, 0
764.270, 753.506 to 775.034, 0
785.799, 775.034 to 796.563, 0
807.328, 796.563 to 818.092, 0
828.856, 818.092 to 839.621, 0
850.385, 839.621 to 861.149, 1
871.914, 861.149 to 882.678, 0
893.442, 882.678 to 904.207, 0
914.971, 904.207 to 925.736, 0
936.500, 925.736 to 947.264, 0
958.029, 947.264 to 968.793, 0
979.557, 968.793 to 990.322, 0
1001.086, 990.322 to 1011.850, 0
1022.615, 1011.850 to 1033.379, 0
1044.144, 1033.379 to 1054.908, 0
