Plate, 2
Well, 1
Count, 42
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
69.664, 0.000 to 139.327, 0
208.991, 139.327 to 278.655, 0
348.319, 278.655 to 417.982, 0
487.646, 417.982 to 557.310, 0
626.974, 557.310 to 696.637, 0
766.301, 696.637 to 835.965, 4
905.629, 835.965 to 975.292, 4
1044.956, 975.292 to 1114.620, 2
1184.284, 1114.620 to 1253.947, 2
1323.611, 1253.947 to 1393.275, 2
1462.939, 1393.275 to 1532.602, 2
1602.266, 1532.602 to 1671.930, 2
1741.594, 1671.930 to 1811.257, 3
1880.921, 1811.257 to 1950.585, 4
2020.249, 1950.585 to 2089.912, 1
2159.576, 2089.912 to 2229.240, 2
2298.903, 2229.240 to 2368.567, 3
2438.231, 2368.567 to 2507.895, 0
2577.558, 2507.895 to 2647.222, 0
2716.886, 2647.222 to 2786.550, 0
2856.213, 2786.550 to 2925.877, 0
2995.541, 2925.877 to 3065.205, 0
3134.868, 3065.205 to 3204.532, 0
3274.196, 3204.532 to 3343.860, 0
3413.523, 3343.860 to 3483.187, 0
3552.851, 3483.187 to 3622.515, 1
3692.178, 3622.515 to 3761.842, 2
3831.506, 3761.842 to 3901.170, 1
3970.833, 3901.170 to 4040.497, 0
4110.161, 4040.497 to 4179.824, 0
4249.488, 4179.824 to 4319.152, 1
4388.816, 4319.152 to 4458.479, 1
4528.143, 4458.479 to 4597.807, 0
4667.471, 4597.807 to 4737.134, 0
4806.798, 4737.134 to 4876.462, 1
4946.126, 4876.462 to 5015.789, 0
5085.453, 5015.789 to 5155.117, 1
5224.781, 5155.117 to 5294.444, 0
5364.108, 5294.444 to 5433.772, 0
5503.436, 5433.772 to 5573.099, 0
5642.763, 5573.099 to 5712.427, 0
5782.091, 5712.427 to 5851.754, 0
5921.418, 5851.754 to 5991.082, 0
6060.746, 5991.082 to 6130.409, 0
6200.073, 6130.409 to 6269.737, 0
6339.400, 6269.737 to 6409.064, 0
6478.728, 6409.064 to 6548.392, 0
6618.055, 6548.392 to 6687.719, 2
6757.383, 6687.719 to 6827.047, 0
6896.710, 6827.047 to 6966.374, 1


Plate, 2
Well, 2
Count, 37
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
72.646, 0.000 to 145.292, 0
217.937, 145.292 to 290.583, 2
363.229, 290.583 to 435.875, 4
508.520, 435.875 to 581.166, 0
653.812, 581.166 to 726.458, 6
799.104, 726.458 to 871.749, 7
944.395, 871.749 to 1017.041, 3
1089.687, 1017.041 to 1162.332, 2
1234.978, 1162.332 to 1307.624, 0
1380.270, 1307.624 to 1452.916, 0
1525.561, 1452.916 to 1598.207, 1
1670.853, 1598.207 to 1743.499, 0
1816.144, 1743.499 to 1888.790, 0
1961.436, 1888.790 to 2034.082, 1
2106.728, 2034.082 to 2179.373, 0
2252.019, 2179.373 to 2324.665, 0
2397.311, 2324.665 to 2469.956, 0
2542.602, 2469.956 to 2615.248, 2
2687.894, 2615.248 to 2760.539, 0
2833.185, 2760.539 to 2905.831, 2
2978.477, 2905.831 to 3051.123, 0
3123.768, 3051.123 to 3196.414, 2
3269.060, 3196.414 to 3341.706, 0
3414.351, 3341.706 to 3486.997, 0
3559.643, 3486.997 to 3632.289, 0
3704.935, 3632.289 to 3777.580, 0
3850.226, 3777.580 to 3922.872, 0
3995.518, 3922.872 to 4068.163, 2
4140.809, 4068.163 to 4213.455, 0
4286.101, 4213.455 to 4358.747, 0
4431.392, 4358.747 to 4504.038, 0
4576.684, 4504.038 to 4649.330, 0
4721.975, 4649.330 to 4794.621, 1
4867.267, 4794.621 to 4939.913, 1
5012.559, 4939.913 to 5085.204, 0
5157.850, 5085.204 to 5230.496, 0
5303.142, 5230.496 to 5375.787, 0
5448.433, 5375.787 to 5521.079, 0
5593.725, 5521.079 to 5666.371, 0
5739.016, 5666.371 to 5811.662, 0
5884.308, 5811.662 to 5956.954, 0
6029.599, 5956.954 to 6102.245, 0
6174.891, 6102.245 to 6247.537, 0
6320.183, 6247.537 to 6392.828, 0
6465.474, 6392.828 to 6538.120, 0
6610.766, 6538.120 to 6683.411, 0
6756.057, 6683.411 to 6828.703, 0
6901.349, 6828.703 to 6973.995, 0
7046.640, 6973.995 to 7119.286, 0
7191.932, 7119.286 to 7264.578, 1


Plate, 2
Well, 3
Count, 13
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
114.510, 0.000 to 229.020, 0
343.530, 229.020 to 458.040, 0
572.550, 458.040 to 687.059, 2
801.569, 687.059 to 916.079, 2
1030.589, 916.079 to 1145.099, 0
1259.609, 1145.099 to 1374.119, 0
1488.629, 1374.119 to 1603.139, 0
1717.649, 1603.139 to 1832.158, 2
1946.668, 1832.158 to 2061.178, 2
2175.688, 2061.178 to 2290.198, 0
2404.708, 2290.198 to 2519.218, 0
2633.728, 2519.218 to 2748.238, 1
2862.748, 2748.238 to 2977.258, 0
3091.767, 2977.258 to 3206.277, 0
3320.787, 3206.277 to 3435.297, 0
3549.807, 3435.297 to 3664.317, 0
3778.827, 3664.317 to 3893.337, 0
4007.847, 3893.337 to 4122.357, 0
4236.867, 4122.357 to 4351.376, 0
4465.886, 4351.376 to 4580.396, 0
4694.906, 4580.396 to 4809.416, 0
4923.926, 4809.416 to 5038.436, 0
5152.946, 5038.436 to 5267.456, 0
5381.966, 5267.456 to 5496.475, 0
5610.985, 5496.475 to 5725.495, 0
5840.005, 5725.495 to 5954.515, 1
6069.025, 5954.515 to 6183.535, 0
6298.045, 6183.535 to 6412.555, 0
6527.065, 6412.555 to 6641.575, 0
6756.084, 6641.575 to 6870.594, 0
6985.104, 6870.594 to 7099.614, 0
7214.124, 7099.614 to 7328.634, 0
7443.144, 7328.634 to 7557.654, 0
7672.164, 7557.654 to 7786.674, 0
7901.184, 7786.674 to 8015.693, 0
8130.203, 8015.693 to 8244.713, 0
