Plate, 2
Well, 1
Count, 42

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
363.347, 103688.912, 0.167, 17325.437, 25116682.388, 803.219, 30226.000, 26162.000
248.783, 48610.682, 0.222, 10784.219, 8062344.890, 1910.167, 30649.333, 28024.667
332.664, 86916.207, 0.147, 12809.602, 19275912.660, 2347.879, 19558.000, 33951.333
365.538, 104943.596, 0.141, 14754.115, 25573944.054, 5097.608, 26331.333, 30734.000
275.526, 59623.160, 0.127, 7571.383, 10951819.670, 1514.563, 8297.333, 7366.000
341.858, 91786.864, 0.138, 12678.946, 20918695.644, 1628.596, 7112.000, 24045.333
281.631, 62294.725, 0.126, 7845.406, 11696090.106, 2347.879, 17441.333, 32935.333
329.198, 85114.456, 0.141, 12033.934, 18679652.555, 4254.447, 28532.667, 8128.000
266.932, 55961.618, 0.150, 8392.590, 9958620.682, 1849.148, 32427.333, 13208.000
444.640, 155277.179, 0.142, 22006.248, 46028333.291, 1676.314, 11091.333, 33782.000
300.225, 70791.799, 0.113, 8015.772, 14168968.232, 1514.563, 7620.000, 8720.667
283.083, 62938.460, 0.103, 6491.371, 11877853.505, 728.330, 10922.000, 30649.333
274.075, 58996.653, 0.109, 6456.387, 10779654.958, 1856.885, 4741.333, 22860.000
962.883, 728177.141, 0.207, 150846.821, 467432992.337, 4826.743, 10075.333, 2878.667
440.570, 152446.958, 0.137, 20822.076, 44775654.474, 3505.241, 5418.667, 29718.000
275.526, 59623.160, 0.109, 6495.105, 10951819.670, 803.219, 30480.000, 25400.000
282.848, 62834.099, 0.120, 7568.205, 11848323.104, 2222.399, 30734.000, 11768.667
309.010, 74995.280, 0.117, 8745.323, 15449509.659, 6595.311, 21928.667, 14393.333
343.638, 92745.126, 0.123, 11440.854, 21247138.196, 1849.148, 34205.333, 13716.000
389.455, 119125.537, 0.111, 13204.010, 30929372.521, 1388.637, 9906.000, 32596.667
403.195, 127679.230, 0.092, 11809.987, 34319755.248, 1188.353, 3217.333, 25738.667
540.314, 229288.652, 0.109, 25025.583, 82591935.190, 1188.353, 3302.000, 26924.000
228.880, 41143.918, 0.124, 5082.172, 6278013.878, 1780.015, 20828.000, 3725.333
314.990, 77926.079, 0.097, 7528.124, 16363945.896, 1100.667, 6434.667, 22098.000
217.621, 37195.693, 0.127, 4724.795, 5396383.125, 728.330, 11514.667, 31072.667
275.526, 59623.160, 0.107, 6371.121, 10951819.670, 3691.506, 12192.000, 26585.333
229.084, 41217.308, 0.118, 4883.831, 6294818.793, 2358.540, 19981.333, 5926.667
263.694, 54612.236, 0.106, 5789.530, 9600608.034, 2091.112, 9228.667, 28786.667
390.855, 119983.642, 0.115, 13829.338, 31264166.984, 6966.374, 931.333, 16594.667
223.867, 39361.483, 0.098, 3856.471, 5874500.904, 1628.596, 6858.000, 25654.000
309.010, 74995.280, 0.105, 7889.511, 15449509.659, 946.602, 32850.667, 22775.333
343.638, 92745.126, 0.102, 9489.854, 21247138.196, 846.667, 11006.667, 31750.000
393.560, 121649.747, 0.098, 11913.534, 31917628.494, 4444.798, 3386.667, 10075.333
241.525, 45815.847, 0.111, 5096.923, 7377128.936, 1100.667, 6434.667, 20997.333
220.744, 38270.927, 0.118, 4534.714, 5632060.095, 1780.015, 19050.000, 3640.667
220.744, 38270.927, 0.114, 4373.759, 5632060.095, 1281.239, 30734.000, 23368.000
345.171, 93574.942, 0.110, 10332.890, 21532931.183, 3675.938, 34713.333, 17356.667
226.133, 40162.109, 0.113, 4530.664, 6054643.423, 6595.311, 18711.333, 20150.667
217.621, 37195.693, 0.117, 4351.925, 5396383.125, 3833.446, 29802.667, 16002.000
340.078, 90833.579, 0.105, 9574.476, 20593655.406, 931.333, 31411.333, 25400.000
220.744, 38270.927, 0.126, 4803.262, 5632060.095, 1998.205, 8466.667, 26839.333
281.902, 62414.550, 0.102, 6372.214, 11729852.839, 946.602, 32004.000, 23198.667



ADDITIONAL INFO
Read-date:	07-02-2020
Read-time:	17:32:09
Plate type:	6-Well
Resolution settings:	300 dpi
CHARM Settings 1:		unsaved settings
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate2\Plate2.ics
