Plate, 3
Well, 1
Count, 256
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
12306.014, 0.000 to 24612.029, 0
36918.043, 24612.029 to 49224.058, 22
61530.072, 49224.058 to 73836.086, 36
86142.101, 73836.086 to 98448.115, 66
110754.130, 98448.115 to 123060.144, 29
135366.158, 123060.144 to 147672.173, 23
159978.187, 147672.173 to 172284.202, 21
184590.216, 172284.202 to 196896.230, 19
209202.245, 196896.230 to 221508.259, 9
233814.274, 221508.259 to 246120.288, 4
258426.302, 246120.288 to 270732.317, 1
283038.331, 270732.317 to 295344.346, 4
307650.360, 295344.346 to 319956.374, 2
332262.389, 319956.374 to 344568.403, 2
356874.418, 344568.403 to 369180.432, 1
381486.446, 369180.432 to 393792.461, 2
406098.475, 393792.461 to 418404.490, 1
430710.504, 418404.490 to 443016.518, 1
455322.533, 443016.518 to 467628.547, 1
479934.562, 467628.547 to 492240.576, 0
504546.590, 492240.576 to 516852.605, 1
529158.619, 516852.605 to 541464.634, 1
553770.648, 541464.634 to 566076.662, 0
578382.677, 566076.662 to 590688.691, 2
602994.706, 590688.691 to 615300.720, 1
627606.734, 615300.720 to 639912.749, 1
652218.763, 639912.749 to 664524.778, 0
676830.792, 664524.778 to 689136.806, 1
701442.821, 689136.806 to 713748.835, 3
726054.850, 713748.835 to 738360.864, 0
750666.878, 738360.864 to 762972.893, 0
775278.907, 762972.893 to 787584.922, 0
799890.936, 787584.922 to 812196.950, 0
824502.965, 812196.950 to 836808.979, 0
849114.994, 836808.979 to 861421.008, 0
873727.023, 861421.008 to 886033.037, 0
898339.051, 886033.037 to 910645.066, 1
922951.080, 910645.066 to 935257.095, 0
947563.109, 935257.095 to 959869.123, 0
972175.138, 959869.123 to 984481.152, 0
996787.167, 984481.152 to 1009093.181, 0
1021399.195, 1009093.181 to 1033705.210, 0
1046011.224, 1033705.210 to 1058317.239, 0
1070623.253, 1058317.239 to 1082929.267, 0
1095235.282, 1082929.267 to 1107541.296, 0
1119847.311, 1107541.296 to 1132153.325, 0
1144459.339, 1132153.325 to 1156765.354, 0
1169071.368, 1156765.354 to 1181377.383, 0
1193683.397, 1181377.383 to 1205989.411, 0
1218295.426, 1205989.411 to 1230601.440, 1


Plate, 3
Well, 2
Count, 285
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
12339.152, 0.000 to 24678.303, 0
37017.455, 24678.303 to 49356.607, 17
61695.758, 49356.607 to 74034.910, 39
86374.062, 74034.910 to 98713.213, 73
111052.365, 98713.213 to 123391.516, 34
135730.668, 123391.516 to 148069.820, 13
160408.971, 148069.820 to 172748.123, 26
185087.275, 172748.123 to 197426.426, 24
209765.578, 197426.426 to 222104.730, 16
234443.881, 222104.730 to 246783.033, 9
259122.185, 246783.033 to 271461.336, 5
283800.488, 271461.336 to 296139.640, 7
308478.791, 296139.640 to 320817.943, 4
333157.095, 320817.943 to 345496.246, 3
357835.398, 345496.246 to 370174.549, 2
382513.701, 370174.549 to 394852.853, 0
407192.004, 394852.853 to 419531.156, 1
431870.308, 419531.156 to 444209.459, 1
456548.611, 444209.459 to 468887.763, 1
481226.914, 468887.763 to 493566.066, 0
505905.218, 493566.066 to 518244.369, 1
530583.521, 518244.369 to 542922.673, 0
555261.824, 542922.673 to 567600.976, 0
579940.127, 567600.976 to 592279.279, 1
604618.431, 592279.279 to 616957.582, 1
629296.734, 616957.582 to 641635.886, 1
653975.037, 641635.886 to 666314.189, 1
678653.341, 666314.189 to 690992.492, 0
703331.644, 690992.492 to 715670.796, 1
728009.947, 715670.796 to 740349.099, 1
752688.251, 740349.099 to 765027.402, 0
777366.554, 765027.402 to 789705.706, 0
802044.857, 789705.706 to 814384.009, 0
826723.160, 814384.009 to 839062.312, 0
851401.464, 839062.312 to 863740.615, 0
876079.767, 863740.615 to 888418.919, 0
900758.070, 888418.919 to 913097.222, 0
925436.374, 913097.222 to 937775.525, 1
950114.677, 937775.525 to 962453.829, 0
974792.980, 962453.829 to 987132.132, 0
999471.284, 987132.132 to 1011810.435, 0
1024149.587, 1011810.435 to 1036488.739, 0
1048827.890, 1036488.739 to 1061167.042, 1
1073506.193, 1061167.042 to 1085845.345, 0
1098184.497, 1085845.345 to 1110523.648, 0
