Plate, 3
Well, 1
Count, 256
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2176.243, 0.000 to 4352.487, 1
6528.730, 4352.487 to 8704.974, 32
10881.217, 8704.974 to 13057.460, 53
15233.704, 13057.460 to 17409.947, 41
19586.191, 17409.947 to 21762.434, 34
23938.678, 21762.434 to 26114.921, 22
28291.164, 26114.921 to 30467.408, 19
32643.651, 30467.408 to 34819.895, 12
36996.138, 34819.895 to 39172.381, 3
41348.625, 39172.381 to 43524.868, 4
45701.112, 43524.868 to 47877.355, 6
50053.598, 47877.355 to 52229.842, 2
54406.085, 52229.842 to 56582.329, 1
58758.572, 56582.329 to 60934.816, 4
63111.059, 60934.816 to 65287.302, 3
67463.546, 65287.302 to 69639.789, 5
71816.033, 69639.789 to 73992.276, 4
76168.519, 73992.276 to 78344.763, 1
80521.006, 78344.763 to 82697.250, 0
84873.493, 82697.250 to 87049.737, 2
89225.980, 87049.737 to 91402.223, 0
93578.467, 91402.223 to 95754.710, 1
97930.954, 95754.710 to 100107.197, 0
102283.440, 100107.197 to 104459.684, 0
106635.927, 104459.684 to 108812.171, 0
110988.414, 108812.171 to 113164.657, 1
115340.901, 113164.657 to 117517.144, 1
119693.388, 117517.144 to 121869.631, 0
124045.875, 121869.631 to 126222.118, 1
128398.361, 126222.118 to 130574.605, 0
132750.848, 130574.605 to 134927.092, 0
137103.335, 134927.092 to 139279.578, 1
141455.822, 139279.578 to 143632.065, 0
145808.309, 143632.065 to 147984.552, 0
150160.795, 147984.552 to 152337.039, 1
154513.282, 152337.039 to 156689.526, 0
158865.769, 156689.526 to 161042.013, 0
163218.256, 161042.013 to 165394.499, 0
167570.743, 165394.499 to 169746.986, 0
171923.230, 169746.986 to 174099.473, 0
176275.716, 174099.473 to 178451.960, 0
180628.203, 178451.960 to 182804.447, 0
184980.690, 182804.447 to 187156.933, 0
189333.177, 187156.933 to 191509.420, 0
193685.664, 191509.420 to 195861.907, 0
198038.151, 195861.907 to 200214.394, 0
202390.637, 200214.394 to 204566.881, 0
206743.124, 204566.881 to 208919.368, 0
211095.611, 208919.368 to 213271.854, 0
215448.098, 213271.854 to 217624.341, 1


Plate, 3
Well, 2
Count, 285
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1904.773, 0.000 to 3809.546, 0
5714.320, 3809.546 to 7619.093, 25
9523.866, 7619.093 to 11428.639, 51
13333.412, 11428.639 to 15238.186, 45
17142.959, 15238.186 to 19047.732, 34
20952.505, 19047.732 to 22857.279, 21
24762.052, 22857.279 to 26666.825, 20
28571.598, 26666.825 to 30476.371, 15
32381.145, 30476.371 to 34285.918, 12
36190.691, 34285.918 to 38095.464, 9
40000.237, 38095.464 to 41905.011, 11
43809.784, 41905.011 to 45714.557, 9
47619.330, 45714.557 to 49524.103, 4
51428.877, 49524.103 to 53333.650, 2
55238.423, 53333.650 to 57143.196, 2
59047.969, 57143.196 to 60952.743, 3
62857.516, 60952.743 to 64762.289, 3
66667.062, 64762.289 to 68571.836, 3
70476.609, 68571.836 to 72381.382, 2
74286.155, 72381.382 to 76190.928, 1
78095.702, 76190.928 to 80000.475, 1
81905.248, 80000.475 to 83810.021, 1
85714.794, 83810.021 to 87619.568, 4
89524.341, 87619.568 to 91429.114, 0
93333.887, 91429.114 to 95238.660, 1
97143.434, 95238.660 to 99048.207, 0
100952.980, 99048.207 to 102857.753, 1
104762.527, 102857.753 to 106667.300, 0
108572.073, 106667.300 to 110476.846, 1
112381.619, 110476.846 to 114286.393, 0
116191.166, 114286.393 to 118095.939, 0
120000.712, 118095.939 to 121905.485, 0
123810.259, 121905.485 to 125715.032, 1
127619.805, 125715.032 to 129524.578, 1
131429.351, 129524.578 to 133334.125, 0
135238.898, 133334.125 to 137143.671, 0
139048.444, 137143.671 to 140953.218, 0
142857.991, 140953.218 to 144762.764, 0
146667.537, 144762.764 to 148572.310, 1
150477.084, 148572.310 to 152381.857, 0
154286.630, 152381.857 to 156191.403, 0
158096.176, 156191.403 to 160000.950, 0
161905.723, 160000.950 to 163810.496, 0
165715.269, 163810.496 to 167620.042, 0
169524.816, 167620.042 to 171429.589, 0
173334.362, 171429.589 to 175239.135, 0
177143.908, 175239.135 to 179048.682, 0
180953.455, 179048.682 to 182858.228, 0
184763.001, 182858.228 to 186667.775, 0
188572.548, 186667.775 to 190477.321, 1


Plate, 3
Well, 3
Count, 268
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
4070.706, 0.000 to 8141.412, 62
12212.117, 8141.412 to 16282.823, 104
20353.529, 16282.823 to 24424.235, 43
28494.941, 24424.235 to 32565.647, 14
36636.352, 32565.647 to 40707.058, 11
44777.764, 40707.058 to 48848.470, 10
52919.176, 48848.470 to 56989.881, 5
61060.587, 56989.881 to 65131.293, 5
69201.999, 65131.293 to 73272.705, 2
77343.411, 73272.705 to 81414.116, 4
85484.822, 81414.116 to 89555.528, 0
93626.234, 89555.528 to 97696.940, 2
101767.645, 97696.940 to 105838.351, 1
109909.057, 105838.351 to 113979.763, 0
118050.469, 113979.763 to 122121.175, 0
126191.880, 122121.175 to 130262.586, 2
134333.292, 130262.586 to 138403.998, 0
142474.704, 138403.998 to 146545.409, 0
150616.115, 146545.409 to 154686.821, 0
158757.527, 154686.821 to 162828.233, 0
166898.939, 162828.233 to 170969.644, 0
175040.350, 170969.644 to 179111.056, 0
183181.762, 179111.056 to 187252.468, 0
191323.174, 187252.468 to 195393.879, 0
199464.585, 195393.879 to 203535.291, 0
207605.997, 203535.291 to 211676.703, 0
215747.408, 211676.703 to 219818.114, 0
223888.820, 219818.114 to 227959.526, 0
232030.232, 227959.526 to 236100.938, 0
240171.643, 236100.938 to 244242.349, 0
248313.055, 244242.349 to 252383.761, 0
256454.467, 252383.761 to 260525.172, 2
264595.878, 260525.172 to 268666.584, 0
272737.290, 268666.584 to 276807.996, 0
280878.702, 276807.996 to 284949.407, 0
289020.113, 284949.407 to 293090.819, 0
297161.525, 293090.819 to 301232.231, 0
305302.936, 301232.231 to 309373.642, 0
313444.348, 309373.642 to 317515.054, 0
321585.760, 317515.054 to 325656.466, 0
329727.171, 325656.466 to 333797.877, 0
337868.583, 333797.877 to 341939.289, 0
346009.995, 341939.289 to 350080.700, 0
354151.406, 350080.700 to 358222.112, 0
362292.818, 358222.112 to 366363.524, 0
370434.230, 366363.524 to 374504.935, 0
378575.641, 374504.935 to 382646.347, 0
386717.053, 382646.347 to 390787.759, 0
394858.464, 390787.759 to 398929.170, 0
402999.876, 398929.170 to 407070.582, 1


Plate, 3
Well, 4
Count, 279
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1975.462, 0.000 to 3950.925, 0
5926.387, 3950.925 to 7901.849, 16
9877.312, 7901.849 to 11852.774, 35
13828.237, 11852.774 to 15803.699, 43
17779.161, 15803.699 to 19754.624, 37
21730.086, 19754.624 to 23705.548, 20
25681.011, 23705.548 to 27656.473, 24
29631.935, 27656.473 to 31607.398, 18
33582.860, 31607.398 to 35558.323, 13
37533.785, 35558.323 to 39509.247, 5
41484.710, 39509.247 to 43460.172, 9
45435.634, 43460.172 to 47411.097, 5
49386.559, 47411.097 to 51362.021, 4
53337.484, 51362.021 to 55312.946, 5
57288.409, 55312.946 to 59263.871, 6
61239.333, 59263.871 to 63214.796, 6
65190.258, 63214.796 to 67165.720, 4
69141.183, 67165.720 to 71116.645, 5
73092.107, 71116.645 to 75067.570, 3
77043.032, 75067.570 to 79018.495, 2
80993.957, 79018.495 to 82969.419, 4
84944.882, 82969.419 to 86920.344, 1
88895.806, 86920.344 to 90871.269, 3
92846.731, 90871.269 to 94822.193, 1
96797.656, 94822.193 to 98773.118, 1
100748.581, 98773.118 to 102724.043, 1
104699.505, 102724.043 to 106674.968, 0
108650.430, 106674.968 to 110625.892, 1
112601.355, 110625.892 to 114576.817, 2
116552.279, 114576.817 to 118527.742, 0
120503.204, 118527.742 to 122478.667, 2
124454.129, 122478.667 to 126429.591, 0
128405.054, 126429.591 to 130380.516, 0
132355.978, 130380.516 to 134331.441, 0
136306.903, 134331.441 to 138282.365, 1
140257.828, 138282.365 to 142233.290, 1
144208.753, 142233.290 to 146184.215, 0
148159.677, 146184.215 to 150135.140, 0
152110.602, 150135.140 to 154086.064, 0
156061.527, 154086.064 to 158036.989, 0
160012.451, 158036.989 to 161987.914, 0
163963.376, 161987.914 to 165938.839, 0
167914.301, 165938.839 to 169889.763, 0
171865.226, 169889.763 to 173840.688, 0
175816.150, 173840.688 to 177791.613, 0
179767.075, 177791.613 to 181742.537, 0
183718.000, 181742.537 to 185693.462, 0
187668.925, 185693.462 to 189644.387, 0
191619.849, 189644.387 to 193595.312, 0
195570.774, 193595.312 to 197546.236, 1


Plate, 3
Well, 5
Count, 263
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
3571.695, 0.000 to 7143.389, 19
10715.084, 7143.389 to 14286.778, 98
17858.473, 14286.778 to 21430.167, 49
25001.862, 21430.167 to 28573.556, 35
32145.251, 28573.556 to 35716.946, 24
39288.640, 35716.946 to 42860.335, 10
46432.029, 42860.335 to 50003.724, 5
53575.418, 50003.724 to 57147.113, 6
60718.807, 57147.113 to 64290.502, 2
67862.197, 64290.502 to 71433.891, 2
75005.586, 71433.891 to 78577.280, 3
82148.975, 78577.280 to 85720.669, 1
89292.364, 85720.669 to 92864.058, 4
96435.753, 92864.058 to 100007.448, 2
103579.142, 100007.448 to 107150.837, 1
110722.531, 107150.837 to 114294.226, 0
117865.920, 114294.226 to 121437.615, 0
125009.309, 121437.615 to 128581.004, 0
132152.699, 128581.004 to 135724.393, 0
139296.088, 135724.393 to 142867.782, 0
146439.477, 142867.782 to 150011.171, 0
153582.866, 150011.171 to 157154.561, 0
160726.255, 157154.561 to 164297.950, 0
167869.644, 164297.950 to 171441.339, 0
175013.033, 171441.339 to 178584.728, 0
182156.422, 178584.728 to 185728.117, 0
189299.812, 185728.117 to 192871.506, 0
196443.201, 192871.506 to 200014.895, 0
203586.590, 200014.895 to 207158.284, 0
210729.979, 207158.284 to 214301.673, 0
217873.368, 214301.673 to 221445.063, 0
225016.757, 221445.063 to 228588.452, 0
232160.146, 228588.452 to 235731.841, 1
239303.535, 235731.841 to 242875.230, 0
246446.924, 242875.230 to 250018.619, 0
253590.314, 250018.619 to 257162.008, 0
260733.703, 257162.008 to 264305.397, 0
267877.092, 264305.397 to 271448.786, 0
275020.481, 271448.786 to 278592.175, 0
282163.870, 278592.175 to 285735.565, 0
289307.259, 285735.565 to 292878.954, 0
296450.648, 292878.954 to 300022.343, 0
303594.037, 300022.343 to 307165.732, 0
310737.426, 307165.732 to 314309.121, 0
317880.816, 314309.121 to 321452.510, 0
325024.205, 321452.510 to 328595.899, 0
332167.594, 328595.899 to 335739.288, 0
339310.983, 335739.288 to 342882.677, 0
346454.372, 342882.677 to 350026.067, 0
353597.761, 350026.067 to 357169.456, 1


Plate, 3
Well, 6
Count, 212
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1170.071, 0.000 to 2340.143, 0
3510.214, 2340.143 to 4680.285, 9
5850.356, 4680.285 to 7020.428, 30
8190.499, 7020.428 to 9360.570, 43
10530.642, 9360.570 to 11700.713, 36
12870.784, 11700.713 to 14040.855, 18
15210.927, 14040.855 to 16380.998, 13
17551.069, 16380.998 to 18721.141, 14
19891.212, 18721.141 to 21061.283, 6
22231.354, 21061.283 to 23401.426, 5
24571.497, 23401.426 to 25741.568, 3
26911.640, 25741.568 to 28081.711, 4
29251.782, 28081.711 to 30421.853, 1
31591.925, 30421.853 to 32761.996, 6
33932.067, 32761.996 to 35102.139, 3
36272.210, 35102.139 to 37442.281, 2
38612.352, 37442.281 to 39782.424, 1
40952.495, 39782.424 to 42122.566, 3
43292.638, 42122.566 to 44462.709, 2
45632.780, 44462.709 to 46802.851, 1
47972.923, 46802.851 to 49142.994, 1
50313.065, 49142.994 to 51483.137, 1
52653.208, 51483.137 to 53823.279, 2
54993.350, 53823.279 to 56163.422, 0
57333.493, 56163.422 to 58503.564, 0
59673.636, 58503.564 to 60843.707, 1
62013.778, 60843.707 to 63183.849, 0
64353.921, 63183.849 to 65523.992, 0
66694.063, 65523.992 to 67864.135, 0
69034.206, 67864.135 to 70204.277, 0
71374.348, 70204.277 to 72544.420, 1
73714.491, 72544.420 to 74884.562, 1
76054.634, 74884.562 to 77224.705, 0
78394.776, 77224.705 to 79564.847, 0
80734.919, 79564.847 to 81904.990, 0
83075.061, 81904.990 to 84245.133, 0
85415.204, 84245.133 to 86585.275, 0
87755.346, 86585.275 to 88925.418, 1
90095.489, 88925.418 to 91265.560, 0
92435.631, 91265.560 to 93605.703, 0
94775.774, 93605.703 to 95945.845, 0
97115.917, 95945.845 to 98285.988, 1
99456.059, 98285.988 to 100626.130, 0
101796.202, 100626.130 to 102966.273, 0
104136.344, 102966.273 to 105306.416, 0
106476.487, 105306.416 to 107646.558, 0
108816.629, 107646.558 to 109986.701, 1
111156.772, 109986.701 to 112326.843, 1
113496.915, 112326.843 to 114666.986, 0
115837.057, 114666.986 to 117007.128, 1




ADDITIONAL INFO
Read-date:	07-02-2020
Read-time:	17:32:09
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-14\Plate3\Plate3.ics


