Plate, 3
Well, 1
Count, 214
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
5471.651, 0.000 to 10943.301, 5
16414.952, 10943.301 to 21886.603, 4
27358.254, 21886.603 to 32829.904, 12
38301.555, 32829.904 to 43773.206, 30
49244.857, 43773.206 to 54716.507, 18
60188.158, 54716.507 to 65659.809, 24
71131.460, 65659.809 to 76603.110, 15
82074.761, 76603.110 to 87546.412, 9
93018.063, 87546.412 to 98489.713, 24
103961.364, 98489.713 to 109433.015, 13
114904.666, 109433.015 to 120376.316, 12
125847.967, 120376.316 to 131319.618, 4
136791.269, 131319.618 to 142262.919, 5
147734.570, 142262.919 to 153206.221, 3
158677.872, 153206.221 to 164149.522, 6
169621.173, 164149.522 to 175092.824, 3
180564.475, 175092.824 to 186036.125, 4
191507.776, 186036.125 to 196979.427, 6
202451.078, 196979.427 to 207922.728, 2
213394.379, 207922.728 to 218866.030, 2
224337.681, 218866.030 to 229809.331, 1
235280.982, 229809.331 to 240752.633, 1
246224.284, 240752.633 to 251695.934, 1
257167.585, 251695.934 to 262639.236, 0
268110.887, 262639.236 to 273582.537, 1
279054.188, 273582.537 to 284525.839, 1
289997.490, 284525.839 to 295469.140, 2
300940.791, 295469.140 to 306412.442, 0
311884.093, 306412.442 to 317355.743, 0
322827.394, 317355.743 to 328299.045, 0
333770.696, 328299.045 to 339242.346, 1
344713.997, 339242.346 to 350185.648, 0
355657.299, 350185.648 to 361128.949, 1
366600.600, 361128.949 to 372072.251, 0
377543.902, 372072.251 to 383015.552, 0
388487.203, 383015.552 to 393958.854, 0
399430.505, 393958.854 to 404902.155, 1
410373.806, 404902.155 to 415845.457, 0
421317.108, 415845.457 to 426788.758, 0
432260.409, 426788.758 to 437732.060, 1
443203.711, 437732.060 to 448675.361, 0
454147.012, 448675.361 to 459618.663, 1
465090.314, 459618.663 to 470561.964, 0
476033.615, 470561.964 to 481505.266, 0
486976.917, 481505.266 to 492448.567, 0
497920.218, 492448.567 to 503391.869, 0
508863.520, 503391.869 to 514335.170, 0
519806.821, 514335.170 to 525278.472, 0
530750.123, 525278.472 to 536221.773, 0
541693.424, 536221.773 to 547165.075, 1


Plate, 3
Well, 2
Count, 152
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
8304.181, 0.000 to 16608.362, 6
24912.544, 16608.362 to 33216.725, 14
41520.906, 33216.725 to 49825.087, 35
58129.268, 49825.087 to 66433.449, 17
74737.631, 66433.449 to 83041.812, 17
91345.993, 83041.812 to 99650.174, 16
107954.355, 99650.174 to 116258.536, 11
124562.718, 116258.536 to 132866.899, 10
141171.080, 132866.899 to 149475.261, 5
157779.442, 149475.261 to 166083.623, 5
174387.805, 166083.623 to 182691.986, 0
190996.167, 182691.986 to 199300.348, 4
207604.529, 199300.348 to 215908.711, 2
224212.892, 215908.711 to 232517.073, 4
240821.254, 232517.073 to 249125.435, 1
257429.616, 249125.435 to 265733.798, 3
274037.979, 265733.798 to 282342.160, 0
290646.341, 282342.160 to 298950.522, 0
307254.703, 298950.522 to 315558.885, 0
