Plate, 3
Well, 1
Count, 214
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.347, 0.000 to 16.693, 0
25.040, 16.693 to 33.387, 0
41.733, 33.387 to 50.080, 0
58.427, 50.080 to 66.774, 0
75.120, 66.774 to 83.467, 1
91.814, 83.467 to 100.160, 2
108.507, 100.160 to 116.854, 2
125.200, 116.854 to 133.547, 2
141.894, 133.547 to 150.240, 1
158.587, 150.240 to 166.934, 1
175.280, 166.934 to 183.627, 2
191.974, 183.627 to 200.321, 5
208.667, 200.321 to 217.014, 12
225.361, 217.014 to 233.707, 21
242.054, 233.707 to 250.401, 11
258.747, 250.401 to 267.094, 12
275.441, 267.094 to 283.787, 20
292.134, 283.787 to 300.481, 5
308.828, 300.481 to 317.174, 12
325.521, 317.174 to 333.868, 8
342.214, 333.868 to 350.561, 22
358.908, 350.561 to 367.254, 9
375.601, 367.254 to 383.948, 11
392.294, 383.948 to 400.641, 7
408.988, 400.641 to 417.334, 6
425.681, 417.334 to 434.028, 4
442.375, 434.028 to 450.721, 6
459.068, 450.721 to 467.415, 5
475.761, 467.415 to 484.108, 3
492.455, 484.108 to 500.801, 7
509.148, 500.801 to 517.495, 4
525.841, 517.495 to 534.188, 1
542.535, 534.188 to 550.881, 1
559.228, 550.881 to 567.575, 1
575.922, 567.575 to 584.268, 1
592.615, 584.268 to 600.962, 1
609.308, 600.962 to 617.655, 2
626.002, 617.655 to 634.348, 0
642.695, 634.348 to 651.042, 1
659.388, 651.042 to 667.735, 0
676.082, 667.735 to 684.429, 1
692.775, 684.429 to 701.122, 0
709.469, 701.122 to 717.815, 1
726.162, 717.815 to 734.509, 0
742.855, 734.509 to 751.202, 1
759.549, 751.202 to 767.895, 1
776.242, 767.895 to 784.589, 0
792.935, 784.589 to 801.282, 0
809.629, 801.282 to 817.976, 0
826.322, 817.976 to 834.669, 1


Plate, 3
Well, 2
Count, 152
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
10.283, 0.000 to 20.565, 0
30.848, 20.565 to 41.130, 0
51.413, 41.130 to 61.696, 0
71.978, 61.696 to 82.261, 2
92.544, 82.261 to 102.826, 1
113.109, 102.826 to 123.391, 1
133.674, 123.391 to 143.957, 2
154.239, 143.957 to 164.522, 2
174.804, 164.522 to 185.087, 6
195.370, 185.087 to 205.652, 6
215.935, 205.652 to 226.217, 21
236.500, 226.217 to 246.783, 14
257.065, 246.783 to 267.348, 6
277.631, 267.348 to 287.913, 10
298.196, 287.913 to 308.478, 6
318.761, 308.478 to 329.044, 12
339.326, 329.044 to 349.609, 14
359.891, 349.609 to 370.174, 6
380.457, 370.174 to 390.739, 10
401.022, 390.739 to 411.304, 7
421.587, 411.304 to 431.870, 2
442.152, 431.870 to 452.435, 7
462.718, 452.435 to 473.000, 1
483.283, 473.000 to 493.565, 2
503.848, 493.565 to 514.131, 3
524.413, 514.131 to 534.696, 3
544.978, 534.696 to 555.261, 2
565.544, 555.261 to 575.826, 3
586.109, 575.826 to 596.392, 1
606.674, 596.392 to 616.957, 0
627.239, 616.957 to 637.522, 0
647.805, 637.522 to 658.087, 0
668.370, 658.087 to 678.652, 0
688.935, 678.652 to 699.218, 0
709.500, 699.218 to 719.783, 0
730.065, 719.783 to 740.348, 1
750.631, 740.348 to 760.913, 0
771.196, 760.913 to 781.479, 0
791.761, 781.479 to 802.044, 0
812.326, 802.044 to 822.609, 0
832.892, 822.609 to 843.174, 0
853.457, 843.174 to 863.739, 0
874.022, 863.739 to 884.305, 0
894.587, 884.305 to 904.870, 0
915.153, 904.870 to 925.435, 0
935.718, 925.435 to 946.000, 0
956.283, 946.000 to 966.566, 0
976.848, 966.566 to 987.131, 0
997.413, 987.131 to 1007.696, 0
1017.979, 1007.696 to 1028.261, 1


Plate, 3
Well, 3
Count, 114
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
9.361, 0.000 to 18.723, 0
28.084, 18.723 to 37.445, 0
46.806, 37.445 to 56.168, 0
65.529, 56.168 to 74.890, 0
84.252, 74.890 to 93.613, 2
102.974, 93.613 to 112.335, 0
121.697, 112.335 to 131.058, 4
140.419, 131.058 to 149.781, 0
159.142, 149.781 to 168.503, 3
177.864, 168.503 to 187.226, 5
196.587, 187.226 to 205.948, 6
215.310, 205.948 to 224.671, 9
234.032, 224.671 to 243.393, 13
252.755, 243.393 to 262.116, 8
271.477, 262.116 to 280.839, 8
290.200, 280.839 to 299.561, 5
308.923, 299.561 to 318.284, 4
327.645, 318.284 to 337.006, 7
346.368, 337.006 to 355.729, 8
365.090, 355.729 to 374.452, 11
383.813, 374.452 to 393.174, 6
402.535, 393.174 to 411.897, 1
421.258, 411.897 to 430.619, 2
439.981, 430.619 to 449.342, 1
458.703, 449.342 to 468.064, 4
477.426, 468.064 to 486.787, 2
496.148, 486.787 to 505.510, 0
514.871, 505.510 to 524.232, 0
533.593, 524.232 to 542.955, 0
552.316, 542.955 to 561.677, 1
571.039, 561.677 to 580.400, 0
589.761, 580.400 to 599.122, 0
608.484, 599.122 to 617.845, 0
627.206, 617.845 to 636.568, 0
645.929, 636.568 to 655.290, 0
664.651, 655.290 to 674.013, 0
683.374, 674.013 to 692.735, 0
702.097, 692.735 to 711.458, 0
720.819, 711.458 to 730.180, 0
739.542, 730.180 to 748.903, 0
758.264, 748.903 to 767.626, 2
776.987, 767.626 to 786.348, 0
795.709, 786.348 to 805.071, 1
814.432, 805.071 to 823.793, 0
833.155, 823.793 to 842.516, 0
851.877, 842.516 to 861.238, 0
870.600, 861.238 to 879.961, 0
889.322, 879.961 to 898.684, 0
908.045, 898.684 to 917.406, 0
926.768, 917.406 to 936.129, 1


Plate, 3
Well, 4
Count, 138
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
6.974, 0.000 to 13.947, 0
20.921, 13.947 to 27.894, 0
34.868, 27.894 to 41.841, 0
48.815, 41.841 to 55.788, 0
62.762, 55.788 to 69.735, 0
76.709, 69.735 to 83.682, 1
90.656, 83.682 to 97.629, 2
104.603, 97.629 to 111.576, 2
118.550, 111.576 to 125.523, 1
132.497, 125.523 to 139.470, 0
146.444, 139.470 to 153.417, 0
160.391, 153.417 to 167.364, 3
174.338, 167.364 to 181.311, 1
188.285, 181.311 to 195.258, 4
202.232, 195.258 to 209.205, 5
216.179, 209.205 to 223.152, 13
230.126, 223.152 to 237.099, 11
244.073, 237.099 to 251.046, 4
258.020, 251.046 to 264.993, 10
271.967, 264.993 to 278.940, 4
285.914, 278.940 to 292.887, 9
299.861, 292.887 to 306.834, 7
313.808, 306.834 to 320.781, 6
327.755, 320.781 to 334.728, 8
341.702, 334.728 to 348.675, 5
355.649, 348.675 to 362.622, 9
369.596, 362.622 to 376.569, 7
383.543, 376.569 to 390.516, 2
397.490, 390.516 to 404.463, 4
411.437, 404.463 to 418.410, 2
425.384, 418.410 to 432.357, 2
439.331, 432.357 to 446.304, 6
453.278, 446.304 to 460.251, 2
467.225, 460.251 to 474.198, 1
481.172, 474.198 to 488.145, 0
495.119, 488.145 to 502.092, 0
509.066, 502.092 to 516.039, 1
523.013, 516.039 to 529.986, 0
536.960, 529.986 to 543.933, 0
550.907, 543.933 to 557.880, 1
564.854, 557.880 to 571.827, 0
578.801, 571.827 to 585.775, 0
592.748, 585.775 to 599.722, 0
606.695, 599.722 to 613.669, 1
620.642, 613.669 to 627.616, 0
634.589, 627.616 to 641.563, 1
648.536, 641.563 to 655.510, 1
662.483, 655.510 to 669.457, 0
676.430, 669.457 to 683.404, 0
690.377, 683.404 to 697.351, 2


Plate, 3
Well, 5
Count, 145
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
9.435, 0.000 to 18.871, 0
28.306, 18.871 to 37.741, 0
47.176, 37.741 to 56.612, 0
66.047, 56.612 to 75.482, 0
84.917, 75.482 to 94.353, 1
103.788, 94.353 to 113.223, 3
122.658, 113.223 to 132.094, 3
141.529, 132.094 to 150.964, 3
160.399, 150.964 to 169.835, 4
179.270, 169.835 to 188.705, 3
198.140, 188.705 to 207.576, 6
217.011, 207.576 to 226.446, 16
235.881, 226.446 to 245.317, 10
254.752, 245.317 to 264.187, 14
273.623, 264.187 to 283.058, 5
292.493, 283.058 to 301.928, 9
311.364, 301.928 to 320.799, 7
330.234, 320.799 to 339.669, 13
349.105, 339.669 to 358.540, 16
367.975, 358.540 to 377.410, 3
386.846, 377.410 to 396.281, 6
405.716, 396.281 to 415.151, 2
424.587, 415.151 to 434.022, 3
443.457, 434.022 to 452.892, 4
462.328, 452.892 to 471.763, 1
481.198, 471.763 to 490.633, 2
500.069, 490.633 to 509.504, 2
518.939, 509.504 to 528.375, 2
