Plate, 3
Well, 1
Count, 214
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
3044677.890, 0.000 to 6089355.781, 43
9134033.671, 6089355.781 to 12178711.562, 49
15223389.452, 12178711.562 to 18268067.342, 22
21312745.233, 18268067.342 to 24357423.123, 31
27402101.014, 24357423.123 to 30446778.904, 17
33491456.795, 30446778.904 to 36536134.685, 8
39580812.575, 36536134.685 to 42625490.466, 6
45670168.356, 42625490.466 to 48714846.247, 6
51759524.137, 48714846.247 to 54804202.027, 5
57848879.918, 54804202.027 to 60893557.808, 4
63938235.699, 60893557.808 to 66982913.589, 6
70027591.480, 66982913.589 to 73072269.370, 4
76116947.260, 73072269.370 to 79161625.151, 1
82206303.041, 79161625.151 to 85250980.932, 1
88295658.822, 85250980.932 to 91340336.712, 0
94385014.603, 91340336.712 to 97429692.493, 1
100474370.384, 97429692.493 to 103519048.274, 0
106563726.165, 103519048.274 to 109608404.055, 2
112653081.945, 109608404.055 to 115697759.836, 1
118742437.726, 115697759.836 to 121787115.617, 1
124831793.507, 121787115.617 to 127876471.397, 0
130921149.288, 127876471.397 to 133965827.178, 0
137010505.069, 133965827.178 to 140055182.959, 0
143099860.850, 140055182.959 to 146144538.740, 1
149189216.630, 146144538.740 to 152233894.521, 0
155278572.411, 152233894.521 to 158323250.302, 1
161367928.192, 158323250.302 to 164412606.082, 0
167457283.973, 164412606.082 to 170501961.863, 0
173546639.754, 170501961.863 to 176591317.644, 0
179635995.535, 176591317.644 to 182680673.425, 0
185725351.315, 182680673.425 to 188770029.206, 0
191814707.096, 188770029.206 to 194859384.987, 1
197904062.877, 194859384.987 to 200948740.767, 0
203993418.658, 200948740.767 to 207038096.548, 0
210082774.439, 207038096.548 to 213127452.329, 0
216172130.220, 213127452.329 to 219216808.110, 1
222261486.000, 219216808.110 to 225306163.891, 0
228350841.781, 225306163.891 to 231395519.672, 1
234440197.562, 231395519.672 to 237484875.452, 0
240529553.343, 237484875.452 to 243574231.233, 0
246618909.124, 243574231.233 to 249663587.014, 0
252708264.904, 249663587.014 to 255752942.795, 0
258797620.685, 255752942.795 to 261842298.576, 0
264886976.466, 261842298.576 to 267931654.357, 0
