Plate, 3
Well, 1
Count, 214
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1040.751, 0.000 to 2081.502, 8
3122.254, 2081.502 to 4163.005, 10
5203.756, 4163.005 to 6244.507, 26
7285.259, 6244.507 to 8326.010, 35
9366.761, 8326.010 to 10407.512, 24
11448.263, 10407.512 to 12489.015, 17
13529.766, 12489.015 to 14570.517, 15
15611.268, 14570.517 to 16652.020, 10
17692.771, 16652.020 to 18733.522, 13
19774.273, 18733.522 to 20815.025, 13
21855.776, 20815.025 to 22896.527, 3
23937.278, 22896.527 to 24978.029, 3
26018.781, 24978.029 to 27059.532, 4
28100.283, 27059.532 to 29141.034, 3
30181.786, 29141.034 to 31222.537, 1
32263.288, 31222.537 to 33304.039, 2
34344.790, 33304.039 to 35385.542, 4
36426.293, 35385.542 to 37467.044, 4
38507.795, 37467.044 to 39548.547, 1
40589.298, 39548.547 to 41630.049, 2
42670.800, 41630.049 to 43711.551, 1
44752.303, 43711.551 to 45793.054, 2
46833.805, 45793.054 to 47874.556, 1
48915.308, 47874.556 to 49956.059, 2
50996.810, 49956.059 to 52037.561, 1
53078.313, 52037.561 to 54119.064, 1
55159.815, 54119.064 to 56200.566, 0
57241.317, 56200.566 to 58282.069, 1
59322.820, 58282.069 to 60363.571, 0
61404.322, 60363.571 to 62445.074, 2
63485.825, 62445.074 to 64526.576, 1
65567.327, 64526.576 to 66608.078, 0
67648.830, 66608.078 to 68689.581, 1
69730.332, 68689.581 to 70771.083, 0
71811.835, 70771.083 to 72852.586, 0
73893.337, 72852.586 to 74934.088, 0
75974.839, 74934.088 to 77015.591, 0
78056.342, 77015.591 to 79097.093, 0
80137.844, 79097.093 to 81178.596, 0
82219.347, 81178.596 to 83260.098, 0
84300.849, 83260.098 to 85341.601, 1
86382.352, 85341.601 to 87423.103, 0
88463.854, 87423.103 to 89504.605, 1
90545.357, 89504.605 to 91586.108, 0
92626.859, 91586.108 to 93667.610, 0
94708.362, 93667.610 to 95749.113, 0
96789.864, 95749.113 to 97830.615, 0
98871.366, 97830.615 to 99912.118, 0
100952.869, 99912.118 to 101993.620, 0
103034.371, 101993.620 to 104075.123, 1


Plate, 3
Well, 2
Count, 152
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1550.970, 0.000 to 3101.940, 15
4652.911, 3101.940 to 6203.881, 36
7754.851, 6203.881 to 9305.821, 31
10856.791, 9305.821 to 12407.762, 23
13958.732, 12407.762 to 15509.702, 16
17060.672, 15509.702 to 18611.642, 9
20162.612, 18611.642 to 21713.583, 3
23264.553, 21713.583 to 24815.523, 1
26366.493, 24815.523 to 27917.463, 1
29468.434, 27917.463 to 31019.404, 3
32570.374, 31019.404 to 34121.344, 0
35672.314, 34121.344 to 37223.285, 2
38774.255, 37223.285 to 40325.225, 1
41876.195, 40325.225 to 43427.165, 2
44978.135, 43427.165 to 46529.106, 1
48080.076, 46529.106 to 49631.046, 3
51182.016, 49631.046 to 52732.986, 1
54283.957, 52732.986 to 55834.927, 0
57385.897, 55834.927 to 58936.867, 2
60487.837, 58936.867 to 62038.808, 0
63589.778, 62038.808 to 65140.748, 0
66691.718, 65140.748 to 68242.688, 0
69793.658, 68242.688 to 71344.629, 0
72895.599, 71344.629 to 74446.569, 1
75997.539, 74446.569 to 77548.509, 0
79099.480, 77548.509 to 80650.450, 0
82201.420, 80650.450 to 83752.390, 0
85303.360, 83752.390 to 86854.331, 0
88405.301, 86854.331 to 89956.271, 0
91507.241, 89956.271 to 93058.211, 0
94609.181, 93058.211 to 96160.152, 0
97711.122, 96160.152 to 99262.092, 0
100813.062, 99262.092 to 102364.032, 0
103915.003, 102364.032 to 105465.973, 0
107016.943, 105465.973 to 108567.913, 0
110118.883, 108567.913 to 111669.854, 0
113220.824, 111669.854 to 114771.794, 0
116322.764, 114771.794 to 117873.734, 0
119424.704, 117873.734 to 120975.675, 0
122526.645, 120975.675 to 124077.615, 0
125628.585, 124077.615 to 127179.555, 0
128730.526, 127179.555 to 130281.496, 0
131832.466, 130281.496 to 133383.436, 0
134934.406, 133383.436 to 136485.377, 0
138036.347, 136485.377 to 139587.317, 0
141138.287, 139587.317 to 142689.257, 0
144240.227, 142689.257 to 145791.198, 0
147342.168, 145791.198 to 148893.138, 0
150444.108, 148893.138 to 151995.078, 0
153546.049, 151995.078 to 155097.019, 1


Plate, 3
Well, 3
Count, 114
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
971.514, 0.000 to 1943.028, 9
2914.542, 1943.028 to 3886.057, 23
4857.571, 3886.057 to 5829.085, 22
6800.599, 5829.085 to 7772.113, 12
8743.627, 7772.113 to 9715.141, 14
10686.655, 9715.141 to 11658.170, 10
12629.684, 11658.170 to 13601.198, 5
14572.712, 13601.198 to 15544.226, 6
16515.740, 15544.226 to 17487.254, 2
18458.769, 17487.254 to 19430.283, 1
20401.797, 19430.283 to 21373.311, 3
22344.825, 21373.311 to 23316.339, 0
24287.853, 23316.339 to 25259.367, 0
26230.882, 25259.367 to 27202.396, 0
28173.910, 27202.396 to 29145.424, 0
30116.938, 29145.424 to 31088.452, 1
32059.966, 31088.452 to 33031.480, 0
34002.995, 33031.480 to 34974.509, 3
35946.023, 34974.509 to 36917.537, 0
37889.051, 36917.537 to 38860.565, 0
39832.079, 38860.565 to 40803.594, 0
41775.108, 40803.594 to 42746.622, 0
43718.136, 42746.622 to 44689.650, 0
45661.164, 44689.650 to 46632.678, 0
47604.192, 46632.678 to 48575.707, 0
49547.221, 48575.707 to 50518.735, 0
51490.249, 50518.735 to 52461.763, 0
53433.277, 52461.763 to 54404.791, 0
