Plate, 4
Well, 1
Count, 31
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
56.954, 0.000 to 113.907, 0
170.861, 113.907 to 227.815, 0
284.768, 227.815 to 341.722, 0
398.676, 341.722 to 455.629, 0
512.583, 455.629 to 569.537, 0
626.490, 569.537 to 683.444, 2
740.398, 683.444 to 797.351, 0
854.305, 797.351 to 911.259, 0
968.212, 911.259 to 1025.166, 4
1082.120, 1025.166 to 1139.074, 2
1196.027, 1139.074 to 1252.981, 0
1309.935, 1252.981 to 1366.888, 0
1423.842, 1366.888 to 1480.796, 2
1537.749, 1480.796 to 1594.703, 0
1651.657, 1594.703 to 1708.610, 0
1765.564, 1708.610 to 1822.518, 0
1879.471, 1822.518 to 1936.425, 0
1993.379, 1936.425 to 2050.332, 0
2107.286, 2050.332 to 2164.240, 0
2221.193, 2164.240 to 2278.147, 4
2335.101, 2278.147 to 2392.054, 2
2449.008, 2392.054 to 2505.962, 1
2562.915, 2505.962 to 2619.869, 2
2676.823, 2619.869 to 2733.776, 0
2790.730, 2733.776 to 2847.684, 2
2904.637, 2847.684 to 2961.591, 2
3018.545, 2961.591 to 3075.498, 1
3132.452, 3075.498 to 3189.406, 0
3246.359, 3189.406 to 3303.313, 1
3360.267, 3303.313 to 3417.221, 0
3474.174, 3417.221 to 3531.128, 0
3588.082, 3531.128 to 3645.035, 0
3701.989, 3645.035 to 3758.943, 0
3815.896, 3758.943 to 3872.850, 0
3929.804, 3872.850 to 3986.757, 0
4043.711, 3986.757 to 4100.665, 1
4157.618, 4100.665 to 4214.572, 0
4271.526, 4214.572 to 4328.479, 1
4385.433, 4328.479 to 4442.387, 0
4499.340, 4442.387 to 4556.294, 0
4613.248, 4556.294 to 4670.201, 1
4727.155, 4670.201 to 4784.109, 0
4841.062, 4784.109 to 4898.016, 0
4954.970, 4898.016 to 5011.923, 0
5068.877, 5011.923 to 5125.831, 0
5182.784, 5125.831 to 5239.738, 0
5296.692, 5239.738 to 5353.645, 1
5410.599, 5353.645 to 5467.553, 0
5524.506, 5467.553 to 5581.460, 0
