Plate, 4
Well, 1
Count, 31

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
397.222, 123924.112, 0.197, 24402.326, 32816897.830, 1023.031, 17695.333, 4064.000
443.701, 154621.539, 0.170, 26322.909, 45737117.243, 4317.170, 24384.000, 5503.333
427.786, 143728.513, 0.205, 29517.634, 40990026.580, 5318.523, 30903.333, 10837.333
305.333, 73221.223, 0.147, 10732.946, 14904563.785, 1100.667, 2286.000, 21674.667
310.539, 75739.398, 0.109, 8274.434, 15680018.748, 5695.368, 9059.333, 21166.667
332.631, 86899.199, 0.119, 10318.276, 19270255.069, 4610.254, 17780.000, 24976.667
308.374, 74687.069, 0.124, 9292.968, 15354367.178, 2361.578, 9652.000, 15070.667
256.551, 51693.672, 0.138, 7143.871, 8841376.286, 915.810, 3471.333, 9228.667
388.756, 118698.179, 0.122, 14499.522, 30763084.790, 1436.841, 29633.333, 5672.667
230.152, 41602.672, 0.145, 6027.431, 6383305.660, 2909.628, 29633.333, 23537.333
259.789, 53006.725, 0.112, 5958.657, 9180371.563, 2274.998, 17187.333, 20404.667
323.944, 82419.610, 0.112, 9194.363, 17799575.104, 2274.998, 18796.000, 18796.000
220.744, 38270.927, 0.121, 4639.698, 5632060.095, 3022.019, 6688.667, 14478.000
370.835, 108007.054, 0.095, 10219.289, 26701888.782, 2361.578, 11938.000, 14478.000
268.204, 56496.429, 0.121, 6858.224, 10101719.318, 5695.368, 25484.667, 31919.333
220.744, 38270.927, 0.133, 5086.052, 5632060.095, 2170.177, 7196.667, 7196.667
184.626, 26771.797, 0.129, 3461.944, 3295187.234, 4086.866, 13970.000, 34290.000
213.601, 35834.256, 0.098, 3498.149, 5102833.296, 598.684, 12107.333, 5418.667
187.188, 27519.864, 0.122, 3363.885, 3434260.424, 2742.207, 10922.000, 28448.000
163.626, 21027.818, 0.111, 2330.953, 2293797.781, 2909.628, 26754.667, 23114.000
393.756, 121770.834, 0.130, 15828.559, 31965295.425, 1436.841, 28617.333, 4656.667
193.524, 29414.248, 0.102, 3008.051, 3794900.730, 598.684, 11514.667, 5503.333
174.192, 23831.216, 0.106, 2520.907, 2767471.179, 3221.786, 26585.333, 26331.333
226.258, 40206.577, 0.104, 4184.095, 6064701.739, 2562.478, 14986.000, 5588.000
241.767, 45907.462, 0.094, 4308.222, 7399267.505, 1100.667, 3386.667, 21674.667
220.744, 38270.927, 0.106, 4048.363, 5632060.095, 2170.177, 9228.667, 7958.667
217.621, 37195.693, 0.108, 4005.495, 5396383.125, 2456.793, 17780.000, 6519.333
286.207, 64335.602, 0.090, 5762.662, 12275546.938, 1023.031, 18118.667, 3132.667
347.135, 94642.567, 0.087, 8204.644, 21902493.848, 915.810, 3979.333, 8466.667
213.322, 35740.496, 0.102, 3642.173, 5082819.233, 2562.478, 15324.667, 8128.000
79.365, 4947.068, 0.106, 521.966, 261749.394, 2742.207, 11345.333, 31157.333



ADDITIONAL INFO
Read-date:	07-02-2020
Read-time:	18:53:06
Plate type:	6-Well
Resolution settings:	300 dpi
CHARM Settings 1:		unsaved settings
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_18-31\Plate4\Plate4.ics
