Plate, 1
Well, 1
Count, 231
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
13339.354, 0.000 to 26678.708, 1
40018.062, 26678.708 to 53357.416, 6
66696.770, 53357.416 to 80036.124, 22
93375.478, 80036.124 to 106714.832, 65
120054.186, 106714.832 to 133393.540, 36
146732.894, 133393.540 to 160072.249, 29
173411.603, 160072.249 to 186750.957, 22
200090.311, 186750.957 to 213429.665, 20
226769.019, 213429.665 to 240108.373, 9
253447.727, 240108.373 to 266787.081, 0
280126.435, 266787.081 to 293465.789, 3
306805.143, 293465.789 to 320144.497, 2
333483.851, 320144.497 to 346823.205, 2
360162.559, 346823.205 to 373501.913, 5
386841.267, 373501.913 to 400180.621, 3
413519.975, 400180.621 to 426859.329, 0
440198.683, 426859.329 to 453538.037, 1
466877.392, 453538.037 to 480216.746, 1
493556.100, 480216.746 to 506895.454, 2
520234.808, 506895.454 to 533574.162, 0
546913.516, 533574.162 to 560252.870, 1
573592.224, 560252.870 to 586931.578, 0
600270.932, 586931.578 to 613610.286, 0
626949.640, 613610.286 to 640288.994, 0
653628.348, 640288.994 to 666967.702, 0
680307.056, 666967.702 to 693646.410, 0
706985.764, 693646.410 to 720325.118, 0
733664.472, 720325.118 to 747003.826, 0
760343.180, 747003.826 to 773682.534, 0
787021.889, 773682.534 to 800361.243, 0
813700.597, 800361.243 to 827039.951, 0
840379.305, 827039.951 to 853718.659, 0
867058.013, 853718.659 to 880397.367, 0
893736.721, 880397.367 to 907076.075, 0
920415.429, 907076.075 to 933754.783, 0
947094.137, 933754.783 to 960433.491, 0
973772.845, 960433.491 to 987112.199, 0
1000451.553, 987112.199 to 1013790.907, 0
1027130.261, 1013790.907 to 1040469.615, 0
1053808.969, 1040469.615 to 1067148.323, 0
1080487.677, 1067148.323 to 1093827.032, 0
1107166.386, 1093827.032 to 1120505.740, 0
1133845.094, 1120505.740 to 1147184.448, 0
1160523.802, 1147184.448 to 1173863.156, 0
1187202.510, 1173863.156 to 1200541.864, 0
1213881.218, 1200541.864 to 1227220.572, 0
1240559.926, 1227220.572 to 1253899.280, 0
1267238.634, 1253899.280 to 1280577.988, 0
1293917.342, 1280577.988 to 1307256.696, 0
1320596.050, 1307256.696 to 1333935.404, 1


Plate, 1
Well, 2
Count, 201
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
10325.794, 0.000 to 20651.588, 0
30977.383, 20651.588 to 41303.177, 12
51628.971, 41303.177 to 61954.765, 10
72280.560, 61954.765 to 82606.354, 19
92932.148, 82606.354 to 103257.942, 55
113583.737, 103257.942 to 123909.531, 17
134235.325, 123909.531 to 144561.119, 17
154886.913, 144561.119 to 165212.708, 14
175538.502, 165212.708 to 185864.296, 10
196190.090, 185864.296 to 206515.885, 7
216841.679, 206515.885 to 227167.473, 10
237493.267, 227167.473 to 247819.061, 4
258144.856, 247819.061 to 268470.650, 4
278796.444, 268470.650 to 289122.238, 2
299448.033, 289122.238 to 309773.827, 1
320099.621, 309773.827 to 330425.415, 2
340751.210, 330425.415 to 351077.004, 4
361402.798, 351077.004 to 371728.592, 1
382054.386, 371728.592 to 392380.181, 3
402705.975, 392380.181 to 413031.769, 1
