Plate, 2
Well, 1
Count, 64
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.011, 0
0.013, 0.011 to 0.016, 0
0.019, 0.016 to 0.022, 0
0.024, 0.022 to 0.027, 0
0.030, 0.027 to 0.032, 0
0.035, 0.032 to 0.038, 0
0.040, 0.038 to 0.043, 0
0.046, 0.043 to 0.049, 0
0.051, 0.049 to 0.054, 0
0.057, 0.054 to 0.059, 0
0.062, 0.059 to 0.065, 0
0.067, 0.065 to 0.070, 0
0.073, 0.070 to 0.076, 0
0.078, 0.076 to 0.081, 0
0.084, 0.081 to 0.086, 0
0.089, 0.086 to 0.092, 0
0.094, 0.092 to 0.097, 0
0.100, 0.097 to 0.103, 0
0.105, 0.103 to 0.108, 0
0.111, 0.108 to 0.113, 0
0.116, 0.113 to 0.119, 6
0.121, 0.119 to 0.124, 8
0.127, 0.124 to 0.130, 11
0.132, 0.130 to 0.135, 11
0.138, 0.135 to 0.140, 4
0.143, 0.140 to 0.146, 6
0.148, 0.146 to 0.151, 4
0.154, 0.151 to 0.157, 1
0.159, 0.157 to 0.162, 3
0.165, 0.162 to 0.167, 2
0.170, 0.167 to 0.173, 0
0.175, 0.173 to 0.178, 3
0.181, 0.178 to 0.184, 0
0.186, 0.184 to 0.189, 1
0.192, 0.189 to 0.194, 1
0.197, 0.194 to 0.200, 1
0.202, 0.200 to 0.205, 0
0.208, 0.205 to 0.211, 0
0.213, 0.211 to 0.216, 0
0.219, 0.216 to 0.221, 0
0.224, 0.221 to 0.227, 0
0.229, 0.227 to 0.232, 0
0.235, 0.232 to 0.238, 0
0.240, 0.238 to 0.243, 0
0.246, 0.243 to 0.248, 1
0.251, 0.248 to 0.254, 0
0.256, 0.254 to 0.259, 0
0.262, 0.259 to 0.265, 0
0.267, 0.265 to 0.270, 1


Plate, 2
Well, 2
Count, 15
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.010, 0.006 to 0.013, 0
0.016, 0.013 to 0.019, 0
0.023, 0.019 to 0.026, 0
0.029, 0.026 to 0.032, 0
0.036, 0.032 to 0.039, 0
0.042, 0.039 to 0.045, 0
0.049, 0.045 to 0.052, 0
0.055, 0.052 to 0.058, 0
0.062, 0.058 to 0.065, 0
0.068, 0.065 to 0.071, 0
0.075, 0.071 to 0.078, 0
0.081, 0.078 to 0.084, 0
0.088, 0.084 to 0.091, 0
0.094, 0.091 to 0.097, 0
0.101, 0.097 to 0.104, 0
0.107, 0.104 to 0.110, 0
0.114, 0.110 to 0.117, 0
0.120, 0.117 to 0.123, 0
0.127, 0.123 to 0.130, 0
0.133, 0.130 to 0.136, 1
0.140, 0.136 to 0.143, 5
0.146, 0.143 to 0.149, 3
0.153, 0.149 to 0.156, 1
0.159, 0.156 to 0.162, 1
0.166, 0.162 to 0.169, 1
0.172, 0.169 to 0.175, 0
0.179, 0.175 to 0.182, 1
0.185, 0.182 to 0.188, 0
0.191, 0.188 to 0.195, 1
0.198, 0.195 to 0.201, 0
0.204, 0.201 to 0.208, 0
0.211, 0.208 to 0.214, 0
0.217, 0.214 to 0.221, 0
0.224, 0.221 to 0.227, 0
0.230, 0.227 to 0.234, 0
0.237, 0.234 to 0.240, 0
0.243, 0.240 to 0.247, 0
0.250, 0.247 to 0.253, 0
0.256, 0.253 to 0.260, 0
0.263, 0.260 to 0.266, 0
0.269, 0.266 to 0.273, 0
0.276, 0.273 to 0.279, 0
0.282, 0.279 to 0.286, 0
0.289, 0.286 to 0.292, 0
0.295, 0.292 to 0.299, 0
0.302, 0.299 to 0.305, 0
0.308, 0.305 to 0.312, 0
0.315, 0.312 to 0.318, 0
0.321, 0.318 to 0.325, 1


Plate, 2
Well, 3
Count, 24
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.009, 0
0.011, 0.009 to 0.014, 0
0.016, 0.014 to 0.018, 0
0.020, 0.018 to 0.023, 0
0.025, 0.023 to 0.027, 0
0.030, 0.027 to 0.032, 0
0.034, 0.032 to 0.036, 0
0.039, 0.036 to 0.041, 0
0.043, 0.041 to 0.046, 0
0.048, 0.046 to 0.050, 0
0.052, 0.050 to 0.055, 0
0.057, 0.055 to 0.059, 0
0.061, 0.059 to 0.064, 0
0.066, 0.064 to 0.068, 0
0.071, 0.068 to 0.073, 0
0.075, 0.073 to 0.077, 0
0.080, 0.077 to 0.082, 0
0.084, 0.082 to 0.087, 0
0.089, 0.087 to 0.091, 0
0.093, 0.091 to 0.096, 0
0.098, 0.096 to 0.100, 0
0.102, 0.100 to 0.105, 0
0.107, 0.105 to 0.109, 0
0.112, 0.109 to 0.114, 0
0.116, 0.114 to 0.118, 0
0.121, 0.118 to 0.123, 0
0.125, 0.123 to 0.128, 0
0.130, 0.128 to 0.132, 0
0.134, 0.132 to 0.137, 1
0.139, 0.137 to 0.141, 3
0.143, 0.141 to 0.146, 8
0.148, 0.146 to 0.150, 4
0.153, 0.150 to 0.155, 4
0.157, 0.155 to 0.159, 2
0.162, 0.159 to 0.164, 0
0.166, 0.164 to 0.169, 0
0.171, 0.169 to 0.173, 1
0.175, 0.173 to 0.178, 0
0.180, 0.178 to 0.182, 0
0.184, 0.182 to 0.187, 0
0.189, 0.187 to 0.191, 0
0.194, 0.191 to 0.196, 0
0.198, 0.196 to 0.200, 0
0.203, 0.200 to 0.205, 0
0.207, 0.205 to 0.210, 0
0.212, 0.210 to 0.214, 0
0.216, 0.214 to 0.219, 0
0.221, 0.219 to 0.223, 0
0.225, 0.223 to 0.228, 1


Plate, 2
Well, 4
Count, 9
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.001, 0.000 to 0.002, 0
0.004, 0.002 to 0.005, 0
0.006, 0.005 to 0.007, 0
0.009, 0.007 to 0.010, 0
0.011, 0.010 to 0.012, 0
0.013, 0.012 to 0.015, 0
0.016, 0.015 to 0.017, 0
0.018, 0.017 to 0.020, 0
0.021, 0.020 to 0.022, 0
0.023, 0.022 to 0.024, 0
0.026, 0.024 to 0.027, 0
0.028, 0.027 to 0.029, 0
0.031, 0.029 to 0.032, 0
0.033, 0.032 to 0.034, 0
0.035, 0.034 to 0.037, 0
0.038, 0.037 to 0.039, 0
0.040, 0.039 to 0.042, 0
0.043, 0.042 to 0.044, 0
0.045, 0.044 to 0.046, 0
0.048, 0.046 to 0.049, 0
0.050, 0.049 to 0.051, 0
0.053, 0.051 to 0.054, 0
0.055, 0.054 to 0.056, 0
0.057, 0.056 to 0.059, 0
0.060, 0.059 to 0.061, 0
0.062, 0.061 to 0.064, 0
0.065, 0.064 to 0.066, 0
0.067, 0.066 to 0.068, 0
0.070, 0.068 to 0.071, 0
0.072, 0.071 to 0.073, 0
0.075, 0.073 to 0.076, 0
0.077, 0.076 to 0.078, 0
0.079, 0.078 to 0.081, 0
0.082, 0.081 to 0.083, 0
0.084, 0.083 to 0.086, 0
0.087, 0.086 to 0.088, 0
0.089, 0.088 to 0.090, 0
0.092, 0.090 to 0.093, 0
0.094, 0.093 to 0.095, 0
0.097, 0.095 to 0.098, 0
0.099, 0.098 to 0.100, 0
0.101, 0.100 to 0.103, 0
0.104, 0.103 to 0.105, 0
0.106, 0.105 to 0.108, 0
0.109, 0.108 to 0.110, 0
0.111, 0.110 to 0.112, 2
0.114, 0.112 to 0.115, 3
0.116, 0.115 to 0.117, 0
0.119, 0.117 to 0.120, 1
0.121, 0.120 to 0.122, 3


Plate, 2
Well, 5
Count, 6
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.001, 0.000 to 0.003, 0
0.004, 0.003 to 0.006, 0
0.007, 0.006 to 0.008, 0
0.010, 0.008 to 0.011, 0
0.013, 0.011 to 0.014, 0
0.015, 0.014 to 0.017, 0
0.018, 0.017 to 0.020, 0
0.021, 0.020 to 0.022, 0
0.024, 0.022 to 0.025, 0
0.027, 0.025 to 0.028, 0
0.029, 0.028 to 0.031, 0
