Plate, 3
Well, 1
Count, 234
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
10.180, 0.000 to 20.360, 0
30.539, 20.360 to 40.719, 0
50.899, 40.719 to 61.079, 0
71.259, 61.079 to 81.439, 0
91.618, 81.439 to 101.798, 0
111.978, 101.798 to 122.158, 0
132.338, 122.158 to 142.517, 0
152.697, 142.517 to 162.877, 0
173.057, 162.877 to 183.237, 2
193.417, 183.237 to 203.596, 0
213.776, 203.596 to 223.956, 7
234.136, 223.956 to 244.316, 5
254.495, 244.316 to 264.675, 4
274.855, 264.675 to 285.035, 6
295.215, 285.035 to 305.395, 10
315.574, 305.395 to 325.754, 9
335.934, 325.754 to 346.114, 33
356.294, 346.114 to 366.474, 26
376.653, 366.474 to 386.833, 21
397.013, 386.833 to 407.193, 18
417.373, 407.193 to 427.552, 13
437.732, 427.552 to 447.912, 10
458.092, 447.912 to 468.272, 11
478.452, 468.272 to 488.631, 10
498.811, 488.631 to 508.991, 7
519.171, 508.991 to 529.351, 13
539.530, 529.351 to 549.710, 6
559.890, 549.710 to 570.070, 3
580.250, 570.070 to 590.430, 0
600.609, 590.430 to 610.789, 3
620.969, 610.789 to 631.149, 1
641.329, 631.149 to 651.508, 1
661.688, 651.508 to 671.868, 0
682.048, 671.868 to 692.228, 0
702.408, 692.228 to 712.587, 3
722.767, 712.587 to 732.947, 1
743.127, 732.947 to 753.307, 1
763.486, 753.307 to 773.666, 0
783.846, 773.666 to 794.026, 1
804.206, 794.026 to 814.386, 2
824.565, 814.386 to 834.745, 1
844.925, 834.745 to 855.105, 0
865.285, 855.105 to 875.465, 1
885.644, 875.465 to 895.824, 0
906.004, 895.824 to 916.184, 2
926.364, 916.184 to 936.543, 1
946.723, 936.543 to 956.903, 0
967.083, 956.903 to 977.263, 1
987.443, 977.263 to 997.622, 0
1007.802, 997.622 to 1017.982, 1


Plate, 3
Well, 2
Count, 202
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
10.984, 0.000 to 21.969, 0
32.953, 21.969 to 43.937, 0
54.922, 43.937 to 65.906, 0
76.890, 65.906 to 87.875, 0
98.859, 87.875 to 109.844, 0
120.828, 109.844 to 131.812, 0
142.797, 131.812 to 153.781, 0
164.765, 153.781 to 175.750, 1
186.734, 175.750 to 197.718, 2
208.703, 197.718 to 219.687, 4
230.671, 219.687 to 241.656, 4
252.640, 241.656 to 263.624, 2
274.609, 263.624 to 285.593, 6
296.578, 285.593 to 307.562, 5
318.546, 307.562 to 329.531, 6
340.515, 329.531 to 351.499, 39
362.484, 351.499 to 373.468, 9
384.452, 373.468 to 395.437, 12
406.421, 395.437 to 417.405, 11
428.390, 417.405 to 439.374, 13
450.358, 439.374 to 461.343, 18
472.327, 461.343 to 483.312, 7
494.296, 483.312 to 505.280, 7
516.265, 505.280 to 527.249, 9
538.233, 527.249 to 549.218, 11
560.202, 549.218 to 571.186, 4
582.171, 571.186 to 593.155, 3
604.139, 593.155 to 615.124, 6
626.108, 615.124 to 637.092, 1
648.077, 637.092 to 659.061, 5
670.045, 659.061 to 681.030, 4
692.014, 681.030 to 702.999, 1
713.983, 702.999 to 724.967, 4
735.952, 724.967 to 746.936, 1
757.920, 746.936 to 768.905, 1
779.889, 768.905 to 790.873, 0
801.858, 790.873 to 812.842, 0
823.826, 812.842 to 834.811, 1
845.795, 834.811 to 856.779, 1
867.764, 856.779 to 878.748, 0
889.733, 878.748 to 900.717, 2
911.701, 900.717 to 922.686, 0
933.670, 922.686 to 944.654, 0
955.639, 944.654 to 966.623, 0
977.607, 966.623 to 988.592, 0
999.576, 988.592 to 1010.560, 1
1021.545, 1010.560 to 1032.529, 0
1043.513, 1032.529 to 1054.498, 0
1065.482, 1054.498 to 1076.467, 0
1087.451, 1076.467 to 1098.435, 1


Plate, 3
Well, 3
Count, 209
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
10.183, 0.000 to 20.366, 0
30.550, 20.366 to 40.733, 0
50.916, 40.733 to 61.099, 0
71.283, 61.099 to 81.466, 0
91.649, 81.466 to 101.832, 0
112.015, 101.832 to 122.199, 0
132.382, 122.199 to 142.565, 0
152.748, 142.565 to 162.931, 0
173.115, 162.931 to 183.298, 0
193.481, 183.298 to 203.664, 3
213.848, 203.664 to 224.031, 8
234.214, 224.031 to 244.397, 3
254.580, 244.397 to 264.764, 1
274.947, 264.764 to 285.130, 10
295.313, 285.130 to 305.496, 11
315.680, 305.496 to 325.863, 9
336.046, 325.863 to 346.229, 37
356.413, 346.229 to 366.596, 25
376.779, 366.596 to 386.962, 12
397.145, 386.962 to 407.329, 16
417.512, 407.329 to 427.695, 8
437.878, 427.695 to 448.061, 10
458.245, 448.061 to 468.428, 9
478.611, 468.428 to 488.794, 10
498.978, 488.794 to 509.161, 7
519.344, 509.161 to 529.527, 4
539.710, 529.527 to 549.894, 3
560.077, 549.894 to 570.260, 1
580.443, 570.260 to 590.626, 0
600.810, 590.626 to 610.993, 3
621.176, 610.993 to 631.359, 1
641.543, 631.359 to 651.726, 2
661.909, 651.726 to 672.092, 3
682.275, 672.092 to 692.459, 1
702.642, 692.459 to 712.825, 2
723.008, 712.825 to 733.191, 0
743.375, 733.191 to 753.558, 1
763.741, 753.558 to 773.924, 1
784.108, 773.924 to 794.291, 1
804.474, 794.291 to 814.657, 3
824.840, 814.657 to 835.024, 0
845.207, 835.024 to 855.390, 3
865.573, 855.390 to 875.756, 0
885.940, 875.756 to 896.123, 0
906.306, 896.123 to 916.489, 0
926.673, 916.489 to 936.856, 0
947.039, 936.856 to 957.222, 0
967.405, 957.222 to 977.589, 0
987.772, 977.589 to 997.955, 0
1008.138, 997.955 to 1018.321, 1


Plate, 3
Well, 4
Count, 181
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
9.219, 0.000 to 18.438, 0
27.656, 18.438 to 36.875, 0
46.094, 36.875 to 55.313, 0
64.532, 55.313 to 73.750, 0
82.969, 73.750 to 92.188, 0
101.407, 92.188 to 110.626, 0
