Plate, 3
Well, 1
Count, 234
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2283.717, 0.000 to 4567.433, 2
6851.150, 4567.433 to 9134.866, 21
11418.583, 9134.866 to 13702.299, 44
15986.016, 13702.299 to 18269.733, 37
20553.449, 18269.733 to 22837.166, 36
25120.882, 22837.166 to 27404.599, 17
29688.316, 27404.599 to 31972.032, 12
34255.749, 31972.032 to 36539.465, 7
38823.182, 36539.465 to 41106.898, 5
43390.615, 41106.898 to 45674.332, 12
47958.048, 45674.332 to 50241.765, 7
52525.481, 50241.765 to 54809.198, 8
57092.914, 54809.198 to 59376.631, 1
61660.348, 59376.631 to 63944.064, 4
66227.781, 63944.064 to 68511.497, 4
70795.214, 68511.497 to 73078.930, 3
75362.647, 73078.930 to 77646.364, 2
79930.080, 77646.364 to 82213.797, 0
84497.513, 82213.797 to 86781.230, 3
89064.947, 86781.230 to 91348.663, 0
93632.380, 91348.663 to 95916.096, 0
98199.813, 95916.096 to 100483.529, 2
102767.246, 100483.529 to 105050.963, 0
107334.679, 105050.963 to 109618.396, 0
111902.112, 109618.396 to 114185.829, 0
116469.545, 114185.829 to 118753.262, 0
121036.979, 118753.262 to 123320.695, 1
125604.412, 123320.695 to 127888.128, 0
130171.845, 127888.128 to 132455.561, 0
134739.278, 132455.561 to 137022.995, 0
139306.711, 137022.995 to 141590.428, 0
143874.144, 141590.428 to 146157.861, 1
148441.578, 146157.861 to 150725.294, 0
153009.011, 150725.294 to 155292.727, 1
157576.444, 155292.727 to 159860.160, 0
162143.877, 159860.160 to 164427.594, 0
166711.310, 164427.594 to 168995.027, 0
171278.743, 168995.027 to 173562.460, 0
175846.176, 173562.460 to 178129.893, 0
180413.610, 178129.893 to 182697.326, 0
184981.043, 182697.326 to 187264.759, 1
189548.476, 187264.759 to 191832.192, 0
194115.909, 191832.192 to 196399.626, 1
198683.342, 196399.626 to 200967.059, 0
203250.775, 200967.059 to 205534.492, 0
207818.209, 205534.492 to 210101.925, 0
212385.642, 210101.925 to 214669.358, 1
216953.075, 214669.358 to 219236.791, 0
221520.508, 219236.791 to 223804.225, 0
226087.941, 223804.225 to 228371.658, 1


Plate, 3
Well, 2
Count, 202
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1921.470, 0.000 to 3842.941, 3
5764.411, 3842.941 to 7685.881, 16
9607.352, 7685.881 to 11528.822, 13
13450.292, 11528.822 to 15371.762, 34
17293.233, 15371.762 to 19214.703, 23
21136.173, 19214.703 to 23057.644, 20
24979.114, 23057.644 to 26900.584, 14
28822.055, 26900.584 to 30743.525, 11
32664.995, 30743.525 to 34586.466, 11
36507.936, 34586.466 to 38429.406, 4
40350.876, 38429.406 to 42272.347, 8
44193.817, 42272.347 to 46115.287, 6
48036.758, 46115.287 to 49958.228, 8
51879.698, 49958.228 to 53801.169, 3
55722.639, 53801.169 to 57644.109, 5
59565.580, 57644.109 to 61487.050, 1
63408.520, 61487.050 to 65329.990, 1
67251.461, 65329.990 to 69172.931, 1
71094.401, 69172.931 to 73015.872, 1
74937.342, 73015.872 to 76858.812, 3
78780.283, 76858.812 to 80701.753, 3
82623.223, 80701.753 to 84544.694, 0
86466.164, 84544.694 to 88387.634, 1
90309.104, 88387.634 to 92230.575, 1
94152.045, 92230.575 to 96073.515, 0
97994.986, 96073.515 to 99916.456, 0
101837.926, 99916.456 to 103759.397, 0
105680.867, 103759.397 to 107602.337, 3
109523.808, 107602.337 to 111445.278, 0
113366.748, 111445.278 to 115288.218, 1
117209.689, 115288.218 to 119131.159, 0
121052.629, 119131.159 to 122974.100, 0
124895.570, 122974.100 to 126817.040, 0
128738.511, 126817.040 to 130659.981, 0
132581.451, 130659.981 to 134502.922, 1
136424.392, 134502.922 to 138345.862, 0
140267.333, 138345.862 to 142188.803, 1
144110.273, 142188.803 to 146031.743, 1
147953.214, 146031.743 to 149874.684, 0
151796.154, 149874.684 to 153717.625, 0
155639.095, 153717.625 to 157560.565, 1
159482.036, 157560.565 to 161403.506, 0
163324.976, 161403.506 to 165246.447, 0
167167.917, 165246.447 to 169089.387, 1
171010.857, 169089.387 to 172932.328, 0
174853.798, 172932.328 to 176775.268, 1
178696.739, 176775.268 to 180618.209, 0
182539.679, 180618.209 to 184461.150, 0
186382.620, 184461.150 to 188304.090, 0
190225.561, 188304.090 to 192147.031, 1


Plate, 3
Well, 3
Count, 209
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2570.568, 0.000 to 5141.136, 17
7711.703, 5141.136 to 10282.271, 47
12852.839, 10282.271 to 15423.407, 55
17993.975, 15423.407 to 20564.542, 29
23135.110, 20564.542 to 25705.678, 16
28276.246, 25705.678 to 30846.814, 13
33417.381, 30846.814 to 35987.949, 11
38558.517, 35987.949 to 41129.085, 2
43699.652, 41129.085 to 46270.220, 4
48840.788, 46270.220 to 51411.356, 1
53981.924, 51411.356 to 56552.491, 1
59123.059, 56552.491 to 61693.627, 0
64264.195, 61693.627 to 66834.763, 1
69405.330, 66834.763 to 71975.898, 1
74546.466, 71975.898 to 77117.034, 1
79687.602, 77117.034 to 82258.169, 2
84828.737, 82258.169 to 87399.305, 1
89969.873, 87399.305 to 92540.441, 0
95111.008, 92540.441 to 97681.576, 0
100252.144, 97681.576 to 102822.712, 0
105393.280, 102822.712 to 107963.847, 1
110534.415, 107963.847 to 113104.983, 1
115675.551, 113104.983 to 118246.118, 0
120816.686, 118246.118 to 123387.254, 0
125957.822, 123387.254 to 128528.390, 0
131098.957, 128528.390 to 133669.525, 1
136240.093, 133669.525 to 138810.661, 0
141381.229, 138810.661 to 143951.796, 0
146522.364, 143951.796 to 149092.932, 1
151663.500, 149092.932 to 154234.068, 0
156804.635, 154234.068 to 159375.203, 0
161945.771, 159375.203 to 164516.339, 1
167086.907, 164516.339 to 169657.474, 0
172228.042, 169657.474 to 174798.610, 0
177369.178, 174798.610 to 179939.745, 0
182510.313, 179939.745 to 185080.881, 1
187651.449, 185080.881 to 190222.017, 0
192792.584, 190222.017 to 195363.152, 0
197933.720, 195363.152 to 200504.288, 0
203074.856, 200504.288 to 205645.423, 0
208215.991, 205645.423 to 210786.559, 0
213357.127, 210786.559 to 215927.695, 0
218498.262, 215927.695 to 221068.830, 0
223639.398, 221068.830 to 226209.966, 0
228780.534, 226209.966 to 231351.101, 0
233921.669, 231351.101 to 236492.237, 0
239062.805, 236492.237 to 241633.373, 0
244203.940, 241633.373 to 246774.508, 0
249345.076, 246774.508 to 251915.644, 0
254486.211, 251915.644 to 257056.779, 1


Plate, 3
Well, 4
Count, 181
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1876.481, 0.000 to 3752.963, 2
5629.444, 3752.963 to 7505.926, 16
9382.407, 7505.926 to 11258.889, 20
13135.370, 11258.889 to 15011.852, 28
16888.333, 15011.852 to 18764.815, 21
20641.296, 18764.815 to 22517.778, 21
24394.259, 22517.778 to 26270.740, 13
28147.222, 26270.740 to 30023.703, 9
31900.185, 30023.703 to 33776.666, 6
35653.148, 33776.666 to 37529.629, 5
39406.111, 37529.629 to 41282.592, 3
43159.074, 41282.592 to 45035.555, 4
46912.036, 45035.555 to 48788.518, 4
50664.999, 48788.518 to 52541.481, 7
54417.962, 52541.481 to 56294.444, 3
58170.925, 56294.444 to 60047.407, 3
61923.888, 60047.407 to 63800.370, 1
65676.851, 63800.370 to 67553.333, 0
69429.814, 67553.333 to 71306.295, 1
73182.777, 71306.295 to 75059.258, 2
76935.740, 75059.258 to 78812.221, 0
80688.703, 78812.221 to 82565.184, 3
84441.666, 82565.184 to 86318.147, 0
88194.629, 86318.147 to 90071.110, 0
91947.592, 90071.110 to 93824.073, 0
95700.554, 93824.073 to 97577.036, 0
99453.517, 97577.036 to 101329.999, 2
103206.480, 101329.999 to 105082.962, 1
106959.443, 105082.962 to 108835.925, 1
110712.406, 108835.925 to 112588.888, 0
114465.369, 112588.888 to 116341.850, 0
118218.332, 116341.850 to 120094.813, 0
121971.295, 120094.813 to 123847.776, 0
125724.258, 123847.776 to 127600.739, 0
129477.221, 127600.739 to 131353.702, 0
133230.184, 131353.702 to 135106.665, 0
136983.147, 135106.665 to 138859.628, 0
140736.109, 138859.628 to 142612.591, 0
144489.072, 142612.591 to 146365.554, 0
148242.035, 146365.554 to 150118.517, 1
151994.998, 150118.517 to 153871.480, 0
155747.961, 153871.480 to 157624.443, 0
159500.924, 157624.443 to 161377.406, 0
163253.887, 161377.406 to 165130.368, 1
167006.850, 165130.368 to 168883.331, 1
170759.813, 168883.331 to 172636.294, 0
174512.776, 172636.294 to 176389.257, 0
178265.739, 176389.257 to 180142.220, 0
182018.702, 180142.220 to 183895.183, 0
185771.665, 183895.183 to 187648.146, 2


Plate, 3
Well, 5
Count, 104
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
806.595, 0.000 to 1613.191, 0
2419.786, 1613.191 to 3226.381, 2
4032.977, 3226.381 to 4839.572, 2
5646.167, 4839.572 to 6452.762, 9
7259.358, 6452.762 to 8065.953, 10
8872.548, 8065.953 to 9679.144, 6
10485.739, 9679.144 to 11292.334, 12
12098.930, 11292.334 to 12905.525, 6
13712.120, 12905.525 to 14518.715, 10
15325.311, 14518.715 to 16131.906, 4
16938.501, 16131.906 to 17745.097, 4
18551.692, 17745.097 to 19358.287, 4
20164.883, 19358.287 to 20971.478, 4
21778.073, 20971.478 to 22584.669, 3
23391.264, 22584.669 to 24197.859, 3
25004.454, 24197.859 to 25811.050, 2
26617.645, 25811.050 to 27424.240, 2
28230.836, 27424.240 to 29037.431, 2
29844.026, 29037.431 to 30650.622, 6
31457.217, 30650.622 to 32263.812, 2
33070.407, 32263.812 to 33877.003, 2
34683.598, 33877.003 to 35490.193, 2
36296.789, 35490.193 to 37103.384, 0
37909.979, 37103.384 to 38716.575, 1
39523.170, 38716.575 to 40329.765, 0
41136.361, 40329.765 to 41942.956, 0
42749.551, 41942.956 to 43556.146, 1
44362.742, 43556.146 to 45169.337, 0
45975.932, 45169.337 to 46782.528, 2
47589.123, 46782.528 to 48395.718, 0
49202.314, 48395.718 to 50008.909, 0
50815.504, 50008.909 to 51622.099, 0
52428.695, 51622.099 to 53235.290, 0
54041.885, 53235.290 to 54848.481, 0
55655.076, 54848.481 to 56461.671, 0
57268.267, 56461.671 to 58074.862, 0
58881.457, 58074.862 to 59688.053, 1
60494.648, 59688.053 to 61301.243, 0
62107.838, 61301.243 to 62914.434, 1
63721.029, 62914.434 to 64527.624, 0
65334.220, 64527.624 to 66140.815, 0
66947.410, 66140.815 to 67754.006, 0
68560.601, 67754.006 to 69367.196, 0
70173.791, 69367.196 to 70980.387, 0
71786.982, 70980.387 to 72593.577, 0
73400.173, 72593.577 to 74206.768, 0
75013.363, 74206.768 to 75819.959, 0
76626.554, 75819.959 to 77433.149, 0
78239.745, 77433.149 to 79046.340, 0
79852.935, 79046.340 to 80659.530, 1


Plate, 3
Well, 6
Count, 108
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
725.138, 0.000 to 1450.277, 0
2175.415, 1450.277 to 2900.554, 3
