Plate, 3
Well, 3
Count, 209

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
854.953, 574082.263, 0.281, 161526.654, 327208814.165, 1019.522, 24976.667, 31919.333
845.513, 561474.714, 0.326, 182819.898, 316489352.400, 1357.310, 10668.000, 19388.667
805.085, 509065.002, 0.262, 133580.422, 273227030.080, 883.946, 1270.000, 17780.000
740.583, 430762.457, 0.251, 108152.450, 212677020.933, 1023.031, 4148.667, 16002.000
676.247, 359170.173, 0.298, 106875.959, 161925108.120, 1500.297, 10922.000, 29210.000
1018.321, 814441.110, 0.316, 257056.779, 552908581.600, 1669.888, 24130.000, 33358.667
706.778, 392334.214, 0.378, 148202.303, 184862181.906, 1401.483, 27262.667, 31242.000
661.775, 343962.213, 0.191, 65540.792, 151750420.110, 1103.918, 10498.667, 30649.333
666.319, 348702.287, 0.243, 84872.771, 154898065.209, 1151.591, 30903.333, 9567.333
476.844, 178583.972, 0.253, 45154.752, 56771127.450, 871.697, 21844.000, 24722.667
597.981, 280843.679, 0.173, 48586.849, 111959456.400, 1139.074, 33274.000, 17526.000
523.062, 214880.154, 0.160, 34354.497, 74930435.844, 682.604, 30310.667, 24384.000
483.460, 183573.729, 0.192, 35256.136, 59167006.173, 1151.591, 22267.333, 22267.333
498.993, 195559.386, 0.183, 35866.025, 65055167.025, 1185.333, 27262.667, 23368.000
467.711, 171808.713, 0.174, 29875.378, 53571225.044, 616.383, 16594.667, 33697.333
500.921, 197073.657, 0.276, 54330.256, 65812238.484, 1514.563, 10244.667, 27855.333
350.632, 96559.222, 0.198, 19086.276, 22571188.861, 682.604, 29633.333, 24468.667
405.983, 129451.333, 0.250, 32408.738, 35036731.875, 2361.578, 8128.000, 5164.667
454.943, 162556.249, 0.210, 34058.877, 49302541.166, 567.961, 4402.667, 18457.333
390.860, 119986.307, 0.261, 31276.916, 31265208.466, 1197.367, 7789.333, 26246.667
388.230, 118377.201, 0.217, 25740.303, 30638387.122, 1325.243, 17780.000, 26754.667
469.333, 173002.344, 0.142, 24611.694, 54130468.079, 946.602, 22267.333, 25908.000
604.844, 287327.179, 0.144, 41378.354, 115858756.799, 1761.799, 21759.333, 5588.000
485.747, 185314.739, 0.132, 24451.452, 60010707.028, 1221.080, 28956.000, 27516.667
374.608, 110215.556, 0.179, 19678.591, 27525051.921, 1019.522, 2286.000, 17356.667
414.484, 134929.160, 0.189, 25509.199, 37284002.297, 718.420, 23368.000, 27516.667
450.316, 159266.869, 0.156, 24906.794, 47813657.091, 1388.637, 3302.000, 21844.000
367.225, 105914.134, 0.226, 23907.612, 25929532.204, 267.740, 30564.667, 28109.333
447.330, 157161.553, 0.182, 28658.444, 46868739.007, 1023.031, 5080.000, 16425.333
435.399, 148889.499, 0.121, 18013.079, 43217525.999, 915.810, 32850.667, 14816.667
376.574, 111375.729, 0.238, 26457.993, 27960803.090, 1100.667, 5503.333, 11091.333
350.300, 96376.427, 0.166, 15951.815, 22507125.610, 1019.522, 9059.333, 19473.333
544.821, 233129.679, 0.144, 33566.863, 84675963.713, 718.420, 23876.000, 28024.667
338.267, 89868.612, 0.178, 15967.461, 20266364.464, 1500.297, 15155.333, 9821.333
341.858, 91786.864, 0.229, 20979.817, 20918695.644, 1270.000, 5334.000, 14562.667
451.561, 160148.681, 0.153, 24570.801, 48211300.833, 1314.380, 11938.000, 9398.000
377.262, 111783.229, 0.159, 17769.027, 28114397.055, 661.268, 17949.333, 33189.333
350.632, 96559.222, 0.217, 20967.202, 22571188.861, 1786.045, 17864.667, 13970.000
483.460, 183573.729, 0.238, 43627.419, 59167006.173, 305.270, 5926.667, 18288.000
400.292, 125847.402, 0.211, 26522.488, 33583826.968, 1761.799, 20320.000, 6604.000
377.725, 112057.402, 0.175, 19663.671, 28217895.883, 1185.333, 27262.667, 22182.667
418.028, 137246.335, 0.165, 22581.172, 38248546.168, 1084.262, 11091.333, 3725.333
345.171, 93574.942, 0.186, 17363.851, 21532931.183, 833.870, 2116.667, 20658.667
388.230, 118377.201, 0.169, 19995.407, 30638387.122, 871.697, 31834.667, 24045.333
440.495, 152395.402, 0.133, 20317.330, 44752942.778, 1831.620, 7450.667, 9398.000
528.613, 219465.090, 0.149, 32787.021, 77341389.933, 1676.314, 12784.667, 7874.000
480.208, 181112.592, 0.114, 20663.897, 57981142.370, 1714.369, 18118.667, 29972.000
433.352, 147493.136, 0.107, 15848.324, 42610979.337, 915.810, 33358.667, 15578.667
485.977, 185490.252, 0.187, 34633.824, 60095981.998, 305.270, 6180.667, 18118.667
505.531, 200717.562, 0.129, 25822.504, 67645959.539, 833.870, 1778.000, 19896.667
449.800, 158901.754, 0.126, 20011.644, 47649334.199, 661.268, 17441.333, 33612.667
378.768, 112677.073, 0.149, 16807.097, 28452284.075, 1879.905, 33782.000, 20235.333
516.492, 209515.848, 0.124, 26010.274, 72142156.064, 677.333, 4402.667, 19134.667
422.403, 140133.783, 0.111, 15496.080, 39461906.969, 780.588, 10583.333, 31750.000
350.632, 96559.222, 0.151, 14628.484, 22571188.861, 1030.014, 26754.667, 27940.000
351.366, 96963.772, 0.146, 14132.810, 22713185.833, 1084.262, 16256.000, 12107.333
356.171, 99633.674, 0.132, 13134.533, 23657726.974, 1864.590, 25908.000, 14732.000
484.643, 184473.376, 0.143, 26403.312, 59602482.036, 567.961, 4910.667, 18203.333
422.828, 140416.032, 0.124, 17436.291, 39581189.581, 1151.591, 22944.667, 23198.667
343.638, 92745.126, 0.192, 17778.900, 21247138.196, 1100.667, 19812.000, 32258.000
356.171, 99633.674, 0.150, 14936.945, 23657726.974, 803.219, 10329.333, 22690.667
340.078, 90833.579, 0.183, 16610.433, 20593655.406, 1030.014, 8636.000, 21336.000
432.356, 146816.108, 0.152, 22342.709, 42317924.790, 990.998, 10583.333, 18034.000
405.983, 129451.333, 0.153, 19832.227, 35036731.875, 2541.411, 13462.000, 20404.667
512.009, 205894.640, 0.133, 27341.410, 70279936.654, 2141.916, 1524.000, 14478.000
341.858, 91786.864, 0.161, 14737.093, 20918695.644, 1019.522, 16002.000, 4402.667
332.923, 87051.879, 0.159, 13834.076, 19321063.439, 1628.596, 25738.667, 11260.667
332.923, 87051.879, 0.149, 12938.793, 19321063.439, 1033.488, 3556.000, 15155.333
442.175, 153559.866, 0.168, 25873.928, 45266861.681, 1100.667, 2286.000, 24214.667
497.659, 194515.235, 0.109, 21188.062, 64534839.232, 677.333, 18711.333, 32258.000
386.700, 117445.928, 0.106, 12401.942, 30277551.057, 935.174, 32088.667, 17272.000
309.101, 75039.608, 0.141, 10575.803, 15463209.266, 2358.540, 13292.667, 31072.667
347.135, 94642.567, 0.141, 13391.700, 21902493.848, 1441.821, 29125.333, 20404.667
300.225, 70791.799, 0.142, 10072.588, 14168968.232, 900.019, 27178.000, 6350.000
635.266, 316957.153, 0.116, 36915.512, 134234650.434, 780.588, 9821.333, 31580.667
352.705, 97703.939, 0.137, 13409.831, 22973751.110, 2408.168, 13377.333, 22944.667
410.971, 132651.672, 0.135, 17880.318, 36344014.284, 780.588, 5757.333, 19981.333
341.858, 91786.864, 0.197, 18059.726, 20918695.644, 911.888, 3979.333, 25908.000
361.008, 102358.659, 0.112, 11426.632, 24634893.000, 871.697, 29210.000, 25230.667
812.517, 518506.660, 0.144, 74779.509, 280863503.138, 267.740, 30649.333, 28363.333
340.078, 90833.579, 0.129, 11696.392, 20593655.406, 423.333, 27686.000, 27178.000
347.902, 95061.227, 0.134, 12741.584, 22047985.822, 723.392, 6434.667, 7874.000
365.538, 104943.596, 0.138, 14448.792, 25573944.054, 2358.540, 9398.000, 7535.333
499.007, 195570.285, 0.122, 23803.503, 65060605.685, 728.330, 6858.000, 29548.667
374.584, 110201.488, 0.129, 14169.963, 27519782.049, 990.998, 11514.667, 17695.333
354.749, 98839.682, 0.127, 12558.152, 23375494.691, 723.392, 6688.667, 7196.667
334.377, 87813.667, 0.134, 11736.713, 19575234.475, 567.961, 3894.667, 23960.667
405.473, 129125.789, 0.110, 14165.041, 34904649.428, 1357.310, 23368.000, 3132.667
337.500, 89461.560, 0.130, 11666.395, 20128828.472, 803.219, 28024.667, 7450.667
340.078, 90833.579, 0.135, 12256.253, 20593655.406, 780.588, 5588.000, 20743.333
365.538, 104943.596, 0.126, 13209.332, 25573944.054, 535.479, 15917.333, 33528.000
537.657, 227039.011, 0.098, 22249.704, 81379408.625, 766.689, 27516.667, 5418.667
341.858, 91786.864, 0.128, 11729.129, 20918695.644, 682.604, 18118.667, 31919.333
345.171, 93574.942, 0.137, 12853.540, 21532931.183, 1070.958, 12446.000, 33274.000
347.902, 95061.227, 0.134, 12741.580, 22047985.822, 1325.243, 6265.333, 15832.667
695.253, 379642.656, 0.088, 33589.585, 175965004.567, 965.349, 31411.333, 8382.000
300.229, 70793.989, 0.122, 8618.006, 14169625.688, 1456.660, 19812.000, 20828.000
343.638, 92745.126, 0.149, 13848.598, 21247138.196, 1365.209, 15070.667, 17356.667
458.779, 165308.940, 0.106, 17568.015, 50560144.971, 1357.310, 24722.667, 3217.333
350.632, 96559.222, 0.143, 13787.284, 22571188.861, 1439.333, 21674.667, 32004.000
329.198, 85114.456, 0.122, 10370.426, 18679652.555, 1151.591, 29972.000, 23283.333
356.550, 99846.042, 0.125, 12449.705, 23733406.795, 610.540, 8382.000, 29548.667
841.913, 556703.813, 0.140, 78053.210, 312464076.475, 1693.333, 18457.333, 846.667
426.209, 142671.012, 0.130, 18479.331, 40538475.755, 1281.239, 7366.000, 21166.667
766.773, 461767.576, 0.174, 80374.345, 236047254.280, 798.744, 3217.333, 26500.667
351.366, 96963.772, 0.115, 11194.648, 22713185.833, 1019.522, 25992.667, 31834.667
387.364, 117849.551, 0.097, 11483.566, 30433766.252, 423.333, 27940.000, 26839.333
329.198, 85114.456, 0.119, 10159.323, 18679652.555, 1737.215, 23706.667, 30734.000
367.006, 105787.808, 0.130, 13789.885, 25883155.799, 567.961, 3386.667, 24214.667
436.338, 149532.884, 0.100, 14922.853, 43497957.571, 349.090, 26585.333, 28956.000
332.923, 87051.879, 0.109, 9498.059, 19321063.439, 1103.918, 22352.000, 29464.000
341.858, 91786.864, 0.129, 11879.270, 20918695.644, 1695.449, 17949.333, 3725.333
392.500, 120995.437, 0.105, 12650.772, 31660464.974, 728.330, 31665.333, 25230.667
341.858, 91786.864, 0.112, 10258.021, 20918695.644, 803.219, 9567.333, 22944.667
319.694, 80271.163, 0.122, 9763.081, 17108153.396, 610.540, 7874.000, 29210.000
388.230, 118377.201, 0.102, 12070.157, 30638387.122, 349.090, 26246.667, 29040.667
536.879, 226382.842, 0.153, 34718.928, 81026870.014, 798.744, 2794.000, 25823.333
473.874, 176366.061, 0.097, 17152.545, 55716820.175, 1023.031, 8466.667, 20320.000
