Plate, 1
Well, 5
Count, 155

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
846.817, 563207.826, 0.185, 103926.736, 317955851.454, 846.667, 29972.000, 26416.000
670.534, 353127.315, 0.199, 70372.791, 157855882.047, 798.744, 18711.333, 32596.667
800.938, 503834.269, 0.167, 84305.592, 269026681.813, 515.007, 9228.667, 29718.000
595.272, 278304.793, 0.203, 56397.463, 110444687.110, 911.888, 9313.333, 28786.667
734.935, 424217.131, 0.232, 98295.172, 207848121.648, 1478.640, 7281.333, 10583.333
514.167, 207633.572, 0.169, 35112.532, 71172162.987, 1139.074, 29464.000, 24214.667
540.895, 229782.293, 0.189, 43361.168, 82858799.678, 1554.273, 31157.333, 18796.000
672.546, 355250.101, 0.203, 72231.549, 159281418.428, 661.268, 26839.333, 30226.000
639.603, 321300.199, 0.173, 55626.043, 137003067.711, 1250.088, 4656.667, 16171.333
747.729, 439115.085, 0.193, 84733.716, 218892729.092, 798.744, 19388.667, 33020.000
728.449, 416762.008, 0.139, 58012.609, 202393231.115, 1019.522, 7027.333, 21251.333
502.335, 198187.781, 0.221, 43817.828, 66371115.012, 2424.484, 5164.667, 26416.000
503.555, 199151.943, 0.145, 28811.231, 66856036.063, 728.330, 22098.000, 32596.667
525.610, 216978.332, 0.203, 44004.968, 76030588.065, 661.268, 7535.333, 26924.000
890.112, 622270.657, 0.161, 100491.718, 369260441.054, 598.684, 23114.000, 4995.333
655.195, 337156.577, 0.171, 57760.504, 147268971.948, 1113.616, 31834.667, 22690.667
643.955, 325687.011, 0.160, 51971.072, 139818441.810, 766.689, 8466.667, 28448.000
607.147, 289518.962, 0.141, 40684.316, 117186968.789, 2540.000, 17780.000, 18542.000
512.161, 206016.621, 0.192, 39516.875, 70342401.482, 661.268, 7958.667, 26416.000
670.009, 352575.087, 0.163, 57437.962, 157485739.240, 1197.367, 29379.333, 10160.000
235.444, 43537.576, 0.258, 11218.040, 6833767.028, 1533.379, 8212.667, 17356.667
499.007, 195570.285, 0.141, 27550.160, 65060605.685, 598.684, 31072.667, 25823.333
382.054, 114640.874, 0.167, 19155.406, 29199339.825, 1439.333, 24553.333, 4148.667
536.922, 226418.638, 0.152, 34311.917, 81046088.712, 616.383, 15409.333, 3979.333
889.695, 621687.849, 0.138, 85835.687, 368741797.851, 515.007, 9736.667, 29802.667
469.152, 172868.876, 0.213, 36866.906, 54067838.850, 723.392, 25400.000, 33020.000
521.390, 213508.354, 0.131, 28067.658, 74214045.901, 598.684, 29040.667, 5926.667
