Plate, 2
Well, 1
Count, 70
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
6255.579, 0.000 to 12511.159, 0
18766.738, 12511.159 to 25022.317, 0
31277.897, 25022.317 to 37533.476, 6
43789.055, 37533.476 to 50044.635, 8
56300.214, 50044.635 to 62555.793, 5
68811.373, 62555.793 to 75066.952, 2
81322.531, 75066.952 to 87578.111, 7
93833.690, 87578.111 to 100089.269, 3
106344.849, 100089.269 to 112600.428, 4
118856.007, 112600.428 to 125111.587, 5
131367.166, 125111.587 to 137622.745, 2
143878.324, 137622.745 to 150133.904, 3
156389.483, 150133.904 to 162645.062, 5
168900.642, 162645.062 to 175156.221, 4
181411.800, 175156.221 to 187667.380, 2
193922.959, 187667.380 to 200178.538, 1
206434.118, 200178.538 to 212689.697, 1
218945.276, 212689.697 to 225200.856, 0
231456.435, 225200.856 to 237712.014, 3
243967.594, 237712.014 to 250223.173, 1
256478.752, 250223.173 to 262734.332, 1
268989.911, 262734.332 to 275245.490, 0
281501.070, 275245.490 to 287756.649, 1
294012.228, 287756.649 to 300267.808, 0
306523.387, 300267.808 to 312778.966, 0
319034.546, 312778.966 to 325290.125, 0
331545.704, 325290.125 to 337801.284, 1
344056.863, 337801.284 to 350312.442, 1
356568.022, 350312.442 to 362823.601, 0
369079.180, 362823.601 to 375334.760, 0
381590.339, 375334.760 to 387845.918, 0
394101.498, 387845.918 to 400357.077, 1
406612.656, 400357.077 to 412868.235, 0
419123.815, 412868.235 to 425379.394, 1
431634.973, 425379.394 to 437890.553, 1
444146.132, 437890.553 to 450401.711, 0
456657.291, 450401.711 to 462912.870, 0
469168.449, 462912.870 to 475424.029, 0
481679.608, 475424.029 to 487935.187, 0
494190.767, 487935.187 to 500446.346, 0
506701.925, 500446.346 to 512957.505, 0
519213.084, 512957.505 to 525468.663, 0
531724.243, 525468.663 to 537979.822, 0
544235.401, 537979.822 to 550490.981, 0
556746.560, 550490.981 to 563002.139, 0
569257.719, 563002.139 to 575513.298, 0
581768.877, 575513.298 to 588024.457, 0
594280.036, 588024.457 to 600535.615, 0
606791.195, 600535.615 to 613046.774, 0
619302.353, 613046.774 to 625557.933, 1


Plate, 2
Well, 2
Count, 45
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
3837.414, 0.000 to 7674.828, 0
11512.242, 7674.828 to 15349.656, 0
19187.070, 15349.656 to 23024.484, 0
26861.898, 23024.484 to 30699.312, 0
34536.725, 30699.312 to 38374.139, 3
42211.553, 38374.139 to 46048.967, 5
49886.381, 46048.967 to 53723.795, 3
57561.209, 53723.795 to 61398.623, 1
65236.037, 61398.623 to 69073.451, 1
72910.865, 69073.451 to 76748.279, 1
80585.693, 76748.279 to 84423.107, 3
88260.521, 84423.107 to 92097.935, 2
95935.348, 92097.935 to 99772.762, 1
103610.176, 99772.762 to 107447.590, 3
111285.004, 107447.590 to 115122.418, 4
118959.832, 115122.418 to 122797.246, 3
126634.660, 122797.246 to 130472.074, 0
134309.488, 130472.074 to 138146.902, 3
141984.316, 138146.902 to 145821.730, 1
149659.144, 145821.730 to 153496.558, 1
157333.972, 153496.558 to 161171.385, 1
165008.799, 161171.385 to 168846.213, 1
172683.627, 168846.213 to 176521.041, 1
180358.455, 176521.041 to 184195.869, 0
188033.283, 184195.869 to 191870.697, 2
195708.111, 191870.697 to 199545.525, 0
203382.939, 199545.525 to 207220.353, 0
211057.767, 207220.353 to 214895.181, 0
218732.595, 214895.181 to 222570.008, 0
226407.422, 222570.008 to 230244.836, 0
234082.250, 230244.836 to 237919.664, 0
241757.078, 237919.664 to 245594.492, 0
249431.906, 245594.492 to 253269.320, 1
257106.734, 253269.320 to 260944.148, 0
264781.562, 260944.148 to 268618.976, 0
272456.390, 268618.976 to 276293.804, 1
280131.218, 276293.804 to 283968.632, 1
287806.045, 283968.632 to 291643.459, 0
295480.873, 291643.459 to 299318.287, 0
303155.701, 299318.287 to 306993.115, 0
310830.529, 306993.115 to 314667.943, 0
318505.357, 314667.943 to 322342.771, 0
326180.185, 322342.771 to 330017.599, 0
333855.013, 330017.599 to 337692.427, 0
341529.841, 337692.427 to 345367.255, 0
349204.668, 345367.255 to 353042.082, 0
356879.496, 353042.082 to 360716.910, 1
364554.324, 360716.910 to 368391.738, 0
372229.152, 368391.738 to 376066.566, 0
379903.980, 376066.566 to 383741.394, 1


Plate, 2
Well, 3
Count, 15
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
5887.242, 0.000 to 11774.483, 0
17661.725, 11774.483 to 23548.967, 0
29436.208, 23548.967 to 35323.450, 0
41210.692, 35323.450 to 47097.933, 7
52985.175, 47097.933 to 58872.416, 0
64759.658, 58872.416 to 70646.900, 1
76534.141, 70646.900 to 82421.383, 0
88308.625, 82421.383 to 94195.866, 0
100083.108, 94195.866 to 105970.350, 2
111857.591, 105970.350 to 117744.833, 0
123632.075, 117744.833 to 129519.316, 1
135406.558, 129519.316 to 141293.799, 1
147181.041, 141293.799 to 153068.283, 0
158955.524, 153068.283 to 164842.766, 1
170730.008, 164842.766 to 176617.249, 0
182504.491, 176617.249 to 188391.733, 0
194278.974, 188391.733 to 200166.216, 0
206053.458, 200166.216 to 211940.699, 0
217827.941, 211940.699 to 223715.182, 0
229602.424, 223715.182 to 235489.666, 0
241376.907, 235489.666 to 247264.149, 0
253151.391, 247264.149 to 259038.632, 0
264925.874, 259038.632 to 270813.116, 0
276700.357, 270813.116 to 282587.599, 0
288474.841, 282587.599 to 294362.082, 0
300249.324, 294362.082 to 306136.565, 0
312023.807, 306136.565 to 317911.049, 0
323798.290, 317911.049 to 329685.532, 0
335572.774, 329685.532 to 341460.015, 0
347347.257, 341460.015 to 353234.499, 0
359121.740, 353234.499 to 365008.982, 0
