Plate, 2
Well, 1
Count, 70
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1047.195, 0.000 to 2094.391, 0
3141.586, 2094.391 to 4188.782, 8
5235.977, 4188.782 to 6283.173, 10
7330.368, 6283.173 to 8377.564, 4
9424.759, 8377.564 to 10471.955, 7
11519.150, 10471.955 to 12566.346, 4
13613.541, 12566.346 to 14660.737, 8
15707.932, 14660.737 to 16755.128, 3
17802.323, 16755.128 to 18849.518, 3
19896.714, 18849.518 to 20943.909, 5
21991.105, 20943.909 to 23038.300, 3
24085.496, 23038.300 to 25132.691, 1
26179.887, 25132.691 to 27227.082, 4
28274.278, 27227.082 to 29321.473, 1
30368.669, 29321.473 to 31415.864, 0
32463.060, 31415.864 to 33510.255, 2
34557.451, 33510.255 to 35604.646, 0
36651.841, 35604.646 to 37699.037, 0
38746.232, 37699.037 to 39793.428, 1
40840.623, 39793.428 to 41887.819, 1
42935.014, 41887.819 to 43982.210, 0
45029.405, 43982.210 to 46076.601, 0
47123.796, 46076.601 to 48170.992, 0
49218.187, 48170.992 to 50265.383, 0
51312.578, 50265.383 to 52359.774, 1
53406.969, 52359.774 to 54454.165, 0
55501.360, 54454.165 to 56548.555, 1
57595.751, 56548.555 to 58642.946, 0
59690.142, 58642.946 to 60737.337, 0
61784.533, 60737.337 to 62831.728, 0
63878.924, 62831.728 to 64926.119, 0
65973.315, 64926.119 to 67020.510, 0
68067.706, 67020.510 to 69114.901, 0
70162.097, 69114.901 to 71209.292, 0
72256.488, 71209.292 to 73303.683, 1
74350.878, 73303.683 to 75398.074, 0
76445.269, 75398.074 to 77492.465, 0
78539.660, 77492.465 to 79586.856, 0
80634.051, 79586.856 to 81681.247, 0
82728.442, 81681.247 to 83775.638, 0
84822.833, 83775.638 to 85870.029, 1
86917.224, 85870.029 to 87964.420, 0
89011.615, 87964.420 to 90058.811, 0
91106.006, 90058.811 to 92153.201, 0
93200.397, 92153.201 to 94247.592, 0
95294.788, 94247.592 to 96341.983, 0
97389.179, 96341.983 to 98436.374, 0
99483.570, 98436.374 to 100530.765, 0
101577.961, 100530.765 to 102625.156, 0
103672.352, 102625.156 to 104719.547, 1


Plate, 2
Well, 2
Count, 45
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
698.768, 0.000 to 1397.536, 0
2096.304, 1397.536 to 2795.072, 0
3493.840, 2795.072 to 4192.608, 2
4891.376, 4192.608 to 5590.144, 7
6288.912, 5590.144 to 6987.680, 4
7686.448, 6987.680 to 8385.217, 1
9083.985, 8385.217 to 9782.753, 2
10481.521, 9782.753 to 11180.289, 4
11879.057, 11180.289 to 12577.825, 3
13276.593, 12577.825 to 13975.361, 4
14674.129, 13975.361 to 15372.897, 4
16071.665, 15372.897 to 16770.433, 2
17469.201, 16770.433 to 18167.969, 2
18866.737, 18167.969 to 19565.505, 0
20264.273, 19565.505 to 20963.041, 1
21661.809, 20963.041 to 22360.577, 3
23059.345, 22360.577 to 23758.114, 0
24456.882, 23758.114 to 25155.650, 0
25854.418, 25155.650 to 26553.186, 1
27251.954, 26553.186 to 27950.722, 0
28649.490, 27950.722 to 29348.258, 0
30047.026, 29348.258 to 30745.794, 1
31444.562, 30745.794 to 32143.330, 0
32842.098, 32143.330 to 33540.866, 1
34239.634, 33540.866 to 34938.402, 0
35637.170, 34938.402 to 36335.938, 0
37034.706, 36335.938 to 37733.474, 0
38432.242, 37733.474 to 39131.011, 1
39829.779, 39131.011 to 40528.547, 1
41227.315, 40528.547 to 41926.083, 0
42624.851, 41926.083 to 43323.619, 0
44022.387, 43323.619 to 44721.155, 0
45419.923, 44721.155 to 46118.691, 0
46817.459, 46118.691 to 47516.227, 0
48214.995, 47516.227 to 48913.763, 0
49612.531, 48913.763 to 50311.299, 0
51010.067, 50311.299 to 51708.835, 0
52407.603, 51708.835 to 53106.371, 0
53805.139, 53106.371 to 54503.907, 0
55202.676, 54503.907 to 55901.444, 0
56600.212, 55901.444 to 57298.980, 0
57997.748, 57298.980 to 58696.516, 0
59395.284, 58696.516 to 60094.052, 0
60792.820, 60094.052 to 61491.588, 0
62190.356, 61491.588 to 62889.124, 0
63587.892, 62889.124 to 64286.660, 0
64985.428, 64286.660 to 65684.196, 0
66382.964, 65684.196 to 67081.732, 0
67780.500, 67081.732 to 68479.268, 0
69178.036, 68479.268 to 69876.804, 1


Plate, 2
Well, 3
Count, 15
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1271.892, 0.000 to 2543.784, 0
3815.676, 2543.784 to 5087.568, 5
6359.459, 5087.568 to 7631.351, 1
8903.243, 7631.351 to 10175.135, 1
11447.027, 10175.135 to 12718.919, 3
13990.811, 12718.919 to 15262.703, 1
16534.595, 15262.703 to 17806.487, 0
19078.378, 17806.487 to 20350.270, 0
21622.162, 20350.270 to 22894.054, 0
24165.946, 22894.054 to 25437.838, 1
26709.730, 25437.838 to 27981.622, 0
29253.514, 27981.622 to 30525.406, 0
31797.297, 30525.406 to 33069.189, 0
34341.081, 33069.189 to 35612.973, 0
36884.865, 35612.973 to 38156.757, 0
39428.649, 38156.757 to 40700.541, 1
41972.433, 40700.541 to 43244.325, 0
44516.216, 43244.325 to 45788.108, 0
47060.000, 45788.108 to 48331.892, 0
49603.784, 48331.892 to 50875.676, 0
52147.568, 50875.676 to 53419.460, 0
54691.352, 53419.460 to 55963.243, 0
57235.135, 55963.243 to 58507.027, 0
59778.919, 58507.027 to 61050.811, 1
62322.703, 61050.811 to 63594.595, 0
64866.487, 63594.595 to 66138.379, 0
67410.271, 66138.379 to 68682.162, 0
69954.054, 68682.162 to 71225.946, 0
72497.838, 71225.946 to 73769.730, 0
75041.622, 73769.730 to 76313.514, 0
77585.406, 76313.514 to 78857.298, 0
80129.190, 78857.298 to 81401.081, 0
82672.973, 81401.081 to 83944.865, 0
85216.757, 83944.865 to 86488.649, 0
87760.541, 86488.649 to 89032.433, 0
90304.325, 89032.433 to 91576.217, 0
92848.108, 91576.217 to 94120.000, 0
95391.892, 94120.000 to 96663.784, 0
97935.676, 96663.784 to 99207.568, 0
100479.460, 99207.568 to 101751.352, 0
103023.244, 101751.352 to 104295.136, 0
105567.027, 104295.136 to 106838.919, 0
108110.811, 106838.919 to 109382.703, 0
110654.595, 109382.703 to 111926.487, 0
113198.379, 111926.487 to 114470.271, 0
115742.163, 114470.271 to 117014.055, 0
118285.946, 117014.055 to 119557.838, 0
120829.730, 119557.838 to 122101.622, 0
123373.514, 122101.622 to 124645.406, 0
125917.298, 124645.406 to 127189.190, 1


Plate, 2
Well, 4
Count, 6
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1510.770, 0.000 to 3021.540, 0
4532.310, 3021.540 to 6043.080, 1
7553.850, 6043.080 to 9064.619, 1
10575.389, 9064.619 to 12086.159, 0
13596.929, 12086.159 to 15107.699, 0
16618.469, 15107.699 to 18129.239, 0
19640.009, 18129.239 to 21150.779, 0
22661.549, 21150.779 to 24172.318, 0
25683.088, 24172.318 to 27193.858, 1
28704.628, 27193.858 to 30215.398, 0
31726.168, 30215.398 to 33236.938, 0
34747.708, 33236.938 to 36258.478, 0
37769.248, 36258.478 to 39280.017, 0
40790.787, 39280.017 to 42301.557, 0
43812.327, 42301.557 to 45323.097, 0
46833.867, 45323.097 to 48344.637, 1
49855.407, 48344.637 to 51366.177, 0
52876.947, 51366.177 to 54387.716, 0
55898.486, 54387.716 to 57409.256, 0
58920.026, 57409.256 to 60430.796, 0
61941.566, 60430.796 to 63452.336, 0
64963.106, 63452.336 to 66473.876, 0
67984.646, 66473.876 to 69495.415, 0
71006.185, 69495.415 to 72516.955, 0
74027.725, 72516.955 to 75538.495, 0
77049.265, 75538.495 to 78560.035, 0
80070.805, 78560.035 to 81581.575, 0
83092.345, 81581.575 to 84603.114, 0
86113.884, 84603.114 to 87624.654, 0
89135.424, 87624.654 to 90646.194, 0
92156.964, 90646.194 to 93667.734, 0
95178.504, 93667.734 to 96689.274, 0
98200.044, 96689.274 to 99710.813, 0
101221.583, 99710.813 to 102732.353, 0
104243.123, 102732.353 to 105753.893, 0
107264.663, 105753.893 to 108775.433, 0
110286.203, 108775.433 to 111796.973, 0
113307.743, 111796.973 to 114818.512, 0
116329.282, 114818.512 to 117840.052, 0
119350.822, 117840.052 to 120861.592, 0
122372.362, 120861.592 to 123883.132, 0
125393.902, 123883.132 to 126904.672, 0
128415.442, 126904.672 to 129926.211, 0
131436.981, 129926.211 to 132947.751, 1
134458.521, 132947.751 to 135969.291, 0
137480.061, 135969.291 to 138990.831, 0
140501.601, 138990.831 to 142012.371, 0
143523.141, 142012.371 to 145033.910, 0
146544.680, 145033.910 to 148055.450, 0
149566.220, 148055.450 to 151076.990, 1


Plate, 2
Well, 5
Count, 8
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
436.461, 0.000 to 872.921, 0
1309.382, 872.921 to 1745.842, 0
2182.303, 1745.842 to 2618.764, 0
3055.224, 2618.764 to 3491.685, 0
3928.146, 3491.685 to 4364.606, 1
4801.067, 4364.606 to 5237.527, 0
5673.988, 5237.527 to 6110.449, 0
6546.909, 6110.449 to 6983.370, 0
7419.831, 6983.370 to 7856.291, 0
8292.752, 7856.291 to 8729.212, 0
9165.673, 8729.212 to 9602.134, 0
10038.594, 9602.134 to 10475.055, 0
10911.516, 10475.055 to 11347.976, 0
11784.437, 11347.976 to 12220.897, 0
12657.358, 12220.897 to 13093.819, 0
13530.279, 13093.819 to 13966.740, 0
14403.201, 13966.740 to 14839.661, 0
15276.122, 14839.661 to 15712.582, 2
16149.043, 15712.582 to 16585.504, 0
17021.964, 16585.504 to 17458.425, 0
17894.886, 17458.425 to 18331.346, 0
18767.807, 18331.346 to 19204.267, 0
19640.728, 19204.267 to 20077.189, 1
20513.649, 20077.189 to 20950.110, 0
21386.570, 20950.110 to 21823.031, 0
22259.492, 21823.031 to 22695.952, 1
23132.413, 22695.952 to 23568.874, 0
24005.334, 23568.874 to 24441.795, 1
24878.255, 24441.795 to 25314.716, 0
25751.177, 25314.716 to 26187.637, 0
26624.098, 26187.637 to 27060.559, 0
27497.019, 27060.559 to 27933.480, 0
28369.940, 27933.480 to 28806.401, 0
29242.862, 28806.401 to 29679.322, 0
30115.783, 29679.322 to 30552.244, 0
30988.704, 30552.244 to 31425.165, 0
31861.625, 31425.165 to 32298.086, 0
32734.547, 32298.086 to 33171.007, 0
33607.468, 33171.007 to 34043.929, 0
34480.389, 34043.929 to 34916.850, 0
35353.310, 34916.850 to 35789.771, 1
36226.232, 35789.771 to 36662.692, 0
37099.153, 36662.692 to 37535.613, 0
37972.074, 37535.613 to 38408.535, 0
38844.995, 38408.535 to 39281.456, 0
39717.917, 39281.456 to 40154.377, 0
40590.838, 40154.377 to 41027.298, 0
41463.759, 41027.298 to 41900.220, 0
42336.680, 41900.220 to 42773.141, 0
43209.602, 42773.141 to 43646.062, 1


Plate, 2
Well, 6
Count, 190
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1309.553, 0.000 to 2619.106, 0
3928.659, 2619.106 to 5238.212, 9
6547.765, 5238.212 to 7857.318, 11
9166.871, 7857.318 to 10476.424, 13
11785.977, 10476.424 to 13095.529, 12
14405.082, 13095.529 to 15714.635, 12
17024.188, 15714.635 to 18333.741, 15
19643.294, 18333.741 to 20952.847, 12
22262.400, 20952.847 to 23571.953, 14
24881.506, 23571.953 to 26191.059, 10
27500.612, 26191.059 to 28810.165, 9
30119.718, 28810.165 to 31429.271, 8
32738.824, 31429.271 to 34048.377, 11
35357.930, 34048.377 to 36667.482, 10
37977.035, 36667.482 to 39286.588, 7
40596.141, 39286.588 to 41905.694, 6
43215.247, 41905.694 to 44524.800, 4
45834.353, 44524.800 to 47143.906, 3
48453.459, 47143.906 to 49763.012, 1
51072.565, 49763.012 to 52382.118, 4
53691.671, 52382.118 to 55001.224, 0
56310.777, 55001.224 to 57620.330, 4
58929.883, 57620.330 to 60239.435, 0
61548.988, 60239.435 to 62858.541, 2
64168.094, 62858.541 to 65477.647, 0
66787.200, 65477.647 to 68096.753, 0
69406.306, 68096.753 to 70715.859, 3
72025.412, 70715.859 to 73334.965, 1
74644.518, 73334.965 to 75954.071, 0
77263.624, 75954.071 to 78573.177, 0
79882.730, 78573.177 to 81192.283, 2
82501.836, 81192.283 to 83811.388, 1
85120.941, 83811.388 to 86430.494, 0
87740.047, 86430.494 to 89049.600, 0
90359.153, 89049.600 to 91668.706, 1
92978.259, 91668.706 to 94287.812, 1
95597.365, 94287.812 to 96906.918, 0
98216.471, 96906.918 to 99526.024, 1
