Plate, 3
Well, 1
Count, 212
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
51.695, 0.000 to 103.390, 0
155.086, 103.390 to 206.781, 0
258.476, 206.781 to 310.171, 0
361.867, 310.171 to 413.562, 2
465.257, 413.562 to 516.952, 19
568.647, 516.952 to 620.343, 21
672.038, 620.343 to 723.733, 17
775.428, 723.733 to 827.124, 25
878.819, 827.124 to 930.514, 20
982.209, 930.514 to 1033.904, 26
1085.600, 1033.904 to 1137.295, 16
1188.990, 1137.295 to 1240.685, 22
1292.381, 1240.685 to 1344.076, 4
1395.771, 1344.076 to 1447.466, 6
1499.161, 1447.466 to 1550.857, 6
1602.552, 1550.857 to 1654.247, 2
1705.942, 1654.247 to 1757.638, 2
1809.333, 1757.638 to 1861.028, 4
1912.723, 1861.028 to 1964.418, 2
2016.114, 1964.418 to 2067.809, 5
2119.504, 2067.809 to 2171.199, 1
2222.895, 2171.199 to 2274.590, 2
2326.285, 2274.590 to 2377.980, 0
2429.675, 2377.980 to 2481.371, 0
2533.066, 2481.371 to 2584.761, 0
2636.456, 2584.761 to 2688.152, 0
2739.847, 2688.152 to 2791.542, 0
2843.237, 2791.542 to 2894.932, 2
2946.628, 2894.932 to 2998.323, 2
3050.018, 2998.323 to 3101.713, 0
3153.409, 3101.713 to 3205.104, 0
3256.799, 3205.104 to 3308.494, 0
3360.189, 3308.494 to 3411.885, 2
3463.580, 3411.885 to 3515.275, 1
3566.970, 3515.275 to 3618.666, 0
3670.361, 3618.666 to 3722.056, 0
3773.751, 3722.056 to 3825.447, 0
3877.142, 3825.447 to 3928.837, 0
3980.532, 3928.837 to 4032.227, 2
4083.923, 4032.227 to 4135.618, 0
4187.313, 4135.618 to 4239.008, 0
4290.704, 4239.008 to 4342.399, 0
4394.094, 4342.399 to 4445.789, 0
4497.484, 4445.789 to 4549.180, 0
4600.875, 4549.180 to 4652.570, 0
4704.265, 4652.570 to 4755.961, 0
4807.656, 4755.961 to 4859.351, 0
4911.046, 4859.351 to 4962.741, 0
5014.437, 4962.741 to 5066.132, 0
5117.827, 5066.132 to 5169.522, 1


Plate, 3
Well, 2
Count, 117
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
45.594, 0.000 to 91.189, 0
136.783, 91.189 to 182.378, 0
227.972, 182.378 to 273.566, 0
319.161, 273.566 to 364.755, 2
410.350, 364.755 to 455.944, 2
501.538, 455.944 to 547.133, 2
592.727, 547.133 to 638.322, 2
683.916, 638.322 to 729.510, 9
775.105, 729.510 to 820.699, 14
866.294, 820.699 to 911.888, 4
957.482, 911.888 to 1003.077, 3
1048.671, 1003.077 to 1094.265, 9
1139.860, 1094.265 to 1185.454, 11
1231.049, 1185.454 to 1276.643, 8
1322.237, 1276.643 to 1367.832, 9
1413.426, 1367.832 to 1459.021, 2
1504.615, 1459.021 to 1550.209, 2
1595.804, 1550.209 to 1641.398, 0
1686.993, 1641.398 to 1732.587, 4
1778.181, 1732.587 to 1823.776, 8
1869.370, 1823.776 to 1914.965, 4
1960.559, 1914.965 to 2006.153, 7
2051.748, 2006.153 to 2097.342, 0
2142.937, 2097.342 to 2188.531, 2
2234.125, 2188.531 to 2279.720, 3
2325.314, 2279.720 to 2370.909, 0
2416.503, 2370.909 to 2462.097, 0
2507.692, 2462.097 to 2553.286, 0
2598.881, 2553.286 to 2644.475, 3
2690.069, 2644.475 to 2735.664, 0
2781.258, 2735.664 to 2826.853, 1
2872.447, 2826.853 to 2918.041, 0
2963.636, 2918.041 to 3009.230, 0
3054.824, 3009.230 to 3100.419, 0
3146.013, 3100.419 to 3191.608, 0
3237.202, 3191.608 to 3282.796, 1
3328.391, 3282.796 to 3373.985, 0
3419.580, 3373.985 to 3465.174, 0
3510.768, 3465.174 to 3556.363, 0
3601.957, 3556.363 to 3647.552, 0
3693.146, 3647.552 to 3738.740, 0
3784.335, 3738.740 to 3829.929, 0
3875.524, 3829.929 to 3921.118, 2
3966.712, 3921.118 to 4012.307, 0
4057.901, 4012.307 to 4103.496, 0
4149.090, 4103.496 to 4194.684, 0
4240.279, 4194.684 to 4285.873, 1
4331.468, 4285.873 to 4377.062, 0
4422.656, 4377.062 to 4468.251, 0
4513.845, 4468.251 to 4559.440, 2


Plate, 3
Well, 3
Count, 98
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
66.262, 0.000 to 132.524, 0
198.786, 132.524 to 265.049, 0
331.311, 265.049 to 397.573, 0
463.835, 397.573 to 530.097, 3
596.359, 530.097 to 662.621, 12
728.884, 662.621 to 795.146, 13
861.408, 795.146 to 927.670, 9
993.932, 927.670 to 1060.194, 9
1126.457, 1060.194 to 1192.719, 9
1258.981, 1192.719 to 1325.243, 13
1391.505, 1325.243 to 1457.767, 6
1524.029, 1457.767 to 1590.292, 4
1656.554, 1590.292 to 1722.816, 0
1789.078, 1722.816 to 1855.340, 1
1921.602, 1855.340 to 1987.864, 2
2054.127, 1987.864 to 2120.389, 7
2186.651, 2120.389 to 2252.913, 1
2319.175, 2252.913 to 2385.437, 2
2451.699, 2385.437 to 2517.962, 1
2584.224, 2517.962 to 2650.486, 0
2716.748, 2650.486 to 2783.010, 1
2849.272, 2783.010 to 2915.535, 0
2981.797, 2915.535 to 3048.059, 1
3114.321, 3048.059 to 3180.583, 1
3246.845, 3180.583 to 3313.107, 1
3379.370, 3313.107 to 3445.632, 0
3511.894, 3445.632 to 3578.156, 0
3644.418, 3578.156 to 3710.680, 0
3776.942, 3710.680 to 3843.205, 0
3909.467, 3843.205 to 3975.729, 0
4041.991, 3975.729 to 4108.253, 0
