Plate, 4
Well, 1
Count, 34
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.015, 0
0.018, 0.015 to 0.022, 0
0.025, 0.022 to 0.029, 0
0.033, 0.029 to 0.036, 0
0.040, 0.036 to 0.044, 0
0.047, 0.044 to 0.051, 0
0.055, 0.051 to 0.058, 0
0.062, 0.058 to 0.065, 0
0.069, 0.065 to 0.073, 0
0.076, 0.073 to 0.080, 0
0.084, 0.080 to 0.087, 0
0.091, 0.087 to 0.095, 1
0.098, 0.095 to 0.102, 2
0.106, 0.102 to 0.109, 2
0.113, 0.109 to 0.116, 6
0.120, 0.116 to 0.124, 1
0.127, 0.124 to 0.131, 4
0.135, 0.131 to 0.138, 5
0.142, 0.138 to 0.146, 2
0.149, 0.146 to 0.153, 1
0.156, 0.153 to 0.160, 2
0.164, 0.160 to 0.167, 2
0.171, 0.167 to 0.175, 0
0.178, 0.175 to 0.182, 0
0.186, 0.182 to 0.189, 0
0.193, 0.189 to 0.196, 1
0.200, 0.196 to 0.204, 0
0.207, 0.204 to 0.211, 0
0.215, 0.211 to 0.218, 0
0.222, 0.218 to 0.226, 0
0.229, 0.226 to 0.233, 0
0.236, 0.233 to 0.240, 0
0.244, 0.240 to 0.247, 0
0.251, 0.247 to 0.255, 1
0.258, 0.255 to 0.262, 1
0.266, 0.262 to 0.269, 0
0.273, 0.269 to 0.277, 0
0.280, 0.277 to 0.284, 0
0.287, 0.284 to 0.291, 1
0.295, 0.291 to 0.298, 0
0.302, 0.298 to 0.306, 1
0.309, 0.306 to 0.313, 0
0.317, 0.313 to 0.320, 0
0.324, 0.320 to 0.327, 0
0.331, 0.327 to 0.335, 0
0.338, 0.335 to 0.342, 0
0.346, 0.342 to 0.349, 0
0.353, 0.349 to 0.357, 0
0.360, 0.357 to 0.364, 1


Plate, 4
Well, 2
Count, 32
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.009, 0.006 to 0.011, 0
0.014, 0.011 to 0.017, 0
0.020, 0.017 to 0.023, 0
0.026, 0.023 to 0.029, 0
0.032, 0.029 to 0.034, 0
0.037, 0.034 to 0.040, 0
0.043, 0.040 to 0.046, 0
0.049, 0.046 to 0.052, 0
0.055, 0.052 to 0.057, 0
0.060, 0.057 to 0.063, 0
0.066, 0.063 to 0.069, 0
0.072, 0.069 to 0.075, 0
0.078, 0.075 to 0.080, 0
0.083, 0.080 to 0.086, 0
0.089, 0.086 to 0.092, 0
0.095, 0.092 to 0.098, 0
0.101, 0.098 to 0.103, 2
0.106, 0.103 to 0.109, 4
0.112, 0.109 to 0.115, 3
0.118, 0.115 to 0.121, 1
0.124, 0.121 to 0.126, 5
0.129, 0.126 to 0.132, 3
0.135, 0.132 to 0.138, 2
0.141, 0.138 to 0.144, 1
0.146, 0.144 to 0.149, 2
0.152, 0.149 to 0.155, 1
0.158, 0.155 to 0.161, 1
0.164, 0.161 to 0.167, 2
0.169, 0.167 to 0.172, 0
0.175, 0.172 to 0.178, 0
0.181, 0.178 to 0.184, 0
0.187, 0.184 to 0.190, 0
0.192, 0.190 to 0.195, 0
0.198, 0.195 to 0.201, 0
0.204, 0.201 to 0.207, 0
0.210, 0.207 to 0.213, 0
0.215, 0.213 to 0.218, 1
0.221, 0.218 to 0.224, 1
0.227, 0.224 to 0.230, 0
0.233, 0.230 to 0.236, 0
0.238, 0.236 to 0.241, 0
0.244, 0.241 to 0.247, 0
0.250, 0.247 to 0.253, 0
0.256, 0.253 to 0.258, 0
0.261, 0.258 to 0.264, 1
0.267, 0.264 to 0.270, 0
0.273, 0.270 to 0.276, 0
0.279, 0.276 to 0.281, 0
0.284, 0.281 to 0.287, 2


Plate, 4
Well, 3
Count, 21
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.009, 0.006 to 0.012, 0
0.016, 0.012 to 0.019, 0
0.022, 0.019 to 0.025, 0
0.028, 0.025 to 0.031, 0
0.034, 0.031 to 0.037, 0
0.040, 0.037 to 0.043, 0
0.047, 0.043 to 0.050, 0
0.053, 0.050 to 0.056, 0
0.059, 0.056 to 0.062, 0
0.065, 0.062 to 0.068, 0
0.071, 0.068 to 0.075, 0
0.078, 0.075 to 0.081, 0
0.084, 0.081 to 0.087, 0
