Plate, 4
Well, 1
Count, 34
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
7.376, 0.000 to 14.752, 0
22.129, 14.752 to 29.505, 0
36.881, 29.505 to 44.257, 0
51.634, 44.257 to 59.010, 0
66.386, 59.010 to 73.762, 0
81.139, 73.762 to 88.515, 0
95.891, 88.515 to 103.267, 0
110.643, 103.267 to 118.020, 0
125.396, 118.020 to 132.772, 0
140.148, 132.772 to 147.525, 0
154.901, 147.525 to 162.277, 0
169.653, 162.277 to 177.030, 0
184.406, 177.030 to 191.782, 0
199.158, 191.782 to 206.534, 0
213.911, 206.534 to 221.287, 2
228.663, 221.287 to 236.039, 5
243.416, 236.039 to 250.792, 0
258.168, 250.792 to 265.544, 0
272.921, 265.544 to 280.297, 1
287.673, 280.297 to 295.049, 0
302.425, 295.049 to 309.802, 2
317.178, 309.802 to 324.554, 1
331.930, 324.554 to 339.307, 3
346.683, 339.307 to 354.059, 1
361.435, 354.059 to 368.812, 1
376.188, 368.812 to 383.564, 1
390.940, 383.564 to 398.316, 4
405.693, 398.316 to 413.069, 1
420.445, 413.069 to 427.821, 1
435.198, 427.821 to 442.574, 2
449.950, 442.574 to 457.326, 1
464.703, 457.326 to 472.079, 2
479.455, 472.079 to 486.831, 1
494.207, 486.831 to 501.584, 0
508.960, 501.584 to 516.336, 0
523.712, 516.336 to 531.089, 1
538.465, 531.089 to 545.841, 0
553.217, 545.841 to 560.594, 1
567.970, 560.594 to 575.346, 0
582.722, 575.346 to 590.098, 0
597.475, 590.098 to 604.851, 0
612.227, 604.851 to 619.603, 1
626.980, 619.603 to 634.356, 0
641.732, 634.356 to 649.108, 0
656.485, 649.108 to 663.861, 1
671.237, 663.861 to 678.613, 0
685.989, 678.613 to 693.366, 0
700.742, 693.366 to 708.118, 0
715.494, 708.118 to 722.871, 0
730.247, 722.871 to 737.623, 1


Plate, 4
Well, 2
Count, 32
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
8.064, 0.000 to 16.128, 0
24.192, 16.128 to 32.256, 0
40.321, 32.256 to 48.385, 0
56.449, 48.385 to 64.513, 0
72.577, 64.513 to 80.641, 0
88.705, 80.641 to 96.769, 0
104.834, 96.769 to 112.898, 0
120.962, 112.898 to 129.026, 0
137.090, 129.026 to 145.154, 0
153.218, 145.154 to 161.282, 0
169.347, 161.282 to 177.411, 0
185.475, 177.411 to 193.539, 0
201.603, 193.539 to 209.667, 1
217.731, 209.667 to 225.795, 3
233.860, 225.795 to 241.924, 4
249.988, 241.924 to 258.052, 3
266.116, 258.052 to 274.180, 1
282.244, 274.180 to 290.308, 1
298.372, 290.308 to 306.437, 1
314.501, 306.437 to 322.565, 1
330.629, 322.565 to 338.693, 2
346.757, 338.693 to 354.821, 3
362.885, 354.821 to 370.950, 0
379.014, 370.950 to 387.078, 0
395.142, 387.078 to 403.206, 1
411.270, 403.206 to 419.334, 1
427.398, 419.334 to 435.463, 0
443.527, 435.463 to 451.591, 3
459.655, 451.591 to 467.719, 0
475.783, 467.719 to 483.847, 2
491.911, 483.847 to 499.976, 0
508.040, 499.976 to 516.104, 0
524.168, 516.104 to 532.232, 1
540.296, 532.232 to 548.360, 0
556.424, 548.360 to 564.488, 2
572.553, 564.488 to 580.617, 0
588.681, 580.617 to 596.745, 0
604.809, 596.745 to 612.873, 0
620.937, 612.873 to 629.001, 1
637.066, 629.001 to 645.130, 0
653.194, 645.130 to 661.258, 0
669.322, 661.258 to 677.386, 0
685.450, 677.386 to 693.514, 0
701.579, 693.514 to 709.643, 0
717.707, 709.643 to 725.771, 0
733.835, 725.771 to 741.899, 0
749.963, 741.899 to 758.027, 0
766.091, 758.027 to 774.156, 0
782.220, 774.156 to 790.284, 0
798.348, 790.284 to 806.412, 1


Plate, 4
Well, 3
Count, 21
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
