Plate, 1
Well, 4
Count, 81

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
890.827, 623270.828, 0.246, 153061.559, 370151063.274, 349.090, 27178.000, 5926.667
592.097, 275344.121, 0.211, 58057.232, 108686977.635, 1113.616, 28024.667, 6942.667
759.465, 453007.106, 0.253, 114614.238, 229361923.521, 349.090, 26839.333, 5842.000
686.905, 370580.988, 0.138, 51080.934, 169702602.378, 1113.616, 26924.000, 7112.000
530.794, 221279.818, 0.179, 39582.964, 78302658.701, 423.333, 11006.667, 14308.667
400.292, 125847.402, 0.192, 24151.153, 33583826.968, 1100.667, 10922.000, 29887.333
450.316, 159266.869, 0.169, 26900.393, 47813657.091, 798.744, 18711.333, 33358.667
463.245, 168543.160, 0.149, 25122.404, 52051170.378, 1827.702, 30395.333, 18203.333
374.208, 109980.662, 0.234, 25754.260, 27437105.492, 1879.905, 23368.000, 33020.000
347.902, 95061.227, 0.160, 15207.064, 22047985.822, 1419.272, 26077.333, 13546.667
488.254, 187232.706, 0.166, 31003.181, 60944759.802, 1780.015, 20066.000, 1185.333
222.722, 38959.817, 0.325, 12660.104, 5784810.912, 1858.814, 18965.333, 35390.667
498.993, 195559.386, 0.136, 26538.205, 65055167.025, 1077.631, 9652.000, 16171.333
571.704, 256703.900, 0.143, 36785.350, 97839111.843, 423.333, 11260.667, 14647.333
369.431, 107190.654, 0.155, 16604.042, 26399711.606, 1862.667, 34290.000, 21251.333
344.404, 93159.572, 0.167, 15600.651, 21389716.478, 1449.260, 8043.333, 19050.000
347.902, 95061.227, 0.183, 17439.204, 22047985.822, 1976.563, 27516.667, 27686.000
392.581, 121045.735, 0.143, 17345.703, 31680209.050, 1203.339, 27347.333, 10752.667
451.561, 160148.681, 0.133, 21330.961, 48211300.833, 1461.573, 28024.667, 8551.333
344.404, 93159.572, 0.151, 14059.936, 21389716.478, 1874.177, 25823.333, 16848.667
356.550, 99846.042, 0.153, 15257.928, 23733406.795, 1077.631, 10414.000, 15409.333
343.638, 92745.126, 0.153, 14221.602, 21247138.196, 616.383, 16848.667, 2794.000
322.822, 81849.388, 0.152, 12456.477, 17615174.555, 1879.905, 22267.333, 31496.000
177.406, 24718.667, 0.297, 7343.276, 2923488.382, 2082.525, 22436.667, 34882.667
320.309, 80580.261, 0.143, 11547.048, 17207065.273, 1581.704, 28702.000, 22944.667
409.481, 131691.409, 0.134, 17689.730, 35950088.690, 616.383, 17441.333, 2624.667
380.040, 113435.421, 0.146, 16555.940, 28740004.265, 1794.055, 34459.333, 19219.333
356.550, 99846.042, 0.130, 12978.633, 23733406.795, 1449.260, 7874.000, 17610.667
335.987, 88661.601, 0.142, 12625.170, 19859447.038, 1610.893, 15070.667, 10837.333
436.646, 149743.830, 0.125, 18729.485, 43590033.789, 6117.130, 4741.333, 8466.667
344.404, 93159.572, 0.138, 12900.279, 21389716.478, 2279.720, 12954.000, 22182.667
450.316, 159266.869, 0.127, 20253.850, 47813657.091, 2136.890, 31750.000, 8890.000
344.404, 93159.572, 0.132, 12312.189, 21389716.478, 1439.333, 15917.333, 4910.667
317.312, 79079.118, 0.141, 11142.012, 16728481.659, 1976.563, 27855.333, 29633.333
347.135, 94642.567, 0.130, 12331.667, 21902493.848, 1023.031, 20828.000, 2794.000
300.229, 70793.989, 0.135, 9567.182, 14169625.688, 567.961, 13462.000, 10752.667
480.173, 181086.058, 0.190, 34403.092, 57968401.354, 803.219, 9398.000, 32850.667
283.317, 63042.907, 0.127, 7998.458, 11907432.934, 762.000, 18880.667, 14901.333
354.325, 98603.717, 0.124, 12250.065, 23291836.285, 1023.031, 19896.667, 3217.333
314.935, 77899.183, 0.135, 10553.267, 16355474.687, 3105.086, 24299.333, 9398.000
360.241, 101924.210, 0.120, 12193.687, 24478219.699, 592.667, 32766.000, 18626.667
347.135, 94642.567, 0.128, 12104.353, 21902493.848, 567.961, 13208.000, 10244.667
312.383, 76641.700, 0.138, 10570.242, 15961051.374, 1701.779, 13292.667, 12446.000
326.499, 83724.451, 0.133, 11148.164, 18223939.462, 2651.838, 12192.000, 24722.667
308.374, 74687.069, 0.128, 9527.752, 15354367.178, 1449.260, 8974.667, 14478.000
374.584, 110201.488, 0.119, 13095.021, 27519782.049, 1203.339, 28278.667, 9990.667
