Plate, 2
Well, 1
Count, 33
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
39.139, 0.000 to 78.279, 0
117.418, 78.279 to 156.558, 0
195.697, 156.558 to 234.837, 0
273.976, 234.837 to 313.116, 0
352.255, 313.116 to 391.395, 2
430.534, 391.395 to 469.673, 2
508.813, 469.673 to 547.952, 0
587.092, 547.952 to 626.231, 0
665.371, 626.231 to 704.510, 0
743.650, 704.510 to 782.789, 0
821.928, 782.789 to 861.068, 2
900.207, 861.068 to 939.347, 6
978.486, 939.347 to 1017.626, 0
1056.765, 1017.626 to 1095.905, 0
1135.044, 1095.905 to 1174.184, 1
1213.323, 1174.184 to 1252.462, 0
1291.602, 1252.462 to 1330.741, 0
1369.881, 1330.741 to 1409.020, 2
1448.160, 1409.020 to 1487.299, 4
1526.439, 1487.299 to 1565.578, 0
1604.717, 1565.578 to 1643.857, 0
1682.996, 1643.857 to 1722.136, 1
1761.275, 1722.136 to 1800.415, 0
1839.554, 1800.415 to 1878.694, 0
1917.833, 1878.694 to 1956.973, 0
1996.112, 1956.973 to 2035.251, 0
2074.391, 2035.251 to 2113.530, 1
2152.670, 2113.530 to 2191.809, 0
2230.949, 2191.809 to 2270.088, 0
2309.228, 2270.088 to 2348.367, 4
2387.506, 2348.367 to 2426.646, 1
2465.785, 2426.646 to 2504.925, 0
2544.064, 2504.925 to 2583.204, 2
2622.343, 2583.204 to 2661.483, 0
2700.622, 2661.483 to 2739.762, 0
2778.901, 2739.762 to 2818.040, 0
2857.180, 2818.040 to 2896.319, 0
2935.459, 2896.319 to 2974.598, 1
3013.738, 2974.598 to 3052.877, 0
3092.017, 3052.877 to 3131.156, 0
3170.295, 3131.156 to 3209.435, 0
3248.574, 3209.435 to 3287.714, 1
3326.853, 3287.714 to 3365.993, 0
3405.132, 3365.993 to 3444.272, 1
3483.411, 3444.272 to 3522.551, 0
3561.690, 3522.551 to 3600.829, 0
3639.969, 3600.829 to 3679.108, 0
3718.248, 3679.108 to 3757.387, 0
3796.527, 3757.387 to 3835.666, 0
3874.806, 3835.666 to 3913.945, 2


Plate, 2
Well, 2
Count, 35
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
102.670, 0.000 to 205.341, 0
308.011, 205.341 to 410.681, 0
513.352, 410.681 to 616.022, 2
718.692, 616.022 to 821.363, 2
924.033, 821.363 to 1026.703, 0
1129.374, 1026.703 to 1232.044, 6
1334.714, 1232.044 to 1437.385, 0
1540.055, 1437.385 to 1642.725, 3
1745.396, 1642.725 to 1848.066, 2
1950.736, 1848.066 to 2053.407, 1
2156.077, 2053.407 to 2258.747, 4
2361.418, 2258.747 to 2464.088, 2
2566.758, 2464.088 to 2669.429, 4
2772.099, 2669.429 to 2874.769, 0
2977.440, 2874.769 to 3080.110, 0
3182.780, 3080.110 to 3285.451, 1
3388.121, 3285.451 to 3490.791, 0
3593.462, 3490.791 to 3696.132, 3
3798.802, 3696.132 to 3901.473, 2
4004.143, 3901.473 to 4106.813, 1
4209.484, 4106.813 to 4312.154, 0
4414.824, 4312.154 to 4517.495, 0
4620.165, 4517.495 to 4722.835, 0
4825.506, 4722.835 to 4928.176, 0
5030.846, 4928.176 to 5133.517, 0
5236.187, 5133.517 to 5338.857, 0
5441.528, 5338.857 to 5544.198, 0
5646.868, 5544.198 to 5749.539, 1
