Plate, 3
Well, 1
Count, 175
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
12.730, 0.000 to 25.459, 0
38.189, 25.459 to 50.919, 0
63.648, 50.919 to 76.378, 0
89.108, 76.378 to 101.837, 0
114.567, 101.837 to 127.297, 0
140.026, 127.297 to 152.756, 1
165.486, 152.756 to 178.216, 1
190.945, 178.216 to 203.675, 1
216.405, 203.675 to 229.134, 3
241.864, 229.134 to 254.594, 5
267.323, 254.594 to 280.053, 5
292.783, 280.053 to 305.512, 15
318.242, 305.512 to 330.972, 14
343.701, 330.972 to 356.431, 35
369.161, 356.431 to 381.890, 15
394.620, 381.890 to 407.350, 10
420.079, 407.350 to 432.809, 11
445.539, 432.809 to 458.269, 9
470.998, 458.269 to 483.728, 8
496.458, 483.728 to 509.187, 5
521.917, 509.187 to 534.647, 6
547.376, 534.647 to 560.106, 10
572.836, 560.106 to 585.565, 2
598.295, 585.565 to 611.025, 1
623.754, 611.025 to 636.484, 4
649.214, 636.484 to 661.943, 3
674.673, 661.943 to 687.403, 2
700.132, 687.403 to 712.862, 1
725.592, 712.862 to 738.322, 1
751.051, 738.322 to 763.781, 2
776.511, 763.781 to 789.240, 1
801.970, 789.240 to 814.700, 2
827.429, 814.700 to 840.159, 1
852.889, 840.159 to 865.618, 0
878.348, 865.618 to 891.078, 0
903.807, 891.078 to 916.537, 0
929.267, 916.537 to 941.996, 0
954.726, 941.996 to 967.456, 0
980.185, 967.456 to 992.915, 0
1005.645, 992.915 to 1018.374, 0
1031.104, 1018.374 to 1043.834, 0
1056.564, 1043.834 to 1069.293, 0
1082.023, 1069.293 to 1094.753, 0
1107.482, 1094.753 to 1120.212, 0
1132.942, 1120.212 to 1145.671, 0
1158.401, 1145.671 to 1171.131, 0
1183.860, 1171.131 to 1196.590, 0
1209.320, 1196.590 to 1222.049, 0
1234.779, 1222.049 to 1247.509, 0
1260.238, 1247.509 to 1272.968, 1


Plate, 3
Well, 2
Count, 177
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
9.416, 0.000 to 18.833, 0
28.249, 18.833 to 37.666, 0
47.082, 37.666 to 56.498, 0
65.915, 56.498 to 75.331, 0
84.747, 75.331 to 94.164, 0
103.580, 94.164 to 112.997, 0
122.413, 112.997 to 131.829, 0
