Plate, 4
Well, 1
Count, 91
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
2501.215, 0.000 to 5002.431, 0
7503.646, 5002.431 to 10004.862, 0
12506.077, 10004.862 to 15007.292, 0
17508.508, 15007.292 to 20009.723, 0
22510.939, 20009.723 to 25012.154, 1
27513.369, 25012.154 to 30014.585, 3
32515.800, 30014.585 to 35017.015, 0
37518.231, 35017.015 to 40019.446, 6
42520.662, 40019.446 to 45021.877, 1
47523.092, 45021.877 to 50024.308, 1
52525.523, 50024.308 to 55026.739, 2
57527.954, 55026.739 to 60029.169, 2
62530.385, 60029.169 to 65031.600, 5
67532.816, 65031.600 to 70034.031, 3
72535.246, 70034.031 to 75036.462, 7
77537.677, 75036.462 to 80038.892, 1
82540.108, 80038.892 to 85041.323, 5
87542.539, 85041.323 to 90043.754, 10
92544.969, 90043.754 to 95046.185, 4
97547.400, 95046.185 to 100048.616, 9
102549.831, 100048.616 to 105051.046, 3
107552.262, 105051.046 to 110053.477, 3
112554.693, 110053.477 to 115055.908, 1
117557.123, 115055.908 to 120058.339, 3
122559.554, 120058.339 to 125060.769, 1
127561.985, 125060.769 to 130063.200, 2
132564.416, 130063.200 to 135065.631, 2
137566.846, 135065.631 to 140068.062, 1
142569.277, 140068.062 to 145070.493, 0
147571.708, 145070.493 to 150072.923, 2
152574.139, 150072.923 to 155075.354, 1
157576.570, 155075.354 to 160077.785, 0
162579.000, 160077.785 to 165080.216, 0
167581.431, 165080.216 to 170082.647, 2
172583.862, 170082.647 to 175085.077, 1
177586.293, 175085.077 to 180087.508, 1
182588.723, 180087.508 to 185089.939, 1
187591.154, 185089.939 to 190092.370, 2
192593.585, 190092.370 to 195094.800, 0
197596.016, 195094.800 to 200097.231, 1
202598.447, 200097.231 to 205099.662, 3
207600.877, 205099.662 to 210102.093, 0
212603.308, 210102.093 to 215104.524, 0
217605.739, 215104.524 to 220106.954, 0
222608.170, 220106.954 to 225109.385, 0
227610.600, 225109.385 to 230111.816, 0
232613.031, 230111.816 to 235114.247, 0
237615.462, 235114.247 to 240116.677, 0
242617.893, 240116.677 to 245119.108, 0
247620.324, 245119.108 to 250121.539, 1


Plate, 4
Well, 2
Count, 93
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
3226.215, 0.000 to 6452.429, 0
9678.644, 6452.429 to 12904.859, 0
16131.074, 12904.859 to 19357.288, 0
22583.503, 19357.288 to 25809.718, 0
29035.933, 25809.718 to 32262.147, 3
35488.362, 32262.147 to 38714.577, 6
41940.792, 38714.577 to 45167.006, 7
48393.221, 45167.006 to 51619.436, 0
54845.650, 51619.436 to 58071.865, 2
61298.080, 58071.865 to 64524.295, 7
67750.509, 64524.295 to 70976.724, 4
74202.939, 70976.724 to 77429.154, 1
80655.368, 77429.154 to 83881.583, 11
87107.798, 83881.583 to 90334.012, 7
93560.227, 90334.012 to 96786.442, 18
100012.657, 96786.442 to 103238.871, 3
106465.086, 103238.871 to 109691.301, 5
112917.516, 109691.301 to 116143.730, 3
119369.945, 116143.730 to 122596.160, 1
125822.375, 122596.160 to 129048.589, 2
132274.804, 129048.589 to 135501.019, 2
138727.233, 135501.019 to 141953.448, 1
145179.663, 141953.448 to 148405.878, 2
151632.092, 148405.878 to 154858.307, 1
158084.522, 154858.307 to 161310.737, 1
164536.951, 161310.737 to 167763.166, 0
170989.381, 167763.166 to 174215.596, 0
177441.810, 174215.596 to 180668.025, 1
183894.240, 180668.025 to 187120.454, 2
190346.669, 187120.454 to 193572.884, 0
196799.099, 193572.884 to 200025.313, 0
203251.528, 200025.313 to 206477.743, 0
209703.958, 206477.743 to 212930.172, 0
216156.387, 212930.172 to 219382.602, 0
222608.817, 219382.602 to 225835.031, 0
229061.246, 225835.031 to 232287.461, 0
235513.675, 232287.461 to 238739.890, 1
241966.105, 238739.890 to 245192.320, 0
248418.534, 245192.320 to 251644.749, 1
254870.964, 251644.749 to 258097.179, 0
261323.393, 258097.179 to 264549.608, 0
267775.823, 264549.608 to 271002.037, 0
274228.252, 271002.037 to 277454.467, 0
280680.682, 277454.467 to 283906.896, 0
287133.111, 283906.896 to 290359.326, 0
293585.541, 290359.326 to 296811.755, 0
300037.970, 296811.755 to 303264.185, 0
306490.400, 303264.185 to 309716.614, 0
312942.829, 309716.614 to 316169.044, 0
319395.258, 316169.044 to 322621.473, 1


Plate, 4
Well, 3
Count, 41
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
4633.177, 0.000 to 9266.354, 0
13899.531, 9266.354 to 18532.708, 0
23165.885, 18532.708 to 27799.062, 2
32432.239, 27799.062 to 37065.416, 5
41698.592, 37065.416 to 46331.769, 6
50964.946, 46331.769 to 55598.123, 5
60231.300, 55598.123 to 64864.477, 1
69497.654, 64864.477 to 74130.831, 2
78764.008, 74130.831 to 83397.185, 2
88030.362, 83397.185 to 92663.539, 5
97296.716, 92663.539 to 101929.893, 4
106563.070, 101929.893 to 111196.247, 2
115829.423, 111196.247 to 120462.600, 4
125095.777, 120462.600 to 129728.954, 0
134362.131, 129728.954 to 138995.308, 0
143628.485, 138995.308 to 148261.662, 0
152894.839, 148261.662 to 157528.016, 1
162161.193, 157528.016 to 166794.370, 0
171427.547, 166794.370 to 176060.724, 0
180693.901, 176060.724 to 185327.078, 0
189960.254, 185327.078 to 194593.431, 1
199226.608, 194593.431 to 203859.785, 0
208492.962, 203859.785 to 213126.139, 0
217759.316, 213126.139 to 222392.493, 0
227025.670, 222392.493 to 231658.847, 0
236292.024, 231658.847 to 240925.201, 0
245558.378, 240925.201 to 250191.555, 0
254824.732, 250191.555 to 259457.909, 0
264091.085, 259457.909 to 268724.262, 0
273357.439, 268724.262 to 277990.616, 0
282623.793, 277990.616 to 287256.970, 0
291890.147, 287256.970 to 296523.324, 0
301156.501, 296523.324 to 305789.678, 0
310422.855, 305789.678 to 315056.032, 0
319689.209, 315056.032 to 324322.386, 0
328955.563, 324322.386 to 333588.740, 0
338221.916, 333588.740 to 342855.093, 0
347488.270, 342855.093 to 352121.447, 0
356754.624, 352121.447 to 361387.801, 0
366020.978, 361387.801 to 370654.155, 0
375287.332, 370654.155 to 379920.509, 0
384553.686, 379920.509 to 389186.863, 0
393820.040, 389186.863 to 398453.217, 0
403086.394, 398453.217 to 407719.571, 0
412352.747, 407719.571 to 416985.924, 0
421619.101, 416985.924 to 426252.278, 0
430885.455, 426252.278 to 435518.632, 0
440151.809, 435518.632 to 444784.986, 0
449418.163, 444784.986 to 454051.340, 0
458684.517, 454051.340 to 463317.694, 1


Plate, 4
Well, 4
Count, 16
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
1970.627, 0.000 to 3941.254, 0
5911.881, 3941.254 to 7882.509, 0
9853.136, 7882.509 to 11823.763, 0
13794.390, 11823.763 to 15765.017, 0
17735.644, 15765.017 to 19706.272, 0
21676.899, 19706.272 to 23647.526, 0
25618.153, 23647.526 to 27588.780, 0
29559.407, 27588.780 to 31530.035, 0
33500.662, 31530.035 to 35471.289, 0
37441.916, 35471.289 to 39412.543, 0
41383.170, 39412.543 to 43353.797, 1
45324.425, 43353.797 to 47295.052, 1
49265.679, 47295.052 to 51236.306, 2
53206.933, 51236.306 to 55177.560, 0
57148.188, 55177.560 to 59118.815, 0
61089.442, 59118.815 to 63060.069, 3
65030.696, 63060.069 to 67001.323, 1
68971.951, 67001.323 to 70942.578, 1
72913.205, 70942.578 to 74883.832, 0
76854.459, 74883.832 to 78825.086, 0
80795.713, 78825.086 to 82766.341, 3
84736.968, 82766.341 to 86707.595, 0
88678.222, 86707.595 to 90648.849, 0
92619.476, 90648.849 to 94590.104, 0
96560.731, 94590.104 to 98531.358, 2
