Plate, 4
Well, 1
Count, 91
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.010, 0
0.012, 0.010 to 0.015, 0
0.017, 0.015 to 0.020, 0
0.022, 0.020 to 0.025, 0
0.027, 0.025 to 0.030, 0
0.032, 0.030 to 0.035, 0
0.037, 0.035 to 0.040, 0
0.042, 0.040 to 0.045, 0
0.047, 0.045 to 0.049, 0
0.052, 0.049 to 0.054, 0
0.057, 0.054 to 0.059, 0
0.062, 0.059 to 0.064, 0
0.067, 0.064 to 0.069, 0
0.072, 0.069 to 0.074, 0
0.077, 0.074 to 0.079, 0
0.082, 0.079 to 0.084, 0
0.087, 0.084 to 0.089, 0
0.092, 0.089 to 0.094, 0
0.096, 0.094 to 0.099, 1
0.101, 0.099 to 0.104, 4
0.106, 0.104 to 0.109, 5
0.111, 0.109 to 0.114, 13
0.116, 0.114 to 0.119, 16
0.121, 0.119 to 0.124, 11
0.126, 0.124 to 0.129, 6
0.131, 0.129 to 0.134, 4
0.136, 0.134 to 0.139, 3
0.141, 0.139 to 0.144, 3
0.146, 0.144 to 0.148, 4
0.151, 0.148 to 0.153, 1
0.156, 0.153 to 0.158, 2
0.161, 0.158 to 0.163, 0
0.166, 0.163 to 0.168, 3
0.171, 0.168 to 0.173, 1
0.176, 0.173 to 0.178, 2
0.181, 0.178 to 0.183, 1
0.186, 0.183 to 0.188, 1
0.191, 0.188 to 0.193, 2
0.195, 0.193 to 0.198, 0
0.200, 0.198 to 0.203, 0
0.205, 0.203 to 0.208, 0
0.210, 0.208 to 0.213, 3
0.215, 0.213 to 0.218, 2
0.220, 0.218 to 0.223, 0
0.225, 0.223 to 0.228, 0
0.230, 0.228 to 0.233, 0
0.235, 0.233 to 0.238, 0
0.240, 0.238 to 0.242, 1
0.245, 0.242 to 0.247, 2


Plate, 4
Well, 2
Count, 93
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.010, 0
0.012, 0.010 to 0.014, 0
0.017, 0.014 to 0.019, 0
0.022, 0.019 to 0.024, 0
0.026, 0.024 to 0.029, 0
0.031, 0.029 to 0.034, 0
0.036, 0.034 to 0.038, 0
0.041, 0.038 to 0.043, 0
0.046, 0.043 to 0.048, 0
0.050, 0.048 to 0.053, 0
0.055, 0.053 to 0.058, 0
0.060, 0.058 to 0.062, 0
0.065, 0.062 to 0.067, 0
0.070, 0.067 to 0.072, 0
0.074, 0.072 to 0.077, 0
0.079, 0.077 to 0.081, 0
0.084, 0.081 to 0.086, 0
0.089, 0.086 to 0.091, 0
0.093, 0.091 to 0.096, 0
0.098, 0.096 to 0.101, 0
0.103, 0.101 to 0.105, 0
0.108, 0.105 to 0.110, 0
0.113, 0.110 to 0.115, 0
0.117, 0.115 to 0.120, 4
0.122, 0.120 to 0.125, 10
0.127, 0.125 to 0.129, 11
0.132, 0.129 to 0.134, 13
0.137, 0.134 to 0.139, 10
0.141, 0.139 to 0.144, 14
0.146, 0.144 to 0.149, 8
0.151, 0.149 to 0.153, 3
0.156, 0.153 to 0.158, 3
0.161, 0.158 to 0.163, 5
0.165, 0.163 to 0.168, 1
0.170, 0.168 to 0.173, 0
0.175, 0.173 to 0.177, 0
0.180, 0.177 to 0.182, 1
0.185, 0.182 to 0.187, 0
0.189, 0.187 to 0.192, 1
0.194, 0.192 to 0.197, 2
0.199, 0.197 to 0.201, 1
0.204, 0.201 to 0.206, 0
0.209, 0.206 to 0.211, 2
0.213, 0.211 to 0.216, 1
0.218, 0.216 to 0.221, 0
0.223, 0.221 to 0.225, 1
0.228, 0.225 to 0.230, 1
0.233, 0.230 to 0.235, 0
0.237, 0.235 to 0.240, 1


Plate, 4
Well, 3
Count, 41
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.009, 0
0.011, 0.009 to 0.014, 0
0.016, 0.014 to 0.018, 0
0.020, 0.018 to 0.023, 0
0.025, 0.023 to 0.027, 0
0.029, 0.027 to 0.032, 0
0.034, 0.032 to 0.036, 0
0.038, 0.036 to 0.041, 0
0.043, 0.041 to 0.045, 0
0.048, 0.045 to 0.050, 0
0.052, 0.050 to 0.054, 0
0.057, 0.054 to 0.059, 0
0.061, 0.059 to 0.063, 0
0.066, 0.063 to 0.068, 0
0.070, 0.068 to 0.072, 0
0.075, 0.072 to 0.077, 0
0.079, 0.077 to 0.082, 0
0.084, 0.082 to 0.086, 0
0.088, 0.086 to 0.091, 0
0.093, 0.091 to 0.095, 0
0.097, 0.095 to 0.100, 0
0.102, 0.100 to 0.104, 0
0.106, 0.104 to 0.109, 0
0.111, 0.109 to 0.113, 0
0.115, 0.113 to 0.118, 0
0.120, 0.118 to 0.122, 0
0.125, 0.122 to 0.127, 1
0.129, 0.127 to 0.131, 0
0.134, 0.131 to 0.136, 3
0.138, 0.136 to 0.140, 3
0.143, 0.140 to 0.145, 5
0.147, 0.145 to 0.149, 7
0.152, 0.149 to 0.154, 4
0.156, 0.154 to 0.158, 2
0.161, 0.158 to 0.163, 4
0.165, 0.163 to 0.168, 4
0.170, 0.168 to 0.172, 3
0.174, 0.172 to 0.177, 0
0.179, 0.177 to 0.181, 0
0.183, 0.181 to 0.186, 1
0.188, 0.186 to 0.190, 0
0.192, 0.190 to 0.195, 0
0.197, 0.195 to 0.199, 1
0.201, 0.199 to 0.204, 1
0.206, 0.204 to 0.208, 0
0.211, 0.208 to 0.213, 0
0.215, 0.213 to 0.217, 1
0.220, 0.217 to 0.222, 0
0.224, 0.222 to 0.226, 1


Plate, 4
Well, 4
Count, 16
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.001, 0.000 to 0.003, 0
0.004, 0.003 to 0.006, 0
0.007, 0.006 to 0.009, 0
0.010, 0.009 to 0.012, 0
0.013, 0.012 to 0.015, 0
0.016, 0.015 to 0.018, 0
0.019, 0.018 to 0.021, 0
0.022, 0.021 to 0.024, 0
0.025, 0.024 to 0.027, 0
0.028, 0.027 to 0.030, 0
0.031, 0.030 to 0.033, 0
0.034, 0.033 to 0.036, 0
