Plate, 4
Well, 1
Count, 91
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
539.694, 0.000 to 1079.389, 0
1619.083, 1079.389 to 2158.778, 0
2698.472, 2158.778 to 3238.167, 4
3777.861, 3238.167 to 4317.555, 2
4857.250, 4317.555 to 5396.944, 4
5936.639, 5396.944 to 6476.333, 4
7016.028, 6476.333 to 7555.722, 8
8095.416, 7555.722 to 8635.111, 5
9174.805, 8635.111 to 9714.500, 7
10254.194, 9714.500 to 10793.888, 10
11333.583, 10793.888 to 11873.277, 5
12412.972, 11873.277 to 12952.666, 8
13492.361, 12952.666 to 14032.055, 3
14571.749, 14032.055 to 15111.444, 4
15651.138, 15111.444 to 16190.833, 4
16730.527, 16190.833 to 17270.222, 4
17809.916, 17270.222 to 18349.610, 1
18889.305, 18349.610 to 19428.999, 1
19968.694, 19428.999 to 20508.388, 4
21048.083, 20508.388 to 21587.777, 0
22127.471, 21587.777 to 22667.166, 2
23206.860, 22667.166 to 23746.555, 1
24286.249, 23746.555 to 24825.944, 1
25365.638, 24825.944 to 25905.332, 0
26445.027, 25905.332 to 26984.721, 0
27524.416, 26984.721 to 28064.110, 0
28603.805, 28064.110 to 29143.499, 1
29683.193, 29143.499 to 30222.888, 0
30762.582, 30222.888 to 31302.277, 0
31841.971, 31302.277 to 32381.665, 0
32921.360, 32381.665 to 33461.054, 0
34000.749, 33461.054 to 34540.443, 0
35080.138, 34540.443 to 35619.832, 2
36159.526, 35619.832 to 36699.221, 1
37238.915, 36699.221 to 37778.610, 0
38318.304, 37778.610 to 38857.999, 0
39397.693, 38857.999 to 39937.387, 0
40477.082, 39937.387 to 41016.776, 0
41556.471, 41016.776 to 42096.165, 0
42635.860, 42096.165 to 43175.554, 1
43715.248, 43175.554 to 44254.943, 1
44794.637, 44254.943 to 45334.332, 0
45874.026, 45334.332 to 46413.721, 1
46953.415, 46413.721 to 47493.109, 0
48032.804, 47493.109 to 48572.498, 1
49112.193, 48572.498 to 49651.887, 0
50191.581, 49651.887 to 50731.276, 0
51270.970, 50731.276 to 51810.665, 0
52350.359, 51810.665 to 52890.054, 0
53429.748, 52890.054 to 53969.442, 1


Plate, 4
Well, 2
Count, 93
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
523.676, 0.000 to 1047.352, 0
1571.028, 1047.352 to 2094.704, 0
2618.379, 2094.704 to 3142.055, 0
3665.731, 3142.055 to 4189.407, 2
4713.083, 4189.407 to 5236.759, 7
5760.435, 5236.759 to 6284.111, 6
6807.786, 6284.111 to 7331.462, 3
7855.138, 7331.462 to 8378.814, 5
8902.490, 8378.814 to 9426.166, 4
9949.842, 9426.166 to 10473.518, 6
10997.193, 10473.518 to 11520.869, 8
12044.545, 11520.869 to 12568.221, 7
13091.897, 12568.221 to 13615.573, 10
14139.249, 13615.573 to 14662.925, 8
15186.601, 14662.925 to 15710.276, 4
16233.952, 15710.276 to 16757.628, 4
17281.304, 16757.628 to 17804.980, 4
18328.656, 17804.980 to 18852.332, 0
19376.008, 18852.332 to 19899.683, 0
20423.359, 19899.683 to 20947.035, 4
21470.711, 20947.035 to 21994.387, 2
22518.063, 21994.387 to 23041.739, 0
23565.415, 23041.739 to 24089.090, 0
24612.766, 24089.090 to 25136.442, 1
25660.118, 25136.442 to 26183.794, 0
26707.470, 26183.794 to 27231.146, 2
27754.822, 27231.146 to 28278.497, 0
28802.173, 28278.497 to 29325.849, 2
29849.525, 29325.849 to 30373.201, 0
30896.877, 30373.201 to 31420.553, 0
