Plate, 1
Well, 1
Count, 210
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.010, 0.006 to 0.013, 0
0.016, 0.013 to 0.019, 0
0.023, 0.019 to 0.026, 0
0.029, 0.026 to 0.032, 0
0.036, 0.032 to 0.039, 0
0.042, 0.039 to 0.045, 0
0.049, 0.045 to 0.052, 0
0.055, 0.052 to 0.058, 0
0.061, 0.058 to 0.065, 0
0.068, 0.065 to 0.071, 0
0.074, 0.071 to 0.078, 3
0.081, 0.078 to 0.084, 17
0.087, 0.084 to 0.091, 24
0.094, 0.091 to 0.097, 33
0.100, 0.097 to 0.103, 22
0.107, 0.103 to 0.110, 17
0.113, 0.110 to 0.116, 11
0.120, 0.116 to 0.123, 9
0.126, 0.123 to 0.129, 12
0.133, 0.129 to 0.136, 12
0.139, 0.136 to 0.142, 6
0.146, 0.142 to 0.149, 2
0.152, 0.149 to 0.155, 3
0.158, 0.155 to 0.162, 0
0.165, 0.162 to 0.168, 4
0.171, 0.168 to 0.175, 4
0.178, 0.175 to 0.181, 3
0.184, 0.181 to 0.188, 9
0.191, 0.188 to 0.194, 3
0.197, 0.194 to 0.201, 2
0.204, 0.201 to 0.207, 4
0.210, 0.207 to 0.213, 3
0.217, 0.213 to 0.220, 0
0.223, 0.220 to 0.226, 1
0.230, 0.226 to 0.233, 1
0.236, 0.233 to 0.239, 1
0.243, 0.239 to 0.246, 0
0.249, 0.246 to 0.252, 0
0.256, 0.252 to 0.259, 1
0.262, 0.259 to 0.265, 1
0.268, 0.265 to 0.272, 0
0.275, 0.272 to 0.278, 1
0.281, 0.278 to 0.285, 0
0.288, 0.285 to 0.291, 0
0.294, 0.291 to 0.298, 0
0.301, 0.298 to 0.304, 0
0.307, 0.304 to 0.310, 0
0.314, 0.310 to 0.317, 0
0.320, 0.317 to 0.323, 1


Plate, 1
Well, 2
Count, 169
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.010, 0
0.012, 0.010 to 0.015, 0
0.017, 0.015 to 0.020, 0
0.022, 0.020 to 0.025, 0
0.027, 0.025 to 0.029, 0
0.032, 0.029 to 0.034, 0
0.037, 0.034 to 0.039, 0
0.042, 0.039 to 0.044, 0
0.047, 0.044 to 0.049, 0
0.051, 0.049 to 0.054, 0
0.056, 0.054 to 0.059, 0
0.061, 0.059 to 0.064, 0
0.066, 0.064 to 0.069, 0
0.071, 0.069 to 0.074, 0
0.076, 0.074 to 0.078, 10
0.081, 0.078 to 0.083, 15
0.086, 0.083 to 0.088, 28
0.091, 0.088 to 0.093, 28
0.096, 0.093 to 0.098, 20
0.100, 0.098 to 0.103, 13
0.105, 0.103 to 0.108, 14
0.110, 0.108 to 0.113, 5
0.115, 0.113 to 0.118, 4
0.120, 0.118 to 0.123, 4
0.125, 0.123 to 0.127, 4
0.130, 0.127 to 0.132, 1
0.135, 0.132 to 0.137, 3
0.140, 0.137 to 0.142, 2
0.145, 0.142 to 0.147, 3
0.149, 0.147 to 0.152, 1
0.154, 0.152 to 0.157, 2
0.159, 0.157 to 0.162, 0
0.164, 0.162 to 0.167, 1
0.169, 0.167 to 0.172, 1
0.174, 0.172 to 0.176, 0
0.179, 0.176 to 0.181, 0
0.184, 0.181 to 0.186, 0
0.189, 0.186 to 0.191, 2
0.194, 0.191 to 0.196, 1
0.198, 0.196 to 0.201, 1
0.203, 0.201 to 0.206, 1
0.208, 0.206 to 0.211, 1
0.213, 0.211 to 0.216, 1
0.218, 0.216 to 0.221, 0
0.223, 0.221 to 0.225, 1
0.228, 0.225 to 0.230, 0
0.233, 0.230 to 0.235, 1
0.238, 0.235 to 0.240, 0
0.243, 0.240 to 0.245, 1


Plate, 1
Well, 3
Count, 168
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.010, 0
0.013, 0.010 to 0.015, 0
0.018, 0.015 to 0.021, 0
0.023, 0.021 to 0.026, 0
0.028, 0.026 to 0.031, 0
0.033, 0.031 to 0.036, 0
0.039, 0.036 to 0.041, 0
0.044, 0.041 to 0.046, 0
0.049, 0.046 to 0.051, 0
0.054, 0.051 to 0.057, 0
0.059, 0.057 to 0.062, 0
0.064, 0.062 to 0.067, 3
0.069, 0.067 to 0.072, 15
0.075, 0.072 to 0.077, 56
0.080, 0.077 to 0.082, 22
0.085, 0.082 to 0.087, 12
0.090, 0.087 to 0.093, 12
0.095, 0.093 to 0.098, 10
0.100, 0.098 to 0.103, 10
0.105, 0.103 to 0.108, 6
0.111, 0.108 to 0.113, 7
0.116, 0.113 to 0.118, 0
0.121, 0.118 to 0.123, 1
0.126, 0.123 to 0.129, 1
0.131, 0.129 to 0.134, 1
0.136, 0.134 to 0.139, 2
0.141, 0.139 to 0.144, 3
0.147, 0.144 to 0.149, 1
0.152, 0.149 to 0.154, 0
0.157, 0.154 to 0.159, 0
0.162, 0.159 to 0.165, 1
0.167, 0.165 to 0.170, 1
0.172, 0.170 to 0.175, 1
0.177, 0.175 to 0.180, 0
0.183, 0.180 to 0.185, 0
0.188, 0.185 to 0.190, 1
0.193, 0.190 to 0.195, 0
0.198, 0.195 to 0.200, 0
0.203, 0.200 to 0.206, 0
0.208, 0.206 to 0.211, 0
0.213, 0.211 to 0.216, 0
0.218, 0.216 to 0.221, 0
0.224, 0.221 to 0.226, 0
0.229, 0.226 to 0.231, 1
0.234, 0.231 to 0.236, 0
0.239, 0.236 to 0.242, 0
0.244, 0.242 to 0.247, 0
0.249, 0.247 to 0.252, 0
0.254, 0.252 to 0.257, 1


Plate, 1
Well, 4
Count, 167
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.010, 0
0.013, 0.010 to 0.015, 0
0.018, 0.015 to 0.021, 0
0.023, 0.021 to 0.026, 0
0.028, 0.026 to 0.031, 0
0.033, 0.031 to 0.036, 0
0.038, 0.036 to 0.041, 0
0.044, 0.041 to 0.046, 0
0.049, 0.046 to 0.051, 0
0.054, 0.051 to 0.056, 0
0.059, 0.056 to 0.062, 0
0.064, 0.062 to 0.067, 0
0.069, 0.067 to 0.072, 0
0.074, 0.072 to 0.077, 0
0.080, 0.077 to 0.082, 0
0.085, 0.082 to 0.087, 0
0.090, 0.087 to 0.092, 1
0.095, 0.092 to 0.098, 13
0.100, 0.098 to 0.103, 28
0.105, 0.103 to 0.108, 25
0.110, 0.108 to 0.113, 17
0.115, 0.113 to 0.118, 9
0.121, 0.118 to 0.123, 14
0.126, 0.123 to 0.128, 3
0.131, 0.128 to 0.133, 7
0.136, 0.133 to 0.139, 3
0.141, 0.139 to 0.144, 8
0.146, 0.144 to 0.149, 12
0.151, 0.149 to 0.154, 3
0.157, 0.154 to 0.159, 2
0.162, 0.159 to 0.164, 2
0.167, 0.164 to 0.169, 3
0.172, 0.169 to 0.174, 0
0.177, 0.174 to 0.180, 1
0.182, 0.180 to 0.185, 1
0.187, 0.185 to 0.190, 1
0.192, 0.190 to 0.195, 1
0.198, 0.195 to 0.200, 0
0.203, 0.200 to 0.205, 2
0.208, 0.205 to 0.210, 2
0.213, 0.210 to 0.216, 3
0.218, 0.216 to 0.221, 0
0.223, 0.221 to 0.226, 1
0.228, 0.226 to 0.231, 1
0.233, 0.231 to 0.236, 1
0.239, 0.236 to 0.241, 1
0.244, 0.241 to 0.246, 1
0.249, 0.246 to 0.251, 0
0.254, 0.251 to 0.257, 1


Plate, 1
Well, 5
Count, 166
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.016, 0
0.019, 0.016 to 0.023, 0
0.027, 0.023 to 0.031, 0
0.035, 0.031 to 0.039, 0
0.043, 0.039 to 0.047, 0
0.050, 0.047 to 0.054, 0
0.058, 0.054 to 0.062, 0
0.066, 0.062 to 0.070, 0
0.074, 0.070 to 0.078, 0
0.082, 0.078 to 0.085, 2
0.089, 0.085 to 0.093, 22
0.097, 0.093 to 0.101, 29
0.105, 0.101 to 0.109, 23
0.113, 0.109 to 0.116, 12
0.120, 0.116 to 0.124, 12
0.128, 0.124 to 0.132, 8
0.136, 0.132 to 0.140, 13
0.144, 0.140 to 0.147, 5
0.151, 0.147 to 0.155, 4
0.159, 0.155 to 0.163, 9
0.167, 0.163 to 0.171, 5
0.175, 0.171 to 0.179, 4
0.182, 0.179 to 0.186, 4
0.190, 0.186 to 0.194, 3
0.198, 0.194 to 0.202, 3
0.206, 0.202 to 0.210, 1
0.213, 0.210 to 0.217, 0
0.221, 0.217 to 0.225, 2
0.229, 0.225 to 0.233, 0
0.237, 0.233 to 0.241, 2
0.245, 0.241 to 0.248, 1
0.252, 0.248 to 0.256, 0
0.260, 0.256 to 0.264, 0
0.268, 0.264 to 0.272, 1
0.276, 0.272 to 0.279, 0
0.283, 0.279 to 0.287, 0
