Plate, 2
Well, 1
Count, 93
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
713.670, 0.000 to 1427.340, 5
2141.010, 1427.340 to 2854.680, 7
3568.350, 2854.680 to 4282.020, 12
4995.690, 4282.020 to 5709.360, 8
6423.030, 5709.360 to 7136.700, 11
7850.370, 7136.700 to 8564.040, 12
9277.710, 8564.040 to 9991.380, 10
10705.050, 9991.380 to 11418.720, 6
12132.390, 11418.720 to 12846.060, 3
13559.730, 12846.060 to 14273.400, 4
14987.069, 14273.400 to 15700.739, 0
16414.409, 15700.739 to 17128.079, 5
17841.749, 17128.079 to 18555.419, 2
19269.089, 18555.419 to 19982.759, 0
20696.429, 19982.759 to 21410.099, 1
22123.769, 21410.099 to 22837.439, 1
23551.109, 22837.439 to 24264.779, 1
24978.449, 24264.779 to 25692.119, 1
26405.789, 25692.119 to 27119.459, 0
27833.129, 27119.459 to 28546.799, 1
29260.469, 28546.799 to 29974.139, 0
30687.809, 29974.139 to 31401.479, 0
32115.149, 31401.479 to 32828.819, 0
33542.489, 32828.819 to 34256.159, 1
34969.829, 34256.159 to 35683.499, 0
36397.169, 35683.499 to 37110.839, 0
37824.509, 37110.839 to 38538.179, 0
39251.849, 38538.179 to 39965.519, 0
40679.189, 39965.519 to 41392.859, 0
42106.529, 41392.859 to 42820.199, 0
43533.869, 42820.199 to 44247.539, 0
44961.208, 44247.539 to 45674.878, 0
46388.548, 45674.878 to 47102.218, 0
47815.888, 47102.218 to 48529.558, 0
49243.228, 48529.558 to 49956.898, 0
50670.568, 49956.898 to 51384.238, 0
52097.908, 51384.238 to 52811.578, 0
53525.248, 52811.578 to 54238.918, 0
54952.588, 54238.918 to 55666.258, 0
56379.928, 55666.258 to 57093.598, 0
57807.268, 57093.598 to 58520.938, 0
59234.608, 58520.938 to 59948.278, 0
60661.948, 59948.278 to 61375.618, 1
62089.288, 61375.618 to 62802.958, 0
63516.628, 62802.958 to 64230.298, 0
64943.968, 64230.298 to 65657.638, 0
66371.308, 65657.638 to 67084.978, 0
67798.648, 67084.978 to 68512.318, 0
69225.988, 68512.318 to 69939.658, 0
70653.328, 69939.658 to 71366.998, 1


Plate, 2
Well, 2
Count, 85
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1298.724, 0.000 to 2597.448, 4
3896.173, 2597.448 to 5194.897, 10
6493.621, 5194.897 to 7792.345, 22
9091.070, 7792.345 to 10389.794, 13
11688.518, 10389.794 to 12987.242, 9
14285.967, 12987.242 to 15584.691, 10
16883.415, 15584.691 to 18182.139, 8
