Plate, 2
Well, 1
Count, 93

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
558.755, 245207.007, 0.136, 33383.966, 91340443.137, 1023.031, 2878.667, 13885.333
400.292, 125847.402, 0.192, 24151.153, 33583826.968, 1712.277, 11345.333, 7789.333
450.316, 159266.869, 0.115, 18249.377, 47813657.091, 757.282, 29210.000, 26670.000
664.964, 347285.562, 0.205, 71366.998, 153955033.575, 2630.123, 25146.000, 2540.000
647.960, 329751.314, 0.185, 60967.992, 142443816.612, 1794.055, 1100.667, 16425.333
387.465, 117911.105, 0.134, 15783.970, 30457612.850, 2329.488, 25146.000, 8974.667
367.225, 105914.134, 0.133, 14102.788, 25929532.204, 1556.578, 12022.667, 9567.333
412.796, 133832.497, 0.128, 17077.529, 36830377.685, 1047.269, 3471.333, 23029.333
453.276, 161367.577, 0.170, 27496.711, 48762753.135, 728.330, 14647.333, 34713.333
415.380, 135513.001, 0.126, 17061.419, 37526256.484, 644.802, 10752.667, 29379.333
402.516, 127249.338, 0.132, 16857.326, 34146570.903, 1617.554, 9906.000, 27347.333
476.844, 178583.972, 0.118, 21022.237, 56771127.450, 871.697, 30734.000, 13462.000
466.292, 170767.795, 0.144, 24627.683, 53085114.474, 2131.852, 17610.667, 35221.333
345.171, 93574.942, 0.135, 12614.759, 21532931.183, 1295.151, 31242.000, 10583.333
322.038, 81452.691, 0.101, 8198.348, 17487267.553, 644.802, 11006.667, 28786.667
444.640, 155277.179, 0.115, 17894.967, 46028333.291, 1396.358, 24976.667, 6519.333
377.978, 112207.884, 0.106, 11946.398, 28274755.648, 883.946, 7874.000, 26500.667
356.938, 100063.219, 0.092, 9239.414, 23810883.090, 871.697, 2709.333, 19050.000
344.404, 93159.572, 0.112, 10421.205, 21389716.478, 2300.068, 19642.667, 28871.333
363.693, 103886.479, 0.097, 10111.894, 25188502.150, 833.870, 27855.333, 28448.000
345.171, 93574.942, 0.138, 12919.538, 21532931.183, 4461.700, 12446.000, 2624.667
370.165, 107616.872, 0.100, 10797.163, 26557326.058, 1295.151, 30988.000, 11853.333
300.229, 70793.989, 0.096, 6830.519, 14169625.688, 1378.273, 6265.333, 12869.333
341.858, 91786.864, 0.106, 9703.437, 20918695.644, 1514.563, 18542.000, 31834.667
512.161, 206016.621, 0.077, 15766.962, 70342401.482, 1047.269, 2455.333, 22775.333
300.229, 70793.989, 0.100, 7051.612, 14169625.688, 833.870, 27093.333, 28786.667
347.135, 94642.567, 0.102, 9673.776, 21902493.848, 535.479, 27516.667, 7027.333
440.824, 152623.048, 0.093, 14196.226, 44853256.747, 1714.369, 32342.667, 26077.333
333.431, 87317.433, 0.090, 7890.884, 19409539.900, 616.383, 2286.000, 18288.000
336.754, 89066.831, 0.096, 8559.299, 19995754.586, 1712.277, 13038.667, 7535.333
395.162, 122642.376, 0.082, 10047.908, 32309083.281, 871.697, 31496.000, 13885.333
363.347, 103688.912, 0.084, 8708.843, 25116682.388, 1396.358, 25315.333, 5164.667
236.824, 44049.687, 0.215, 9455.470, 6954694.276, 1401.483, 13123.333, 34713.333
341.868, 91792.151, 0.091, 8313.597, 20920502.882, 1409.134, 13462.000, 13123.333
332.631, 86899.199, 0.087, 7567.801, 19270255.069, 2764.337, 11514.667, 17356.667
282.848, 62834.099, 0.086, 5416.051, 11848323.104, 2626.032, 19727.333, 26246.667
365.538, 104943.596, 0.083, 8666.992, 25573944.054, 883.946, 4826.000, 19050.000
374.959, 110422.536, 0.082, 9001.356, 27602624.526, 1581.704, 8720.667, 11006.667
306.051, 73566.045, 0.085, 6282.945, 15009973.193, 4432.686, 21420.667, 22013.333
332.537, 86849.835, 0.086, 7443.187, 19253837.264, 757.282, 29887.333, 26331.333
341.858, 91786.864, 0.088, 8078.445, 20918695.644, 1221.080, 30903.333, 27008.667
314.935, 77899.183, 0.093, 7210.025, 16355474.687, 2613.719, 10244.667, 14901.333
482.644, 182954.705, 0.123, 22523.501, 58867985.400, 957.894, 35136.667, 16086.667
332.923, 87051.879, 0.080, 6990.430, 19321063.439, 3173.589, 26754.667, 21844.000
360.241, 101924.210, 0.076, 7717.775, 24478219.699, 2066.977, 29040.667, 24045.333
300.229, 70793.989, 0.080, 5664.174, 14169625.688, 1023.031, 19134.667, 17187.333
408.366, 130975.120, 0.079, 10408.265, 35657181.085, 535.479, 28024.667, 7196.667
358.509, 100946.158, 0.077, 7783.108, 24126731.367, 723.392, 12700.000, 11938.000
385.258, 116571.580, 0.072, 8412.997, 29940070.799, 1103.918, 4741.333, 27940.000
384.158, 115907.036, 0.079, 9182.402, 29684415.259, 1545.022, 26839.333, 27262.667
329.198, 85114.456, 0.090, 7700.302, 18679652.555, 723.392, 15240.000, 34290.000
300.229, 70793.989, 0.076, 5396.135, 14169625.688, 1258.660, 17102.667, 17526.000
343.638, 92745.126, 0.075, 6944.005, 21247138.196, 883.946, 8720.667, 26246.667
332.923, 87051.879, 0.079, 6863.235, 19321063.439, 1439.333, 2963.333, 17018.000
295.600, 68627.394, 0.084, 5759.701, 13524152.626, 2819.540, 21674.667, 3725.333
283.083, 62938.460, 0.075, 4748.737, 11877853.505, 2271.845, 13123.333, 30395.333
318.808, 79826.971, 0.079, 6293.618, 16966344.415, 1590.742, 23537.333, 5842.000
248.783, 48610.682, 0.099, 4788.619, 8062344.890, 3105.086, 34205.333, 21759.333
330.312, 85691.600, 0.114, 9802.232, 18869968.662, 723.392, 15494.000, 34967.333
233.748, 42912.806, 0.090, 3876.605, 6687197.850, 1786.045, 4233.333, 11430.000
263.753, 54636.848, 0.081, 4399.336, 9607098.893, 883.946, 4572.000, 19896.667
448.327, 157862.841, 0.074, 11706.526, 47182795.782, 1103.918, 5334.000, 28871.333
175.861, 24290.095, 0.089, 2154.748, 2847787.695, 1367.832, 32342.667, 18203.333
123.809, 12039.186, 0.086, 1031.780, 993709.586, 2424.484, 6350.000, 21928.667
210.104, 34670.255, 0.076, 2621.742, 4856231.202, 1378.273, 3556.000, 20828.000
