Plate, 1
Well, 1
Count, 239
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.011, 0.008 to 0.015, 0
0.019, 0.015 to 0.023, 0
0.026, 0.023 to 0.030, 0
0.034, 0.030 to 0.038, 0
0.041, 0.038 to 0.045, 0
0.049, 0.045 to 0.053, 0
0.056, 0.053 to 0.060, 0
0.064, 0.060 to 0.068, 0
0.071, 0.068 to 0.075, 0
0.079, 0.075 to 0.083, 0
0.086, 0.083 to 0.090, 0
0.094, 0.090 to 0.098, 0
0.101, 0.098 to 0.105, 0
0.109, 0.105 to 0.113, 0
0.116, 0.113 to 0.120, 1
0.124, 0.120 to 0.128, 17
0.132, 0.128 to 0.135, 21
0.139, 0.135 to 0.143, 26
0.147, 0.143 to 0.150, 25
0.154, 0.150 to 0.158, 21
0.162, 0.158 to 0.165, 21
0.169, 0.165 to 0.173, 17
0.177, 0.173 to 0.180, 11
0.184, 0.180 to 0.188, 14
0.192, 0.188 to 0.195, 12
0.199, 0.195 to 0.203, 5
0.207, 0.203 to 0.210, 10
0.214, 0.210 to 0.218, 5
0.222, 0.218 to 0.225, 6
0.229, 0.225 to 0.233, 5
0.237, 0.233 to 0.240, 5
0.244, 0.240 to 0.248, 1
0.252, 0.248 to 0.255, 3
0.259, 0.255 to 0.263, 3
0.267, 0.263 to 0.271, 1
0.274, 0.271 to 0.278, 1
0.282, 0.278 to 0.286, 3
0.289, 0.286 to 0.293, 2
0.297, 0.293 to 0.301, 1
0.304, 0.301 to 0.308, 0
0.312, 0.308 to 0.316, 0
0.319, 0.316 to 0.323, 1
0.327, 0.323 to 0.331, 0
0.334, 0.331 to 0.338, 0
0.342, 0.338 to 0.346, 0
0.349, 0.346 to 0.353, 0
0.357, 0.353 to 0.361, 0
0.364, 0.361 to 0.368, 0
0.372, 0.368 to 0.376, 1


Plate, 1
Well, 2
Count, 200
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.011, 0
0.013, 0.011 to 0.016, 0
0.019, 0.016 to 0.021, 0
0.024, 0.021 to 0.027, 0
0.029, 0.027 to 0.032, 0
0.035, 0.032 to 0.037, 0
0.040, 0.037 to 0.042, 0
0.045, 0.042 to 0.048, 0
0.050, 0.048 to 0.053, 0
0.056, 0.053 to 0.058, 0
0.061, 0.058 to 0.064, 0
0.066, 0.064 to 0.069, 0
0.072, 0.069 to 0.074, 0
0.077, 0.074 to 0.080, 0
0.082, 0.080 to 0.085, 0
0.088, 0.085 to 0.090, 0
0.093, 0.090 to 0.096, 0
0.098, 0.096 to 0.101, 3
0.104, 0.101 to 0.106, 3
0.109, 0.106 to 0.112, 11
0.114, 0.112 to 0.117, 4
0.120, 0.117 to 0.122, 19
0.125, 0.122 to 0.127, 19
0.130, 0.127 to 0.133, 19
0.135, 0.133 to 0.138, 13
0.141, 0.138 to 0.143, 10
0.146, 0.143 to 0.149, 13
0.151, 0.149 to 0.154, 11
0.157, 0.154 to 0.159, 9
0.162, 0.159 to 0.165, 11
0.167, 0.165 to 0.170, 7
0.173, 0.170 to 0.175, 3
0.178, 0.175 to 0.181, 3
0.183, 0.181 to 0.186, 1
0.189, 0.186 to 0.191, 3
0.194, 0.191 to 0.197, 4
0.199, 0.197 to 0.202, 12
0.205, 0.202 to 0.207, 9
0.210, 0.207 to 0.212, 2
0.215, 0.212 to 0.218, 0
0.220, 0.218 to 0.223, 0
0.226, 0.223 to 0.228, 0
0.231, 0.228 to 0.234, 2
0.236, 0.234 to 0.239, 2
0.242, 0.239 to 0.244, 3
0.247, 0.244 to 0.250, 0
0.252, 0.250 to 0.255, 0
0.258, 0.255 to 0.260, 2
0.263, 0.260 to 0.266, 2


Plate, 1
Well, 3
Count, 187
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.009, 0
0.011, 0.009 to 0.014, 0
0.016, 0.014 to 0.018, 0
0.021, 0.018 to 0.023, 0
0.025, 0.023 to 0.028, 0
0.030, 0.028 to 0.032, 0
0.034, 0.032 to 0.037, 0
0.039, 0.037 to 0.041, 0
0.044, 0.041 to 0.046, 0
0.048, 0.046 to 0.050, 0
0.053, 0.050 to 0.055, 0
0.057, 0.055 to 0.060, 0
0.062, 0.060 to 0.064, 0
0.066, 0.064 to 0.069, 0
0.071, 0.069 to 0.073, 0
0.076, 0.073 to 0.078, 1
0.080, 0.078 to 0.083, 2
0.085, 0.083 to 0.087, 6
0.089, 0.087 to 0.092, 7
0.094, 0.092 to 0.096, 18
0.099, 0.096 to 0.101, 16
0.103, 0.101 to 0.105, 21
0.108, 0.105 to 0.110, 18
0.112, 0.110 to 0.115, 13
0.117, 0.115 to 0.119, 12
0.122, 0.119 to 0.124, 8
0.126, 0.124 to 0.128, 13
0.131, 0.128 to 0.133, 8
0.135, 0.133 to 0.138, 3
0.140, 0.138 to 0.142, 4
0.144, 0.142 to 0.147, 5
0.149, 0.147 to 0.151, 6
0.154, 0.151 to 0.156, 1
0.158, 0.156 to 0.161, 7
0.163, 0.161 to 0.165, 1
0.167, 0.165 to 0.170, 3
0.172, 0.170 to 0.174, 2
0.177, 0.174 to 0.179, 1
0.181, 0.179 to 0.183, 1
0.186, 0.183 to 0.188, 1
0.190, 0.188 to 0.193, 2
0.195, 0.193 to 0.197, 1
0.199, 0.197 to 0.202, 1
0.204, 0.202 to 0.206, 0
0.209, 0.206 to 0.211, 0
0.213, 0.211 to 0.216, 0
0.218, 0.216 to 0.220, 1
0.222, 0.220 to 0.225, 1
0.227, 0.225 to 0.229, 3


Plate, 1
Well, 4
Count, 188
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.014, 0
0.017, 0.014 to 0.021, 0
0.024, 0.021 to 0.028, 0
0.031, 0.028 to 0.035, 0
0.038, 0.035 to 0.042, 0
0.045, 0.042 to 0.048, 0
0.052, 0.048 to 0.055, 0
0.059, 0.055 to 0.062, 0
0.066, 0.062 to 0.069, 0
0.073, 0.069 to 0.076, 0
0.080, 0.076 to 0.083, 0
0.086, 0.083 to 0.090, 0
0.093, 0.090 to 0.097, 0
0.100, 0.097 to 0.104, 0
0.107, 0.104 to 0.111, 5
0.114, 0.111 to 0.118, 10
0.121, 0.118 to 0.125, 21
0.128, 0.125 to 0.131, 21
0.135, 0.131 to 0.138, 23
0.142, 0.138 to 0.145, 17
0.149, 0.145 to 0.152, 19
0.156, 0.152 to 0.159, 7
0.163, 0.159 to 0.166, 15
0.169, 0.166 to 0.173, 5
0.176, 0.173 to 0.180, 6
0.183, 0.180 to 0.187, 7
0.190, 0.187 to 0.194, 4
0.197, 0.194 to 0.201, 3
0.204, 0.201 to 0.208, 5
0.211, 0.208 to 0.214, 4
0.218, 0.214 to 0.221, 1
0.225, 0.221 to 0.228, 0
0.232, 0.228 to 0.235, 0
0.239, 0.235 to 0.242, 2
0.246, 0.242 to 0.249, 3
0.252, 0.249 to 0.256, 0
0.259, 0.256 to 0.263, 2
0.266, 0.263 to 0.270, 2
0.273, 0.270 to 0.277, 0
0.280, 0.277 to 0.284, 0
0.287, 0.284 to 0.291, 1
0.294, 0.291 to 0.297, 0
0.301, 0.297 to 0.304, 0
0.308, 0.304 to 0.311, 1
0.315, 0.311 to 0.318, 0
0.322, 0.318 to 0.325, 0
0.329, 0.325 to 0.332, 2
0.335, 0.332 to 0.339, 1
0.342, 0.339 to 0.346, 1


Plate, 1
Well, 5
Count, 168
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.009, 0.006 to 0.012, 0
0.014, 0.012 to 0.017, 0
0.020, 0.017 to 0.023, 0
0.026, 0.023 to 0.029, 0
0.032, 0.029 to 0.035, 0
0.038, 0.035 to 0.041, 0
0.043, 0.041 to 0.046, 0
0.049, 0.046 to 0.052, 0
0.055, 0.052 to 0.058, 0
0.061, 0.058 to 0.064, 0
0.067, 0.064 to 0.070, 0
0.072, 0.070 to 0.075, 0
0.078, 0.075 to 0.081, 0
0.084, 0.081 to 0.087, 0
0.090, 0.087 to 0.093, 0
0.096, 0.093 to 0.099, 2
0.101, 0.099 to 0.104, 5
0.107, 0.104 to 0.110, 17
0.113, 0.110 to 0.116, 14
0.119, 0.116 to 0.122, 19
0.125, 0.122 to 0.128, 13
0.130, 0.128 to 0.133, 16
0.136, 0.133 to 0.139, 11
0.142, 0.139 to 0.145, 12
0.148, 0.145 to 0.151, 6
0.154, 0.151 to 0.157, 8
0.159, 0.157 to 0.162, 8
0.165, 0.162 to 0.168, 5
0.171, 0.168 to 0.174, 4
0.177, 0.174 to 0.180, 6
0.183, 0.180 to 0.186, 6
0.188, 0.186 to 0.191, 7
0.194, 0.191 to 0.197, 1
0.200, 0.197 to 0.203, 1
0.206, 0.203 to 0.209, 1
0.212, 0.209 to 0.215, 0
0.217, 0.215 to 0.220, 2
0.223, 0.220 to 0.226, 1
0.229, 0.226 to 0.232, 1
0.235, 0.232 to 0.238, 0
0.241, 0.238 to 0.244, 1
0.246, 0.244 to 0.249, 0
0.252, 0.249 to 0.255, 0
0.258, 0.255 to 0.261, 0
0.264, 0.261 to 0.267, 0
0.270, 0.267 to 0.272, 0
0.275, 0.272 to 0.278, 0
0.281, 0.278 to 0.284, 0
0.287, 0.284 to 0.290, 1


Plate, 1
Well, 6
Count, 188
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.005, 0
0.008, 0.005 to 0.011, 0
0.013, 0.011 to 0.016, 0
0.019, 0.016 to 0.021, 0
0.024, 0.021 to 0.027, 0
0.029, 0.027 to 0.032, 0
0.035, 0.032 to 0.037, 0
0.040, 0.037 to 0.043, 0
0.046, 0.043 to 0.048, 0
0.051, 0.048 to 0.054, 0
0.056, 0.054 to 0.059, 0
0.062, 0.059 to 0.064, 0
0.067, 0.064 to 0.070, 0
0.072, 0.070 to 0.075, 1
0.078, 0.075 to 0.080, 6
0.083, 0.080 to 0.086, 9
0.088, 0.086 to 0.091, 13
0.094, 0.091 to 0.096, 23
0.099, 0.096 to 0.102, 17
0.104, 0.102 to 0.107, 25
0.110, 0.107 to 0.112, 18
0.115, 0.112 to 0.118, 14
0.121, 0.118 to 0.123, 7
0.126, 0.123 to 0.129, 5
0.131, 0.129 to 0.134, 10
0.137, 0.134 to 0.139, 1
0.142, 0.139 to 0.145, 6
0.147, 0.145 to 0.150, 7
0.153, 0.150 to 0.155, 2
0.158, 0.155 to 0.161, 4
0.163, 0.161 to 0.166, 3
0.169, 0.166 to 0.171, 0
0.174, 0.171 to 0.177, 4
0.179, 0.177 to 0.182, 2
0.185, 0.182 to 0.187, 1
0.190, 0.187 to 0.193, 2
0.196, 0.193 to 0.198, 2
0.201, 0.198 to 0.204, 0
0.206, 0.204 to 0.209, 1
0.212, 0.209 to 0.214, 1
0.217, 0.214 to 0.220, 0
0.222, 0.220 to 0.225, 0
0.228, 0.225 to 0.230, 1
0.233, 0.230 to 0.236, 1
0.238, 0.236 to 0.241, 0
0.244, 0.241 to 0.246, 0
0.249, 0.246 to 0.252, 0
0.254, 0.252 to 0.257, 1
0.260, 0.257 to 0.262, 0
0.265, 0.262 to 0.268, 1




ADDITIONAL INFO
Read-date:	07-02-2020
Read-time:	17:47:52
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_07-02-20_17-37\Plate1\Plate1.ics


