Plate, 1
Well, 1
Count, 239
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2572.570, 0.000 to 5145.139, 5
7717.709, 5145.139 to 10290.278, 18
12862.848, 10290.278 to 15435.417, 22
18007.987, 15435.417 to 20580.556, 26
23153.126, 20580.556 to 25725.695, 27
28298.265, 25725.695 to 30870.835, 26
33443.404, 30870.835 to 36015.974, 26
38588.543, 36015.974 to 41161.113, 18
43733.682, 41161.113 to 46306.252, 16
48878.821, 46306.252 to 51451.391, 11
54023.961, 51451.391 to 56596.530, 4
59169.100, 56596.530 to 61741.669, 6
64314.239, 61741.669 to 66886.808, 8
69459.378, 66886.808 to 72031.947, 3
74604.517, 72031.947 to 77177.086, 2
79749.656, 77177.086 to 82322.226, 1
84894.795, 82322.226 to 87467.365, 1
90039.934, 87467.365 to 92612.504, 4
95185.073, 92612.504 to 97757.643, 0
100330.212, 97757.643 to 102902.782, 0
105475.352, 102902.782 to 108047.921, 1
110620.491, 108047.921 to 113193.060, 1
115765.630, 113193.060 to 118338.199, 1
120910.769, 118338.199 to 123483.338, 1
126055.908, 123483.338 to 128628.477, 0
131201.047, 128628.477 to 133773.617, 2
136346.186, 133773.617 to 138918.756, 0
141491.325, 138918.756 to 144063.895, 0
146636.464, 144063.895 to 149209.034, 1
151781.603, 149209.034 to 154354.173, 2
156926.743, 154354.173 to 159499.312, 1
162071.882, 159499.312 to 164644.451, 0
167217.021, 164644.451 to 169789.590, 2
172362.160, 169789.590 to 174934.729, 0
177507.299, 174934.729 to 180079.868, 0
182652.438, 180079.868 to 185225.008, 0
187797.577, 185225.008 to 190370.147, 0
192942.716, 190370.147 to 195515.286, 0
198087.855, 195515.286 to 200660.425, 0
203232.994, 200660.425 to 205805.564, 1
208378.134, 205805.564 to 210950.703, 1
213523.273, 210950.703 to 216095.842, 0
218668.412, 216095.842 to 221240.981, 0
223813.551, 221240.981 to 226386.120, 0
228958.690, 226386.120 to 231531.259, 0
234103.829, 231531.259 to 236676.399, 0
239248.968, 236676.399 to 241821.538, 0
244394.107, 241821.538 to 246966.677, 0
249539.246, 246966.677 to 252111.816, 0
254684.385, 252111.816 to 257256.955, 1


Plate, 1
Well, 2
Count, 200
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2107.850, 0.000 to 4215.701, 2
6323.551, 4215.701 to 8431.401, 23
10539.251, 8431.401 to 12647.102, 19
14754.952, 12647.102 to 16862.802, 15
18970.653, 16862.802 to 21078.503, 23
23186.353, 21078.503 to 25294.203, 25
27402.054, 25294.203 to 29509.904, 16
31617.754, 29509.904 to 33725.605, 14
35833.455, 33725.605 to 37941.305, 10
40049.155, 37941.305 to 42157.006, 9
44264.856, 42157.006 to 46372.706, 10
48480.557, 46372.706 to 50588.407, 9
52696.257, 50588.407 to 54804.107, 1
56911.958, 54804.107 to 59019.808, 3
61127.658, 59019.808 to 63235.509, 2
65343.359, 63235.509 to 67451.209, 3
69559.059, 67451.209 to 71666.910, 1
73774.760, 71666.910 to 75882.610, 3
77990.461, 75882.610 to 80098.311, 0
82206.161, 80098.311 to 84314.011, 2
