Plate, 1
Well, 2
Count, 200

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
822.160, 530887.682, 0.191, 101262.509, 290983104.679, 780.588, 13970.000, 28956.000
1178.213, 1090279.096, 0.193, 210785.028, 856387517.072, 728.330, 31411.333, 12869.333
645.260, 327008.882, 0.261, 85332.086, 140670529.750, 1954.682, 23283.333, 30141.333
693.510, 377742.571, 0.241, 91071.864, 174645619.595, 508.000, 9652.000, 27686.000
693.030, 377219.126, 0.198, 74604.470, 174282731.003, 1176.227, 12954.000, 29548.667
968.784, 737129.827, 0.193, 142184.725, 476079824.880, 728.330, 30818.667, 12446.000
524.611, 216154.494, 0.201, 43376.682, 75597982.344, 1077.631, 33612.667, 16256.000
463.245, 168543.160, 0.266, 44767.314, 52051170.378, 957.894, 7535.333, 10414.000
637.803, 319494.230, 0.179, 57294.265, 135849589.269, 1103.918, 14732.000, 3979.333
646.466, 328232.404, 0.173, 56894.471, 141460757.832, 1617.554, 25146.000, 7450.667
641.337, 323044.798, 0.152, 49048.235, 138120432.071, 965.349, 32850.667, 17018.000
598.258, 281103.873, 0.169, 47468.496, 112115083.645, 935.174, 17441.333, 4402.667
383.717, 115640.947, 0.242, 27951.768, 29582253.746, 698.179, 31919.333, 21928.667
790.267, 490497.937, 0.165, 80717.829, 258416106.117, 682.604, 18965.333, 3640.667
573.449, 258272.999, 0.168, 43272.792, 98737541.461, 1419.272, 31750.000, 10498.667
553.178, 240336.466, 0.207, 49727.264, 88632562.739, 757.282, 27347.333, 27855.333
574.877, 259561.604, 0.196, 50785.078, 99477411.006, 455.944, 33528.000, 18711.333
514.167, 207633.572, 0.229, 47475.650, 71172162.987, 863.434, 8974.667, 26839.333
539.274, 228406.588, 0.176, 40220.404, 82115802.324, 1060.870, 5588.000, 23876.000
718.165, 405077.653, 0.201, 81582.070, 193941713.440, 780.588, 5164.667, 17441.333
721.746, 409127.777, 0.240, 98188.322, 196857629.088, 542.131, 27008.667, 29802.667
528.092, 219032.909, 0.204, 44720.597, 77113045.767, 1250.088, 18372.667, 2540.000
515.839, 208986.398, 0.204, 42699.689, 71868872.486, 957.894, 8212.667, 11091.333
521.390, 213508.354, 0.198, 42295.750, 74214045.901, 1188.353, 23029.333, 32427.333
471.904, 174902.923, 0.198, 34714.153, 55024917.562, 455.944, 33697.333, 18288.000
564.422, 250205.629, 0.198, 49617.407, 94147635.078, 1606.437, 29802.667, 29379.333
500.904, 197060.545, 0.205, 40440.157, 65805670.801, 567.961, 29294.667, 8212.667
540.118, 229122.048, 0.188, 43142.881, 82501932.920, 1930.697, 14562.667, 25569.333
350.632, 96559.222, 0.234, 22599.537, 22571188.861, 698.179, 12615.333, 26839.333
609.009, 291297.827, 0.258, 75024.786, 118268657.787, 833.870, 32088.667, 23452.667
476.844, 178583.972, 0.188, 33648.163, 56771127.450, 987.375, 16002.000, 5164.667
638.791, 320484.340, 0.210, 67231.131, 136481573.502, 1856.885, 7366.000, 24553.333
613.763, 295863.447, 0.206, 60853.167, 121060027.797, 833.870, 32427.333, 22690.667
540.301, 229277.633, 0.205, 47006.882, 82585981.306, 567.961, 15663.333, 3386.667
470.710, 174019.061, 0.165, 28709.711, 54608347.340, 1643.929, 28702.000, 23622.000
557.240, 243879.342, 0.161, 39284.655, 90599608.943, 2116.667, 16425.333, 16764.000
522.492, 214412.019, 0.162, 34820.641, 74685705.771, 1103.918, 6180.667, 27516.667
419.060, 137924.709, 0.185, 25465.246, 38532475.630, 718.420, 28278.667, 7450.667
634.471, 316164.481, 0.151, 47712.955, 133731408.156, 1461.573, 20574.000, 4148.667
579.477, 263731.378, 0.133, 35048.836, 101884121.558, 762.000, 32004.000, 19473.333
290.574, 66313.521, 0.212, 14055.800, 12845970.797, 542.131, 27432.000, 29464.000
390.860, 119986.307, 0.202, 24183.540, 31265208.466, 1545.022, 27347.333, 10329.333
658.317, 340376.619, 0.132, 44923.173, 149383757.597, 1295.151, 32681.333, 13123.333
599.293, 282077.560, 0.139, 39349.508, 112698103.491, 871.697, 10160.000, 26924.000
534.482, 224365.819, 0.164, 36696.941, 79946387.058, 1481.062, 19388.667, 6858.000
568.703, 254016.209, 0.154, 39134.933, 96306576.716, 965.349, 20828.000, 5588.000
615.653, 297688.586, 0.203, 60457.026, 122181956.628, 1047.269, 18457.333, 1016.000
376.574, 111375.729, 0.197, 21967.714, 27960803.090, 1129.594, 4741.333, 8805.333
378.103, 112282.169, 0.162, 18184.525, 28302838.325, 2116.667, 17695.333, 18457.333
517.571, 210391.996, 0.147, 31005.720, 72595152.567, 757.282, 31411.333, 24892.000
420.753, 139041.625, 0.164, 22733.602, 39001476.811, 455.944, 17610.667, 32596.667
437.562, 150372.548, 0.154, 23139.918, 43864848.782, 1295.151, 27601.333, 8805.333
478.412, 179760.026, 0.165, 29681.053, 57332843.831, 846.667, 7874.000, 5672.667
853.916, 572690.945, 0.149, 85251.715, 326020023.840, 359.210, 11853.333, 6350.000
543.539, 232033.558, 0.159, 36906.773, 84079476.344, 1441.821, 11938.000, 11768.667
648.961, 330770.377, 0.149, 49397.826, 143104639.295, 508.000, 9144.000, 27686.000
583.124, 267061.983, 0.146, 38889.879, 103820210.366, 698.179, 15832.667, 4148.667
501.270, 197348.399, 0.164, 32452.103, 65949910.594, 378.641, 23876.000, 4826.000
540.895, 229782.293, 0.148, 34120.037, 82858799.678, 846.667, 3810.000, 10414.000
333.431, 87317.433, 0.233, 20375.868, 19409539.900, 682.604, 8720.667, 23198.667
419.581, 138267.860, 0.172, 23753.874, 38676366.171, 762.000, 31242.000, 19473.333
450.316, 159266.869, 0.162, 25742.008, 47813657.091, 728.330, 4826.000, 25569.333
686.424, 370062.531, 0.120, 44493.883, 169346596.127, 682.604, 33104.667, 17949.333
428.487, 144199.855, 0.141, 20326.055, 41191825.224, 359.210, 11599.333, 6096.000
430.580, 145612.270, 0.149, 21724.625, 41798505.755, 378.641, 23537.333, 4995.333
485.284, 184961.557, 0.166, 30639.574, 59839231.699, 493.687, 24807.333, 31496.000
448.471, 157963.959, 0.148, 23381.729, 47228136.865, 1481.062, 18118.667, 7620.000
454.943, 162556.249, 0.157, 25517.798, 49302541.166, 1617.554, 6265.333, 11938.000
631.202, 312915.500, 0.132, 41218.104, 131675329.791, 766.689, 28109.333, 27770.667
342.085, 91909.128, 0.193, 17723.085, 20960506.297, 1526.350, 10329.333, 24722.667
399.088, 125091.116, 0.197, 24632.683, 33281546.669, 455.944, 5080.000, 13038.667
356.171, 99633.674, 0.176, 17514.083, 23657726.974, 592.667, 9482.667, 8128.000
278.891, 61088.335, 0.170, 10402.787, 11357983.407, 780.588, 4656.667, 16848.667
227.512, 40653.687, 0.167, 6793.300, 6166144.544, 661.268, 5503.333, 19388.667
397.779, 124271.964, 0.148, 18451.635, 32955168.973, 915.810, 6858.000, 16594.667
426.209, 142671.012, 0.151, 21557.776, 40538475.755, 871.697, 18034.000, 31834.667
594.374, 277465.689, 0.133, 36949.434, 109945568.928, 455.944, 16510.000, 32342.667
500.904, 197060.545, 0.133, 26124.254, 65805670.801, 883.946, 32173.333, 11853.333
436.832, 149871.599, 0.147, 21961.177, 43645835.578, 1016.000, 9567.333, 10752.667
420.638, 138965.244, 0.158, 21929.563, 38969343.583, 677.333, 15663.333, 32766.000
260.751, 53399.966, 0.256, 13665.149, 9282720.368, 359.210, 4656.667, 13208.000
439.334, 151593.268, 0.129, 19587.331, 44400071.871, 478.947, 12192.000, 6011.333
308.406, 74702.436, 0.158, 11827.882, 15359106.396, 682.604, 26077.333, 27178.000
540.473, 229423.545, 0.135, 31009.644, 82664830.351, 1556.578, 14054.667, 20150.667
415.574, 135639.737, 0.154, 20846.085, 37578912.594, 567.961, 28786.667, 7958.667
441.402, 153023.544, 0.139, 21326.654, 45029920.985, 3224.011, 19727.333, 26754.667
433.352, 147493.136, 0.146, 21603.142, 42610979.337, 1794.055, 25823.333, 3894.667
434.446, 148238.717, 0.138, 20509.491, 42934486.554, 780.588, 13462.000, 28363.333
472.096, 175045.218, 0.153, 26833.365, 55092081.095, 359.210, 4402.667, 13462.000
543.916, 232355.439, 0.137, 31875.198, 84254491.969, 935.174, 15748.000, 33697.333
217.621, 37195.693, 0.126, 4668.313, 5396383.125, 1365.209, 26246.667, 8636.000
444.323, 155055.550, 0.131, 20333.281, 45929823.314, 846.667, 7874.000, 6519.333
758.290, 451606.835, 0.111, 50061.037, 228299289.563, 698.179, 16510.000, 4318.000
619.370, 301293.667, 0.131, 39328.054, 124408142.079, 598.684, 28532.667, 5080.000
679.386, 362512.721, 0.121, 43739.664, 164190746.302, 871.697, 9736.667, 26162.000
414.338, 134834.107, 0.159, 21380.228, 37244611.366, 1281.239, 4318.000, 24045.333
576.731, 261237.866, 0.127, 33125.123, 100442610.768, 493.687, 4487.333, 9906.000
