Plate, 2
Well, 1
Count, 172
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
8041.037, 0.000 to 16082.074, 0
24123.111, 16082.074 to 32164.148, 2
40205.185, 32164.148 to 48246.222, 13
56287.259, 48246.222 to 64328.296, 11
72369.333, 64328.296 to 80410.370, 8
88451.407, 80410.370 to 96492.444, 12
104533.481, 96492.444 to 112574.518, 8
120615.555, 112574.518 to 128656.592, 10
136697.629, 128656.592 to 144738.666, 11
152779.703, 144738.666 to 160820.740, 7
168861.777, 160820.740 to 176902.814, 20
184943.851, 176902.814 to 192984.888, 9
201025.925, 192984.888 to 209066.962, 8
217107.999, 209066.962 to 225149.035, 8
233190.072, 225149.035 to 241231.109, 4
249272.146, 241231.109 to 257313.183, 9
265354.220, 257313.183 to 273395.257, 3
281436.294, 273395.257 to 289477.331, 2
297518.368, 289477.331 to 305559.405, 2
313600.442, 305559.405 to 321641.479, 2
329682.516, 321641.479 to 337723.553, 1
345764.590, 337723.553 to 353805.627, 1
361846.664, 353805.627 to 369887.701, 5
377928.738, 369887.701 to 385969.775, 2
394010.812, 385969.775 to 402051.849, 4
410092.886, 402051.849 to 418133.923, 1
426174.960, 418133.923 to 434215.997, 1
442257.034, 434215.997 to 450298.071, 1
458339.108, 450298.071 to 466380.145, 0
474421.182, 466380.145 to 482462.219, 0
490503.256, 482462.219 to 498544.293, 0
506585.330, 498544.293 to 514626.367, 0
522667.404, 514626.367 to 530708.441, 2
538749.478, 530708.441 to 546790.515, 0
554831.552, 546790.515 to 562872.589, 0
570913.626, 562872.589 to 578954.663, 0
586995.700, 578954.663 to 595036.737, 1
603077.774, 595036.737 to 611118.811, 1
619159.848, 611118.811 to 627200.885, 0
635241.922, 627200.885 to 643282.959, 1
651323.996, 643282.959 to 659365.033, 0
667406.070, 659365.033 to 675447.106, 0
683488.143, 675447.106 to 691529.180, 0
699570.217, 691529.180 to 707611.254, 0
715652.291, 707611.254 to 723693.328, 0
731734.365, 723693.328 to 739775.402, 0
