Plate, 2
Well, 1
Count, 172
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
10.118, 0.000 to 20.237, 0
30.355, 20.237 to 40.474, 0
50.592, 40.474 to 60.710, 0
70.829, 60.710 to 80.947, 0
91.065, 80.947 to 101.184, 0
111.302, 101.184 to 121.421, 0
131.539, 121.421 to 141.657, 0
151.776, 141.657 to 161.894, 0
172.013, 161.894 to 182.131, 0
192.249, 182.131 to 202.368, 2
212.486, 202.368 to 222.604, 8
232.723, 222.604 to 242.841, 5
252.960, 242.841 to 263.078, 4
273.196, 263.078 to 283.315, 6
293.433, 283.315 to 303.551, 7
313.670, 303.551 to 323.788, 2
333.907, 323.788 to 344.025, 10
354.143, 344.025 to 364.262, 6
374.380, 364.262 to 384.499, 4
394.617, 384.499 to 404.735, 10
414.854, 404.735 to 424.972, 9
435.090, 424.972 to 445.209, 6
455.327, 445.209 to 465.446, 17
475.564, 465.446 to 485.682, 13
495.801, 485.682 to 505.919, 7
516.038, 505.919 to 526.156, 7
536.274, 526.156 to 546.393, 7
556.511, 546.393 to 566.629, 7
576.748, 566.629 to 586.866, 6
596.985, 586.866 to 607.103, 2
617.221, 607.103 to 627.340, 2
637.458, 627.340 to 647.576, 2
657.695, 647.576 to 667.813, 2
677.932, 667.813 to 688.050, 5
698.168, 688.050 to 708.287, 3
718.405, 708.287 to 728.524, 4
738.642, 728.524 to 748.760, 1
758.879, 748.760 to 768.997, 1
779.115, 768.997 to 789.234, 0
799.352, 789.234 to 809.471, 0
819.589, 809.471 to 829.707, 2
839.826, 829.707 to 849.944, 0
860.063, 849.944 to 870.181, 1
880.299, 870.181 to 890.418, 1
900.536, 890.418 to 910.654, 1
920.773, 910.654 to 930.891, 0
941.010, 930.891 to 951.128, 0
961.246, 951.128 to 971.365, 0
981.483, 971.365 to 991.601, 1
1001.720, 991.601 to 1011.838, 1


Plate, 2
Well, 2
Count, 140
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
10.147, 0.000 to 20.293, 0
30.440, 20.293 to 40.587, 0
50.733, 40.587 to 60.880, 0
71.026, 60.880 to 81.173, 0
91.320, 81.173 to 101.466, 0
111.613, 101.466 to 121.760, 0
131.906, 121.760 to 142.053, 0
152.200, 142.053 to 162.346, 0
172.493, 162.346 to 182.639, 0
192.786, 182.639 to 202.933, 0
213.079, 202.933 to 223.226, 6
233.373, 223.226 to 243.519, 7
253.666, 243.519 to 263.813, 3
273.959, 263.813 to 284.106, 3
294.252, 284.106 to 304.399, 4
314.546, 304.399 to 324.692, 2
334.839, 324.692 to 344.986, 7
355.132, 344.986 to 365.279, 7
375.426, 365.279 to 385.572, 10
395.719, 385.572 to 405.865, 10
416.012, 405.865 to 426.159, 10
436.305, 426.159 to 446.452, 6
456.599, 446.452 to 466.745, 11
476.892, 466.745 to 487.038, 6
497.185, 487.038 to 507.332, 6
517.478, 507.332 to 527.625, 9
537.772, 527.625 to 547.918, 5
558.065, 547.918 to 568.212, 4
578.358, 568.212 to 588.505, 7
598.651, 588.505 to 608.798, 3
618.945, 608.798 to 629.091, 1
639.238, 629.091 to 649.385, 0
659.531, 649.385 to 669.678, 0
679.825, 669.678 to 689.971, 3
700.118, 689.971 to 710.264, 0
720.411, 710.264 to 730.558, 0
740.704, 730.558 to 750.851, 1
760.998, 750.851 to 771.144, 0
781.291, 771.144 to 791.438, 1
801.584, 791.438 to 811.731, 2
821.877, 811.731 to 832.024, 1
842.171, 832.024 to 852.317, 0
862.464, 852.317 to 872.611, 0
882.757, 872.611 to 892.904, 1
903.051, 892.904 to 913.197, 1
923.344, 913.197 to 933.490, 0
943.637, 933.490 to 953.784, 1
963.930, 953.784 to 974.077, 0
984.224, 974.077 to 994.370, 1
1004.517, 994.370 to 1014.664, 1


Plate, 2
Well, 3
Count, 105
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
7.589, 0.000 to 15.179, 0
22.768, 15.179 to 30.357, 0
37.947, 30.357 to 45.536, 0
53.126, 45.536 to 60.715, 0
68.304, 60.715 to 75.894, 0
83.483, 75.894 to 91.072, 0
98.662, 91.072 to 106.251, 0
113.840, 106.251 to 121.430, 0
129.019, 121.430 to 136.608, 0
144.198, 136.608 to 151.787, 0
159.377, 151.787 to 166.966, 0
174.555, 166.966 to 182.145, 0
189.734, 182.145 to 197.323, 0
204.913, 197.323 to 212.502, 3
220.091, 212.502 to 227.681, 12
235.270, 227.681 to 242.860, 6
250.449, 242.860 to 258.038, 0
265.628, 258.038 to 273.217, 3
280.806, 273.217 to 288.396, 8
295.985, 288.396 to 303.574, 1
311.164, 303.574 to 318.753, 3
326.343, 318.753 to 333.932, 5
341.521, 333.932 to 349.111, 9
356.700, 349.111 to 364.289, 4
371.879, 364.289 to 379.468, 3
387.057, 379.468 to 394.647, 4
402.236, 394.647 to 409.825, 3
417.415, 409.825 to 425.004, 7
432.594, 425.004 to 440.183, 3
447.772, 440.183 to 455.362, 8
462.951, 455.362 to 470.540, 3
478.130, 470.540 to 485.719, 3
493.308, 485.719 to 500.898, 3
508.487, 500.898 to 516.077, 3
523.666, 516.077 to 531.255, 2
538.845, 531.255 to 546.434, 0
554.023, 546.434 to 561.613, 0
569.202, 561.613 to 576.791, 0
584.381, 576.791 to 591.970, 3
599.559, 591.970 to 607.149, 1
614.738, 607.149 to 622.328, 0
629.917, 622.328 to 637.506, 0
645.096, 637.506 to 652.685, 1
660.274, 652.685 to 667.864, 0
675.453, 667.864 to 683.042, 2
690.632, 683.042 to 698.221, 0
705.811, 698.221 to 713.400, 1
720.989, 713.400 to 728.579, 0
736.168, 728.579 to 743.757, 0
751.347, 743.757 to 758.936, 1


Plate, 2
Well, 4
Count, 50
CHARM Settings 1:		PEO1_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
6.361, 0.000 to 12.721, 0
19.082, 12.721 to 25.443, 0
31.803, 25.443 to 38.164, 0
44.524, 38.164 to 50.885, 0
57.246, 50.885 to 63.606, 0
69.967, 63.606 to 76.328, 0
82.688, 76.328 to 89.049, 0
95.410, 89.049 to 101.770, 0
108.131, 101.770 to 114.491, 0
120.852, 114.491 to 127.213, 0
133.573, 127.213 to 139.934, 0
146.295, 139.934 to 152.655, 0
159.016, 152.655 to 165.377, 0
171.737, 165.377 to 178.098, 0
184.459, 178.098 to 190.819, 0
197.180, 190.819 to 203.540, 0
209.901, 203.540 to 216.262, 2
222.622, 216.262 to 228.983, 7
235.344, 228.983 to 241.704, 2
248.065, 241.704 to 254.426, 0
260.786, 254.426 to 267.147, 1
273.507, 267.147 to 279.868, 1
286.229, 279.868 to 292.589, 1
298.950, 292.589 to 305.311, 1
311.671, 305.311 to 318.032, 2
324.393, 318.032 to 330.753, 2
337.114, 330.753 to 343.474, 4
349.835, 343.474 to 356.196, 2
362.556, 356.196 to 368.917, 1
375.278, 368.917 to 381.638, 3
387.999, 381.638 to 394.360, 4
400.720, 394.360 to 407.081, 1
413.442, 407.081 to 419.802, 1
426.163, 419.802 to 432.523, 1
438.884, 432.523 to 445.245, 6
451.605, 445.245 to 457.966, 1
464.327, 457.966 to 470.687, 1
477.048, 470.687 to 483.409, 2
489.769, 483.409 to 496.130, 0
502.490, 496.130 to 508.851, 0
515.212, 508.851 to 521.572, 0
527.933, 521.572 to 534.294, 1
540.654, 534.294 to 547.015, 0
553.376, 547.015 to 559.736, 2
