Plate, 2
Well, 1
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
46.659, 0.000 to 93.318, 0
139.977, 93.318 to 186.636, 0
233.295, 186.636 to 279.954, 0
326.613, 279.954 to 373.272, 0
419.930, 373.272 to 466.589, 2
513.248, 466.589 to 559.907, 2
606.566, 559.907 to 653.225, 4
699.884, 653.225 to 746.543, 10
793.202, 746.543 to 839.861, 15
886.520, 839.861 to 933.179, 17
979.838, 933.179 to 1026.497, 13
1073.156, 1026.497 to 1119.815, 10
1166.473, 1119.815 to 1213.132, 5
1259.791, 1213.132 to 1306.450, 9
1353.109, 1306.450 to 1399.768, 7
1446.427, 1399.768 to 1493.086, 4
1539.745, 1493.086 to 1586.404, 7
1633.063, 1586.404 to 1679.722, 9
1726.381, 1679.722 to 1773.040, 8
1819.699, 1773.040 to 1866.358, 3
1913.016, 1866.358 to 1959.675, 6
2006.334, 1959.675 to 2052.993, 2
2099.652, 2052.993 to 2146.311, 4
2192.970, 2146.311 to 2239.629, 6
2286.288, 2239.629 to 2332.947, 0
2379.606, 2332.947 to 2426.265, 0
2472.924, 2426.265 to 2519.583, 0
2566.242, 2519.583 to 2612.901, 1
2659.560, 2612.901 to 2706.218, 1
2752.877, 2706.218 to 2799.536, 0
2846.195, 2799.536 to 2892.854, 1
2939.513, 2892.854 to 2986.172, 1
3032.831, 2986.172 to 3079.490, 0
3126.149, 3079.490 to 3172.808, 2
3219.467, 3172.808 to 3266.126, 0
3312.785, 3266.126 to 3359.444, 0
3406.103, 3359.444 to 3452.761, 0
3499.420, 3452.761 to 3546.079, 0
3592.738, 3546.079 to 3639.397, 0
3686.056, 3639.397 to 3732.715, 1
3779.374, 3732.715 to 3826.033, 0
3872.692, 3826.033 to 3919.351, 0
3966.010, 3919.351 to 4012.669, 0
4059.328, 4012.669 to 4105.987, 0
4152.646, 4105.987 to 4199.304, 0
4245.963, 4199.304 to 4292.622, 0
4339.281, 4292.622 to 4385.940, 0
4432.599, 4385.940 to 4479.258, 0
4525.917, 4479.258 to 4572.576, 0
4619.235, 4572.576 to 4665.894, 1


Plate, 2
Well, 2
Count, 183
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
37.196, 0.000 to 74.391, 0
111.587, 74.391 to 148.782, 0
185.978, 148.782 to 223.173, 0
260.369, 223.173 to 297.564, 0
334.760, 297.564 to 371.956, 0
409.151, 371.956 to 446.347, 2
483.542, 446.347 to 520.738, 6
557.933, 520.738 to 595.129, 6
632.325, 595.129 to 669.520, 13
706.716, 669.520 to 743.911, 7
781.107, 743.911 to 818.302, 6
855.498, 818.302 to 892.693, 10
929.889, 892.693 to 967.085, 20
1004.280, 967.085 to 1041.476, 12
1078.671, 1041.476 to 1115.867, 8
1153.062, 1115.867 to 1190.258, 7
1227.454, 1190.258 to 1264.649, 13
1301.845, 1264.649 to 1339.040, 8
1376.236, 1339.040 to 1413.431, 8
1450.627, 1413.431 to 1487.822, 6
1525.018, 1487.822 to 1562.214, 8
1599.409, 1562.214 to 1636.605, 3
1673.800, 1636.605 to 1710.996, 7
1748.191, 1710.996 to 1785.387, 6
1822.583, 1785.387 to 1859.778, 1
