Plate, 4
Well, 1
Count, 138
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1060.507, 0.000 to 2121.014, 1
3181.521, 2121.014 to 4242.028, 7
5302.535, 4242.028 to 6363.042, 13
7423.549, 6363.042 to 8484.057, 15
9544.564, 8484.057 to 10605.071, 23
11665.578, 10605.071 to 12726.085, 24
13786.592, 12726.085 to 14847.099, 18
15907.606, 14847.099 to 16968.113, 9
18028.620, 16968.113 to 19089.127, 3
20149.634, 19089.127 to 21210.141, 5
22270.648, 21210.141 to 23331.156, 5
24391.663, 23331.156 to 25452.170, 0
26512.677, 25452.170 to 27573.184, 2
28633.691, 27573.184 to 29694.198, 2
30754.705, 29694.198 to 31815.212, 3
32875.719, 31815.212 to 33936.226, 1
34996.733, 33936.226 to 36057.240, 0
37117.747, 36057.240 to 38178.255, 0
39238.762, 38178.255 to 40299.269, 0
41359.776, 40299.269 to 42420.283, 0
43480.790, 42420.283 to 44541.297, 0
45601.804, 44541.297 to 46662.311, 0
47722.818, 46662.311 to 48783.325, 0
49843.832, 48783.325 to 50904.339, 0
51964.846, 50904.339 to 53025.354, 2
54085.861, 53025.354 to 55146.368, 0
56206.875, 55146.368 to 57267.382, 0
58327.889, 57267.382 to 59388.396, 0
60448.903, 59388.396 to 61509.410, 0
62569.917, 61509.410 to 63630.424, 0
64690.931, 63630.424 to 65751.438, 1
66811.945, 65751.438 to 67872.452, 0
68932.960, 67872.452 to 69993.467, 1
71053.974, 69993.467 to 72114.481, 0
73174.988, 72114.481 to 74235.495, 0
75296.002, 74235.495 to 76356.509, 0
77417.016, 76356.509 to 78477.523, 0
79538.030, 78477.523 to 80598.537, 0
81659.044, 80598.537 to 82719.551, 1
83780.059, 82719.551 to 84840.566, 0
85901.073, 84840.566 to 86961.580, 0
88022.087, 86961.580 to 89082.594, 0
90143.101, 89082.594 to 91203.608, 0
92264.115, 91203.608 to 93324.622, 0
94385.129, 93324.622 to 95445.636, 0
96506.143, 95445.636 to 97566.650, 0
98627.158, 97566.650 to 99687.665, 0
100748.172, 99687.665 to 101808.679, 0
102869.186, 101808.679 to 103929.693, 1
104990.200, 103929.693 to 106050.707, 1


Plate, 4
Well, 2
Count, 128
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1094.720, 0.000 to 2189.440, 0
3284.160, 2189.440 to 4378.880, 7
5473.600, 4378.880 to 6568.320, 5
7663.040, 6568.320 to 8757.760, 15
9852.480, 8757.760 to 10947.200, 26
12041.920, 10947.200 to 13136.640, 17
14231.361, 13136.640 to 15326.081, 9
16420.801, 15326.081 to 17515.521, 9
18610.241, 17515.521 to 19704.961, 7
20799.681, 19704.961 to 21894.401, 9
22989.121, 21894.401 to 24083.841, 5
25178.561, 24083.841 to 26273.281, 3
27368.001, 26273.281 to 28462.721, 0
29557.441, 28462.721 to 30652.161, 3
31746.881, 30652.161 to 32841.601, 0
33936.321, 32841.601 to 35031.041, 2
36125.761, 35031.041 to 37220.481, 1
38315.201, 37220.481 to 39409.921, 0
40504.641, 39409.921 to 41599.362, 1
42694.082, 41599.362 to 43788.802, 1
44883.522, 43788.802 to 45978.242, 0
47072.962, 45978.242 to 48167.682, 0
49262.402, 48167.682 to 50357.122, 0
51451.842, 50357.122 to 52546.562, 1
53641.282, 52546.562 to 54736.002, 0
55830.722, 54736.002 to 56925.442, 0
58020.162, 56925.442 to 59114.882, 0
60209.602, 59114.882 to 61304.322, 1
62399.042, 61304.322 to 63493.762, 0
64588.482, 63493.762 to 65683.202, 0
66777.922, 65683.202 to 67872.642, 1
68967.362, 67872.642 to 70062.083, 0
71156.803, 70062.083 to 72251.523, 0
73346.243, 72251.523 to 74440.963, 1
75535.683, 74440.963 to 76630.403, 0
77725.123, 76630.403 to 78819.843, 0
79914.563, 78819.843 to 81009.283, 1
82104.003, 81009.283 to 83198.723, 0
84293.443, 83198.723 to 85388.163, 0
86482.883, 85388.163 to 87577.603, 0
88672.323, 87577.603 to 89767.043, 0
90861.763, 89767.043 to 91956.483, 0
93051.203, 91956.483 to 94145.923, 0
95240.643, 94145.923 to 96335.363, 0
97430.084, 96335.363 to 98524.804, 0
99619.524, 98524.804 to 100714.244, 0
101808.964, 100714.244 to 102903.684, 0
103998.404, 102903.684 to 105093.124, 0
106187.844, 105093.124 to 107282.564, 1
108377.284, 107282.564 to 109472.004, 2


Plate, 4
Well, 3
Count, 64
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1005.852, 0.000 to 2011.703, 0
3017.555, 2011.703 to 4023.406, 2
5029.258, 4023.406 to 6035.109, 12
7040.961, 6035.109 to 8046.813, 10
9052.664, 8046.813 to 10058.516, 6
