Plate, 1
Well, 6
Count, 125

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
604.082, 286603.811, 0.236, 67621.842, 115421507.052, 900.019, 9228.667, 13546.667
473.420, 176028.884, 0.312, 54851.759, 55557117.448, 542.131, 7450.667, 29040.667
615.957, 297982.672, 0.213, 63539.765, 122363056.313, 2795.283, 12784.667, 24553.333
520.375, 212677.993, 0.247, 52454.676, 73781525.363, 2235.264, 21336.000, 27686.000
729.482, 417945.144, 0.253, 105837.724, 203255696.005, 1289.604, 9906.000, 32427.333
752.260, 444453.393, 0.197, 87568.503, 222896443.564, 1481.062, 16933.333, 16002.000
546.260, 234362.494, 0.217, 50963.426, 85348514.742, 798.744, 30310.667, 10075.333
660.574, 342714.287, 0.175, 59994.133, 150925323.142, 1129.594, 14562.667, 9906.000
652.474, 334361.224, 0.192, 64299.176, 145441270.609, 1526.350, 18118.667, 32681.333
496.474, 193589.840, 0.186, 36022.946, 64074856.434, 780.588, 5842.000, 8043.333
579.635, 263875.858, 0.225, 59476.453, 101967855.985, 2035.525, 19896.667, 4402.667
437.562, 150372.548, 0.222, 33440.766, 43864848.782, 1676.314, 32512.000, 20489.333
391.498, 120378.544, 0.262, 31587.570, 31418643.515, 833.870, 10160.000, 31157.333
540.895, 229782.293, 0.189, 43468.653, 82858799.678, 1070.958, 12276.667, 12615.333
350.632, 96559.222, 0.320, 30932.735, 22571188.861, 833.870, 4064.000, 14139.333
493.687, 191422.239, 0.254, 48527.173, 63001717.285, 542.131, 7789.333, 29464.000
714.855, 401352.540, 0.199, 79853.612, 191272627.796, 1070.958, 11260.667, 12276.667
525.666, 217025.145, 0.195, 42269.383, 76055194.987, 2039.043, 25908.000, 14393.333
615.575, 297612.699, 0.259, 76958.252, 122135239.455, 965.349, 8720.667, 31919.333
465.928, 170501.149, 0.192, 32696.647, 52960827.759, 1019.522, 30395.333, 14139.333
547.457, 235391.028, 0.139, 32683.364, 85910977.034, 567.961, 30564.667, 24468.667
498.993, 195559.386, 0.184, 36072.245, 65055167.025, 1439.333, 20235.333, 12192.000
584.462, 268288.385, 0.197, 52718.920, 104536175.362, 423.333, 11345.333, 31496.000
408.958, 131355.450, 0.221, 29021.850, 35812607.827, 1456.660, 19388.667, 11006.667
480.206, 181111.018, 0.170, 30712.982, 57980386.589, 990.998, 4910.667, 18372.667
389.455, 119125.537, 0.209, 24947.877, 30929372.521, 846.667, 9990.667, 3894.667
405.473, 129125.789, 0.194, 25068.413, 34904649.428, 2846.110, 18457.333, 1016.000
505.434, 200640.905, 0.141, 28222.456, 67607210.639, 1439.333, 18965.333, 12869.333
478.578, 179885.142, 0.168, 30309.581, 57392710.949, 598.684, 13462.000, 6604.000
451.503, 160107.597, 0.157, 25126.360, 48192750.161, 3257.192, 24892.000, 25738.667
326.945, 83953.401, 0.165, 13835.856, 18298742.254, 1270.000, 10329.333, 10075.333
341.858, 91786.864, 0.211, 19390.494, 20918695.644, 1597.487, 21082.000, 10752.667
413.126, 134046.523, 0.187, 25063.680, 36918762.128, 1060.870, 18542.000, 30734.000
342.031, 91880.228, 0.170, 15582.313, 20950620.882, 803.219, 24214.667, 9736.667
711.849, 397983.782, 0.148, 58912.662, 188869513.774, 2376.707, 4233.333, 27347.333
417.571, 136946.657, 0.184, 25247.771, 38123340.881, 1610.893, 4402.667, 24976.667
385.258, 116571.580, 0.158, 18461.518, 29940070.799, 833.870, 13208.000, 18626.667
371.649, 108481.804, 0.152, 16451.688, 26878135.931, 1456.660, 31326.667, 19304.000
528.641, 219488.228, 0.124, 27237.239, 77353621.128, 423.333, 10922.000, 31496.000
223.867, 39361.483, 0.123, 4850.868, 5874500.904, 762.000, 23452.667, 3471.333
411.545, 133022.615, 0.370, 49210.989, 36496567.680, 2116.667, 13800.667, 34120.667
278.954, 61116.192, 0.157, 9571.312, 11365753.528, 883.946, 21082.000, 2116.667
422.166, 139976.920, 0.145, 20316.967, 39395666.280, 2103.076, 29040.667, 20828.000
513.641, 207209.151, 0.113, 23364.977, 70954051.036, 1314.380, 30480.000, 18118.667
374.728, 110286.438, 0.160, 17628.702, 27551609.007, 946.602, 10668.000, 7196.667
440.028, 152072.291, 0.133, 20264.745, 44610689.372, 1033.488, 23791.333, 29802.667
375.215, 110573.322, 0.160, 17651.371, 27659182.299, 1203.339, 7535.333, 8382.000
390.702, 119889.426, 0.163, 19530.822, 31227349.245, 1151.591, 6011.333, 24892.000
367.225, 105914.134, 0.162, 17191.195, 25929532.204, 2118.359, 7620.000, 6265.333
364.917, 104587.300, 0.143, 14941.008, 25443814.797, 1212.242, 7027.333, 27008.667
372.060, 108721.730, 0.132, 14319.642, 26967353.793, 1419.272, 21420.667, 6519.333
763.425, 457743.478, 0.201, 92227.481, 232968416.406, 3067.926, 1693.333, 12192.000
411.758, 133160.212, 0.155, 20667.295, 36553209.788, 987.375, 4572.000, 22098.000
363.880, 103993.625, 0.163, 16930.975, 25227480.394, 1481.062, 15663.333, 15240.000
387.364, 117849.551, 0.148, 17396.443, 30433766.252, 1258.660, 23368.000, 28617.333
450.131, 159135.537, 0.112, 17824.923, 47754528.620, 1478.640, 27432.000, 19473.333
474.074, 176515.438, 0.126, 22197.299, 55787620.961, 1176.227, 28194.000, 27601.333
330.787, 85938.120, 0.137, 11816.019, 18951455.718, 3413.022, 26416.000, 5926.667
266.845, 55925.076, 0.161, 9026.717, 9948868.191, 1084.262, 7704.667, 13462.000
541.358, 230175.841, 0.109, 25107.150, 83071759.413, 900.019, 8551.333, 14139.333
247.619, 48156.684, 0.151, 7258.747, 7949661.964, 1507.447, 22690.667, 12361.333
261.222, 53592.968, 0.120, 6453.703, 9333091.384, 2039.043, 27432.000, 15748.000
384.144, 115898.629, 0.139, 16074.935, 29681185.733, 883.946, 21336.000, 2963.333
475.027, 177225.536, 0.124, 22058.091, 56124598.681, 1060.870, 17610.667, 31242.000
534.022, 223979.589, 0.107, 23913.551, 79740043.192, 833.870, 13970.000, 18965.333
349.974, 96197.254, 0.137, 13203.043, 22444390.274, 1419.272, 20066.000, 6942.667
220.744, 38270.927, 0.091, 3486.277, 5632060.095, 762.000, 23452.667, 4233.333
362.038, 102943.098, 0.142, 14657.423, 24846181.476, 1212.242, 8128.000, 27516.667
441.654, 153198.489, 0.119, 18181.284, 45107163.885, 833.870, 4826.000, 14478.000
291.199, 66599.309, 0.176, 11743.766, 12929102.699, 661.268, 7027.333, 28532.667
422.360, 140105.811, 0.117, 16323.112, 39450092.039, 946.602, 9821.333, 7620.000
307.160, 74100.330, 0.191, 14158.074, 15173787.900, 965.349, 7958.667, 31326.667
223.867, 39361.483, 0.137, 5383.386, 5874500.904, 1129.594, 13462.000, 10160.000
458.050, 164784.320, 0.104, 17217.653, 50319651.494, 900.019, 11599.333, 10075.333
656.954, 338969.350, 0.107, 36288.359, 148458287.156, 1047.269, 12530.667, 1778.000
231.907, 42239.383, 0.135, 5722.313, 6530405.526, 1932.553, 14901.333, 17272.000
460.755, 166736.317, 0.124, 20670.831, 51216406.666, 987.375, 5418.667, 21590.000
384.158, 115907.036, 0.134, 15558.705, 29684415.259, 1151.591, 5926.667, 15748.000
229.362, 41317.405, 0.195, 8066.876, 6317763.299, 1796.051, 5926.667, 12022.667
227.887, 40787.742, 0.174, 7095.743, 6196668.902, 567.961, 30818.667, 23960.667
379.078, 112861.959, 0.130, 14649.787, 28522341.581, 592.667, 10075.333, 15324.667
230.635, 41777.122, 0.121, 5054.318, 6423497.819, 592.667, 9482.667, 15324.667
364.917, 104587.300, 0.110, 11481.973, 25443814.797, 1478.640, 25992.667, 19134.667
367.287, 105949.766, 0.122, 12884.910, 25942618.104, 1197.367, 6773.333, 17018.000
477.326, 178945.074, 0.211, 37816.933, 56943403.481, 1289.604, 34544.000, 19896.667
411.487, 132985.080, 0.118, 15659.604, 36481121.176, 1272.819, 15070.667, 31919.333
349.174, 95757.880, 0.139, 13302.832, 22290796.335, 2935.382, 8297.333, 19642.667
351.258, 96904.347, 0.114, 11088.944, 22692308.869, 798.744, 30734.000, 10752.667
444.302, 155040.855, 0.112, 17385.284, 45923294.282, 846.667, 9990.667, 3048.000
547.261, 235222.221, 0.114, 26906.986, 85818578.971, 3218.447, 1947.333, 20235.333
444.210, 154977.040, 0.108, 16745.419, 45894943.989, 1250.088, 14647.333, 7620.000
408.935, 131340.215, 0.181, 23830.074, 35806377.373, 2215.939, 19642.667, 34290.000
375.742, 110884.190, 0.112, 12466.358, 27775906.573, 1176.227, 28786.667, 26585.333
349.174, 95757.880, 0.133, 12738.142, 22290796.335, 1314.380, 29210.000, 17780.000
326.921, 83941.200, 0.117, 9824.154, 18294753.424, 935.174, 23876.000, 11430.000
237.088, 44147.742, 0.166, 7340.373, 6977929.032, 1212.242, 12192.000, 28532.667
220.744, 38270.927, 0.098, 3763.241, 5632060.095, 718.420, 23452.667, 9990.667
261.111, 53547.564, 0.120, 6441.290, 9321233.298, 267.740, 5757.333, 9059.333
349.174, 95757.880, 0.112, 10752.072, 22290796.335, 1019.522, 29633.333, 13462.000
227.887, 40787.742, 0.111, 4511.400, 6196668.902, 1188.353, 5672.667, 10244.667
376.767, 111490.177, 0.110, 12290.758, 28003912.081, 1070.958, 14986.000, 19304.000
223.867, 39361.483, 0.120, 4712.929, 5874500.904, 1033.488, 23198.667, 30649.333
350.995, 96759.052, 0.140, 13556.949, 22641292.117, 1151.591, 5588.000, 16848.667
220.744, 38270.927, 0.177, 6758.741, 5632060.095, 1212.242, 11091.333, 29040.667
