Plate, 2
Well, 1
Count, 162
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
9.688, 0.000 to 19.375, 0
29.063, 19.375 to 38.750, 0
48.438, 38.750 to 58.125, 0
67.813, 58.125 to 77.501, 0
87.188, 77.501 to 96.876, 0
106.563, 96.876 to 116.251, 0
125.938, 116.251 to 135.626, 0
145.314, 135.626 to 155.001, 0
164.689, 155.001 to 174.376, 0
184.064, 174.376 to 193.751, 0
203.439, 193.751 to 213.127, 5
222.814, 213.127 to 232.502, 13
242.189, 232.502 to 251.877, 5
261.564, 251.877 to 271.252, 3
280.940, 271.252 to 290.627, 5
300.315, 290.627 to 310.002, 2
319.690, 310.002 to 329.377, 9
339.065, 329.377 to 348.753, 4
358.440, 348.753 to 368.128, 7
377.815, 368.128 to 387.503, 8
397.190, 387.503 to 406.878, 10
416.566, 406.878 to 426.253, 13
435.941, 426.253 to 445.628, 18
455.316, 445.628 to 465.003, 12
474.691, 465.003 to 484.379, 7
494.066, 484.379 to 503.754, 7
513.441, 503.754 to 523.129, 10
532.816, 523.129 to 542.504, 3
552.192, 542.504 to 561.879, 4
571.567, 561.879 to 581.254, 5
590.942, 581.254 to 600.629, 4
610.317, 600.629 to 620.005, 1
629.692, 620.005 to 639.380, 0
649.067, 639.380 to 658.755, 0
668.442, 658.755 to 678.130, 2
687.818, 678.130 to 697.505, 0
707.193, 697.505 to 716.880, 1
726.568, 716.880 to 736.255, 0
745.943, 736.255 to 755.631, 1
765.318, 755.631 to 775.006, 1
784.693, 775.006 to 794.381, 0
804.068, 794.381 to 813.756, 0
823.444, 813.756 to 833.131, 0
842.819, 833.131 to 852.506, 0
862.194, 852.506 to 871.881, 1
881.569, 871.881 to 891.257, 0
900.944, 891.257 to 910.632, 0
920.319, 910.632 to 930.007, 0
939.694, 930.007 to 949.382, 0
959.070, 949.382 to 968.757, 1


Plate, 2
Well, 2
Count, 127
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
8.235, 0.000 to 16.471, 0
24.706, 16.471 to 32.941, 0
41.177, 32.941 to 49.412, 0
57.648, 49.412 to 65.883, 0
74.118, 65.883 to 82.354, 0
90.589, 82.354 to 98.824, 0
107.060, 98.824 to 115.295, 0
123.531, 115.295 to 131.766, 0
140.001, 131.766 to 148.237, 0
156.472, 148.237 to 164.707, 0
172.943, 164.707 to 181.178, 0
189.413, 181.178 to 197.649, 0
205.884, 197.649 to 214.120, 3
222.355, 214.120 to 230.590, 11
238.826, 230.590 to 247.061, 8
255.296, 247.061 to 263.532, 4
271.767, 263.532 to 280.002, 3
288.238, 280.002 to 296.473, 3
304.709, 296.473 to 312.944, 3
321.179, 312.944 to 329.415, 1
337.650, 329.415 to 345.885, 7
354.121, 345.885 to 362.356, 11
370.592, 362.356 to 378.827, 8
387.062, 378.827 to 395.298, 5
403.533, 395.298 to 411.768, 8
420.004, 411.768 to 428.239, 4
436.474, 428.239 to 444.710, 9
452.945, 444.710 to 461.181, 4
469.416, 461.181 to 477.651, 6
485.887, 477.651 to 494.122, 5
502.357, 494.122 to 510.593, 3
518.828, 510.593 to 527.064, 4
535.299, 527.064 to 543.534, 2
551.770, 543.534 to 560.005, 2
568.240, 560.005 to 576.476, 2
584.711, 576.476 to 592.946, 2
601.182, 592.946 to 609.417, 2
617.653, 609.417 to 625.888, 2
634.123, 625.888 to 642.359, 1
650.594, 642.359 to 658.829, 1
667.065, 658.829 to 675.300, 2
683.535, 675.300 to 691.771, 0
700.006, 691.771 to 708.242, 0
716.477, 708.242 to 724.712, 0
732.948, 724.712 to 741.183, 0
749.418, 741.183 to 757.654, 0
765.889, 757.654 to 774.125, 0
782.360, 774.125 to 790.595, 0
798.831, 790.595 to 807.066, 0
815.301, 807.066 to 823.537, 1


Plate, 2
Well, 3
Count, 57
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
