Plate, 2
Well, 1
Count, 162
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1792.573, 0.000 to 3585.146, 0
5377.719, 3585.146 to 7170.292, 22
8962.866, 7170.292 to 10755.439, 10
12548.012, 10755.439 to 14340.585, 14
16133.158, 14340.585 to 17925.731, 20
19718.304, 17925.731 to 21510.877, 25
23303.450, 21510.877 to 25096.023, 17
26888.597, 25096.023 to 28681.170, 15
30473.743, 28681.170 to 32266.316, 7
34058.889, 32266.316 to 35851.462, 2
37644.035, 35851.462 to 39436.608, 9
41229.181, 39436.608 to 43021.755, 3
44814.328, 43021.755 to 46606.901, 2
48399.474, 46606.901 to 50192.047, 3
51984.620, 50192.047 to 53777.193, 2
55569.766, 53777.193 to 57362.339, 3
59154.913, 57362.339 to 60947.486, 2
62740.059, 60947.486 to 64532.632, 1
66325.205, 64532.632 to 68117.778, 0
69910.351, 68117.778 to 71702.924, 2
73495.497, 71702.924 to 75288.070, 0
77080.644, 75288.070 to 78873.217, 1
80665.790, 78873.217 to 82458.363, 0
84250.936, 82458.363 to 86043.509, 1
87836.082, 86043.509 to 89628.655, 0
91421.228, 89628.655 to 93213.802, 0
95006.375, 93213.802 to 96798.948, 0
98591.521, 96798.948 to 100384.094, 0
102176.667, 100384.094 to 103969.240, 0
105761.813, 103969.240 to 107554.386, 0
109346.960, 107554.386 to 111139.533, 0
112932.106, 111139.533 to 114724.679, 0
116517.252, 114724.679 to 118309.825, 0
120102.398, 118309.825 to 121894.971, 0
123687.544, 121894.971 to 125480.117, 0
127272.691, 125480.117 to 129065.264, 0
130857.837, 129065.264 to 132650.410, 0
134442.983, 132650.410 to 136235.556, 0
138028.129, 136235.556 to 139820.702, 0
141613.275, 139820.702 to 143405.849, 0
145198.422, 143405.849 to 146990.995, 0
148783.568, 146990.995 to 150576.141, 0
152368.714, 150576.141 to 154161.287, 0
155953.860, 154161.287 to 157746.433, 0
159539.007, 157746.433 to 161331.580, 0
163124.153, 161331.580 to 164916.726, 0
166709.299, 164916.726 to 168501.872, 0
170294.445, 168501.872 to 172087.018, 0
173879.591, 172087.018 to 175672.164, 0
177464.738, 175672.164 to 179257.311, 1


Plate, 2
Well, 2
Count, 127
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1257.772, 0.000 to 2515.544, 0
3773.316, 2515.544 to 5031.088, 1
6288.860, 5031.088 to 7546.632, 18
8804.404, 7546.632 to 10062.176, 7
11319.948, 10062.176 to 12577.720, 6
13835.492, 12577.720 to 15093.264, 8
16351.036, 15093.264 to 17608.808, 12
18866.580, 17608.808 to 20124.352, 16
21382.124, 20124.352 to 22639.895, 7
23897.667, 22639.895 to 25155.439, 5
26413.211, 25155.439 to 27670.983, 10
28928.755, 27670.983 to 30186.527, 3
31444.299, 30186.527 to 32702.071, 1
33959.843, 32702.071 to 35217.615, 2
36475.387, 35217.615 to 37733.159, 5
38990.931, 37733.159 to 40248.703, 5
41506.475, 40248.703 to 42764.247, 1
44022.019, 42764.247 to 45279.791, 1
46537.563, 45279.791 to 47795.335, 2
49053.107, 47795.335 to 50310.879, 1
51568.651, 50310.879 to 52826.423, 3
54084.195, 52826.423 to 55341.967, 0
56599.739, 55341.967 to 57857.511, 3
