Plate, 3
Well, 6
Count, 168

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
648.961, 330770.377, 0.310, 102491.866, 143104639.295, 1367.832, 10752.667, 8805.333
854.953, 574082.263, 0.234, 134428.647, 327208814.165, 493.687, 5334.000, 22690.667
735.710, 425111.809, 0.265, 112509.623, 208505998.459, 780.588, 30734.000, 24468.667
670.822, 353431.187, 0.298, 105442.500, 158059682.150, 1188.353, 4487.333, 17610.667
695.551, 379968.381, 0.194, 73609.802, 176191513.907, 863.434, 12361.333, 26670.000
790.442, 490715.834, 0.184, 90061.878, 258588322.029, 592.667, 28532.667, 27770.667
553.178, 240336.466, 0.211, 50745.550, 88632562.739, 1019.522, 25400.000, 5334.000
564.872, 250605.304, 0.165, 41306.695, 94373310.302, 567.961, 5926.667, 19812.000
610.244, 292480.392, 0.150, 43815.516, 118989580.649, 915.810, 4741.333, 15240.000
477.317, 178938.602, 0.233, 41657.410, 56940314.160, 644.802, 27432.000, 7196.667
467.711, 171808.713, 0.164, 28125.665, 53571225.044, 1033.488, 24638.000, 9398.000
527.598, 218623.215, 0.252, 55051.941, 76896790.536, 803.219, 29294.667, 26924.000
549.471, 237126.276, 0.167, 39558.282, 86862699.184, 598.684, 15748.000, 3556.000
505.545, 200728.604, 0.226, 45319.967, 67651541.649, 598.684, 13038.667, 5249.333
657.335, 339361.837, 0.148, 50070.181, 148716208.167, 762.000, 17272.000, 3132.667
574.428, 259156.092, 0.178, 46003.537, 99244382.566, 682.604, 9990.667, 7620.000
480.489, 181324.950, 0.241, 43652.638, 58083148.267, 846.667, 13546.667, 5926.667
540.314, 229288.652, 0.184, 42214.968, 82591935.190, 542.131, 4572.000, 16425.333
485.977, 185490.252, 0.181, 33500.014, 60095981.998, 661.268, 9313.333, 6350.000
494.253, 191861.966, 0.176, 33732.243, 63218929.046, 766.689, 19134.667, 5080.000
573.978, 258750.289, 0.188, 48736.881, 99011369.277, 592.667, 28532.667, 27178.000
516.428, 209463.962, 0.195, 40900.320, 72115359.260, 762.000, 4148.667, 22944.667
528.708, 219543.761, 0.156, 34203.818, 77382979.990, 723.392, 26246.667, 29802.667
356.171, 99633.674, 0.325, 32385.811, 23657726.974, 682.604, 6350.000, 14816.667
398.284, 124587.973, 0.162, 20160.561, 33080950.660, 616.383, 27770.667, 6434.667
496.474, 193589.840, 0.163, 31496.673, 64074856.434, 1606.437, 9482.667, 23537.333
350.632, 96559.222, 0.291, 28108.014, 22571188.861, 515.007, 18965.333, 3048.000
