Plate, 4
Well, 1
Count, 149
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
2600200.983, 0.000 to 5200401.967, 0
7800602.950, 5200401.967 to 10400803.933, 6
13001004.917, 10400803.933 to 15601205.900, 19
18201406.883, 15601205.900 to 20801607.867, 20
23401808.850, 20801607.867 to 26002009.833, 20
28602210.817, 26002009.833 to 31202411.800, 12
33802612.783, 31202411.800 to 36402813.767, 7
39003014.750, 36402813.767 to 41603215.734, 17
44203416.717, 41603215.734 to 46803617.700, 5
49403818.684, 46803617.700 to 52004019.667, 6
54604220.650, 52004019.667 to 57204421.634, 3
59804622.617, 57204421.634 to 62404823.600, 2
65005024.584, 62404823.600 to 67605225.567, 4
70205426.550, 67605225.567 to 72805627.534, 4
75405828.517, 72805627.534 to 78006029.500, 5
80606230.484, 78006029.500 to 83206431.467, 4
85806632.450, 83206431.467 to 88406833.434, 2
91007034.417, 88406833.434 to 93607235.400, 2
96207436.384, 93607235.400 to 98807637.367, 1
101407838.350, 98807637.367 to 104008039.334, 1
106608240.317, 104008039.334 to 109208441.300, 0
111808642.284, 109208441.300 to 114408843.267, 0
117009044.251, 114408843.267 to 119609245.234, 0
122209446.217, 119609245.234 to 124809647.201, 0
127409848.184, 124809647.201 to 130010049.167, 1
132610250.151, 130010049.167 to 135210451.134, 0
137810652.117, 135210451.134 to 140410853.101, 2
143011054.084, 140410853.101 to 145611255.067, 0
148211456.051, 145611255.067 to 150811657.034, 1
153411858.017, 150811657.034 to 156012059.001, 1
158612259.984, 156012059.001 to 161212460.967, 1
163812661.951, 161212460.967 to 166412862.934, 0
169013063.917, 166412862.934 to 171613264.901, 0
174213465.884, 171613264.901 to 176813666.867, 0
179413867.851, 176813666.867 to 182014068.834, 0
184614269.818, 182014068.834 to 187214470.801, 0
189814671.784, 187214470.801 to 192414872.768, 1
195015073.751, 192414872.768 to 197615274.734, 0
200215475.718, 197615274.734 to 202815676.701, 0
205415877.684, 202815676.701 to 208016078.668, 0
210616279.651, 208016078.668 to 213216480.634, 0
215816681.618, 213216480.634 to 218416882.601, 0
221017083.584, 218416882.601 to 223617284.568, 0
226217485.551, 223617284.568 to 228817686.534, 1
231417887.518, 228817686.534 to 234018088.501, 0
236618289.484, 234018088.501 to 239218490.468, 0
241818691.451, 239218490.468 to 244418892.434, 0
247019093.418, 244418892.434 to 249619294.401, 0
252219495.384, 249619294.401 to 254819696.368, 0
257419897.351, 254819696.368 to 260020098.335, 1


Plate, 4
Well, 2
Count, 121
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
3306850.321, 0.000 to 6613700.642, 1
9920550.963, 6613700.642 to 13227401.283, 8
16534251.604, 13227401.283 to 19841101.925, 21
23147952.246, 19841101.925 to 26454802.567, 33
29761652.888, 26454802.567 to 33068503.208, 12
36375353.529, 33068503.208 to 39682203.850, 9
42989054.171, 39682203.850 to 46295904.492, 9
49602754.813, 46295904.492 to 52909605.133, 3
56216455.454, 52909605.133 to 59523305.775, 3
