Plate, 4
Well, 1
Count, 149
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1249.012, 0.000 to 2498.023, 0
3747.035, 2498.023 to 4996.047, 0
6245.058, 4996.047 to 7494.070, 13
8743.082, 7494.070 to 9992.094, 19
11241.105, 9992.094 to 12490.117, 16
13739.129, 12490.117 to 14988.140, 15
16237.152, 14988.140 to 17486.164, 13
18735.175, 17486.164 to 19984.187, 16
21233.199, 19984.187 to 22482.211, 6
23731.222, 22482.211 to 24980.234, 6
26229.246, 24980.234 to 27478.257, 6
28727.269, 27478.257 to 29976.281, 1
31225.292, 29976.281 to 32474.304, 5
33723.316, 32474.304 to 34972.328, 6
36221.339, 34972.328 to 37470.351, 2
38719.363, 37470.351 to 39968.374, 3
41217.386, 39968.374 to 42466.398, 4
43715.409, 42466.398 to 44964.421, 1
46213.433, 44964.421 to 47462.445, 1
48711.456, 47462.445 to 49960.468, 1
51209.480, 49960.468 to 52458.491, 0
53707.503, 52458.491 to 54956.515, 2
56205.526, 54956.515 to 57454.538, 1
58703.550, 57454.538 to 59952.562, 4
61201.573, 59952.562 to 62450.585, 1
63699.597, 62450.585 to 64948.608, 1
66197.620, 64948.608 to 67446.632, 1
68695.643, 67446.632 to 69944.655, 1
71193.667, 69944.655 to 72442.679, 0
73691.690, 72442.679 to 74940.702, 1
76189.714, 74940.702 to 77438.725, 0
78687.737, 77438.725 to 79936.749, 1
81185.760, 79936.749 to 82434.772, 0
83683.784, 82434.772 to 84932.796, 0
86181.807, 84932.796 to 87430.819, 0
88679.831, 87430.819 to 89928.842, 0
91177.854, 89928.842 to 92426.866, 0
93675.877, 92426.866 to 94924.889, 0
96173.901, 94924.889 to 97422.912, 0
98671.924, 97422.912 to 99920.936, 0
101169.948, 99920.936 to 102418.959, 0
103667.971, 102418.959 to 104916.983, 0
106165.994, 104916.983 to 107415.006, 0
108664.018, 107415.006 to 109913.029, 0
111162.041, 109913.029 to 112411.053, 0
113660.065, 112411.053 to 114909.076, 1
116158.088, 114909.076 to 117407.100, 0
118656.111, 117407.100 to 119905.123, 0
121154.135, 119905.123 to 122403.146, 0
123652.158, 122403.146 to 124901.170, 1


Plate, 4
Well, 2
Count, 121
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1056.972, 0.000 to 2113.945, 1
3170.917, 2113.945 to 4227.889, 0
5284.861, 4227.889 to 6341.834, 5
7398.806, 6341.834 to 8455.778, 6
9512.750, 8455.778 to 10569.723, 18
11626.695, 10569.723 to 12683.667, 15
13740.639, 12683.667 to 14797.612, 20
15854.584, 14797.612 to 16911.556, 11
17968.528, 16911.556 to 19025.501, 7
20082.473, 19025.501 to 21139.445, 3
22196.417, 21139.445 to 23253.390, 6
24310.362, 23253.390 to 25367.334, 4
26424.306, 25367.334 to 27481.279, 1
28538.251, 27481.279 to 29595.223, 1
30652.195, 29595.223 to 31709.168, 2
32766.140, 31709.168 to 33823.112, 5
34880.084, 33823.112 to 35937.057, 0
36994.029, 35937.057 to 38051.001, 2
39107.973, 38051.001 to 40164.946, 2
41221.918, 40164.946 to 42278.890, 2
43335.862, 42278.890 to 44392.835, 3
45449.807, 44392.835 to 46506.779, 0
47563.751, 46506.779 to 48620.724, 1
49677.696, 48620.724 to 50734.668, 0
51791.640, 50734.668 to 52848.613, 1
53905.585, 52848.613 to 54962.557, 0
56019.529, 54962.557 to 57076.502, 0
58133.474, 57076.502 to 59190.446, 1
60247.418, 59190.446 to 61304.391, 0
62361.363, 61304.391 to 63418.335, 0
64475.307, 63418.335 to 65532.280, 0
66589.252, 65532.280 to 67646.224, 0
68703.196, 67646.224 to 69760.169, 1
70817.141, 69760.169 to 71874.113, 0
72931.085, 71874.113 to 73988.058, 0
75045.030, 73988.058 to 76102.002, 0
77158.974, 76102.002 to 78215.947, 0
79272.919, 78215.947 to 80329.891, 0
81386.863, 80329.891 to 82443.836, 0
83500.808, 82443.836 to 84557.780, 0
85614.752, 84557.780 to 86671.725, 0
87728.697, 86671.725 to 88785.669, 0
89842.641, 88785.669 to 90899.614, 0
91956.586, 90899.614 to 93013.558, 2
94070.530, 93013.558 to 95127.503, 0
96184.475, 95127.503 to 97241.447, 0
98298.419, 97241.447 to 99355.392, 0
100412.364, 99355.392 to 101469.336, 0
102526.308, 101469.336 to 103583.281, 0
104640.253, 103583.281 to 105697.225, 1


Plate, 4
Well, 3
Count, 57
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1950.309, 0.000 to 3900.618, 1
5850.927, 3900.618 to 7801.236, 7
9751.545, 7801.236 to 11701.854, 17
13652.163, 11701.854 to 15602.472, 18
17552.781, 15602.472 to 19503.090, 3
21453.399, 19503.090 to 23403.708, 4
25354.017, 23403.708 to 27304.326, 0
29254.635, 27304.326 to 31204.945, 0
33155.254, 31204.945 to 35105.563, 0
37055.872, 35105.563 to 39006.181, 0
40956.490, 39006.181 to 42906.799, 0
44857.108, 42906.799 to 46807.417, 0
48757.726, 46807.417 to 50708.035, 0
52658.344, 50708.035 to 54608.653, 1
56558.962, 54608.653 to 58509.271, 0
60459.580, 58509.271 to 62409.889, 0
64360.198, 62409.889 to 66310.507, 0
68260.816, 66310.507 to 70211.125, 0
72161.434, 70211.125 to 74111.743, 0
76062.052, 74111.743 to 78012.361, 0
79962.670, 78012.361 to 81912.979, 0
83863.288, 81912.979 to 85813.597, 0
87763.906, 85813.597 to 89714.215, 1
91664.524, 89714.215 to 93614.834, 0
95565.143, 93614.834 to 97515.452, 1
99465.761, 97515.452 to 101416.070, 0
103366.379, 101416.070 to 105316.688, 1
107266.997, 105316.688 to 109217.306, 1
111167.615, 109217.306 to 113117.924, 0
115068.233, 113117.924 to 117018.542, 0
118968.851, 117018.542 to 120919.160, 0
122869.469, 120919.160 to 124819.778, 0
126770.087, 124819.778 to 128720.396, 0
130670.705, 128720.396 to 132621.014, 0
134571.323, 132621.014 to 136521.632, 0
138471.941, 136521.632 to 140422.250, 0
142372.559, 140422.250 to 144322.868, 0
146273.177, 144322.868 to 148223.486, 1
150173.795, 148223.486 to 152124.104, 0
154074.414, 152124.104 to 156024.723, 0
157975.032, 156024.723 to 159925.341, 0
161875.650, 159925.341 to 163825.959, 0
165776.268, 163825.959 to 167726.577, 0
169676.886, 167726.577 to 171627.195, 0
173577.504, 171627.195 to 175527.813, 0
177478.122, 175527.813 to 179428.431, 0
181378.740, 179428.431 to 183329.049, 0
185279.358, 183329.049 to 187229.667, 0
189179.976, 187229.667 to 191130.285, 0
193080.594, 191130.285 to 195030.903, 1


Plate, 4
Well, 4
Count, 12
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
745.839, 0.000 to 1491.677, 0
2237.516, 1491.677 to 2983.354, 0
3729.193, 2983.354 to 4475.031, 0
5220.870, 4475.031 to 5966.708, 1
6712.547, 5966.708 to 7458.385, 3
8204.224, 7458.385 to 8950.062, 3
9695.901, 8950.062 to 10441.739, 2
11187.578, 10441.739 to 11933.416, 0
12679.255, 11933.416 to 13425.093, 1
14170.932, 13425.093 to 14916.770, 0
15662.609, 14916.770 to 16408.447, 1
17154.286, 16408.447 to 17900.124, 0
18645.963, 17900.124 to 19391.801, 0
20137.640, 19391.801 to 20883.478, 0
21629.317, 20883.478 to 22375.155, 0
23120.994, 22375.155 to 23866.832, 0
24612.671, 23866.832 to 25358.509, 0
26104.348, 25358.509 to 26850.186, 0
27596.025, 26850.186 to 28341.863, 0
29087.702, 28341.863 to 29833.540, 0
30579.379, 29833.540 to 31325.217, 0
32071.056, 31325.217 to 32816.895, 0
33562.733, 32816.895 to 34308.572, 0
35054.410, 34308.572 to 35800.249, 0
36546.087, 35800.249 to 37291.926, 0
38037.764, 37291.926 to 38783.603, 0
39529.441, 38783.603 to 40275.280, 0
41021.118, 40275.280 to 41766.957, 0
42512.795, 41766.957 to 43258.634, 0
44004.472, 43258.634 to 44750.311, 0
45496.149, 44750.311 to 46241.988, 0
46987.826, 46241.988 to 47733.665, 0
48479.503, 47733.665 to 49225.342, 0
49971.180, 49225.342 to 50717.019, 0
51462.857, 50717.019 to 52208.696, 0
52954.534, 52208.696 to 53700.373, 0
54446.211, 53700.373 to 55192.050, 0
55937.888, 55192.050 to 56683.727, 0
57429.565, 56683.727 to 58175.404, 0
58921.242, 58175.404 to 59667.081, 0
60412.919, 59667.081 to 61158.758, 0
61904.596, 61158.758 to 62650.435, 0
63396.273, 62650.435 to 64142.112, 0
64887.951, 64142.112 to 65633.789, 0
66379.628, 65633.789 to 67125.466, 0
67871.305, 67125.466 to 68617.143, 0
69362.982, 68617.143 to 70108.820, 0
70854.659, 70108.820 to 71600.497, 0
72346.336, 71600.497 to 73092.174, 0
73838.013, 73092.174 to 74583.851, 1


Plate, 4
Well, 5
Count, 3
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
129.797, 0.000 to 259.595, 0
389.392, 259.595 to 519.190, 0
648.987, 519.190 to 778.785, 0
908.582, 778.785 to 1038.380, 0
1168.177, 1038.380 to 1297.975, 0
1427.772, 1297.975 to 1557.569, 0
1687.367, 1557.569 to 1817.164, 0
1946.962, 1817.164 to 2076.759, 0
2206.557, 2076.759 to 2336.354, 0
2466.152, 2336.354 to 2595.949, 0
2725.747, 2595.949 to 2855.544, 0
2985.341, 2855.544 to 3115.139, 0
3244.936, 3115.139 to 3374.734, 0
3504.531, 3374.734 to 3634.329, 0
3764.126, 3634.329 to 3893.924, 0
4023.721, 3893.924 to 4153.519, 0
4283.316, 4153.519 to 4413.113, 0
4542.911, 4413.113 to 4672.708, 1
4802.506, 4672.708 to 4932.303, 0
5062.101, 4932.303 to 5191.898, 0
5321.696, 5191.898 to 5451.493, 0
5581.291, 5451.493 to 5711.088, 0
5840.885, 5711.088 to 5970.683, 0
6100.480, 5970.683 to 6230.278, 0
6360.075, 6230.278 to 6489.873, 0
6619.670, 6489.873 to 6749.468, 0
6879.265, 6749.468 to 7009.063, 0
7138.860, 7009.063 to 7268.657, 0
7398.455, 7268.657 to 7528.252, 0
7658.050, 7528.252 to 7787.847, 0
7917.645, 7787.847 to 8047.442, 0
8177.240, 8047.442 to 8307.037, 0
8436.835, 8307.037 to 8566.632, 0
8696.429, 8566.632 to 8826.227, 0
8956.024, 8826.227 to 9085.822, 0
9215.619, 9085.822 to 9345.417, 0
9475.214, 9345.417 to 9605.012, 0
9734.809, 9605.012 to 9864.607, 0
9994.404, 9864.607 to 10124.201, 0
10253.999, 10124.201 to 10383.796, 0
10513.594, 10383.796 to 10643.391, 0
10773.189, 10643.391 to 10902.986, 0
11032.784, 10902.986 to 11162.581, 0
11292.379, 11162.581 to 11422.176, 0
11551.973, 11422.176 to 11681.771, 0
11811.568, 11681.771 to 11941.366, 0
12071.163, 11941.366 to 12200.961, 1
12330.758, 12200.961 to 12460.556, 0
12590.353, 12460.556 to 12720.151, 0
12849.948, 12720.151 to 12979.745, 1


Plate, 4
Well, 6
Count, 211
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2451.079, 0.000 to 4902.158, 0
7353.236, 4902.158 to 9804.315, 11
12255.394, 9804.315 to 14706.473, 34
17157.552, 14706.473 to 19608.630, 30
22059.709, 19608.630 to 24510.788, 28
26961.867, 24510.788 to 29412.946, 21
31864.024, 29412.946 to 34315.103, 16
36766.182, 34315.103 to 39217.261, 6
41668.339, 39217.261 to 44119.418, 6
46570.497, 44119.418 to 49021.576, 11
51472.655, 49021.576 to 53923.733, 9
56374.812, 53923.733 to 58825.891, 5
61276.970, 58825.891 to 63728.049, 5
66179.127, 63728.049 to 68630.206, 4
71081.285, 68630.206 to 73532.364, 4
75983.443, 73532.364 to 78434.521, 3
80885.600, 78434.521 to 83336.679, 3
85787.758, 83336.679 to 88238.837, 2
90689.915, 88238.837 to 93140.994, 2
95592.073, 93140.994 to 98043.152, 3
100494.231, 98043.152 to 102945.309, 0
105396.388, 102945.309 to 107847.467, 0
110298.546, 107847.467 to 112749.624, 0
115200.703, 112749.624 to 117651.782, 2
120102.861, 117651.782 to 122553.940, 0
125005.018, 122553.940 to 127456.097, 0
129907.176, 127456.097 to 132358.255, 1
134809.334, 132358.255 to 137260.412, 0
139711.491, 137260.412 to 142162.570, 0
144613.649, 142162.570 to 147064.728, 1
149515.806, 147064.728 to 151966.885, 0
154417.964, 151966.885 to 156869.043, 0
159320.122, 156869.043 to 161771.200, 0
164222.279, 161771.200 to 166673.358, 0
169124.437, 166673.358 to 171575.516, 0
174026.594, 171575.516 to 176477.673, 0
178928.752, 176477.673 to 181379.831, 1
183830.909, 181379.831 to 186281.988, 0
188733.067, 186281.988 to 191184.146, 0
193635.225, 191184.146 to 196086.303, 0
198537.382, 196086.303 to 200988.461, 1
203439.540, 200988.461 to 205890.619, 1
208341.697, 205890.619 to 210792.776, 0
213243.855, 210792.776 to 215694.934, 0
218146.013, 215694.934 to 220597.091, 0
223048.170, 220597.091 to 225499.249, 0
227950.328, 225499.249 to 230401.407, 0
232852.485, 230401.407 to 235303.564, 0
237754.643, 235303.564 to 240205.722, 0
242656.801, 240205.722 to 245107.879, 1




ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	19:50:15
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Not specified
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_19-14\Plate4\Plate4.ics


