Plate, 3
Well, 1
Count, 241
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
10.736, 0.000 to 21.472, 0
32.207, 21.472 to 42.943, 0
53.679, 42.943 to 64.415, 0
75.151, 64.415 to 85.887, 0
96.622, 85.887 to 107.358, 0
118.094, 107.358 to 128.830, 0
139.566, 128.830 to 150.301, 0
161.037, 150.301 to 171.773, 0
182.509, 171.773 to 193.245, 0
203.981, 193.245 to 214.716, 1
225.452, 214.716 to 236.188, 12
246.924, 236.188 to 257.660, 7
268.395, 257.660 to 279.131, 3
289.867, 279.131 to 300.603, 5
311.339, 300.603 to 322.075, 7
332.810, 322.075 to 343.546, 9
354.282, 343.546 to 365.018, 9
375.754, 365.018 to 386.489, 11
397.225, 386.489 to 407.961, 11
418.697, 407.961 to 429.433, 16
440.169, 429.433 to 450.904, 28
461.640, 450.904 to 472.376, 8
483.112, 472.376 to 493.848, 9
504.583, 493.848 to 515.319, 15
526.055, 515.319 to 536.791, 9
547.527, 536.791 to 558.263, 12
568.998, 558.263 to 579.734, 17
590.470, 579.734 to 601.206, 6
611.942, 601.206 to 622.677, 3
633.413, 622.677 to 644.149, 7
654.885, 644.149 to 665.621, 10
676.357, 665.621 to 687.092, 2
697.828, 687.092 to 708.564, 7
719.300, 708.564 to 730.036, 1
740.771, 730.036 to 751.507, 2
762.243, 751.507 to 772.979, 2
783.715, 772.979 to 794.451, 2
805.186, 794.451 to 815.922, 2
826.658, 815.922 to 837.394, 2
848.130, 837.394 to 858.865, 0
869.601, 858.865 to 880.337, 1
891.073, 880.337 to 901.809, 0
912.545, 901.809 to 923.280, 2
934.016, 923.280 to 944.752, 0
955.488, 944.752 to 966.224, 0
976.959, 966.224 to 987.695, 1
998.431, 987.695 to 1009.167, 1
1019.903, 1009.167 to 1030.639, 0
1041.374, 1030.639 to 1052.110, 0
1062.846, 1052.110 to 1073.582, 1


Plate, 3
Well, 2
Count, 202
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
10.451, 0.000 to 20.902, 0
31.353, 20.902 to 41.804, 0
52.255, 41.804 to 62.706, 0
73.157, 62.706 to 83.608, 0
94.060, 83.608 to 104.511, 0
114.962, 104.511 to 125.413, 0
135.864, 125.413 to 146.315, 0
156.766, 146.315 to 167.217, 0
177.668, 167.217 to 188.119, 0
198.570, 188.119 to 209.021, 0
219.472, 209.021 to 229.923, 12
240.374, 229.923 to 250.825, 8
261.277, 250.825 to 271.728, 2
282.179, 271.728 to 292.630, 6
303.081, 292.630 to 313.532, 7
323.983, 313.532 to 334.434, 4
344.885, 334.434 to 355.336, 12
365.787, 355.336 to 376.238, 15
386.689, 376.238 to 397.140, 13
407.591, 397.140 to 418.042, 7
428.494, 418.042 to 438.945, 10
449.396, 438.945 to 459.847, 12
470.298, 459.847 to 480.749, 13
491.200, 480.749 to 501.651, 10
512.102, 501.651 to 522.553, 13
533.004, 522.553 to 543.455, 4
553.906, 543.455 to 564.357, 10
574.808, 564.357 to 585.259, 8
595.711, 585.259 to 606.162, 7
616.613, 606.162 to 627.064, 5
637.515, 627.064 to 647.966, 5
658.417, 647.966 to 668.868, 1
679.319, 668.868 to 689.770, 2
700.221, 689.770 to 710.672, 2
721.123, 710.672 to 731.574, 2
742.025, 731.574 to 752.476, 2
762.927, 752.476 to 773.379, 2
783.830, 773.379 to 794.281, 0
804.732, 794.281 to 815.183, 1
825.634, 815.183 to 836.085, 1
846.536, 836.085 to 856.987, 1
867.438, 856.987 to 877.889, 2
888.340, 877.889 to 898.791, 0
909.242, 898.791 to 919.693, 0
930.144, 919.693 to 940.596, 1
951.047, 940.596 to 961.498, 1
971.949, 961.498 to 982.400, 0
992.851, 982.400 to 1003.302, 0
1013.753, 1003.302 to 1024.204, 0
1034.655, 1024.204 to 1045.106, 1


Plate, 3
Well, 3
Count, 178
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.577, 0.000 to 17.155, 0
25.732, 17.155 to 34.310, 0
42.887, 34.310 to 51.465, 0
60.042, 51.465 to 68.620, 0
77.197, 68.620 to 85.775, 0
94.352, 85.775 to 102.930, 0
111.507, 102.930 to 120.085, 0
128.662, 120.085 to 137.240, 0
145.817, 137.240 to 154.395, 0
162.972, 154.395 to 171.550, 0
180.127, 171.550 to 188.705, 0
197.282, 188.705 to 205.860, 1
214.437, 205.860 to 223.015, 9
231.592, 223.015 to 240.170, 6
248.747, 240.170 to 257.325, 4
265.902, 257.325 to 274.480, 4
283.057, 274.480 to 291.635, 4
300.212, 291.635 to 308.790, 5
317.367, 308.790 to 325.945, 3
334.522, 325.945 to 343.100, 7
351.677, 343.100 to 360.255, 6
368.832, 360.255 to 377.410, 8
385.987, 377.410 to 394.565, 11
403.142, 394.565 to 411.720, 14
420.297, 411.720 to 428.875, 8
437.452, 428.875 to 446.030, 10
454.607, 446.030 to 463.185, 8
471.762, 463.185 to 480.340, 9
488.917, 480.340 to 497.495, 9
506.072, 497.495 to 514.650, 3
523.227, 514.650 to 531.805, 10
540.382, 531.805 to 548.960, 5
557.537, 548.960 to 566.115, 6
574.692, 566.115 to 583.270, 4
