Plate, 4
Well, 1
Count, 122
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.011, 0.008 to 0.015, 0
0.019, 0.015 to 0.023, 0
0.027, 0.023 to 0.031, 0
0.034, 0.031 to 0.038, 0
0.042, 0.038 to 0.046, 0
0.050, 0.046 to 0.053, 0
0.057, 0.053 to 0.061, 0
0.065, 0.061 to 0.069, 0
0.073, 0.069 to 0.076, 0
0.080, 0.076 to 0.084, 0
0.088, 0.084 to 0.092, 0
0.095, 0.092 to 0.099, 0
0.103, 0.099 to 0.107, 0
0.111, 0.107 to 0.115, 0
0.118, 0.115 to 0.122, 0
0.126, 0.122 to 0.130, 0
0.134, 0.130 to 0.137, 0
0.141, 0.137 to 0.145, 1
0.149, 0.145 to 0.153, 3
0.157, 0.153 to 0.160, 1
0.164, 0.160 to 0.168, 3
0.172, 0.168 to 0.176, 9
0.179, 0.176 to 0.183, 9
0.187, 0.183 to 0.191, 14
0.195, 0.191 to 0.198, 12
0.202, 0.198 to 0.206, 6
0.210, 0.206 to 0.214, 8
0.218, 0.214 to 0.221, 8
0.225, 0.221 to 0.229, 7
0.233, 0.229 to 0.237, 1
0.240, 0.237 to 0.244, 8
0.248, 0.244 to 0.252, 2
0.256, 0.252 to 0.260, 6
0.263, 0.260 to 0.267, 5
0.271, 0.267 to 0.275, 2
0.279, 0.275 to 0.282, 4
0.286, 0.282 to 0.290, 1
0.294, 0.290 to 0.298, 1
0.302, 0.298 to 0.305, 3
0.309, 0.305 to 0.313, 0
0.317, 0.313 to 0.321, 0
0.324, 0.321 to 0.328, 1
0.332, 0.328 to 0.336, 2
0.340, 0.336 to 0.344, 1
0.347, 0.344 to 0.351, 0
0.355, 0.351 to 0.359, 2
0.363, 0.359 to 0.366, 1
0.370, 0.366 to 0.374, 0
0.378, 0.374 to 0.382, 1


Plate, 4
Well, 2
Count, 89
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.014, 0
0.018, 0.014 to 0.022, 0
0.025, 0.022 to 0.029, 0
0.032, 0.029 to 0.036, 0
0.039, 0.036 to 0.043, 0
0.047, 0.043 to 0.050, 0
0.054, 0.050 to 0.057, 0
0.061, 0.057 to 0.065, 0
0.068, 0.065 to 0.072, 0
0.075, 0.072 to 0.079, 0
0.083, 0.079 to 0.086, 0
0.090, 0.086 to 0.093, 0
0.097, 0.093 to 0.100, 0
0.104, 0.100 to 0.108, 0
0.111, 0.108 to 0.115, 0
0.118, 0.115 to 0.122, 0
0.126, 0.122 to 0.129, 0
0.133, 0.129 to 0.136, 0
0.140, 0.136 to 0.143, 0
0.147, 0.143 to 0.151, 1
0.154, 0.151 to 0.158, 4
0.161, 0.158 to 0.165, 3
0.169, 0.165 to 0.172, 9
0.176, 0.172 to 0.179, 6
0.183, 0.179 to 0.187, 7
0.190, 0.187 to 0.194, 8
0.197, 0.194 to 0.201, 11
0.204, 0.201 to 0.208, 9
0.212, 0.208 to 0.215, 4
0.219, 0.215 to 0.222, 8
0.226, 0.222 to 0.230, 3
0.233, 0.230 to 0.237, 4
0.240, 0.237 to 0.244, 1
0.248, 0.244 to 0.251, 2
0.255, 0.251 to 0.258, 0
0.262, 0.258 to 0.265, 0
0.269, 0.265 to 0.273, 3
0.276, 0.273 to 0.280, 1
0.283, 0.280 to 0.287, 1
0.291, 0.287 to 0.294, 0
0.298, 0.294 to 0.301, 1
0.305, 0.301 to 0.308, 1
0.312, 0.308 to 0.316, 0
0.319, 0.316 to 0.323, 1
0.326, 0.323 to 0.330, 0
0.334, 0.330 to 0.337, 0
0.341, 0.337 to 0.344, 0
0.348, 0.344 to 0.352, 0
0.355, 0.352 to 0.359, 1


Plate, 4
Well, 3
Count, 15
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.002, 0.000 to 0.005, 0
0.007, 0.005 to 0.010, 0
0.012, 0.010 to 0.015, 0
0.017, 0.015 to 0.020, 0
0.022, 0.020 to 0.025, 0
0.027, 0.025 to 0.030, 0
0.032, 0.030 to 0.035, 0
0.037, 0.035 to 0.040, 0
0.042, 0.040 to 0.045, 0
0.047, 0.045 to 0.050, 0
0.052, 0.050 to 0.054, 0
0.057, 0.054 to 0.059, 0
0.062, 0.059 to 0.064, 0
0.067, 0.064 to 0.069, 0
0.072, 0.069 to 0.074, 0
0.077, 0.074 to 0.079, 0
0.082, 0.079 to 0.084, 0
0.087, 0.084 to 0.089, 0
0.092, 0.089 to 0.094, 0
0.097, 0.094 to 0.099, 0
0.102, 0.099 to 0.104, 0
0.107, 0.104 to 0.109, 0
0.111, 0.109 to 0.114, 0
0.116, 0.114 to 0.119, 0
0.121, 0.119 to 0.124, 0
0.126, 0.124 to 0.129, 0
0.131, 0.129 to 0.134, 0
0.136, 0.134 to 0.139, 0
0.141, 0.139 to 0.144, 0
0.146, 0.144 to 0.149, 0
0.151, 0.149 to 0.154, 0
0.156, 0.154 to 0.159, 1
0.161, 0.159 to 0.163, 0
0.166, 0.163 to 0.168, 0
0.171, 0.168 to 0.173, 2
0.176, 0.173 to 0.178, 1
0.181, 0.178 to 0.183, 0
0.186, 0.183 to 0.188, 4
0.191, 0.188 to 0.193, 0
0.196, 0.193 to 0.198, 0
0.201, 0.198 to 0.203, 1
0.206, 0.203 to 0.208, 2
0.211, 0.208 to 0.213, 1
0.215, 0.213 to 0.218, 1
0.220, 0.218 to 0.223, 0
0.225, 0.223 to 0.228, 0
0.230, 0.228 to 0.233, 0
0.235, 0.233 to 0.238, 1
0.240, 0.238 to 0.243, 0
0.245, 0.243 to 0.248, 1


Plate, 4
Well, 4
Count, 0
CHARM Settings 1:		unsaved settings



Plate, 4
Well, 5
Count, 0
CHARM Settings 1:		unsaved settings



Plate, 4
Well, 6
Count, 247
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.006, 0.000 to 0.012, 0
0.017, 0.012 to 0.023, 0
0.029, 0.023 to 0.035, 0
0.040, 0.035 to 0.046, 0
0.052, 0.046 to 0.058, 0
0.063, 0.058 to 0.069, 0
0.075, 0.069 to 0.081, 0
0.086, 0.081 to 0.092, 0
0.098, 0.092 to 0.104, 0
0.109, 0.104 to 0.115, 0
0.121, 0.115 to 0.127, 0
0.132, 0.127 to 0.138, 0
0.144, 0.138 to 0.150, 0
0.155, 0.150 to 0.161, 3
0.167, 0.161 to 0.173, 6
0.179, 0.173 to 0.184, 19
0.190, 0.184 to 0.196, 20
0.202, 0.196 to 0.207, 24
0.213, 0.207 to 0.219, 33
0.225, 0.219 to 0.230, 20
0.236, 0.230 to 0.242, 22
0.248, 0.242 to 0.253, 12
0.259, 0.253 to 0.265, 14
0.271, 0.265 to 0.276, 10
0.282, 0.276 to 0.288, 13
0.294, 0.288 to 0.299, 6
0.305, 0.299 to 0.311, 6
0.317, 0.311 to 0.322, 7
0.328, 0.322 to 0.334, 5
0.340, 0.334 to 0.346, 1
0.351, 0.346 to 0.357, 7
0.363, 0.357 to 0.369, 5
0.374, 0.369 to 0.380, 3
0.386, 0.380 to 0.392, 4
0.397, 0.392 to 0.403, 0
0.409, 0.403 to 0.415, 1
0.420, 0.415 to 0.426, 2
0.432, 0.426 to 0.438, 0
0.443, 0.438 to 0.449, 3
0.455, 0.449 to 0.461, 0
0.466, 0.461 to 0.472, 0
0.478, 0.472 to 0.484, 0
0.489, 0.484 to 0.495, 0
0.501, 0.495 to 0.507, 0
0.513, 0.507 to 0.518, 0
0.524, 0.518 to 0.530, 0
0.536, 0.530 to 0.541, 0
0.547, 0.541 to 0.553, 0
0.559, 0.553 to 0.564, 0
0.570, 0.564 to 0.576, 1




ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	21:05:43
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_20-45\Plate4\Plate4.ics


