Plate, 4
Well, 1
Count, 122
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
43.313, 0.000 to 86.625, 0
129.938, 86.625 to 173.250, 0
216.563, 173.250 to 259.876, 0
303.188, 259.876 to 346.501, 0
389.813, 346.501 to 433.126, 2
476.439, 433.126 to 519.751, 0
563.064, 519.751 to 606.376, 6
649.689, 606.376 to 693.002, 4
736.314, 693.002 to 779.627, 8
822.940, 779.627 to 866.252, 3
909.565, 866.252 to 952.877, 1
996.190, 952.877 to 1039.503, 6
1082.815, 1039.503 to 1126.128, 8
1169.440, 1126.128 to 1212.753, 7
1256.066, 1212.753 to 1299.378, 8
1342.691, 1299.378 to 1386.003, 7
1429.316, 1386.003 to 1472.629, 7
1515.941, 1472.629 to 1559.254, 11
1602.566, 1559.254 to 1645.879, 12
1689.192, 1645.879 to 1732.504, 1
1775.817, 1732.504 to 1819.129, 1
1862.442, 1819.129 to 1905.755, 0
1949.067, 1905.755 to 1992.380, 1
2035.693, 1992.380 to 2079.005, 1
2122.318, 2079.005 to 2165.630, 7
2208.943, 2165.630 to 2252.256, 1
2295.568, 2252.256 to 2338.881, 0
2382.193, 2338.881 to 2425.506, 2
2468.819, 2425.506 to 2512.131, 4
2555.444, 2512.131 to 2598.756, 0
2642.069, 2598.756 to 2685.382, 2
2728.694, 2685.382 to 2772.007, 2
2815.319, 2772.007 to 2858.632, 0
2901.945, 2858.632 to 2945.257, 2
2988.570, 2945.257 to 3031.882, 0
3075.195, 3031.882 to 3118.508, 0
3161.820, 3118.508 to 3205.133, 1
3248.446, 3205.133 to 3291.758, 1
3335.071, 3291.758 to 3378.383, 0
3421.696, 3378.383 to 3465.009, 1
3508.321, 3465.009 to 3551.634, 0
3594.946, 3551.634 to 3638.259, 0
3681.572, 3638.259 to 3724.884, 0
3768.197, 3724.884 to 3811.509, 1
3854.822, 3811.509 to 3898.135, 0
3941.447, 3898.135 to 3984.760, 2
4028.072, 3984.760 to 4071.385, 1
4114.698, 4071.385 to 4158.010, 0
4201.323, 4158.010 to 4244.635, 0
4287.948, 4244.635 to 4331.261, 1


Plate, 4
Well, 2
Count, 89
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
56.632, 0.000 to 113.264, 0
169.895, 113.264 to 226.527, 0
283.159, 226.527 to 339.791, 0
396.423, 339.791 to 453.054, 2
509.686, 453.054 to 566.318, 2
622.950, 566.318 to 679.582, 2
736.214, 679.582 to 792.845, 4
849.477, 792.845 to 906.109, 4
962.741, 906.109 to 1019.373, 13
1076.004, 1019.373 to 1132.636, 7
1189.268, 1132.636 to 1245.900, 6
1302.532, 1245.900 to 1359.163, 6
1415.795, 1359.163 to 1472.427, 3
1529.059, 1472.427 to 1585.691, 1
1642.323, 1585.691 to 1698.954, 5
1755.586, 1698.954 to 1812.218, 5
1868.850, 1812.218 to 1925.482, 3
1982.113, 1925.482 to 2038.745, 5
2095.377, 2038.745 to 2152.009, 3
2208.641, 2152.009 to 2265.272, 1
2321.904, 2265.272 to 2378.536, 2
2435.168, 2378.536 to 2491.800, 2
2548.432, 2491.800 to 2605.063, 0
2661.695, 2605.063 to 2718.327, 5
2774.959, 2718.327 to 2831.591, 2
2888.222, 2831.591 to 2944.854, 2
3001.486, 2944.854 to 3058.118, 0
3114.750, 3058.118 to 3171.381, 1
3228.013, 3171.381 to 3284.645, 0
3341.277, 3284.645 to 3397.909, 0
3454.540, 3397.909 to 3511.172, 0
3567.804, 3511.172 to 3624.436, 0
3681.068, 3624.436 to 3737.700, 0
3794.331, 3737.700 to 3850.963, 1
3907.595, 3850.963 to 3964.227, 0
4020.859, 3964.227 to 4077.490, 0
4134.122, 4077.490 to 4190.754, 0
4247.386, 4190.754 to 4304.018, 0
4360.649, 4304.018 to 4417.281, 0
4473.913, 4417.281 to 4530.545, 0
4587.177, 4530.545 to 4643.809, 1
4700.440, 4643.809 to 4757.072, 0
4813.704, 4757.072 to 4870.336, 0
4926.968, 4870.336 to 4983.599, 0
5040.231, 4983.599 to 5096.863, 0
5153.495, 5096.863 to 5210.127, 0
5266.758, 5210.127 to 5323.390, 0
5380.022, 5323.390 to 5436.654, 0
5493.286, 5436.654 to 5549.918, 0
5606.549, 5549.918 to 5663.181, 1


Plate, 4
Well, 3
Count, 15
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
127.197, 0.000 to 254.395, 0
381.592, 254.395 to 508.790, 0
635.987, 508.790 to 763.184, 0
890.382, 763.184 to 1017.579, 0
1144.777, 1017.579 to 1271.974, 2
1399.171, 1271.974 to 1526.369, 2
1653.566, 1526.369 to 1780.764, 0
1907.961, 1780.764 to 2035.158, 0
2162.356, 2035.158 to 2289.553, 0
2416.751, 2289.553 to 2543.948, 2
2671.145, 2543.948 to 2798.343, 1
2925.540, 2798.343 to 3052.738, 0
3179.935, 3052.738 to 3307.132, 0
3434.330, 3307.132 to 3561.527, 0
3688.725, 3561.527 to 3815.922, 0
3943.119, 3815.922 to 4070.317, 2
4197.514, 4070.317 to 4324.712, 2
4451.909, 4324.712 to 4579.106, 0
4706.304, 4579.106 to 4833.501, 2
4960.699, 4833.501 to 5087.896, 0
5215.093, 5087.896 to 5342.291, 0
5469.488, 5342.291 to 5596.686, 0
5723.883, 5596.686 to 5851.080, 0
5978.278, 5851.080 to 6105.475, 0
6232.673, 6105.475 to 6359.870, 0
6487.068, 6359.870 to 6614.265, 0
6741.462, 6614.265 to 6868.660, 0
6995.857, 6868.660 to 7123.055, 0
7250.252, 7123.055 to 7377.449, 0
7504.647, 7377.449 to 7631.844, 1
7759.042, 7631.844 to 7886.239, 0
8013.436, 7886.239 to 8140.634, 0
8267.831, 8140.634 to 8395.029, 0
8522.226, 8395.029 to 8649.423, 0
8776.621, 8649.423 to 8903.818, 0
9031.016, 8903.818 to 9158.213, 0
9285.410, 9158.213 to 9412.608, 0
9539.805, 9412.608 to 9667.003, 0
9794.200, 9667.003 to 9921.397, 0
10048.595, 9921.397 to 10175.792, 0
10302.990, 10175.792 to 10430.187, 0
10557.384, 10430.187 to 10684.582, 0
10811.779, 10684.582 to 10938.977, 0
11066.174, 10938.977 to 11193.371, 0
11320.569, 11193.371 to 11447.766, 0
11574.964, 11447.766 to 11702.161, 0
11829.358, 11702.161 to 11956.556, 0
12083.753, 11956.556 to 12210.951, 0
12338.148, 12210.951 to 12465.345, 0
12592.543, 12465.345 to 12719.740, 1


Plate, 4
Well, 4
Count, 0
CHARM Settings 1:		unsaved settings



Plate, 4
Well, 5
Count, 0
CHARM Settings 1:		unsaved settings



Plate, 4
Well, 6
Count, 247
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
30.220, 0.000 to 60.440, 0
90.661, 60.440 to 120.881, 0
151.101, 120.881 to 181.321, 0
211.541, 181.321 to 241.762, 0
271.982, 241.762 to 302.202, 2
332.422, 302.202 to 362.642, 6
392.862, 362.642 to 423.083, 2
453.303, 423.083 to 483.523, 4
513.743, 483.523 to 543.963, 16
574.184, 543.963 to 604.404, 20
634.624, 604.404 to 664.844, 19
695.064, 664.844 to 725.285, 16
755.505, 725.285 to 785.725, 23
815.945, 785.725 to 846.165, 9
876.385, 846.165 to 906.606, 12
936.826, 906.606 to 967.046, 26
997.266, 967.046 to 1027.486, 11
1057.707, 1027.486 to 1087.927, 3
1118.147, 1087.927 to 1148.367, 8
1178.587, 1148.367 to 1208.808, 10
1239.028, 1208.808 to 1269.248, 8
1299.468, 1269.248 to 1329.688, 10
1359.909, 1329.688 to 1390.129, 7
1420.349, 1390.129 to 1450.569, 6
1480.789, 1450.569 to 1511.009, 2
1541.230, 1511.009 to 1571.450, 3
1601.670, 1571.450 to 1631.890, 1
1662.110, 1631.890 to 1692.331, 0
1722.551, 1692.331 to 1752.771, 5
1782.991, 1752.771 to 1813.211, 2
1843.432, 1813.211 to 1873.652, 1
1903.872, 1873.652 to 1934.092, 1
1964.312, 1934.092 to 1994.532, 0
2024.753, 1994.532 to 2054.973, 2
2085.193, 2054.973 to 2115.413, 0
2145.633, 2115.413 to 2175.854, 2
2206.074, 2175.854 to 2236.294, 3
2266.514, 2236.294 to 2296.734, 0
2326.955, 2296.734 to 2357.175, 1
2387.395, 2357.175 to 2417.615, 1
2447.835, 2417.615 to 2478.055, 2
2508.276, 2478.055 to 2538.496, 0
2568.716, 2538.496 to 2598.936, 0
2629.156, 2598.936 to 2659.377, 0
2689.597, 2659.377 to 2719.817, 1
2750.037, 2719.817 to 2780.257, 0
2810.478, 2780.257 to 2840.698, 0
2870.918, 2840.698 to 2901.138, 0
2931.358, 2901.138 to 2961.579, 0
2991.799, 2961.579 to 3022.019, 2




ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	21:05:43
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_20-45\Plate4\Plate4.ics


