Plate, 4
Well, 1
Count, 172
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
4899.287, 0.000 to 9798.574, 0
14697.861, 9798.574 to 19597.148, 0
24496.434, 19597.148 to 29395.721, 0
34295.008, 29395.721 to 39194.295, 19
44093.582, 39194.295 to 48992.869, 11
53892.156, 48992.869 to 58791.443, 4
63690.729, 58791.443 to 68590.016, 9
73489.303, 68590.016 to 78388.590, 6
83287.877, 78388.590 to 88187.164, 5
93086.451, 88187.164 to 97985.738, 3
102885.025, 97985.738 to 107784.311, 5
112683.598, 107784.311 to 117582.885, 4
122482.172, 117582.885 to 127381.459, 7
132280.746, 127381.459 to 137180.033, 7
142079.320, 137180.033 to 146978.606, 4
151877.893, 146978.606 to 156777.180, 14
161676.467, 156777.180 to 166575.754, 12
171475.041, 166575.754 to 176374.328, 9
181273.615, 176374.328 to 186172.902, 9
191072.188, 186172.902 to 195971.475, 1
200870.762, 195971.475 to 205770.049, 6
210669.336, 205770.049 to 215568.623, 4
220467.910, 215568.623 to 225367.197, 5
230266.483, 225367.197 to 235165.770, 3
240065.057, 235165.770 to 244964.344, 3
249863.631, 244964.344 to 254762.918, 0
259662.205, 254762.918 to 264561.492, 4
269460.779, 264561.492 to 274360.065, 0
279259.352, 274360.065 to 284158.639, 0
289057.926, 284158.639 to 293957.213, 3
298856.500, 293957.213 to 303755.787, 2
308655.074, 303755.787 to 313554.360, 0
318453.647, 313554.360 to 323352.934, 1
328252.221, 323352.934 to 333151.508, 3
338050.795, 333151.508 to 342950.082, 0
347849.369, 342950.082 to 352748.655, 0
357647.942, 352748.655 to 362547.229, 1
367446.516, 362547.229 to 372345.803, 2
377245.090, 372345.803 to 382144.377, 0
387043.664, 382144.377 to 391942.951, 0
396842.237, 391942.951 to 401741.524, 1
406640.811, 401741.524 to 411540.098, 1
416439.385, 411540.098 to 421338.672, 0
426237.959, 421338.672 to 431137.246, 0
436036.532, 431137.246 to 440935.819, 0
445835.106, 440935.819 to 450734.393, 1
455633.680, 450734.393 to 460532.967, 1
465432.254, 460532.967 to 470331.541, 0
475230.828, 470331.541 to 480130.114, 1
485029.401, 480130.114 to 489928.688, 1


Plate, 4
Well, 2
Count, 101
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
3772.006, 0.000 to 7544.013, 0
11316.019, 7544.013 to 15088.026, 0
18860.032, 15088.026 to 22632.039, 0
26404.045, 22632.039 to 30176.052, 0
33948.058, 30176.052 to 37720.065, 7
41492.071, 37720.065 to 45264.077, 13
49036.084, 45264.077 to 52808.090, 3
56580.097, 52808.090 to 60352.103, 3
64124.110, 60352.103 to 67896.116, 5
71668.123, 67896.116 to 75440.129, 6
79212.136, 75440.129 to 82984.142, 3
86756.149, 82984.142 to 90528.155, 1
94300.161, 90528.155 to 98072.168, 6
101844.174, 98072.168 to 105616.181, 4
109388.187, 105616.181 to 113160.194, 5
116932.200, 113160.194 to 120704.207, 2
124476.213, 120704.207 to 128248.220, 4
132020.226, 128248.220 to 135792.232, 3
139564.239, 135792.232 to 143336.245, 5
147108.252, 143336.245 to 150880.258, 3
154652.265, 150880.258 to 158424.271, 1
162196.278, 158424.271 to 165968.284, 4
169740.291, 165968.284 to 173512.297, 4
177284.303, 173512.297 to 181056.310, 1
184828.316, 181056.310 to 188600.323, 3
192372.329, 188600.323 to 196144.336, 1
199916.342, 196144.336 to 203688.349, 1
207460.355, 203688.349 to 211232.362, 2
215004.368, 211232.362 to 218776.375, 1
222548.381, 218776.375 to 226320.387, 1
230092.394, 226320.387 to 233864.400, 1
237636.407, 233864.400 to 241408.413, 2
245180.420, 241408.413 to 248952.426, 1
252724.433, 248952.426 to 256496.439, 0
260268.446, 256496.439 to 264040.452, 0
267812.458, 264040.452 to 271584.465, 1
275356.471, 271584.465 to 279128.478, 1
282900.484, 279128.478 to 286672.491, 1
290444.497, 286672.491 to 294216.504, 1
297988.510, 294216.504 to 301760.517, 0
305532.523, 301760.517 to 309304.529, 0
313076.536, 309304.529 to 316848.542, 0
320620.549, 316848.542 to 324392.555, 0
328164.562, 324392.555 to 331936.568, 0
335708.575, 331936.568 to 339480.581, 0
343252.588, 339480.581 to 347024.594, 0
350796.601, 347024.594 to 354568.607, 0
358340.613, 354568.607 to 362112.620, 0
