Plate, 1
Well, 1
Count, 231
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2671.078, 0.000 to 5342.155, 6
8013.233, 5342.155 to 10684.310, 25
13355.388, 10684.310 to 16026.465, 22
18697.543, 16026.465 to 21368.621, 35
24039.698, 21368.621 to 26710.776, 27
29381.853, 26710.776 to 32052.931, 24
34724.008, 32052.931 to 37395.086, 14
40066.163, 37395.086 to 42737.241, 7
45408.319, 42737.241 to 48079.396, 13
50750.474, 48079.396 to 53421.551, 12
56092.629, 53421.551 to 58763.706, 6
61434.784, 58763.706 to 64105.862, 5
66776.939, 64105.862 to 69448.017, 5
72119.094, 69448.017 to 74790.172, 2
77461.249, 74790.172 to 80132.327, 2
82803.404, 80132.327 to 85474.482, 2
88145.560, 85474.482 to 90816.637, 4
93487.715, 90816.637 to 96158.792, 1
98829.870, 96158.792 to 101500.947, 2
104172.025, 101500.947 to 106843.103, 1
109514.180, 106843.103 to 112185.258, 1
114856.335, 112185.258 to 117527.413, 2
120198.490, 117527.413 to 122869.568, 2
125540.645, 122869.568 to 128211.723, 2
130882.801, 128211.723 to 133553.878, 0
136224.956, 133553.878 to 138896.033, 0
141567.111, 138896.033 to 144238.188, 2
146909.266, 144238.188 to 149580.344, 0
152251.421, 149580.344 to 154922.499, 0
157593.576, 154922.499 to 160264.654, 0
162935.731, 160264.654 to 165606.809, 0
168277.886, 165606.809 to 170948.964, 1
173620.042, 170948.964 to 176291.119, 2
178962.197, 176291.119 to 181633.274, 1
184304.352, 181633.274 to 186975.429, 0
189646.507, 186975.429 to 192317.585, 0
194988.662, 192317.585 to 197659.740, 0
200330.817, 197659.740 to 203001.895, 0
205672.972, 203001.895 to 208344.050, 1
211015.128, 208344.050 to 213686.205, 0
216357.283, 213686.205 to 219028.360, 0
221699.438, 219028.360 to 224370.515, 0
227041.593, 224370.515 to 229712.670, 1
232383.748, 229712.670 to 235054.826, 0
237725.903, 235054.826 to 240396.981, 0
243068.058, 240396.981 to 245739.136, 0
248410.213, 245739.136 to 251081.291, 0
253752.369, 251081.291 to 256423.446, 0
259094.524, 256423.446 to 261765.601, 0
264436.679, 261765.601 to 267107.756, 1


Plate, 1
Well, 2
Count, 231
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2246.090, 0.000 to 4492.180, 0
6738.270, 4492.180 to 8984.360, 21
11230.450, 8984.360 to 13476.541, 11
15722.631, 13476.541 to 17968.721, 17
20214.811, 17968.721 to 22460.901, 28
24706.991, 22460.901 to 26953.081, 22
29199.171, 26953.081 to 31445.261, 18
33691.351, 31445.261 to 35937.442, 16
38183.532, 35937.442 to 40429.622, 13
42675.712, 40429.622 to 44921.802, 18
47167.892, 44921.802 to 49413.982, 7
51660.072, 49413.982 to 53906.162, 6
56152.252, 53906.162 to 58398.343, 6
60644.433, 58398.343 to 62890.523, 6
65136.613, 62890.523 to 67382.703, 11
69628.793, 67382.703 to 71874.883, 5
74120.973, 71874.883 to 76367.063, 5
78613.153, 76367.063 to 80859.244, 0
83105.334, 80859.244 to 85351.424, 3
87597.514, 85351.424 to 89843.604, 1
92089.694, 89843.604 to 94335.784, 5
96581.874, 94335.784 to 98827.964, 3
101074.054, 98827.964 to 103320.144, 0
105566.235, 103320.144 to 107812.325, 2
110058.415, 107812.325 to 112304.505, 2
114550.595, 112304.505 to 116796.685, 1
119042.775, 116796.685 to 121288.865, 1
123534.955, 121288.865 to 125781.045, 0
128027.136, 125781.045 to 130273.226, 0
132519.316, 130273.226 to 134765.406, 1
137011.496, 134765.406 to 139257.586, 0
141503.676, 139257.586 to 143749.766, 0
145995.856, 143749.766 to 148241.946, 0
150488.037, 148241.946 to 152734.127, 0
154980.217, 152734.127 to 157226.307, 1
159472.397, 157226.307 to 161718.487, 0
163964.577, 161718.487 to 166210.667, 0
168456.757, 166210.667 to 170702.847, 0
172948.938, 170702.847 to 175195.028, 0
177441.118, 175195.028 to 179687.208, 0
181933.298, 179687.208 to 184179.388, 0
186425.478, 184179.388 to 188671.568, 0
190917.658, 188671.568 to 193163.748, 0
