Plate, 1
Well, 6
Count, 188

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
1380.084, 1495895.259, 0.273, 408712.823, 1376307824.025, 863.434, 12954.000, 32173.333
906.067, 644777.900, 0.210, 135342.231, 389474488.050, 965.349, 30988.000, 24384.000
650.217, 332052.269, 0.263, 87487.199, 143937341.892, 1151.591, 22352.000, 8551.333
706.778, 392334.214, 0.231, 90495.313, 184862181.906, 349.090, 29125.333, 9059.333
550.388, 237917.957, 0.248, 58895.852, 87298067.900, 1084.262, 5418.667, 17441.333
623.474, 305300.134, 0.130, 39712.946, 126897858.523, 610.540, 8382.000, 28702.000
524.016, 215664.825, 0.197, 42465.703, 75341242.171, 1212.242, 19981.333, 16425.333
647.582, 329366.455, 0.197, 64951.400, 142194516.295, 871.697, 7958.667, 27855.333
755.885, 448746.494, 0.232, 104281.232, 226133759.356, 990.998, 6265.333, 25992.667
547.457, 235391.028, 0.159, 37479.360, 85910977.034, 728.330, 24722.667, 3725.333
578.953, 263255.180, 0.195, 51335.909, 101608300.876, 883.946, 6265.333, 10414.000
558.731, 245185.942, 0.183, 44922.808, 91328673.207, 661.268, 5842.000, 22267.333
859.631, 580382.203, 0.148, 85914.522, 332609715.480, 567.961, 7450.667, 8466.667
542.360, 231028.462, 0.244, 56273.377, 83533760.075, 965.349, 4995.333, 18796.000
490.580, 189021.116, 0.259, 48963.193, 61820040.630, 1100.667, 20658.667, 34120.667
658.317, 340376.619, 0.186, 63186.360, 149383757.597, 1139.074, 3217.333, 18288.000
857.537, 577558.209, 0.163, 93964.140, 330185077.351, 610.540, 7112.000, 26585.333
891.734, 624540.617, 0.210, 131040.903, 371282801.489, 723.392, 7535.333, 28617.333
780.306, 478211.610, 0.124, 59201.856, 248767690.231, 610.540, 6604.000, 26924.000
682.249, 365574.478, 0.213, 77783.464, 166275247.499, 1103.918, 6519.333, 9059.333
634.274, 315968.785, 0.168, 53069.939, 133607263.862, 1100.667, 21082.000, 33104.667
676.247, 359170.173, 0.169, 60531.310, 161925108.120, 1030.014, 4741.333, 24214.667
642.315, 324030.358, 0.197, 63728.269, 138752990.182, 723.392, 7958.667, 7620.000
510.529, 204706.022, 0.165, 33741.222, 69672232.597, 423.333, 12107.333, 14732.000
657.902, 339947.421, 0.156, 52964.495, 149101298.723, 780.588, 3302.000, 21674.667
653.099, 335002.170, 0.181, 60698.540, 145859671.404, 431.717, 9228.667, 9059.333
811.184, 516807.168, 0.122, 63100.490, 279483770.542, 728.330, 9144.000, 29125.333
738.269, 428074.703, 0.139, 59572.741, 210689623.097, 1084.262, 6096.000, 18288.000
476.546, 178360.484, 0.239, 42554.052, 56664591.624, 911.888, 10498.667, 5757.333
426.625, 142949.743, 0.191, 27246.505, 40657331.299, 728.330, 9736.667, 29548.667
563.210, 249132.979, 0.187, 46620.330, 93542857.468, 1524.000, 33528.000, 21420.667
759.151, 452632.567, 0.152, 68954.630, 229077533.323, 349.090, 4318.000, 21590.000
687.535, 371261.044, 0.120, 44372.303, 170169950.455, 682.604, 32512.000, 24468.667
597.981, 280843.679, 0.152, 42618.165, 111959456.400, 846.667, 10752.667, 31072.667
457.112, 164110.181, 0.182, 29875.293, 50011178.493, 2033.763, 13885.333, 20997.333
671.907, 354575.598, 0.125, 44396.531, 158827999.405, 931.333, 26077.333, 4826.000
884.217, 614054.794, 0.184, 112766.059, 361971593.696, 349.090, 29210.000, 9398.000
672.056, 354732.592, 0.142, 50443.513, 158933497.037, 803.219, 4064.000, 19050.000
864.158, 586510.363, 0.121, 70879.322, 337891553.613, 455.944, 20658.667, 3725.333
370.602, 107871.118, 0.216, 23297.467, 26651494.681, 911.888, 9652.000, 6096.000
597.981, 280843.679, 0.115, 32303.573, 111959456.400, 644.802, 32088.667, 23537.333
749.652, 441376.098, 0.149, 65980.421, 220585528.119, 478.947, 23791.333, 4656.667
576.265, 260816.204, 0.135, 35293.211, 100199522.911, 610.540, 8890.000, 28363.333
376.574, 111375.729, 0.214, 23794.128, 27960803.090, 2814.450, 21590.000, 23622.000
444.238, 154996.392, 0.168, 26073.922, 45903540.587, 478.947, 23452.667, 4318.000
433.352, 147493.136, 0.138, 20289.343, 42610979.337, 766.689, 12530.667, 5672.667
233.342, 42763.673, 0.216, 9219.260, 6652368.466, 803.219, 3810.000, 19812.000
