Plate, 1
Well, 1
Count, 219
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
11.549, 0.000 to 23.098, 0
34.647, 23.098 to 46.197, 0
57.746, 46.197 to 69.295, 0
80.844, 69.295 to 92.393, 0
103.942, 92.393 to 115.491, 0
127.041, 115.491 to 138.590, 0
150.139, 138.590 to 161.688, 0
173.237, 161.688 to 184.786, 0
196.336, 184.786 to 207.885, 2
219.434, 207.885 to 230.983, 16
242.532, 230.983 to 254.081, 3
265.630, 254.081 to 277.180, 3
288.729, 277.180 to 300.278, 9
311.827, 300.278 to 323.376, 4
334.925, 323.376 to 346.474, 9
358.024, 346.474 to 369.573, 10
381.122, 369.573 to 392.671, 14
404.220, 392.671 to 415.769, 12
427.319, 415.769 to 438.868, 11
450.417, 438.868 to 461.966, 14
473.515, 461.966 to 485.064, 15
496.613, 485.064 to 508.163, 9
519.712, 508.163 to 531.261, 13
542.810, 531.261 to 554.359, 12
565.908, 554.359 to 577.457, 10
589.007, 577.457 to 600.556, 5
612.105, 600.556 to 623.654, 6
635.203, 623.654 to 646.752, 8
658.302, 646.752 to 669.851, 3
681.400, 669.851 to 692.949, 5
704.498, 692.949 to 716.047, 8
727.596, 716.047 to 739.146, 3
750.695, 739.146 to 762.244, 1
773.793, 762.244 to 785.342, 3
796.891, 785.342 to 808.440, 4
819.990, 808.440 to 831.539, 0
843.088, 831.539 to 854.637, 1
866.186, 854.637 to 877.735, 1
889.285, 877.735 to 900.834, 0
912.383, 900.834 to 923.932, 0
935.481, 923.932 to 947.030, 0
958.579, 947.030 to 970.129, 1
981.678, 970.129 to 993.227, 0
1004.776, 993.227 to 1016.325, 1
1027.874, 1016.325 to 1039.423, 0
1050.973, 1039.423 to 1062.522, 0
1074.071, 1062.522 to 1085.620, 1
1097.169, 1085.620 to 1108.718, 0
1120.268, 1108.718 to 1131.817, 1
1143.366, 1131.817 to 1154.915, 1


Plate, 1
Well, 2
Count, 245
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
10.967, 0.000 to 21.934, 0
32.901, 21.934 to 43.868, 0
