Plate, 1
Well, 1
Count, 219
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
31.051, 0.000 to 62.102, 0
93.153, 62.102 to 124.203, 0
155.254, 124.203 to 186.305, 0
217.356, 186.305 to 248.407, 0
279.458, 248.407 to 310.509, 4
341.559, 310.509 to 372.610, 2
403.661, 372.610 to 434.712, 9
465.763, 434.712 to 496.814, 5
527.865, 496.814 to 558.915, 13
589.966, 558.915 to 621.017, 9
652.068, 621.017 to 683.119, 5
714.170, 683.119 to 745.221, 8
776.271, 745.221 to 807.322, 20
838.373, 807.322 to 869.424, 9
900.475, 869.424 to 931.526, 10
962.577, 931.526 to 993.627, 10
1024.678, 993.627 to 1055.729, 14
1086.780, 1055.729 to 1117.831, 14
1148.882, 1117.831 to 1179.933, 8
1210.983, 1179.933 to 1242.034, 6
1273.085, 1242.034 to 1304.136, 9
1335.187, 1304.136 to 1366.238, 11
1397.289, 1366.238 to 1428.339, 4
1459.390, 1428.339 to 1490.441, 3
1521.492, 1490.441 to 1552.543, 1
1583.594, 1552.543 to 1614.645, 4
1645.695, 1614.645 to 1676.746, 5
1707.797, 1676.746 to 1738.848, 6
1769.899, 1738.848 to 1800.950, 5
1832.001, 1800.950 to 1863.051, 1
1894.102, 1863.051 to 1925.153, 5
1956.204, 1925.153 to 1987.255, 2
2018.306, 1987.255 to 2049.357, 4
2080.407, 2049.357 to 2111.458, 0
2142.509, 2111.458 to 2173.560, 1
2204.611, 2173.560 to 2235.662, 3
2266.713, 2235.662 to 2297.763, 1
2328.814, 2297.763 to 2359.865, 0
2390.916, 2359.865 to 2421.967, 1
2453.018, 2421.967 to 2484.069, 2
2515.119, 2484.069 to 2546.170, 2
2577.221, 2546.170 to 2608.272, 0
2639.323, 2608.272 to 2670.374, 0
2701.425, 2670.374 to 2732.475, 0
2763.526, 2732.475 to 2794.577, 1
2825.628, 2794.577 to 2856.679, 1
2887.730, 2856.679 to 2918.781, 0
2949.832, 2918.781 to 2980.882, 0
3011.933, 2980.882 to 3042.984, 0
3074.035, 3042.984 to 3105.086, 1


Plate, 1
Well, 2
Count, 245
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
32.273, 0.000 to 64.547, 0
96.820, 64.547 to 129.094, 0
161.367, 129.094 to 193.641, 0
225.914, 193.641 to 258.188, 0
290.461, 258.188 to 322.734, 0
355.008, 322.734 to 387.281, 0
419.555, 387.281 to 451.828, 6
484.102, 451.828 to 516.375, 6
548.648, 516.375 to 580.922, 8
613.195, 580.922 to 645.469, 15
677.742, 645.469 to 710.016, 17
742.289, 710.016 to 774.563, 15
806.836, 774.563 to 839.109, 22
871.383, 839.109 to 903.656, 23
935.930, 903.656 to 968.203, 25
1000.477, 968.203 to 1032.750, 13
1065.024, 1032.750 to 1097.297, 2
1129.570, 1097.297 to 1161.844, 16
1194.117, 1161.844 to 1226.391, 8
1258.664, 1226.391 to 1290.938, 7
1323.211, 1290.938 to 1355.485, 9
1387.758, 1355.485 to 1420.031, 10
1452.305, 1420.031 to 1484.578, 7
1516.852, 1484.578 to 1549.125, 5
1581.399, 1549.125 to 1613.672, 1
1645.945, 1613.672 to 1678.219, 2
1710.492, 1678.219 to 1742.766, 6
1775.039, 1742.766 to 1807.313, 3
1839.586, 1807.313 to 1871.860, 5
1904.133, 1871.860 to 1936.406, 1
1968.680, 1936.406 to 2000.953, 0
2033.227, 2000.953 to 2065.500, 1
2097.774, 2065.500 to 2130.047, 1
2162.321, 2130.047 to 2194.594, 2
2226.867, 2194.594 to 2259.141, 2
2291.414, 2259.141 to 2323.688, 0
2355.961, 2323.688 to 2388.235, 1
2420.508, 2388.235 to 2452.781, 2
2485.055, 2452.781 to 2517.328, 2
2549.602, 2517.328 to 2581.875, 1
2614.149, 2581.875 to 2646.422, 0
2678.696, 2646.422 to 2710.969, 0
2743.242, 2710.969 to 2775.516, 0
2807.789, 2775.516 to 2840.063, 0
2872.336, 2840.063 to 2904.610, 0
2936.883, 2904.610 to 2969.157, 0
3001.430, 2969.157 to 3033.703, 0
3065.977, 3033.703 to 3098.250, 0
3130.524, 3098.250 to 3162.797, 0
3195.071, 3162.797 to 3227.344, 1


Plate, 1
Well, 3
Count, 234
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
28.899, 0.000 to 57.797, 0
86.696, 57.797 to 115.594, 0
144.493, 115.594 to 173.391, 0
202.290, 173.391 to 231.188, 0
260.087, 231.188 to 288.985, 0
317.884, 288.985 to 346.782, 0
375.681, 346.782 to 404.579, 10
433.478, 404.579 to 462.376, 2
491.275, 462.376 to 520.173, 8
549.072, 520.173 to 577.970, 7
606.869, 577.970 to 635.767, 14
664.666, 635.767 to 693.564, 22
722.463, 693.564 to 751.361, 7
780.260, 751.361 to 809.158, 14
838.057, 809.158 to 866.955, 12
895.854, 866.955 to 924.752, 10
953.651, 924.752 to 982.549, 12
1011.448, 982.549 to 1040.346, 19
1069.245, 1040.346 to 1098.143, 5
1127.042, 1098.143 to 1155.940, 12
1184.839, 1155.940 to 1213.737, 11
1242.636, 1213.737 to 1271.534, 13
1300.433, 1271.534 to 1329.331, 10
1358.230, 1329.331 to 1387.128, 5
1416.027, 1387.128 to 1444.925, 4
1473.824, 1444.925 to 1502.722, 1
1531.621, 1502.722 to 1560.519, 5
1589.418, 1560.519 to 1618.316, 3
1647.215, 1618.316 to 1676.113, 1
1705.012, 1676.113 to 1733.910, 2
1762.809, 1733.910 to 1791.708, 4
1820.606, 1791.708 to 1849.505, 3
1878.403, 1849.505 to 1907.302, 1
1936.200, 1907.302 to 1965.099, 4
1993.997, 1965.099 to 2022.896, 2
2051.794, 2022.896 to 2080.693, 1
2109.591, 2080.693 to 2138.490, 0
2167.388, 2138.490 to 2196.287, 1
2225.185, 2196.287 to 2254.084, 1
2282.982, 2254.084 to 2311.881, 1
2340.779, 2311.881 to 2369.678, 1
2398.576, 2369.678 to 2427.475, 0
2456.373, 2427.475 to 2485.272, 2
2514.170, 2485.272 to 2543.069, 0
2571.967, 2543.069 to 2600.866, 0
2629.764, 2600.866 to 2658.663, 0
2687.561, 2658.663 to 2716.460, 1
2745.358, 2716.460 to 2774.257, 2
2803.155, 2774.257 to 2832.054, 0
2860.952, 2832.054 to 2889.851, 1


Plate, 1
Well, 4
Count, 209
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
43.708, 0.000 to 87.416, 0
131.124, 87.416 to 174.832, 0
