Plate, 2
Well, 1
Count, 170
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
9.189, 0.000 to 18.379, 0
27.568, 18.379 to 36.757, 0
45.947, 36.757 to 55.136, 0
64.325, 55.136 to 73.515, 0
82.704, 73.515 to 91.893, 0
101.083, 91.893 to 110.272, 0
119.461, 110.272 to 128.651, 0
137.840, 128.651 to 147.029, 0
156.219, 147.029 to 165.408, 0
174.597, 165.408 to 183.787, 0
192.976, 183.787 to 202.165, 0
211.355, 202.165 to 220.544, 6
229.733, 220.544 to 238.923, 5
248.112, 238.923 to 257.301, 3
266.491, 257.301 to 275.680, 4
284.869, 275.680 to 294.059, 1
303.248, 294.059 to 312.437, 2
321.627, 312.437 to 330.816, 3
340.005, 330.816 to 349.195, 8
358.384, 349.195 to 367.573, 12
376.763, 367.573 to 385.952, 4
395.141, 385.952 to 404.331, 10
413.520, 404.331 to 422.709, 16
431.899, 422.709 to 441.088, 10
450.277, 441.088 to 459.467, 12
468.656, 459.467 to 477.845, 8
487.035, 477.845 to 496.224, 9
505.413, 496.224 to 514.603, 6
523.792, 514.603 to 532.981, 10
542.171, 532.981 to 551.360, 9
560.549, 551.360 to 569.739, 5
578.928, 569.739 to 588.117, 4
597.307, 588.117 to 606.496, 2
615.685, 606.496 to 624.875, 4
634.064, 624.875 to 643.253, 1
652.443, 643.253 to 661.632, 3
670.821, 661.632 to 680.011, 4
689.200, 680.011 to 698.389, 1
707.579, 698.389 to 716.768, 1
725.957, 716.768 to 735.147, 1
744.336, 735.147 to 753.525, 0
762.715, 753.525 to 771.904, 1
781.093, 771.904 to 790.283, 1
799.472, 790.283 to 808.661, 1
817.851, 808.661 to 827.040, 0
836.229, 827.040 to 845.419, 0
854.608, 845.419 to 863.797, 1
872.987, 863.797 to 882.176, 1
891.365, 882.176 to 900.555, 0
909.744, 900.555 to 918.933, 1


Plate, 2
Well, 2
Count, 144
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
8.911, 0.000 to 17.822, 0
26.733, 17.822 to 35.643, 0
44.554, 35.643 to 53.465, 0
62.376, 53.465 to 71.287, 0
80.198, 71.287 to 89.108, 0
98.019, 89.108 to 106.930, 0
115.841, 106.930 to 124.752, 0
133.663, 124.752 to 142.573, 0
151.484, 142.573 to 160.395, 0
169.306, 160.395 to 178.217, 0
187.128, 178.217 to 196.038, 0
204.949, 196.038 to 213.860, 4
222.771, 213.860 to 231.682, 15
240.593, 231.682 to 249.503, 4
258.414, 249.503 to 267.325, 3
276.236, 267.325 to 285.147, 4
294.058, 285.147 to 302.968, 0
311.879, 302.968 to 320.790, 3
329.701, 320.790 to 338.612, 3
347.523, 338.612 to 356.433, 9
365.344, 356.433 to 374.255, 6
383.166, 374.255 to 392.077, 9
400.988, 392.077 to 409.898, 9
418.809, 409.898 to 427.720, 3
436.631, 427.720 to 445.542, 9
454.453, 445.542 to 463.363, 8
472.274, 463.363 to 481.185, 5
490.096, 481.185 to 499.007, 8
507.918, 499.007 to 516.828, 8
525.739, 516.828 to 534.650, 7
543.561, 534.650 to 552.472, 7
561.383, 552.472 to 570.293, 1
579.204, 570.293 to 588.115, 1
597.026, 588.115 to 605.937, 1
614.848, 605.937 to 623.758, 3
632.669, 623.758 to 641.580, 3
650.491, 641.580 to 659.402, 3
668.313, 659.402 to 677.223, 3
686.134, 677.223 to 695.045, 0
703.956, 695.045 to 712.867, 0
721.778, 712.867 to 730.688, 0
739.599, 730.688 to 748.510, 1
757.421, 748.510 to 766.332, 1
775.243, 766.332 to 784.153, 1
793.064, 784.153 to 801.975, 0
810.886, 801.975 to 819.797, 1
828.708, 819.797 to 837.618, 0
846.529, 837.618 to 855.440, 0
864.351, 855.440 to 873.262, 0
882.173, 873.262 to 891.083, 1


Plate, 2
Well, 3
Count, 79
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
9.829, 0.000 to 19.657, 0
29.486, 19.657 to 39.314, 0
49.143, 39.314 to 58.971, 0
68.800, 58.971 to 78.628, 0
88.457, 78.628 to 98.285, 0
108.114, 98.285 to 117.942, 0
127.771, 117.942 to 137.599, 0
147.428, 137.599 to 157.256, 0
167.085, 157.256 to 176.913, 0
186.742, 176.913 to 196.570, 0
206.399, 196.570 to 216.227, 0
226.056, 216.227 to 235.884, 9
245.713, 235.884 to 255.541, 1
265.370, 255.541 to 275.198, 1
285.027, 275.198 to 294.855, 2
304.684, 294.855 to 314.512, 3
324.341, 314.512 to 334.169, 3
343.998, 334.169 to 353.826, 5
363.655, 353.826 to 373.483, 4
383.312, 373.483 to 393.140, 5
402.969, 393.140 to 412.797, 3
422.626, 412.797 to 432.454, 2
442.283, 432.454 to 452.111, 7
461.940, 452.111 to 471.768, 3
481.597, 471.768 to 491.425, 3
501.254, 491.425 to 511.082, 4
520.911, 511.082 to 530.740, 4
540.568, 530.740 to 550.397, 2
560.225, 550.397 to 570.054, 4
579.882, 570.054 to 589.711, 3
599.539, 589.711 to 609.368, 1
619.196, 609.368 to 629.025, 1
638.853, 629.025 to 648.682, 2
658.510, 648.682 to 668.339, 0
678.167, 668.339 to 687.996, 1
697.824, 687.996 to 707.653, 0
717.481, 707.653 to 727.310, 2
737.138, 727.310 to 746.967, 0
756.795, 746.967 to 766.624, 0
776.452, 766.624 to 786.281, 1
796.109, 786.281 to 805.938, 1
815.766, 805.938 to 825.595, 1
835.423, 825.595 to 845.252, 0
855.080, 845.252 to 864.909, 0
874.737, 864.909 to 884.566, 0
