Plate, 2
Well, 1
Count, 167
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
10257.116, 0.000 to 20514.232, 0
30771.347, 20514.232 to 41028.463, 0
51285.579, 41028.463 to 61542.695, 3
71799.810, 61542.695 to 82056.926, 14
92314.042, 82056.926 to 102571.158, 36
112828.274, 102571.158 to 123085.389, 18
133342.505, 123085.389 to 143599.621, 7
153856.737, 143599.621 to 164113.853, 20
174370.968, 164113.853 to 184628.084, 13
194885.200, 184628.084 to 205142.316, 15
215399.431, 205142.316 to 225656.547, 12
235913.663, 225656.547 to 246170.779, 6
256427.895, 246170.779 to 266685.010, 4
276942.126, 266685.010 to 287199.242, 2
297456.358, 287199.242 to 307713.473, 5
317970.589, 307713.473 to 328227.705, 0
338484.821, 328227.705 to 348741.937, 3
358999.052, 348741.937 to 369256.168, 1
379513.284, 369256.168 to 389770.400, 1
400027.515, 389770.400 to 410284.631, 0
420541.747, 410284.631 to 430798.863, 1
441055.979, 430798.863 to 451313.094, 1
461570.210, 451313.094 to 471827.326, 0
482084.442, 471827.326 to 492341.558, 0
502598.673, 492341.558 to 512855.789, 2
523112.905, 512855.789 to 533370.021, 0
543627.136, 533370.021 to 553884.252, 0
564141.368, 553884.252 to 574398.484, 0
584655.600, 574398.484 to 594912.715, 0
605169.831, 594912.715 to 615426.947, 1
625684.063, 615426.947 to 635941.178, 0
646198.294, 635941.178 to 656455.410, 0
666712.526, 656455.410 to 676969.642, 0
687226.757, 676969.642 to 697483.873, 0
707740.989, 697483.873 to 717998.105, 0
728255.221, 717998.105 to 738512.336, 0
748769.452, 738512.336 to 759026.568, 0
769283.684, 759026.568 to 779540.799, 0
789797.915, 779540.799 to 800055.031, 0
810312.147, 800055.031 to 820569.263, 0
830826.378, 820569.263 to 841083.494, 0
851340.610, 841083.494 to 861597.726, 1
871854.841, 861597.726 to 882111.957, 0
892369.073, 882111.957 to 902626.189, 0
912883.305, 902626.189 to 923140.420, 0
933397.536, 923140.420 to 943654.652, 0
953911.768, 943654.652 to 964168.884, 0
974425.999, 964168.884 to 984683.115, 0
994940.231, 984683.115 to 1005197.347, 0
1015454.462, 1005197.347 to 1025711.578, 1


Plate, 2
Well, 2
Count, 185
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
5701.697, 0.000 to 11403.394, 0
17105.090, 11403.394 to 22806.787, 0
28508.484, 22806.787 to 34210.181, 0
39911.877, 34210.181 to 45613.574, 0
51315.271, 45613.574 to 57016.968, 2
62718.664, 57016.968 to 68420.361, 3
74122.058, 68420.361 to 79823.755, 9
85525.452, 79823.755 to 91227.148, 11
96928.845, 91227.148 to 102630.542, 40
108332.239, 102630.542 to 114033.935, 7
119735.632, 114033.935 to 125437.329, 8
131139.026, 125437.329 to 136840.722, 13
142542.419, 136840.722 to 148244.116, 5
153945.813, 148244.116 to 159647.510, 12
165349.206, 159647.510 to 171050.903, 8
176752.600, 171050.903 to 182454.297, 9
188155.993, 182454.297 to 193857.690, 10
199559.387, 193857.690 to 205261.084, 8
210962.780, 205261.084 to 216664.477, 11
222366.174, 216664.477 to 228067.871, 5
233769.568, 228067.871 to 239471.264, 3
245172.961, 239471.264 to 250874.658, 2
256576.355, 250874.658 to 262278.051, 4
267979.748, 262278.051 to 273681.445, 1
279383.142, 273681.445 to 285084.838, 0
290786.535, 285084.838 to 296488.232, 0
302189.929, 296488.232 to 307891.626, 2
313593.322, 307891.626 to 319295.019, 2
324996.716, 319295.019 to 330698.413, 2
336400.109, 330698.413 to 342101.806, 0
347803.503, 342101.806 to 353505.200, 1
359206.896, 353505.200 to 364908.593, 1
370610.290, 364908.593 to 376311.987, 1
382013.684, 376311.987 to 387715.380, 3
393417.077, 387715.380 to 399118.774, 0
404820.471, 399118.774 to 410522.167, 0
416223.864, 410522.167 to 421925.561, 0
427627.258, 421925.561 to 433328.954, 0
439030.651, 433328.954 to 444732.348, 0
450434.045, 444732.348 to 456135.742, 0
461837.438, 456135.742 to 467539.135, 0
473240.832, 467539.135 to 478942.529, 0
484644.225, 478942.529 to 490345.922, 1
496047.619, 490345.922 to 501749.316, 0
507451.012, 501749.316 to 513152.709, 0
518854.406, 513152.709 to 524556.103, 0
530257.800, 524556.103 to 535959.496, 0
541661.193, 535959.496 to 547362.890, 0
553064.587, 547362.890 to 558766.283, 0
564467.980, 558766.283 to 570169.677, 1


Plate, 2
Well, 3
Count, 130
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
10079.774, 0.000 to 20159.549, 0
30239.323, 20159.549 to 40319.098, 0
50398.872, 40319.098 to 60478.647, 4
70558.421, 60478.647 to 80638.195, 6
90717.970, 80638.195 to 100797.744, 32
110877.519, 100797.744 to 120957.293, 15
131037.067, 120957.293 to 141116.842, 12
151196.616, 141116.842 to 161276.391, 12
171356.165, 161276.391 to 181435.940, 9
191515.714, 181435.940 to 201595.488, 11
211675.263, 201595.488 to 221755.037, 12
231834.812, 221755.037 to 241914.586, 1
251994.360, 241914.586 to 262074.135, 3
272153.909, 262074.135 to 282233.684, 1
292313.458, 282233.684 to 302393.233, 0
312473.007, 302393.233 to 322552.781, 2
332632.556, 322552.781 to 342712.330, 0
352792.105, 342712.330 to 362871.879, 3
372951.653, 362871.879 to 383031.428, 1
393111.202, 383031.428 to 403190.977, 0
413270.751, 403190.977 to 423350.526, 2
433430.300, 423350.526 to 443510.074, 0
453589.849, 443510.074 to 463669.623, 1
473749.398, 463669.623 to 483829.172, 0
493908.946, 483829.172 to 503988.721, 1
514068.495, 503988.721 to 524148.270, 0
534228.044, 524148.270 to 544307.819, 1
554387.593, 544307.819 to 564467.367, 0
574547.142, 564467.367 to 584626.916, 0
594706.691, 584626.916 to 604786.465, 0
614866.239, 604786.465 to 624946.014, 0
635025.788, 624946.014 to 645105.563, 0
655185.337, 645105.563 to 665265.112, 0
675344.886, 665265.112 to 685424.660, 0
695504.435, 685424.660 to 705584.209, 0
715663.984, 705584.209 to 725743.758, 0
735823.533, 725743.758 to 745903.307, 0
755983.081, 745903.307 to 766062.856, 0
776142.630, 766062.856 to 786222.405, 0
796302.179, 786222.405 to 806381.953, 0
816461.728, 806381.953 to 826541.502, 0
836621.277, 826541.502 to 846701.051, 0
856780.826, 846701.051 to 866860.600, 0
876940.374, 866860.600 to 887020.149, 0
897099.923, 887020.149 to 907179.698, 0
917259.472, 907179.698 to 927339.246, 0
937419.021, 927339.246 to 947498.795, 0
957578.570, 947498.795 to 967658.344, 0
977738.119, 967658.344 to 987817.893, 0
997897.667, 987817.893 to 1007977.442, 1


Plate, 2
Well, 4
Count, 93
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Area (um^2), Range, frequency
3325.117, 0.000 to 6650.234, 0
9975.351, 6650.234 to 13300.468, 0
16625.586, 13300.468 to 19950.703, 1
23275.820, 19950.703 to 26600.937, 2
29926.054, 26600.937 to 33251.171, 0
36576.288, 33251.171 to 39901.405, 0
43226.522, 39901.405 to 46551.639, 0
49876.757, 46551.639 to 53201.874, 2
56526.991, 53201.874 to 59852.108, 1
63177.225, 59852.108 to 66502.342, 5
69827.459, 66502.342 to 73152.576, 7
76477.693, 73152.576 to 79802.811, 7
83127.928, 79802.811 to 86453.045, 5
89778.162, 86453.045 to 93103.279, 9
96428.396, 93103.279 to 99753.513, 8
103078.630, 99753.513 to 106403.747, 3
