Plate, 3
Well, 1
Count, 238
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
4441.203, 0.000 to 8882.405, 13
13323.608, 8882.405 to 17764.811, 83
22206.013, 17764.811 to 26647.216, 50
31088.419, 26647.216 to 35529.621, 23
39970.824, 35529.621 to 44412.027, 21
48853.229, 44412.027 to 53294.432, 15
57735.635, 53294.432 to 62176.837, 6
66618.040, 62176.837 to 71059.243, 3
75500.446, 71059.243 to 79941.648, 5
84382.851, 79941.648 to 88824.054, 2
93265.256, 88824.054 to 97706.459, 3
102147.662, 97706.459 to 106588.864, 1
111030.067, 106588.864 to 115471.270, 1
119912.472, 115471.270 to 124353.675, 3
128794.878, 124353.675 to 133236.080, 0
137677.283, 133236.080 to 142118.486, 0
146559.688, 142118.486 to 151000.891, 1
155442.094, 151000.891 to 159883.296, 0
164324.499, 159883.296 to 168765.702, 1
173206.904, 168765.702 to 177648.107, 1
182089.310, 177648.107 to 186530.512, 1
190971.715, 186530.512 to 195412.918, 1
199854.121, 195412.918 to 204295.323, 0
208736.526, 204295.323 to 213177.729, 1
217618.931, 213177.729 to 222060.134, 1
226501.337, 222060.134 to 230942.539, 0
235383.742, 230942.539 to 239824.945, 0
244266.147, 239824.945 to 248707.350, 0
253148.553, 248707.350 to 257589.755, 0
262030.958, 257589.755 to 266472.161, 0
270913.363, 266472.161 to 275354.566, 0
279795.769, 275354.566 to 284236.971, 0
288678.174, 284236.971 to 293119.377, 0
297560.579, 293119.377 to 302001.782, 0
306442.985, 302001.782 to 310884.187, 0
315325.390, 310884.187 to 319766.593, 0
324207.795, 319766.593 to 328648.998, 0
333090.201, 328648.998 to 337531.404, 0
341972.606, 337531.404 to 346413.809, 0
350855.012, 346413.809 to 355296.214, 1
359737.417, 355296.214 to 364178.620, 0
368619.822, 364178.620 to 373061.025, 0
377502.228, 373061.025 to 381943.430, 0
386384.633, 381943.430 to 390825.836, 0
395267.038, 390825.836 to 399708.241, 0
404149.444, 399708.241 to 408590.646, 0
413031.849, 408590.646 to 417473.052, 0
421914.254, 417473.052 to 426355.457, 0
430796.660, 426355.457 to 435237.862, 0
439679.065, 435237.862 to 444120.268, 1


Plate, 3
Well, 2
Count, 218
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1912.375, 0.000 to 3824.751, 0
5737.126, 3824.751 to 7649.501, 9
