Plate, 2
Well, 1
Count, 131
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.009, 0
0.013, 0.009 to 0.017, 0
0.022, 0.017 to 0.026, 0
0.030, 0.026 to 0.034, 0
0.039, 0.034 to 0.043, 0
0.047, 0.043 to 0.052, 0
0.056, 0.052 to 0.060, 0
0.065, 0.060 to 0.069, 0
0.073, 0.069 to 0.077, 0
0.082, 0.077 to 0.086, 0
0.090, 0.086 to 0.095, 0
0.099, 0.095 to 0.103, 0
0.108, 0.103 to 0.112, 0
0.116, 0.112 to 0.120, 5
0.125, 0.120 to 0.129, 9
0.133, 0.129 to 0.138, 9
0.142, 0.138 to 0.146, 7
0.151, 0.146 to 0.155, 2
0.159, 0.155 to 0.163, 11
0.168, 0.163 to 0.172, 14
0.176, 0.172 to 0.181, 11
0.185, 0.181 to 0.189, 3
0.194, 0.189 to 0.198, 9
0.202, 0.198 to 0.206, 9
0.211, 0.206 to 0.215, 3
0.219, 0.215 to 0.224, 5
0.228, 0.224 to 0.232, 8
0.237, 0.232 to 0.241, 5
0.245, 0.241 to 0.249, 2
0.254, 0.249 to 0.258, 3
0.262, 0.258 to 0.267, 1
0.271, 0.267 to 0.275, 1
0.280, 0.275 to 0.284, 0
0.288, 0.284 to 0.292, 4
0.297, 0.292 to 0.301, 1
0.305, 0.301 to 0.310, 2
0.314, 0.310 to 0.318, 1
0.323, 0.318 to 0.327, 0
0.331, 0.327 to 0.336, 1
0.340, 0.336 to 0.344, 1
0.348, 0.344 to 0.353, 0
0.357, 0.353 to 0.361, 0
0.366, 0.361 to 0.370, 2
0.374, 0.370 to 0.379, 1
0.383, 0.379 to 0.387, 0
0.391, 0.387 to 0.396, 0
0.400, 0.396 to 0.404, 0
0.409, 0.404 to 0.413, 0
0.417, 0.413 to 0.422, 0
0.426, 0.422 to 0.430, 1


Plate, 2
Well, 2
Count, 151
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.013, 0.008 to 0.017, 0
0.021, 0.017 to 0.025, 0
0.029, 0.025 to 0.034, 0
0.038, 0.034 to 0.042, 0
0.046, 0.042 to 0.050, 0
0.055, 0.050 to 0.059, 0
0.063, 0.059 to 0.067, 0
0.071, 0.067 to 0.076, 0
0.080, 0.076 to 0.084, 0
0.088, 0.084 to 0.092, 0
0.097, 0.092 to 0.101, 0
0.105, 0.101 to 0.109, 1
0.113, 0.109 to 0.118, 7
0.122, 0.118 to 0.126, 10
0.130, 0.126 to 0.134, 13
0.139, 0.134 to 0.143, 14
0.147, 0.143 to 0.151, 13
0.155, 0.151 to 0.160, 14
0.164, 0.160 to 0.168, 12
0.172, 0.168 to 0.176, 5
0.181, 0.176 to 0.185, 11
0.189, 0.185 to 0.193, 12
0.197, 0.193 to 0.201, 9
0.206, 0.201 to 0.210, 2
0.214, 0.210 to 0.218, 5
0.222, 0.218 to 0.227, 2
0.231, 0.227 to 0.235, 3
0.239, 0.235 to 0.243, 1
0.248, 0.243 to 0.252, 3
0.256, 0.252 to 0.260, 3
0.264, 0.260 to 0.269, 4
0.273, 0.269 to 0.277, 1
0.281, 0.277 to 0.285, 2
0.290, 0.285 to 0.294, 0
0.298, 0.294 to 0.302, 1
0.306, 0.302 to 0.311, 0
0.315, 0.311 to 0.319, 1
0.323, 0.319 to 0.327, 0
0.332, 0.327 to 0.336, 0
0.340, 0.336 to 0.344, 0
0.348, 0.344 to 0.353, 0
0.357, 0.353 to 0.361, 0
0.365, 0.361 to 0.369, 1
0.374, 0.369 to 0.378, 0
0.382, 0.378 to 0.386, 0
0.390, 0.386 to 0.395, 0
0.399, 0.395 to 0.403, 0
0.407, 0.403 to 0.411, 0
0.416, 0.411 to 0.420, 1


Plate, 2
Well, 3
Count, 105
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.009, 0.006 to 0.012, 0
0.015, 0.012 to 0.018, 0
0.021, 0.018 to 0.024, 0
0.027, 0.024 to 0.030, 0
0.033, 0.030 to 0.036, 0
0.039, 0.036 to 0.042, 0
0.046, 0.042 to 0.049, 0
0.052, 0.049 to 0.055, 0
0.058, 0.055 to 0.061, 0
0.064, 0.061 to 0.067, 0
0.070, 0.067 to 0.073, 0
0.076, 0.073 to 0.079, 0
0.082, 0.079 to 0.085, 0
0.088, 0.085 to 0.091, 0
0.094, 0.091 to 0.097, 0
0.100, 0.097 to 0.103, 1
0.106, 0.103 to 0.109, 2
0.112, 0.109 to 0.115, 5
0.118, 0.115 to 0.121, 8
0.124, 0.121 to 0.127, 4
0.131, 0.127 to 0.134, 9
0.137, 0.134 to 0.140, 10
0.143, 0.140 to 0.146, 5
0.149, 0.146 to 0.152, 11
0.155, 0.152 to 0.158, 7
0.161, 0.158 to 0.164, 10
