Plate, 2
Well, 5
Count, 13

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
486.398, 185811.964, 0.147, 27388.260, 60252394.466, 3052.700, 30141.333, 26585.333
220.744, 38270.927, 0.172, 6600.087, 5632060.095, 1135.923, 11768.667, 4656.667
469.582, 173186.334, 0.135, 23383.835, 54216843.600, 7232.932, 10160.000, 28956.000
519.758, 212174.376, 0.129, 27436.929, 73519611.030, 7232.932, 3640.667, 25823.333
266.845, 55925.076, 0.134, 7503.073, 9948868.191, 3336.554, 4318.000, 17272.000
426.209, 142671.012, 0.127, 18051.777, 40538475.755, 1823.776, 13462.000, 3979.333
320.603, 80728.128, 0.128, 10351.139, 17254450.098, 8542.946, 21082.000, 32342.667
340.097, 90843.605, 0.139, 12660.729, 20597065.205, 3052.700, 29125.333, 29464.000
355.289, 99141.091, 0.113, 11224.940, 23482500.675, 1135.923, 12276.667, 5672.667
217.621, 37195.693, 0.136, 5064.287, 5396383.125, 3336.554, 7027.333, 15324.667
271.409, 57854.777, 0.119, 6875.755, 10468215.062, 2525.849, 24214.667, 10583.333
201.184, 31789.075, 0.122, 3877.761, 4263641.073, 2525.849, 22267.333, 12192.000
217.621, 37195.693, 0.120, 4481.453, 5396383.125, 3438.134, 20150.667, 14901.333



ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	20:41:11
Plate type:	6-Well
Resolution settings:	300 dpi
CHARM Settings 1:		unsaved settings
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_20-09\Plate2\Plate2.ics
