Plate, 4
Well, 1
Count, 186
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
32.184, 0.000 to 64.369, 0
96.553, 64.369 to 128.738, 0
160.922, 128.738 to 193.107, 0
225.291, 193.107 to 257.476, 0
289.660, 257.476 to 321.845, 0
354.029, 321.845 to 386.214, 4
418.398, 386.214 to 450.583, 2
482.767, 450.583 to 514.952, 2
547.136, 514.952 to 579.320, 9
611.505, 579.320 to 643.689, 9
675.874, 643.689 to 708.058, 17
740.243, 708.058 to 772.427, 8
804.612, 772.427 to 836.796, 11
868.981, 836.796 to 901.165, 12
933.350, 901.165 to 965.534, 13
997.719, 965.534 to 1029.903, 5
1062.088, 1029.903 to 1094.272, 11
1126.457, 1094.272 to 1158.641, 8
1190.825, 1158.641 to 1223.010, 6
1255.194, 1223.010 to 1287.379, 14
1319.563, 1287.379 to 1351.748, 5
1383.932, 1351.748 to 1416.117, 6
1448.301, 1416.117 to 1480.486, 5
1512.670, 1480.486 to 1544.855, 6
1577.039, 1544.855 to 1609.224, 4
1641.408, 1609.224 to 1673.593, 5
1705.777, 1673.593 to 1737.961, 0
1770.146, 1737.961 to 1802.330, 3
1834.515, 1802.330 to 1866.699, 3
1898.884, 1866.699 to 1931.068, 2
1963.253, 1931.068 to 1995.437, 1
2027.622, 1995.437 to 2059.806, 0
2091.991, 2059.806 to 2124.175, 3
2156.360, 2124.175 to 2188.544, 0
2220.729, 2188.544 to 2252.913, 3
2285.097, 2252.913 to 2317.282, 3
2349.466, 2317.282 to 2381.651, 0
2413.835, 2381.651 to 2446.020, 0
2478.204, 2446.020 to 2510.389, 0
2542.573, 2510.389 to 2574.758, 1
2606.942, 2574.758 to 2639.127, 1
2671.311, 2639.127 to 2703.496, 0
2735.680, 2703.496 to 2767.865, 0
2800.049, 2767.865 to 2832.234, 0
2864.418, 2832.234 to 2896.602, 0
2928.787, 2896.602 to 2960.971, 0
2993.156, 2960.971 to 3025.340, 1
3057.525, 3025.340 to 3089.709, 1
3121.894, 3089.709 to 3154.078, 1
3186.263, 3154.078 to 3218.447, 1


Plate, 4
Well, 2
Count, 147
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Nearest Neighbour (um), Range, frequency
41.070, 0.000 to 82.140, 0
123.210, 82.140 to 164.280, 0
205.349, 164.280 to 246.419, 0
287.489, 246.419 to 328.559, 2
369.629, 328.559 to 410.699, 0
451.769, 410.699 to 492.839, 4
533.908, 492.839 to 574.978, 10
616.048, 574.978 to 657.118, 15
698.188, 657.118 to 739.258, 5
780.328, 739.258 to 821.398, 6
862.467, 821.398 to 903.537, 9
944.607, 903.537 to 985.677, 10
1026.747, 985.677 to 1067.817, 15
1108.887, 1067.817 to 1149.957, 11
