Plate, 1
Well, 1
Count, 245
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.005, 0.000 to 0.010, 0
0.015, 0.010 to 0.020, 0
0.025, 0.020 to 0.030, 0
0.036, 0.030 to 0.041, 0
0.046, 0.041 to 0.051, 0
0.056, 0.051 to 0.061, 0
0.066, 0.061 to 0.071, 0
0.076, 0.071 to 0.081, 0
0.086, 0.081 to 0.091, 0
0.096, 0.091 to 0.102, 0
0.107, 0.102 to 0.112, 0
0.117, 0.112 to 0.122, 0
0.127, 0.122 to 0.132, 0
0.137, 0.132 to 0.142, 3
0.147, 0.142 to 0.152, 15
0.157, 0.152 to 0.162, 17
0.168, 0.162 to 0.173, 18
0.178, 0.173 to 0.183, 13
0.188, 0.183 to 0.193, 20
0.198, 0.193 to 0.203, 31
0.208, 0.203 to 0.213, 20
0.218, 0.213 to 0.223, 15
0.228, 0.223 to 0.234, 14
0.239, 0.234 to 0.244, 9
0.249, 0.244 to 0.254, 17
0.259, 0.254 to 0.264, 12
0.269, 0.264 to 0.274, 7
0.279, 0.274 to 0.284, 7
0.289, 0.284 to 0.294, 6
0.300, 0.294 to 0.305, 4
0.310, 0.305 to 0.315, 0
0.320, 0.315 to 0.325, 3
0.330, 0.325 to 0.335, 3
0.340, 0.335 to 0.345, 3
0.350, 0.345 to 0.355, 1
0.360, 0.355 to 0.366, 1
0.371, 0.366 to 0.376, 1
0.381, 0.376 to 0.386, 3
0.391, 0.386 to 0.396, 0
0.401, 0.396 to 0.406, 0
0.411, 0.406 to 0.416, 0
0.421, 0.416 to 0.426, 0
0.432, 0.426 to 0.437, 0
0.442, 0.437 to 0.447, 1
0.452, 0.447 to 0.457, 0
0.462, 0.457 to 0.467, 0
0.472, 0.467 to 0.477, 0
0.482, 0.477 to 0.487, 0
0.493, 0.487 to 0.498, 0
0.503, 0.498 to 0.508, 1


Plate, 1
Well, 2
Count, 239
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.009, 0
0.013, 0.009 to 0.017, 0
0.021, 0.017 to 0.026, 0
0.030, 0.026 to 0.034, 0
0.039, 0.034 to 0.043, 0
0.047, 0.043 to 0.051, 0
0.056, 0.051 to 0.060, 0
0.064, 0.060 to 0.069, 0
0.073, 0.069 to 0.077, 0
0.081, 0.077 to 0.086, 0
0.090, 0.086 to 0.094, 0
0.099, 0.094 to 0.103, 0
0.107, 0.103 to 0.111, 0
0.116, 0.111 to 0.120, 0
0.124, 0.120 to 0.129, 5
0.133, 0.129 to 0.137, 10
0.142, 0.137 to 0.146, 13
0.150, 0.146 to 0.154, 20
0.159, 0.154 to 0.163, 18
0.167, 0.163 to 0.172, 17
0.176, 0.172 to 0.180, 14
0.184, 0.180 to 0.189, 16
0.193, 0.189 to 0.197, 13
0.202, 0.197 to 0.206, 11
0.210, 0.206 to 0.214, 9
0.219, 0.214 to 0.223, 16
0.227, 0.223 to 0.232, 9
0.236, 0.232 to 0.240, 11
0.244, 0.240 to 0.249, 10
0.253, 0.249 to 0.257, 4
0.262, 0.257 to 0.266, 5
0.270, 0.266 to 0.274, 3
0.279, 0.274 to 0.283, 5
0.287, 0.283 to 0.292, 5
0.296, 0.292 to 0.300, 5
0.304, 0.300 to 0.309, 4
0.313, 0.309 to 0.317, 2
0.322, 0.317 to 0.326, 2
0.330, 0.326 to 0.334, 3
0.339, 0.334 to 0.343, 0
0.347, 0.343 to 0.352, 2
0.356, 0.352 to 0.360, 1
0.364, 0.360 to 0.369, 0
0.373, 0.369 to 0.377, 0
0.382, 0.377 to 0.386, 2
0.390, 0.386 to 0.395, 0
0.399, 0.395 to 0.403, 1
0.407, 0.403 to 0.412, 2
0.416, 0.412 to 0.420, 0
0.425, 0.420 to 0.429, 1


Plate, 1
Well, 3
Count, 205
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.005, 0.000 to 0.009, 0
0.014, 0.009 to 0.019, 0
0.023, 0.019 to 0.028, 0
0.033, 0.028 to 0.037, 0
0.042, 0.037 to 0.047, 0
0.051, 0.047 to 0.056, 0
0.060, 0.056 to 0.065, 0
0.070, 0.065 to 0.074, 0
0.079, 0.074 to 0.084, 0
0.088, 0.084 to 0.093, 2
0.098, 0.093 to 0.102, 1
0.107, 0.102 to 0.112, 8
0.116, 0.112 to 0.121, 13
0.126, 0.121 to 0.130, 11
0.135, 0.130 to 0.140, 20
0.144, 0.140 to 0.149, 17
0.153, 0.149 to 0.158, 24
0.163, 0.158 to 0.167, 18
0.172, 0.167 to 0.177, 11
0.181, 0.177 to 0.186, 15
0.191, 0.186 to 0.195, 9
0.200, 0.195 to 0.205, 10
0.209, 0.205 to 0.214, 5
0.219, 0.214 to 0.223, 2
0.228, 0.223 to 0.233, 5
0.237, 0.233 to 0.242, 5
0.247, 0.242 to 0.251, 8
0.256, 0.251 to 0.260, 5
0.265, 0.260 to 0.270, 1
0.274, 0.270 to 0.279, 2
0.284, 0.279 to 0.288, 2
0.293, 0.288 to 0.298, 1
0.302, 0.298 to 0.307, 2
0.312, 0.307 to 0.316, 1
0.321, 0.316 to 0.326, 0
0.330, 0.326 to 0.335, 2
0.340, 0.335 to 0.344, 1
0.349, 0.344 to 0.353, 2
0.358, 0.353 to 0.363, 1
0.367, 0.363 to 0.372, 0
0.377, 0.372 to 0.381, 0
0.386, 0.381 to 0.391, 0
0.395, 0.391 to 0.400, 0
0.405, 0.400 to 0.409, 0
0.414, 0.409 to 0.419, 0
0.423, 0.419 to 0.428, 0
0.433, 0.428 to 0.437, 0
0.442, 0.437 to 0.447, 0
0.451, 0.447 to 0.456, 0
0.460, 0.456 to 0.465, 1


Plate, 1
Well, 4
Count, 211
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.017, 0
0.021, 0.017 to 0.025, 0
0.029, 0.025 to 0.033, 0
0.037, 0.033 to 0.041, 0
0.046, 0.041 to 0.050, 0
0.054, 0.050 to 0.058, 0
0.062, 0.058 to 0.066, 0
0.070, 0.066 to 0.075, 0
0.079, 0.075 to 0.083, 0
0.087, 0.083 to 0.091, 0
0.095, 0.091 to 0.099, 0
0.104, 0.099 to 0.108, 0
0.112, 0.108 to 0.116, 0
0.120, 0.116 to 0.124, 2
0.128, 0.124 to 0.133, 6
0.137, 0.133 to 0.141, 10
0.145, 0.141 to 0.149, 11
0.153, 0.149 to 0.157, 10
0.162, 0.157 to 0.166, 21
0.170, 0.166 to 0.174, 15
0.178, 0.174 to 0.182, 10
0.186, 0.182 to 0.191, 17
0.195, 0.191 to 0.199, 12
0.203, 0.199 to 0.207, 9
0.211, 0.207 to 0.215, 10
0.220, 0.215 to 0.224, 9
0.228, 0.224 to 0.232, 9
0.236, 0.232 to 0.240, 6
0.244, 0.240 to 0.249, 7
0.253, 0.249 to 0.257, 6
0.261, 0.257 to 0.265, 6
0.269, 0.265 to 0.273, 3
0.278, 0.273 to 0.282, 4
0.286, 0.282 to 0.290, 3
0.294, 0.290 to 0.298, 6
0.302, 0.298 to 0.307, 3
0.311, 0.307 to 0.315, 1
0.319, 0.315 to 0.323, 6
0.327, 0.323 to 0.331, 2
0.336, 0.331 to 0.340, 0
0.344, 0.340 to 0.348, 3
0.352, 0.348 to 0.356, 0
0.360, 0.356 to 0.365, 0
0.369, 0.365 to 0.373, 0
0.377, 0.373 to 0.381, 0
0.385, 0.381 to 0.389, 0
0.394, 0.389 to 0.398, 3
0.402, 0.398 to 0.406, 0
0.410, 0.406 to 0.414, 1


Plate, 1
Well, 5
Count, 224
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.005, 0.000 to 0.010, 0
0.014, 0.010 to 0.019, 0
0.024, 0.019 to 0.029, 0
0.034, 0.029 to 0.038, 0
0.043, 0.038 to 0.048, 0
0.053, 0.048 to 0.058, 0
0.062, 0.058 to 0.067, 0
0.072, 0.067 to 0.077, 0
0.082, 0.077 to 0.086, 0
0.091, 0.086 to 0.096, 0
0.101, 0.096 to 0.106, 1
0.110, 0.106 to 0.115, 1
0.120, 0.115 to 0.125, 6
0.130, 0.125 to 0.134, 14
0.139, 0.134 to 0.144, 17
0.149, 0.144 to 0.154, 13
0.158, 0.154 to 0.163, 17
0.168, 0.163 to 0.173, 15
0.178, 0.173 to 0.182, 21
0.187, 0.182 to 0.192, 25
0.197, 0.192 to 0.202, 13
0.206, 0.202 to 0.211, 10
0.216, 0.211 to 0.221, 10
0.225, 0.221 to 0.230, 8
0.235, 0.230 to 0.240, 5
0.245, 0.240 to 0.249, 6
0.254, 0.249 to 0.259, 5
0.264, 0.259 to 0.269, 3
0.273, 0.269 to 0.278, 4
0.283, 0.278 to 0.288, 4
0.293, 0.288 to 0.297, 4
0.302, 0.297 to 0.307, 3
0.312, 0.307 to 0.317, 4
0.321, 0.317 to 0.326, 3
0.331, 0.326 to 0.336, 1
0.341, 0.336 to 0.345, 3
0.350, 0.345 to 0.355, 1
0.360, 0.355 to 0.365, 1
0.369, 0.365 to 0.374, 0
0.379, 0.374 to 0.384, 1
0.389, 0.384 to 0.393, 1
0.398, 0.393 to 0.403, 1
0.408, 0.403 to 0.413, 1
0.417, 0.413 to 0.422, 1
0.427, 0.422 to 0.432, 0
0.437, 0.432 to 0.441, 0
0.446, 0.441 to 0.451, 0
0.456, 0.451 to 0.461, 0
0.465, 0.461 to 0.470, 0
0.475, 0.470 to 0.480, 1


Plate, 1
Well, 6
Count, 216
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.015, 0
0.019, 0.015 to 0.023, 0
0.027, 0.023 to 0.031, 0
0.035, 0.031 to 0.038, 0
0.042, 0.038 to 0.046, 0
0.050, 0.046 to 0.054, 0
0.058, 0.054 to 0.061, 0
0.065, 0.061 to 0.069, 0
0.073, 0.069 to 0.077, 0
0.081, 0.077 to 0.084, 2
0.088, 0.084 to 0.092, 5
0.096, 0.092 to 0.100, 3
0.104, 0.100 to 0.107, 11
0.111, 0.107 to 0.115, 15
0.119, 0.115 to 0.123, 15
0.127, 0.123 to 0.130, 20
0.134, 0.130 to 0.138, 15
0.142, 0.138 to 0.146, 14
0.150, 0.146 to 0.154, 13
0.157, 0.154 to 0.161, 16
0.165, 0.161 to 0.169, 7
0.173, 0.169 to 0.177, 9
0.180, 0.177 to 0.184, 9
0.188, 0.184 to 0.192, 8
0.196, 0.192 to 0.200, 6
0.203, 0.200 to 0.207, 6
0.211, 0.207 to 0.215, 4
0.219, 0.215 to 0.223, 6
0.226, 0.223 to 0.230, 6
0.234, 0.230 to 0.238, 4
0.242, 0.238 to 0.246, 3
0.249, 0.246 to 0.253, 1
0.257, 0.253 to 0.261, 3
0.265, 0.261 to 0.269, 1
0.272, 0.269 to 0.276, 0
0.280, 0.276 to 0.284, 2
0.288, 0.284 to 0.292, 2
0.296, 0.292 to 0.299, 1
0.303, 0.299 to 0.307, 2
0.311, 0.307 to 0.315, 0
0.319, 0.315 to 0.322, 1
0.326, 0.322 to 0.330, 1
0.334, 0.330 to 0.338, 1
0.342, 0.338 to 0.345, 2
0.349, 0.345 to 0.353, 1
0.357, 0.353 to 0.361, 0
0.365, 0.361 to 0.368, 0
0.372, 0.368 to 0.376, 0
0.380, 0.376 to 0.384, 1




ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	21:54:51
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-38\Plate1\Plate1.ics


