Plate, 1
Well, 1
Count, 245

Type 1 Statistics
Diameter (um), Area (um^2), Density (OD), Volume (OD*um^2), Volume 2 (4/3PIr^3), Nearest Neighbour (um), X coordinate, Y coordinate
701.396, 386381.986, 0.302, 116818.799, 180671273.379, 1047.269, 28194.000, 26754.667
883.805, 613483.188, 0.373, 228949.500, 361466288.015, 1628.596, 3217.333, 23283.333
661.775, 343962.213, 0.260, 89587.406, 151750420.110, 723.392, 9482.667, 30988.000
692.599, 376750.440, 0.292, 110144.805, 173958018.863, 766.689, 31157.333, 12022.667
654.804, 336754.127, 0.295, 99268.736, 147005366.891, 3059.737, 23114.000, 19388.667
558.755, 245207.007, 0.381, 93527.010, 91340443.137, 766.689, 25061.333, 32512.000
620.371, 302268.543, 0.271, 81778.080, 125012439.013, 455.944, 32173.333, 20828.000
572.481, 257402.247, 0.338, 86965.835, 98238631.020, 1221.080, 29972.000, 13885.333
473.607, 176167.343, 0.272, 47859.863, 55622679.425, 911.888, 29802.667, 10329.333
550.568, 238074.105, 0.242, 57595.605, 87384024.267, 766.689, 31072.667, 11260.667
383.999, 115811.285, 0.322, 37345.041, 29647639.646, 838.157, 27601.333, 25738.667
646.466, 328232.404, 0.276, 90556.074, 141460757.832, 682.604, 34374.667, 17864.667
585.318, 269074.873, 0.286, 77036.698, 104996184.505, 1212.242, 3556.000, 14816.667
592.822, 276018.495, 0.281, 77602.877, 109086517.136, 1325.243, 30564.667, 28024.667
405.983, 129451.333, 0.438, 56681.912, 35036731.875, 838.157, 15240.000, 2540.000
545.013, 233294.321, 0.266, 61949.805, 84765680.253, 762.000, 10837.333, 8551.333
392.608, 121062.183, 0.385, 46611.375, 31686666.573, 493.687, 33697.333, 17780.000
622.201, 304054.511, 0.246, 74769.565, 126122037.206, 1203.339, 25823.333, 31072.667
666.508, 348899.853, 0.211, 73449.880, 155029726.274, 3455.811, 20828.000, 23706.667
399.557, 125385.330, 0.328, 41173.216, 33399032.948, 1910.167, 18288.000, 19050.000
483.856, 183874.735, 0.284, 52304.494, 59312590.182, 1809.967, 5588.000, 22352.000
537.657, 227039.011, 0.243, 55151.197, 81379408.625, 1197.367, 9567.333, 26839.333
498.253, 194980.082, 0.257, 50155.806, 64766312.925, 1019.522, 21336.000, 33020.000
498.066, 194833.342, 0.234, 45649.503, 64693212.950, 900.019, 19727.333, 29548.667
354.944, 98948.658, 0.297, 29430.727, 23414164.472, 598.684, 2794.000, 17441.333
524.288, 215888.895, 0.269, 58114.285, 75458688.904, 1232.765, 33612.667, 15917.333
968.015, 735960.409, 0.508, 373671.682, 474947360.111, 2121.741, 1354.667, 22267.333
535.791, 225465.840, 0.258, 58233.403, 80535049.418, 542.131, 29464.000, 9059.333
370.938, 108067.068, 0.341, 36838.528, 26724147.231, 965.349, 10837.333, 3640.667
399.660, 125450.407, 0.351, 44053.394, 33425038.301, 965.349, 10075.333, 9144.000
421.025, 139221.471, 0.253, 35199.949, 39077171.935, 1103.918, 13885.333, 5164.667
384.184, 115922.464, 0.256, 29700.917, 29690342.361, 1212.242, 3810.000, 13631.333
422.360, 140105.811, 0.286, 40065.540, 39450092.039, 838.157, 5926.667, 18118.667
417.570, 136945.449, 0.257, 35224.405, 38122836.494, 423.333, 9652.000, 29718.000
405.983, 129451.333, 0.326, 42246.024, 35036731.875, 803.219, 5080.000, 13038.667
757.303, 450431.643, 0.210, 94786.876, 227408733.046, 423.333, 9398.000, 30056.667
552.025, 239335.876, 0.229, 54877.888, 88079634.602, 455.944, 20574.000, 3217.333
476.986, 178690.470, 0.276, 49386.528, 56821917.680, 1714.369, 8466.667, 19558.000
392.384, 120924.201, 0.332, 40166.502, 31632509.157, 883.946, 17102.667, 30903.333
367.225, 105914.134, 0.338, 35785.252, 25929532.204, 1796.051, 21251.333, 9059.333
496.023, 193238.132, 0.249, 48045.744, 63900321.990, 900.019, 19134.667, 30226.000
437.536, 150355.094, 0.246, 37009.104, 43857212.156, 616.383, 6942.667, 26331.333
436.281, 149493.244, 0.274, 40956.666, 43480662.046, 1023.031, 26162.000, 29210.000
300.123, 70743.710, 0.281, 19866.717, 14154533.227, 1084.262, 13292.667, 6942.667
467.332, 171530.154, 0.265, 45376.569, 53440992.554, 1270.000, 29210.000, 28278.667
389.455, 119125.537, 0.263, 31341.872, 30929372.521, 1745.448, 29802.667, 20997.333
518.428, 211089.437, 0.247, 52185.341, 72956426.288, 1930.697, 23452.667, 8636.000
451.184, 159881.081, 0.231, 36919.525, 48090513.285, 1197.367, 26416.000, 7704.667
389.607, 119218.147, 0.252, 30084.046, 30965446.863, 915.810, 6942.667, 14054.667
351.216, 96880.775, 0.278, 26967.380, 22684029.818, 990.998, 17949.333, 1778.000
753.209, 445575.235, 0.294, 131129.071, 223740892.900, 1016.000, 2963.333, 25908.000
538.941, 228124.593, 0.204, 46458.883, 81963776.574, 1151.591, 21336.000, 4318.000
525.879, 217201.044, 0.193, 41841.376, 76147677.521, 1084.262, 31834.667, 12869.333
666.068, 348438.882, 0.226, 78813.350, 154722586.983, 1084.262, 12615.333, 7789.333
473.420, 176028.884, 0.222, 38997.789, 55557117.448, 1879.905, 26670.000, 9567.333
405.983, 129451.333, 0.293, 37946.287, 35036731.875, 598.684, 13970.000, 33274.000
632.988, 314688.401, 0.193, 60639.180, 132795972.202, 965.349, 11091.333, 2709.333
378.682, 112625.980, 0.250, 28178.231, 28432933.713, 1179.270, 17864.667, 5249.333
444.640, 155277.179, 0.204, 31693.748, 46028333.291, 850.889, 29210.000, 25061.333
485.977, 185490.252, 0.238, 44117.035, 60095981.998, 1910.167, 12530.667, 14478.000
560.321, 246583.174, 0.211, 52001.054, 92110461.280, 2235.264, 2455.333, 11853.333
422.360, 140105.811, 0.259, 36305.678, 39450092.039, 1680.585, 19981.333, 7789.333
485.977, 185490.252, 0.225, 41679.028, 60095981.998, 1030.014, 22352.000, 5164.667
346.819, 94470.409, 0.319, 30119.656, 21842759.038, 1289.604, 31242.000, 26246.667
337.161, 89282.077, 0.259, 23105.334, 20068283.624, 987.375, 28871.333, 23114.000
450.316, 159266.869, 0.202, 32215.470, 47813657.091, 766.689, 21251.333, 32004.000
540.895, 229782.293, 0.206, 47417.578, 82858799.678, 718.420, 19473.333, 32173.333
545.596, 233793.790, 0.258, 60209.174, 85038042.818, 1070.958, 6604.000, 30310.667
415.574, 135639.737, 0.250, 33875.859, 37578912.594, 780.588, 17864.667, 21928.667
