Plate, 2
Well, 1
Count, 188
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
9.921, 0.000 to 19.843, 0
29.764, 19.843 to 39.686, 0
49.607, 39.686 to 59.529, 0
69.450, 59.529 to 79.371, 0
89.293, 79.371 to 99.214, 0
109.136, 99.214 to 119.057, 0
128.979, 119.057 to 138.900, 0
148.821, 138.900 to 158.743, 0
168.664, 158.743 to 178.586, 0
188.507, 178.586 to 198.429, 0
208.350, 198.429 to 218.271, 9
228.193, 218.271 to 238.114, 10
248.036, 238.114 to 257.957, 3
267.879, 257.957 to 277.800, 3
287.722, 277.800 to 297.643, 4
307.564, 297.643 to 317.486, 5
327.407, 317.486 to 337.329, 8
347.250, 337.329 to 357.172, 17
367.093, 357.172 to 377.014, 12
386.936, 377.014 to 396.857, 7
406.779, 396.857 to 416.700, 13
426.622, 416.700 to 436.543, 9
446.464, 436.543 to 456.386, 14
466.307, 456.386 to 476.229, 15
486.150, 476.229 to 496.072, 8
505.993, 496.072 to 515.914, 4
525.836, 515.914 to 535.757, 5
545.679, 535.757 to 555.600, 8
565.522, 555.600 to 575.443, 4
585.364, 575.443 to 595.286, 5
605.207, 595.286 to 615.129, 3
625.050, 615.129 to 634.972, 5
644.893, 634.972 to 654.814, 1
664.736, 654.814 to 674.657, 5
684.579, 674.657 to 694.500, 2
704.422, 694.500 to 714.343, 1
724.264, 714.343 to 734.186, 1
744.107, 734.186 to 754.029, 1
763.950, 754.029 to 773.872, 2
783.793, 773.872 to 793.715, 2
803.636, 793.715 to 813.557, 0
823.479, 813.557 to 833.400, 1
843.322, 833.400 to 853.243, 0
863.165, 853.243 to 873.086, 0
883.007, 873.086 to 892.929, 0
902.850, 892.929 to 912.772, 0
922.693, 912.772 to 932.615, 0
942.536, 932.615 to 952.457, 0
962.379, 952.457 to 972.300, 0
982.222, 972.300 to 992.143, 1


Plate, 2
Well, 2
Count, 148
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Diameter (um), Range, frequency
9.815, 0.000 to 19.629, 0
29.444, 19.629 to 39.258, 0
49.073, 39.258 to 58.888, 0
68.702, 58.888 to 78.517, 0
