Plate, 3
Well, 1
Count, 233
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
3394416.373, 0.000 to 6788832.746, 19
10183249.119, 6788832.746 to 13577665.492, 15
16972081.865, 13577665.492 to 20366498.239, 12
23760914.612, 20366498.239 to 27155330.985, 20
30549747.358, 27155330.985 to 33944163.731, 21
37338580.104, 33944163.731 to 40732996.477, 14
44127412.850, 40732996.477 to 47521829.223, 25
50916245.596, 47521829.223 to 54310661.970, 15
57705078.343, 54310661.970 to 61099494.716, 18
64493911.089, 61099494.716 to 67888327.462, 10
71282743.835, 67888327.462 to 74677160.208, 6
78071576.581, 74677160.208 to 81465992.954, 5
84860409.327, 81465992.954 to 88254825.700, 3
91649242.074, 88254825.700 to 95043658.447, 6
98438074.820, 95043658.447 to 101832491.193, 4
105226907.566, 101832491.193 to 108621323.939, 2
112015740.312, 108621323.939 to 115410156.685, 2
118804573.058, 115410156.685 to 122198989.431, 3
125593405.804, 122198989.431 to 128987822.178, 3
132382238.551, 128987822.178 to 135776654.924, 4
139171071.297, 135776654.924 to 142565487.670, 4
145959904.043, 142565487.670 to 149354320.416, 2
152748736.789, 149354320.416 to 156143153.162, 1
159537569.535, 156143153.162 to 162931985.909, 3
166326402.282, 162931985.909 to 169720818.655, 0
173115235.028, 169720818.655 to 176509651.401, 1
179904067.774, 176509651.401 to 183298484.147, 2
186692900.520, 183298484.147 to 190087316.893, 0
193481733.266, 190087316.893 to 196876149.639, 2
200270566.013, 196876149.639 to 203664982.386, 0
207059398.759, 203664982.386 to 210453815.132, 1
213848231.505, 210453815.132 to 217242647.878, 1
220637064.251, 217242647.878 to 224031480.624, 2
227425896.997, 224031480.624 to 230820313.370, 1
234214729.743, 230820313.370 to 237609146.117, 1
241003562.490, 237609146.117 to 244397978.863, 1
247792395.236, 244397978.863 to 251186811.609, 0
254581227.982, 251186811.609 to 257975644.355, 0
261370060.728, 257975644.355 to 264764477.101, 0
268158893.474, 264764477.101 to 271553309.848, 0
274947726.221, 271553309.848 to 278342142.594, 0
281736558.967, 278342142.594 to 285130975.340, 0
288525391.713, 285130975.340 to 291919808.086, 0
295314224.459, 291919808.086 to 298708640.832, 1
302103057.205, 298708640.832 to 305497473.578, 0
308891889.952, 305497473.578 to 312286306.325, 1
315680722.698, 312286306.325 to 319075139.071, 0
322469555.444, 319075139.071 to 325863971.817, 1
329258388.190, 325863971.817 to 332652804.563, 0
336047220.936, 332652804.563 to 339441637.309, 1


Plate, 3
Well, 2
Count, 224
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
11583298.674, 0.000 to 23166597.347, 67
34749896.021, 23166597.347 to 46333194.694, 47
57916493.368, 46333194.694 to 69499792.042, 47
81083090.715, 69499792.042 to 92666389.389, 29
104249688.062, 92666389.389 to 115832986.736, 10
127416285.410, 115832986.736 to 138999584.083, 9
150582882.757, 138999584.083 to 162166181.430, 8
173749480.104, 162166181.430 to 185332778.777, 2
196916077.451, 185332778.777 to 208499376.125, 0
220082674.798, 208499376.125 to 231665973.472, 0
243249272.145, 231665973.472 to 254832570.819, 1
266415869.493, 254832570.819 to 277999168.166, 0
289582466.840, 277999168.166 to 301165765.513, 0
312749064.187, 301165765.513 to 324332362.861, 0
335915661.534, 324332362.861 to 347498960.208, 1
359082258.881, 347498960.208 to 370665557.555, 1
382248856.229, 370665557.555 to 393832154.902, 0
405415453.576, 393832154.902 to 416998752.249, 0
428582050.923, 416998752.249 to 440165349.597, 0
451748648.270, 440165349.597 to 463331946.944, 0
474915245.617, 463331946.944 to 486498544.291, 1
498081842.965, 486498544.291 to 509665141.638, 0
521248440.312, 509665141.638 to 532831738.985, 0
544415037.659, 532831738.985 to 555998336.332, 0
567581635.006, 555998336.332 to 579164933.680, 0
590748232.353, 579164933.680 to 602331531.027, 0
613914829.700, 602331531.027 to 625498128.374, 0
637081427.048, 625498128.374 to 648664725.721, 0
660248024.395, 648664725.721 to 671831323.068, 0
683414621.742, 671831323.068 to 694997920.416, 0
706581219.089, 694997920.416 to 718164517.763, 0
729747816.436, 718164517.763 to 741331115.110, 0
752914413.784, 741331115.110 to 764497712.457, 0
776081011.131, 764497712.457 to 787664309.804, 0
799247608.478, 787664309.804 to 810830907.152, 0
822414205.825, 810830907.152 to 833997504.499, 0
845580803.172, 833997504.499 to 857164101.846, 0
868747400.519, 857164101.846 to 880330699.193, 0
891913997.867, 880330699.193 to 903497296.540, 0
915080595.214, 903497296.540 to 926663893.887, 0
938247192.561, 926663893.887 to 949830491.235, 0
961413789.908, 949830491.235 to 972997088.582, 0
984580387.255, 972997088.582 to 996163685.929, 0
1007746984.603, 996163685.929 to 1019330283.276, 0
1030913581.950, 1019330283.276 to 1042496880.623, 0
1054080179.297, 1042496880.623 to 1065663477.971, 0
1077246776.644, 1065663477.971 to 1088830075.318, 0
1100413373.991, 1088830075.318 to 1111996672.665, 0
1123579971.339, 1111996672.665 to 1135163270.012, 0
1146746568.686, 1135163270.012 to 1158329867.359, 1


Plate, 3
Well, 3
Count, 159
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume 2 (4/3PIr^3), Range, frequency
2700724.001, 0.000 to 5401448.003, 2
8102172.004, 5401448.003 to 10802896.006, 18
13503620.007, 10802896.006 to 16204344.008, 6
18905068.010, 16204344.008 to 21605792.011, 9
24306516.013, 21605792.011 to 27007240.014, 19
29707964.015, 27007240.014 to 32408688.017, 15
35109412.018, 32408688.017 to 37810136.020, 13
40510860.021, 37810136.020 to 43211584.022, 5
45912308.024, 43211584.022 to 48613032.025, 8
51313756.027, 48613032.025 to 54014480.028, 6
56715204.029, 54014480.028 to 59415928.031, 12
62116652.032, 59415928.031 to 64817376.034, 8
67518100.035, 64817376.034 to 70218824.036, 4
72919548.038, 70218824.036 to 75620272.039, 5
