Plate, 4
Well, 1
Count, 85
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
3848.475, 0.000 to 7696.949, 0
11545.424, 7696.949 to 15393.898, 0
19242.373, 15393.898 to 23090.847, 0
26939.322, 23090.847 to 30787.796, 0
34636.271, 30787.796 to 38484.745, 12
42333.220, 38484.745 to 46181.694, 2
50030.169, 46181.694 to 53878.644, 2
57727.118, 53878.644 to 61575.593, 2
65424.067, 61575.593 to 69272.542, 3
73121.016, 69272.542 to 76969.491, 2
80817.965, 76969.491 to 84666.440, 2
88514.914, 84666.440 to 92363.389, 1
96211.863, 92363.389 to 100060.338, 8
103908.813, 100060.338 to 107757.287, 5
111605.762, 107757.287 to 115454.236, 3
119302.711, 115454.236 to 123151.185, 3
126999.660, 123151.185 to 130848.134, 5
134696.609, 130848.134 to 138545.083, 2
142393.558, 138545.083 to 146242.032, 4
150090.507, 146242.032 to 153938.982, 2
157787.456, 153938.982 to 161635.931, 4
165484.405, 161635.931 to 169332.880, 1
173181.354, 169332.880 to 177029.829, 4
180878.303, 177029.829 to 184726.778, 4
188575.252, 184726.778 to 192423.727, 1
196272.201, 192423.727 to 200120.676, 0
203969.151, 200120.676 to 207817.625, 4
211666.100, 207817.625 to 215514.574, 0
219363.049, 215514.574 to 223211.523, 0
227059.998, 223211.523 to 230908.472, 3
234756.947, 230908.472 to 238605.421, 3
242453.896, 238605.421 to 246302.370, 1
250150.845, 246302.370 to 253999.320, 0
257847.794, 253999.320 to 261696.269, 0
265544.743, 261696.269 to 269393.218, 0
273241.692, 269393.218 to 277090.167, 0
280938.641, 277090.167 to 284787.116, 0
288635.590, 284787.116 to 292484.065, 0
296332.539, 292484.065 to 300181.014, 0
304029.489, 300181.014 to 307877.963, 0
311726.438, 307877.963 to 315574.912, 0
319423.387, 315574.912 to 323271.861, 0
327120.336, 323271.861 to 330968.810, 0
334817.285, 330968.810 to 338665.759, 0
342514.234, 338665.759 to 346362.708, 1
350211.183, 346362.708 to 354059.658, 0
357908.132, 354059.658 to 361756.607, 0
365605.081, 361756.607 to 369453.556, 0
373302.030, 369453.556 to 377150.505, 0
380998.979, 377150.505 to 384847.454, 1


Plate, 4
Well, 2
Count, 89
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
3700.625, 0.000 to 7401.251, 0
11101.876, 7401.251 to 14802.501, 0
18503.127, 14802.501 to 22203.752, 0
25904.377, 22203.752 to 29605.002, 0
33305.628, 29605.002 to 37006.253, 2
40706.878, 37006.253 to 44407.504, 11
48108.129, 44407.504 to 51808.754, 1
55509.380, 51808.754 to 59210.005, 2
62910.630, 59210.005 to 66611.256, 2
70311.881, 66611.256 to 74012.506, 3
77713.131, 74012.506 to 81413.757, 2
85114.382, 81413.757 to 88815.007, 4
92515.633, 88815.007 to 96216.258, 3
99916.883, 96216.258 to 103617.509, 2
107318.134, 103617.509 to 111018.759, 2
114719.384, 111018.759 to 118420.010, 11
122120.635, 118420.010 to 125821.260, 3
129521.886, 125821.260 to 133222.511, 4
136923.136, 133222.511 to 140623.762, 4
144324.387, 140623.762 to 148025.012, 3
151725.638, 148025.012 to 155426.263, 3
159126.888, 155426.263 to 162827.513, 0
166528.139, 162827.513 to 170228.764, 3
173929.389, 170228.764 to 177630.015, 4
181330.640, 177630.015 to 185031.265, 4
188731.891, 185031.265 to 192432.516, 0
196133.141, 192432.516 to 199833.767, 1
203534.392, 199833.767 to 207235.017, 2
210935.642, 207235.017 to 214636.268, 1
218336.893, 214636.268 to 222037.518, 1
225738.144, 222037.518 to 229438.769, 3
233139.394, 229438.769 to 236840.020, 3
240540.645, 236840.020 to 244241.270, 0
247941.895, 244241.270 to 251642.521, 0
255343.146, 251642.521 to 259043.771, 0
262744.397, 259043.771 to 266445.022, 0
270145.647, 266445.022 to 273846.273, 0
277546.898, 273846.273 to 281247.523, 2
284948.149, 281247.523 to 288648.774, 0
292349.399, 288648.774 to 296050.024, 0
299750.650, 296050.024 to 303451.275, 0
307151.900, 303451.275 to 310852.526, 0
314553.151, 310852.526 to 318253.776, 0
321954.402, 318253.776 to 325655.027, 0
329355.652, 325655.027 to 333056.278, 0
336756.903, 333056.278 to 340457.528, 0
344158.153, 340457.528 to 347858.779, 1
351559.404, 347858.779 to 355260.029, 0
358960.655, 355260.029 to 362661.280, 0
366361.905, 362661.280 to 370062.531, 2


Plate, 4
Well, 3
Count, 61
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Area (um^2), Range, frequency
2896.713, 0.000 to 5793.426, 0
8690.139, 5793.426 to 11586.852, 0
14483.565, 11586.852 to 17380.278, 0
20276.991, 17380.278 to 23173.704, 0
26070.417, 23173.704 to 28967.130, 0
31863.843, 28967.130 to 34760.557, 0
37657.270, 34760.557 to 40553.983, 9
43450.696, 40553.983 to 46347.409, 1
49244.122, 46347.409 to 52140.835, 1
55037.548, 52140.835 to 57934.261, 3
60830.974, 57934.261 to 63727.687, 1
66624.400, 63727.687 to 69521.113, 5
72417.826, 69521.113 to 75314.539, 0
78211.252, 75314.539 to 81107.965, 2
84004.678, 81107.965 to 86901.391, 4
89798.104, 86901.391 to 92694.817, 1
95591.530, 92694.817 to 98488.243, 3
101384.957, 98488.243 to 104281.670, 1
107178.383, 104281.670 to 110075.096, 3
112971.809, 110075.096 to 115868.522, 3
118765.235, 115868.522 to 121661.948, 3
124558.661, 121661.948 to 127455.374, 1
130352.087, 127455.374 to 133248.800, 0
136145.513, 133248.800 to 139042.226, 1
141938.939, 139042.226 to 144835.652, 2
147732.365, 144835.652 to 150629.078, 2
153525.791, 150629.078 to 156422.504, 2
159319.217, 156422.504 to 162215.930, 1
165112.644, 162215.930 to 168009.357, 1
170906.070, 168009.357 to 173802.783, 1
176699.496, 173802.783 to 179596.209, 1
182492.922, 179596.209 to 185389.635, 0
