Plate, 1
Well, 1
Count, 188
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
8500.988, 0.000 to 17001.975, 17
25502.963, 17001.975 to 34003.951, 35
42504.939, 34003.951 to 51005.926, 26
59506.914, 51005.926 to 68007.902, 22
76508.890, 68007.902 to 85009.877, 19
93510.865, 85009.877 to 102011.853, 10
110512.840, 102011.853 to 119013.828, 9
127514.816, 119013.828 to 136015.804, 5
144516.791, 136015.804 to 153017.779, 4
161518.767, 153017.779 to 170019.755, 9
178520.742, 170019.755 to 187021.730, 1
195522.718, 187021.730 to 204023.705, 0
212524.693, 204023.705 to 221025.681, 4
229526.669, 221025.681 to 238027.656, 1
246528.644, 238027.656 to 255029.632, 3
263530.620, 255029.632 to 272031.607, 1
280532.595, 272031.607 to 289033.583, 3
297534.570, 289033.583 to 306035.558, 1
314536.546, 306035.558 to 323037.534, 1
331538.521, 323037.534 to 340039.509, 2
348540.497, 340039.509 to 357041.485, 1
365542.472, 357041.485 to 374043.460, 4
382544.448, 374043.460 to 391045.436, 2
399546.423, 391045.436 to 408047.411, 1
416548.399, 408047.411 to 425049.386, 0
433550.374, 425049.386 to 442051.362, 1
450552.350, 442051.362 to 459053.337, 1
467554.325, 459053.337 to 476055.313, 0
484556.301, 476055.313 to 493057.288, 2
501558.276, 493057.288 to 510059.264, 0
518560.251, 510059.264 to 527061.239, 0
535562.227, 527061.239 to 544063.215, 0
552564.202, 544063.215 to 561065.190, 1
569566.178, 561065.190 to 578067.166, 0
586568.153, 578067.166 to 595069.141, 0
603570.129, 595069.141 to 612071.116, 0
620572.104, 612071.116 to 629073.092, 0
637574.080, 629073.092 to 646075.067, 0
654576.055, 646075.067 to 663077.043, 0
671578.031, 663077.043 to 680079.018, 0
688580.006, 680079.018 to 697080.994, 0
705581.981, 697080.994 to 714082.969, 0
722583.957, 714082.969 to 731084.945, 0
739585.932, 731084.945 to 748086.920, 0
756587.908, 748086.920 to 765088.896, 0
773589.883, 765088.896 to 782090.871, 0
790591.859, 782090.871 to 799092.846, 1
807593.834, 799092.846 to 816094.822, 0
824595.810, 816094.822 to 833096.797, 0
841597.785, 833096.797 to 850098.773, 1


Plate, 1
Well, 2
Count, 199
CHARM Settings 1:		UWB1&UWB1BRCA1_300charm.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
5145.947, 0.000 to 10291.893, 7
15437.840, 10291.893 to 20583.787, 16
25729.734, 20583.787 to 30875.680, 23
36021.627, 30875.680 to 41167.574, 27
46313.521, 41167.574 to 51459.467, 14
56605.414, 51459.467 to 61751.361, 13
66897.308, 61751.361 to 72043.254, 6
77189.201, 72043.254 to 82335.148, 10
87481.095, 82335.148 to 92627.041, 9
97772.988, 92627.041 to 102918.935, 11
108064.882, 102918.935 to 113210.828, 7
118356.775, 113210.828 to 123502.722, 6
128648.669, 123502.722 to 133794.615, 4
138940.562, 133794.615 to 144086.509, 5
149232.456, 144086.509 to 154378.402, 4
159524.349, 154378.402 to 164670.296, 5
169816.243, 164670.296 to 174962.189, 3
